0	Index      	 *	Score 	Summary	Detail	
1	21214 41352	 * 	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1ERES|2ZMB|3DMG|4LIT|5BOSS|6DUR|79VULN|8RCR|aMDPS
2	16153 33211	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1ASPD|2TBNT|38VULN|4BOSS|5AART|6RCR|7RAT|9DUR|aMDPS
3	16533 33211	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1ASPD|2TBNT|3BOSS|48VULN|5AART|6RCR|7RAT|9DUR|aMDPS
4	63423 12623	 * 	341.87	ACR|DCR|3VULN|1TLV|1DUR	1AEWIND|267VULN|3LIT|4FEWX|59RCR|8TLV|aDUR
5	43115 61122	 * 	336.30	DCR|1MDPS|1VULN|2DUR|1TLV|1DMG	1FEWX|24DUR|3ZMB|5VULN|6RCR|7DMG|8RAT|9TLV|aMDPS
6	63423 61133	 * 	334.93	ACR|3VULN|1MDPS|1DUR	1AEWIND|278VULN|3LIT|4FEWX|5RCR|6AAC|9DUR|aMDPS
7	11452 43133	   	331.04	DCR|2VULN|1MDPS|1DUR	1ASPD|2ZMB|3LIT|4RMIN|5AEBURN|6RCR|78VULN|9DUR|aMDPS
8	13612 42163	   	331.04	DCR|2VULN|1MDPS|1DUR	1ASPD|2BEXP|3DMSP|4LIT|5AEBURN|6RCR|7DUR|89VULN|aMDPS
9	13612 43133	   	331.04	DCR|2VULN|1MDPS|1DUR	1ASPD|2BEXP|3DMSP|4LIT|5AEBURN|6RCR|78VULN|9DUR|aMDPS
10	13616 43133	   	331.04	DCR|2VULN|1MDPS|1DUR	1ASPD|2BEXP|3DMSP|4LIT|5AEPOI|6RCR|78VULN|9DUR|aMDPS
11	14212 25533	   	331.04	DCR|2VULN|1MDPS|1DUR	1ASPD|2BELT|3BEXP|4DUR|5FLTHEA|6RCR|78VULN|9RPLT|aMDPS
12	14331 25533	   	331.04	DCR|2VULN|1MDPS|1DUR	1ASPD|2BELT|3BLASTR|4DUR|5BEXP|6RCR|78VULN|9RPLT|aMDPS
13	45112 43133	   	331.04	DCR|2VULN|1MDPS|1DUR	1FEWX|2AEFRZ|3AAC|4LIT|5AEBURN|6RCR|78VULN|9DUR|aMDPS
14	13112 42163	   	330.94	DCR|2VULN|1MDPS|1DUR	13ASPD|2BEXP|4LIT|5AEBURN|6RCR|7DUR|89VULN|aMDPS
15	13112 43133	   	330.94	DCR|2VULN|1MDPS|1DUR	13ASPD|2BEXP|4LIT|5AEBURN|6RCR|78VULN|9DUR|aMDPS
16	13112 43663	   	330.94	DCR|2VULN|1MDPS|1DUR	13ASPD|2BEXP|4LIT|5AEBURN|6RCR|79VULN|8DUR|aMDPS
17	13116 42163	   	330.94	DCR|2VULN|1MDPS|1DUR	13ASPD|2BEXP|4LIT|5AEPOI|6RCR|7DUR|89VULN|aMDPS
18	13116 43133	   	330.94	DCR|2VULN|1MDPS|1DUR	13ASPD|2BEXP|4LIT|5AEPOI|6RCR|78VULN|9DUR|aMDPS
19	66321 43133	   	330.84	DCR|2VULN|1MDPS|1DUR	1AEWIND|2AEPOI|3BOSS|4DUST|5NUKE|6RCR|78VULN|9DUR|aMDPS
20	63155 32131	 * 	325.43	2MDPS|2VULN|1DUR|1AART	1AEWIND|25VULN|3AAC|4DUR|6BELT|7AART|89MDPS|aLIT
21	63155 32132	   	325.43	2MDPS|2VULN|1DUR|1AART	1AEWIND|25VULN|3AAC|4DUR|6BELT|7AART|89MDPS|aRAT
22	63155 32133	 * 	325.43	2MDPS|2VULN|2DUR|1AART	1AEWIND|25VULN|3AAC|4aDUR|6BELT|7AART|89MDPS
23	43632 62122	   	323.74	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR	1FEWX|2DUR|3VULN|4DMG|5AEBURN|6RCR|7MLV|8RAT|9TLV|aMDPS
24	46112 61122	   	323.74	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR	1FEWX|2VULN|3ZMB|4DUR|5AEBURN|6RCR|7DMG|8RAT|9TLV|aMDPS
25	43632 61122	   	323.64	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR	1FEWX|2DUR|3VULN|4DMG|5AEBURN|6RCR|7NUKE|8RAT|9TLV|aMDPS
