0	Index      	 *	Score 	Summary	Detail	
1	62211 35242	 * 	357.98	DCR|3VULN|1MDPS|2TLV|1CDMG|2DUR	1aDUST|2MDPS|3aDUR|4CDMG|58TLV|69aVULN|7RCR|aBPWR
2	11615 33522	 * 	357.40	ACR|2VULN|1MDPS|2CDMG|1TLV|1DUR	127BEXP|3CANARM|47VULN|5RCR|67CDMG|7BPWR|8TLV|9DUR|aMDPS
3	12235 51232	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1BEXP|2LIT|3DUR|4LHND|59VULN|6TLV|7RCR|8TBNT|aMDPS
4	12263 51232	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1BEXP|2LIT|3DUR|49VULN|5LHND|6TLV|7RCR|8TBNT|aMDPS
5	62211 35412	 * 	352.54	DCR|3VULN|1MDPS|3DUR|1CDMG|1TLV	1aDUST|2MDPS|39aDUR|4CDMG|5TLV|68aVULN|7RCR|aBPWR
6	21552 11214	   	345.63	DCR|3VULN|2TLV|1CDMG|1DUR	1VENTOX|2CGEN|3DUR|47TLV|568VULN|9RCR|aCDMG
7	32552 11214	   	345.43	DCR|3VULN|2TLV|1CDMG|1DUR	1ERES|2LSRHEA|3DUR|47TLV|568VULN|9RCR|aCDMG
8	11122 54116	 * 	339.18	2MDPS|2VULN|1CDMG|1DUR	12BEXP|3AME|47VULN|5DUR|6CDMG|8aMDPS|9LHND
9	14551 21332	   	335.15	DCR|3VULN|1TLV|1DMG|1DUR|1AART	15BEXP|2TLV|3MLV|456VULN|5BPWR|7RCR|8DUR|9DMG|aAART
10	33512 22124	 * 	334.73	ACR|3VULN|1MDPS|1DUR	124ERES|3FEWX|5RCR|6DUR|789VULN|aMDPS
11	14551 21333	   	333.95	DCR|3VULN|2DUR|1TLV|1DMG	15BEXP|2TLV|3MLV|456VULN|5BPWR|7RCR|8aDUR|9DMG
12	26221 34324	   	331.24	DCR|2VULN|1MDPS|1DUR	1VENTOX|2BELT|34VULN|5DMSP|6RPLT|7DUR|8RAT|9RCR|aMDPS
