0	Index      	 *	Score 	Summary	Detail	
1	15351 22332	 * 	385.27	DCR|2MDPS|1VULN|1CDMG|1DUR|1SELL	1LHND|2SPLJET|3SELL|4DUR|5VULN|6LWND|7CDMG|8RCR|9aMDPS
2	21332 41132	 * 	371.88	ACR|2MDPS|2VULN|1DUR	1RCR|2FRZARM|3LWND|4DUR|57VULN|6LHND|8AAC|9aMDPS
3	21332 41632	   	371.88	ACR|2MDPS|2VULN|1DUR	1RCR|2FRZARM|3LWND|4DUR|57VULN|6LHND|8ZMB|9aMDPS
4	21322 51132	   	371.88	ACR|2MDPS|2VULN|1DUR	1RCR|2FRZARM|3LWND|4LHND|57VULN|6DUR|8AAC|9aMDPS
5	21322 51632	   	371.88	ACR|2MDPS|2VULN|1DUR	1RCR|2FRZARM|3LWND|4LHND|57VULN|6DUR|8ZMB|9aMDPS
6	23223 64314	 * 	371.78	ACR|DCR|2VULN|1MDPS|1DUR	16RCR|2LWND|3AEPOI|4BOSS|57VULN|8RMIN|9DUR|aMDPS
7	24413 13363	   	371.78	ACR|2MDPS|2VULN|1DUR	1RCR|2AAC|3LIT|4RMIN|57VULN|6DUR|8ERES|9aMDPS
8	63223 52744	 * 	367.30	ACR|3VULN|1MDPS|2DUR|1DMG|1SELL	1DMSP|2MBVNT|3RCR|458VULN|6SELL|78DUR|8BPWR|9DMG|aMDPS
9	63538 23433	 * 	359.24	2MDPS|2VULN|1CDMG|1DMG|1DUR	1DMSP|2MBVNT|3DMG|4CDMG|5DUR|67VULN|8aMDPS|9DUST
10	15221 16352	 * 	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2SPLJET|3TLV|47VULN|5DUR|6DUST|8RCR|9AAC|aMDPS
11	15221 16331	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2SPLJET|3TLV|47VULN|5DUR|6DUST|8RCR|9MDPS|aAEFRZ
12	15221 16332	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2SPLJET|3TLV|47VULN|5DUR|6DUST|8RCR|9MDPS|aAAC
13	15221 16333	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2SPLJET|3TLV|47VULN|5DUR|6DUST|8RCR|9MDPS|aAME
14	15221 16334	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2SPLJET|3TLV|47VULN|5DUR|6DUST|8RCR|9MDPS|aLWND
15	15221 16335	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2SPLJET|3TLV|47VULN|5DUR|6DUST|8RCR|9MDPS|aERES
16	15221 16336	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2SPLJET|3TLV|47VULN|5DUR|6DUST|8RCR|9MDPS|aMLV
17	15221 66331	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2SPLJET|3TLV|47VULN|5DUR|6LEGI|8RCR|9MDPS|aAEFRZ
18	15221 66332	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2SPLJET|3TLV|47VULN|5DUR|6LEGI|8RCR|9MDPS|aAAC
19	15221 66333	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2SPLJET|3TLV|47VULN|5DUR|6LEGI|8RCR|9MDPS|aAME
