0	Index      	 *	Score 	Summary	Detail	
1	34236 12623	 * 	381.45	DCR|2VULN|1MDPS|2DMG|2DUR	1FEWX|25DMG|35DUR|4AAC|5BPWR|6RAT|78VULN|9RCR|aMDPS
2	54212 41332	 * 	378.71	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1ZMB|2LWND|3DUR|47VULN|5DMG|6BEXP|8CDMG|9RCR|aMDPS
3	54212 61332	   	378.71	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1ZMB|2LWND|3DUR|47VULN|5DMG|6LHND|8CDMG|9RCR|aMDPS
4	55212 41332	   	378.71	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1ZMB|2LHND|3DUR|47VULN|5DMG|6BEXP|8CDMG|9RCR|aMDPS
5	42725 23422	   	378.41	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1MBVNT|2ASPD|3ERES|45VULN|6RCR|7DUR|8DMG|9CDMG|aMDPS
6	42825 23422	   	378.41	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1MBVNT|2ASPD|3AME|45VULN|6RCR|7DUR|8DMG|9CDMG|aMDPS
7	43325 11723	 * 	374.93	DCR|3VULN|1MDPS|1DUR	1MBVNT|23BEXP|458VULN|6RAT|7DUR|9RCR|aMDPS
8	41225 11723	   	374.83	DCR|3VULN|1MDPS|1DUR	1MBVNT|2AEPOI|3FEWX|458VULN|6RAT|7DUR|9RCR|aMDPS
9	41425 11723	   	374.83	DCR|3VULN|1MDPS|1DUR	1MBVNT|2AEPOI|3LHND|458VULN|6RAT|7DUR|9RCR|aMDPS
10	14236 12623	   	363.86	DCR|2VULN|1MDPS|2DUR|1DMG	1DMG|25LWND|35DUR|4AAC|5BPWR|6RAT|78VULN|9RCR|aMDPS
11	15236 12623	   	363.86	DCR|2VULN|1MDPS|2DUR|1DMG	1DMG|25LHND|35DUR|4AAC|5BPWR|6RAT|78VULN|9RCR|aMDPS
12	54231 51332	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	1ZMB|2LWND|3DUR|4AAC|5LHND|67VULN|8CDMG|9RCR|aMDPS
13	54232 51332	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	1ZMB|2LWND|3DUR|4AAC|5BEXP|67VULN|8CDMG|9RCR|aMDPS
14	55233 51332	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	1ZMB|2LHND|3DUR|4AAC|5BEXP|67VULN|8CDMG|9RCR|aMDPS
15	45225 22242	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1MBVNT|2RMIN|3ZMB|45VULN|6RCR|7CDMG|8DUR|9ERES|aMDPS
16	43324 12435	   	357.35	DCR|2VULN|1MDPS|2DUR|1AART	1MBVNT|236BEXP|49VULN|5AART|7RCR|89DUR|9BPWR|aMDPS
