0	Index      	 *	Score 	Summary	Detail	
1	61443 12221	 * 	305.19	DCR|DCR|2VULN|1TLV|1LIT	14VULN|2AME|3FEWX|5TLV|6aRCR|7RPLT|8LIT|9ERES
2	31631 22472	   	292.54	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1DUST|2TLV|3MBVNT|4AART|5FLTHEA|67RCR|8VULN|9LIT|aASPD
3	31631 22315	   	288.55	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2TLV|3MBVNT|4AART|5FLTHEA|67RCR|8BBNT|9LIT|aVULN
4	31631 22476	   	288.55	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2TLV|3MBVNT|4AART|5FLTHEA|67RCR|8VULN|9LIT|aBBNT
5	31631 22487	   	288.55	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2TLV|3MBVNT|4AART|5FLTHEA|67RCR|8VULN|9DUR|aLIT
6	31631 22468	 * 	288.37	DCR|DCR|2VULN|1TLV|1MLV	1DUST|2TLV|3MBVNT|4AART|5FLTHEA|67RCR|8aVULN|9MLV
7	15236 61111	 * 	283.53	ACR|DCR|2VULN|1TLV|1LIT|1MLV	1ERES|2MLV|3aRCR|49VULN|5RPLT|6LIT|7TLV|8LEGI
8	51131 22478	   	282.66	DCR|DCR|2VULN|1TLV	1MBVNT|2DUR|3ERES|4AART|5FLTHEA|67RCR|8aVULN|9TLV
9	31631 22441	   	281.31	DCR|DCR|2VULN|1TLV	1DUST|2TLV|3MBVNT|4AART|5FLTHEA|67RCR|8aVULN|9RPLT
10	31631 22437	   	278.89	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2TLV|3MBVNT|4AART|5FLTHEA|67RCR|8VULN|9BEXP|aLIT
11	31631 22471	   	278.89	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2TLV|3MBVNT|4AART|5FLTHEA|67RCR|8VULN|9LIT|aRCVC
12	31631 22477	   	278.89	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2TLV|3MBVNT|4AART|5FLTHEA|67RCR|8VULN|9LIT|aLHND
13	31631 22478	   	278.89	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2TLV|3MBVNT|4AART|5FLTHEA|67RCR|8VULN|9LIT|aBEXP
14	31631 22473	   	278.79	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2TLV|3MBVNT|4AART|5FLTHEA|67RCR|8VULN|9LIT|aAIRHEL
15	31631 22474	   	278.79	DCR|DCR|1TLV|1LIT|1VULN	1DUST|2TLV|3MBVNT|4AART|5FLTHEA|67RCR|8VULN|9LIT|aMDPS
16	31631 22475	   	278.79	DCR|DCR|1TLV|1LIT|1VULN	1aDUST|2TLV|3MBVNT|4AART|5FLTHEA|67RCR|8VULN|9LIT
17	31353 21134	 * 	278.38	DCR|2VULN|2LIT|1TLV|2DUR|1ASPD|1CDMG	1DUST|2TLV|3aLIT|4aVULN|5ASPD|6aDUR|7LWND|8CDMG|9RCR|aBPWR
18	54322 26611	 * 	278.11	DCR|DCR|3VULN|1LIT|1CDMG	1MBVNT|2MDPS|3CDMG|4LIT|5RMIN|689VULN|7aRCR
19	31542 12261	 * 	277.20	DCR|DCR|2TLV|1LIT	1DUST|24TLV|34CGEN|4BPWR|5DUR|6aRCR|7AME|8RPLT|9LIT
20	31631 22462	 * 	275.20	DCR|DCR|2MLV|1TLV|1VULN	1DUST|2TLV|3MBVNT|4AART|5FLTHEA|67RCR|8VULN|9aMLV
