0	Index      	 *	Score 	Summary	Detail	
1	33183 43728	 * 	307.66	DCR|3VULN|3LIT|2TLV|1ASPD	1MBVNT|269LIT|359VULN|4ASPD|7ERES|89TLV|9BPWR|aRCR
2	32362 23451	 * 	307.10	DCR|DCR|3VULN|1TLV|1DMG	1MBVNT|2RMIN|3DMG|457VULN|6RCVC|8aRCR|9TLV
3	33183 24321	 * 	302.47	DCR|5VULN|3LIT|3ASPD	1MBVNT|289LIT|35789VULN|489ASPD|6BBNT|89BPWR|aRCR
4	35583 24321	   	302.47	DCR|5VULN|3LIT|3ASPD	1MBVNT|25789VULN|389LIT|489ASPD|6BBNT|89BPWR|aRCR
5	34114 27447	 * 	302.28	DCR|DCR|2LIT|1TLV|1DMG|1ASPD	1MBVNT|2MDPS|3DMG|4DUR|5ASPD|67RCR|89LIT|aTLV
6	42233 13111	 * 	302.06	DCR|3VULN|3TLV|3LIT	1RMIN|279TLV|39aLIT|4AART|5RCVC|69aVULN|8RCR|9aBPWR
7	42235 23111	   	302.06	DCR|3VULN|3TLV|3LIT	1RMIN|279TLV|39aLIT|4AART|59aVULN|6DMSP|8RCR|9aBPWR
8	42235 53111	   	302.06	DCR|3VULN|3TLV|3LIT	1RMIN|279TLV|39aLIT|4AART|59aVULN|6RCVC|8RCR|9aBPWR
9	36863 41433	 * 	291.85	DCR|3VULN|2TLV|1MLV|1RPLT|2DUR	1MBVNT|27DUR|3RPLT|4LWND|57aVULN|67TLV|7BPWR|8MLV|9RCR
10	36823 41433	   	291.75	DCR|3VULN|2TLV|1MLV|1RPLT|2DUR	1MBVNT|27DUR|3RPLT|4LEGI|57aVULN|67TLV|7BPWR|8MLV|9RCR
11	31714 48128	 * 	290.85	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1MBVNT|2BELT|3ZMB|4DMG|5DMSP|68RCR|7LIT|9TLV|aVULN
12	34114 27434	   	290.27	DCR|DCR|1TLV|1LIT|1DMG|1ASPD	1MBVNT|2MDPS|3DMG|4DUR|5ASPD|67RCR|8LIT|9AART|aTLV
13	34114 27477	   	289.74	DCR|DCR|1TLV|1LIT|1DMG|2DUR|1ASPD	1MBVNT|2MDPS|3DMG|49DUR|5ASPD|67RCR|8LIT|aTLV
14	33183 38412	   	289.30	DCR|3VULN|2LIT|1TLV|1DMG|1ASPD	1MBVNT|2aLIT|357VULN|4ASPD|6TLV|8RCR|9DMG
15	35228 63123	   	288.11	DCR|DCR|2VULN|1TLV|1CDMG	1MBVNT|24VULN|3ERES|5TLV|6BEXP|7DUR|8aRCR|9CDMG
16	35284 25123	   	288.11	DCR|DCR|2VULN|1TLV|1CDMG	1MBVNT|27VULN|3ERES|4FEWX|5TLV|6DUR|8aRCR|9CDMG
17	35722 63123	   	288.11	DCR|DCR|2VULN|1TLV|1CDMG	1MBVNT|24VULN|3TLV|5ERES|6BEXP|7DUR|8aRCR|9CDMG
18	35727 43123	   	288.11	DCR|DCR|2VULN|1TLV|1CDMG	1MBVNT|24VULN|3TLV|5FEWX|6ERES|7DUR|8aRCR|9CDMG
19	36224 15123	   	288.11	DCR|DCR|2VULN|1TLV|1CDMG	1MBVNT|2DUR|3ERES|47VULN|5TLV|6FEWX|8aRCR|9CDMG
20	36224 55123	   	288.11	DCR|DCR|2VULN|1TLV|1CDMG	1MBVNT|2DUR|3ERES|47VULN|5TLV|6BEXP|8aRCR|9CDMG
21	36234 45123	   	288.01	DCR|DCR|2VULN|1TLV|1CDMG	1MBVNT|2DUR|3ERES|4DUST|5TLV|67VULN|8aRCR|9CDMG
22	33221 27816	   	285.94	DCR|3LIT|2VULN|2TLV	1MBVNT|25aLIT|3TBNT|45TLV|5aBPWR|6aLWND|7RCR|8AART|9aVULN
23	33182 43728	   	285.52	DCR|3LIT|2VULN|2TLV|1ASPD	1MBVNT|269LIT|39VULN|4ASPD|5RCVC|7ERES|89TLV|9BPWR|aRCR
24	32362 22451	   	284.96	DCR|DCR|2VULN|1TLV|1DMG	1MBVNT|27RMIN|3DMG|45VULN|6RCVC|8aRCR|9TLV
25	32372 53451	   	284.86	DCR|DCR|2VULN|1TLV|1DMG	1MBVNT|2RMIN|3DMG|4AEFBLL|5RCVC|67VULN|8aRCR|9TLV
26	32373 23451	   	284.86	DCR|DCR|2VULN|1TLV|1DMG	1MBVNT|2RMIN|3DMG|4AEFBLL|57VULN|6RCVC|8aRCR|9TLV
27	42233 64113	   	284.74	DCR|3VULN|2TLV|2LIT	16RMIN|29TLV|39LIT|4AART|5RCVC|79aVULN|8RCR|9BPWR
28	33183 38415	 * 	284.36	DCR|3VULN|1TLV|1LIT|1MLV|1DMG|1ASPD	1MBVNT|2LIT|357VULN|4ASPD|6TLV|8RCR|9DMG|aMLV
29	33221 27562	 * 	283.41	DCR|3LIT|2TLV|1VULN|1MLV	1MBVNT|25aLIT|3TBNT|45TLV|5BPWR|6LWND|7RCR|8MLV|9VULN
30	33183 38723	   	283.12	DCR|3VULN|2TLV|1LIT|1ASPD|1CDMG	1MBVNT|2LIT|357VULN|4ASPD|68TLV|9RCR|aCDMG
31	42233 64112	   	282.66	DCR|2VULN|2TLV|2LIT|1DMG	16RMIN|29TLV|39LIT|4AART|5RCVC|79VULN|8RCR|9BPWR|aDMG
32	35784 43123	 * 	282.45	DCR|DCR|2TLV|1VULN|1CDMG	1MBVNT|2VULN|35TLV|4FEWX|6ERES|7DUR|8aRCR|9CDMG
33	34314 27447	   	282.22	DCR|DCR|2LIT|1TLV|1ASPD	1MBVNT|2MDPS|3ZMB|4DUR|5ASPD|67RCR|89LIT|aTLV
34	35724 22474	 * 	282.21	DCR|3VULN|2TLV|2ASPD|1MLV	1MBVNT|248VULN|38TLV|58ASPD|6RCVC|7RMIN|8BPWR|9MLV|aRCR
35	35734 22474	   	282.21	DCR|3VULN|2TLV|2ASPD|1MLV	1MBVNT|258VULN|38TLV|48ASPD|6RCVC|7RMIN|8BPWR|9MLV|aRCR
36	11246 43123	   	282.17	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1ZMB|2VULN|3TLV|4CGEN|5FEWX|6DMG|7DUR|8aRCR|9CDMG
37	61226 43123	   	282.17	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1CGEN|2VULN|3TLV|4AAC|5FEWX|6DMG|7DUR|8aRCR|9CDMG
38	34114 27162	   	281.97	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1MBVNT|2MDPS|3DMG|4DUR|5ASPD|67RCR|8LHND|9TLV|aVULN
39	34114 27322	   	281.97	DCR|DCR|1TLV|1LIT|1DMG|1ASPD	1MBVNT|2MDPS|3DMG|4DUR|5ASPD|67RCR|8TLV|9CGEN|aLIT
40	34114 27562	   	281.97	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1MBVNT|2MDPS|3DMG|4DUR|5ASPD|67RCR|8FEWX|9TLV|aVULN
41	34136 27262	   	281.97	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1MBVNT|2MDPS|3DMG|4ASPD|5FEWX|67RCR|8DUR|9TLV|aVULN
42	34114 27332	   	281.87	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1MBVNT|2MDPS|3DMG|4DUR|5ASPD|67RCR|8TLV|9DUST|aVULN
43	34114 27352	   	281.87	DCR|DCR|1TLV|1LIT|1DMG|1ASPD	1MBVNT|2MDPS|3DMG|4DUR|5ASPD|67RCR|8TLV|9AME|aLIT
44	34114 27382	   	281.87	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1MBVNT|2MDPS|3DMG|4DUR|5ASPD|67RCR|8TLV|9LEGI|aVULN
45	34114 27452	   	281.87	DCR|DCR|1TLV|1LIT|1DMG|1ASPD	1MBVNT|2MDPS|3DMG|4DUR|5ASPD|67RCR|8LIT|9ERES|aTLV
46	34114 27762	   	281.87	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1MBVNT|2MDPS|3DMG|4DUR|5ASPD|67RCR|8DUST|9TLV|aVULN
47	33227 47124	   	281.79	DCR|3VULN|2TLV|2LIT	1MBVNT|29LIT|3TBNT|49TLV|5LEGI|6BELT|79aVULN|8RCR|9BPWR
48	33176 41215	   	281.59	DCR|DCR|1TLV|1LIT|1VULN|2RPLT	1MBVNT|2LIT|3VULN|4DLOT|5LHND|69RPLT|7aRCR|8TLV
49	33177 41215	   	281.59	DCR|DCR|1TLV|1LIT|1VULN|2RPLT	1MBVNT|2LIT|3VULN|4DLOT|5LWND|69RPLT|7aRCR|8TLV
50	33178 41215	   	281.59	DCR|DCR|1TLV|1LIT|1VULN|2RPLT	1MBVNT|2LIT|3VULN|4DLOT|5FEWX|69RPLT|7aRCR|8TLV
51	33378 41215	   	281.59	DCR|DCR|1TLV|1LIT|1VULN|2RPLT	1MBVNT|2LIT|3LWND|4DLOT|5VULN|69RPLT|7aRCR|8TLV
52	33221 26283	 * 	280.80	DCR|3TLV|3LIT|2MLV	1MBVNT|259LIT|3TBNT|458TLV|59BPWR|69LWND|79MLV|aRCR
53	33221 87323	   	280.80	DCR|3TLV|3LIT|2MLV	1MBVNT|258LIT|3TBNT|458TLV|58BPWR|6RMIN|78MLV|9CGEN|aRCR
54	33221 87373	   	280.70	DCR|3TLV|3LIT|2MLV	1MBVNT|258LIT|3TBNT|458TLV|58BPWR|6RMIN|78MLV|9ERES|aRCR
55	42235 63112	   	279.82	DCR|3TLV|3LIT|2VULN	1RMIN|279TLV|369LIT|4AART|59VULN|8RCR|9BPWR|aZMB
56	42235 63111	   	279.72	DCR|3TLV|3LIT|2VULN	1RMIN|279TLV|369LIT|4AART|59VULN|8RCR|9BPWR|aAIRARM
57	42235 63113	   	279.72	DCR|3TLV|3LIT|2VULN	1RMIN|279TLV|369LIT|4AART|59VULN|8RCR|9BPWR|aDUST
58	33183 32412	 * 	279.61	DCR|2VULN|2LIT|1TLV|2ASPD|1DMG	1MBVNT|2aLIT|35VULN|47ASPD|6TLV|8RCR|9DMG
59	33188 38412	   	279.61	DCR|2VULN|2LIT|1TLV|2ASPD|1DMG	1MBVNT|2aLIT|37VULN|45ASPD|6TLV|8RCR|9DMG
60	35583 32412	   	279.61	DCR|2VULN|2LIT|1TLV|2ASPD|1DMG	1MBVNT|25VULN|3aLIT|47ASPD|6TLV|8RCR|9DMG
61	33221 27552	   	279.28	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	1MBVNT|25LIT|3TBNT|45TLV|5BPWR|6LWND|7RCR|8MLV|9CDMG|aVULN
62	33183 38721	   	279.13	DCR|3VULN|2TLV|1LIT|1ASPD	1MBVNT|2LIT|357VULN|4ASPD|68TLV|9RCR|aBBNT
63	33178 41235	   	278.99	DCR|DCR|1TLV|1LIT|1VULN	1MBVNT|2LIT|3VULN|4DLOT|5FEWX|6RPLT|7aRCR|8TLV|9DMSP
64	35611 27432	   	278.99	DCR|DCR|1TLV|1LIT|1VULN	1MBVNT|2VULN|3AEFBLL|45DMSP|68RCR|7TLV|9RPLT|aLIT
65	35644 23451	   	278.44	DCR|DCR|2VULN|1TLV|1ASPD	1MBVNT|27VULN|3AEFBLL|4RMIN|5ASPD|6RCVC|8aRCR|9TLV
66	35727 33123	   	278.34	DCR|DCR|2VULN|1TLV|1CDMG	1MBVNT|24VULN|3TLV|5FEWX|6DUST|7ERES|8aRCR|9CDMG
67	34254 45123	   	278.24	DCR|DCR|2VULN|1TLV|1CDMG	1MBVNT|2MDPS|3AEFBLL|4ERES|5TLV|67VULN|8aRCR|9CDMG
68	36823 41437	   	277.92	DCR|2VULN|2TLV|1MLV|1RPLT|2DUR	1MBVNT|27DUR|3RPLT|4LEGI|57VULN|67TLV|7BPWR|8MLV|9RCR|aAART
