0	Index      	 *	Score 	Summary	Detail	
1	31316 55321	 * 	233.61	ACR|3ASPD|1BASARM|2DMG|1AAC	18DMG|28TLV|3ZMB|4RCR|5BASARM|6RPLT|789ASPD|8BPWR|aAAC
2	31316 55322	   	225.30	ACR|3ASPD|1BASARM|2DMG	18DMG|28TLV|3ZMB|4RCR|5BASARM|6RPLT|789ASPD|8BPWR|aDUR
3	31316 55323	   	225.30	ACR|3ASPD|1BASARM|2DMG	18DMG|28TLV|3ZMB|4RCR|5BASARM|6RPLT|789ASPD|8BPWR|aRMIN
4	31316 15325	 * 	224.33	ACR|2BASARM|2ASPD|2DMG	18DMG|2TLV|38ZMB|4RCR|58BASARM|6RMIN|7RPLT|8BPWR|9aASPD
5	31316 16214	   	224.13	ACR|2BASARM|2ASPD|2DMG	1aDMG|289TLV|3ZMB|4RCR|5aBASARM|6RMIN|7aASPD|aBPWR
6	31316 15324	   	220.39	ACR|2BASARM|2DMG|1ASPD|1BEXP	18DMG|2TLV|38ZMB|4RCR|58BASARM|6RMIN|7RPLT|8BPWR|9ASPD|aBEXP
7	31316 33344	 * 	219.26	ACR|1BASARM|2DMG|2CDMG|1BEXP|1AART	19DMG|2TLV|39ZMB|4RCR|5BASARM|6VENFST|79CDMG|8AART|9BPWR|aBEXP
8	41156 33112	   	218.43	ACR|2BASARM|2ASPD|1CDMG|1AAC	1AAC|2RCR|3aZMB|4AME|5aBASARM|6VENFST|7CDMG|8aASPD|9DLOT|aBPWR
9	36236 11261	   	215.95	ACR|1BASARM|2DMG|1ASPD|1BEXP|1AAC	1aDMG|2LWND|3BEXP|4AAC|5RCR|6ASPD|7VULN|8LIT|9BASARM
10	31316 16343	 * 	215.02	ACR|1BASARM|1ASPD|1DMG|1BASICY|1AART	1DMG|2TLV|3ZMB|4RCR|5BASARM|6RMIN|7ASPD|8AART|9VULN|aBASICY
11	31316 32525	 * 	214.03	ACR|1BASARM|2DMG|2BASICY|1AART	1aDMG|2TLV|3aZMB|4RCR|5BASARM|6VENFST|7AART|8LEGI|9aBASICY|aBPWR
12	21124 52342	 * 	210.92	ACR|1BASARM|3BEXP|2VULN|1CDMG|1AAC	1CDMG|2TLV|346BEXP|5RCR|78VULN|9BASARM|aAAC
13	22124 52342	   	210.92	ACR|1BASARM|3BEXP|2VULN|1CDMG|1AAC	1CDMG|2AME|346BEXP|5RCR|78VULN|9BASARM|aAAC
14	31316 55331	   	209.65	ACR|1BASARM|2ASPD|2DMG	18DMG|28TLV|3ZMB|4RCR|5BASARM|6RPLT|78ASPD|8BPWR|9LWND|aRMIN
15	31316 55333	   	209.65	ACR|1BASARM|2ASPD|2DMG	18DMG|28TLV|3ZMB|4RCR|5BASARM|6RPLT|78ASPD|8BPWR|9LWND|aDUR
16	31316 55311	   	209.55	ACR|1BASARM|2ASPD|2DMG	18DMG|28TLV|3ZMB|4RCR|5BASARM|6RPLT|78ASPD|8BPWR|9VENICY|aLWND
17	31316 55332	   	209.55	ACR|1BASARM|2ASPD|2DMG	18DMG|28TLV|3ZMB|4RCR|5BASARM|6RPLT|78ASPD|8BPWR|9LWND|aSNIFST
18	31316 16242	   	209.45	ACR|1BASARM|2ASPD|2DMG	19DMG|28TLV|3ZMB|4RCR|5BASARM|6RMIN|7aASPD
19	31316 55312	   	209.45	ACR|1BASARM|2ASPD|2DMG	18DMG|28aTLV|3ZMB|4RCR|5BASARM|6RPLT|78ASPD|8BPWR|9VENICY
20	31316 55313	   	209.45	ACR|1BASARM|2ASPD|2DMG	18DMG|28TLV|3ZMB|4RCR|5BASARM|6RPLT|78ASPD|8BPWR|9VENICY|aSNIFST
21	31316 32124	 * 	209.40	ACR|3DMG|1BASARM|1AART|1AAC	18aDMG|2aTLV|3ZMB|4RCR|5BASARM|6aVENFST|7AART|9AAC|aBPWR
22	34316 32124	   	209.40	ACR|3DMG|1BASARM|1AART|1AAC	18aDMG|2aAME|3ZMB|4RCR|5BASARM|6aVENFST|7AART|9AAC|aBPWR
23	31316 15363	   	208.63	ACR|2BASARM|2DMG|1BEXP|1AAC	18DMG|2TLV|38ZMB|4RCR|58BASARM|6RMIN|7RPLT|8BPWR|9BEXP|aAAC
24	41362 11212	 * 	208.00	ACR|2ASPD|2DMG|2BEXP|1AAC	1AAC|2RCR|38AEMAG|48ASPD|5LIT|6aDMG|78BEXP|8BPWR|9ZMB
25	41362 11222	   	207.90	ACR|2ASPD|2DMG|2BEXP|1AAC	1AAC|2RCR|38AEMAG|48ASPD|5LIT|6aDMG|78BEXP|8BPWR|9TLV
26	31316 33334	 * 	207.61	ACR|1BASARM|2AART|1DMG|1BEXP|1CDMG	1DMG|2TLV|3ZMB|4RCR|5BASARM|6VENFST|7CDMG|89AART|aBEXP
27	34316 33334	   	207.61	ACR|1BASARM|2AART|1DMG|1BEXP|1CDMG	1DMG|2AME|3ZMB|4RCR|5BASARM|6VENFST|7CDMG|89AART|aBEXP
28	41512 35323	 * 	207.56	ACR|2DMG|3VULN|2CDMG|1BEXP|1AAC	1AAC|2RCR|39aVULN|4MLV|59CDMG|6BEXP|7LIT|89DMG|9BPWR
29	41521 32218	 * 	207.42	ACR|2ASPD|2DMG|2VULN|2AAC	16AAC|2RCR|3aVULN|4RPLT|5LHND|7aDMG|8aASPD|9MBVNT|aBPWR
30	41232 16161	   	206.85	ACR|1BASARM|1DMG|1AART|1CDMG|1AAC	1AAC|2RCR|3TLV|4LHND|5CDMG|6VULN|7AART|8BASARM|9DMG|aLIT
31	41232 16162	   	206.85	ACR|1BASARM|1DMG|1AART|1CDMG|1AAC	1AAC|2RCR|3TLV|4LHND|5CDMG|6VULN|7AART|8BASARM|9DMG|aFEWX
32	41232 16163	   	206.85	ACR|1BASARM|1DMG|1AART|1CDMG|1AAC	1AAC|2RCR|3TLV|4LHND|5CDMG|6VULN|7AART|8BASARM|9DMG|aRMIN
33	41156 32131	   	206.75	ACR|1BASARM|1DMG|1AART|1CDMG|1AAC	1AAC|2RCR|3ZMB|4AME|5BASARM|6VENFST|7AART|8DMG|9VULN|aCDMG
34	41232 16141	   	206.75	ACR|1BASARM|1ASPD|1AART|1CDMG|1AAC	1AAC|2RCR|3TLV|4LHND|5CDMG|6VULN|7AART|8BASARM|9AEMAG|aASPD
35	31316 15322	   	206.74	ACR|2BASARM|2DMG|1ASPD	18DMG|2TLV|38ZMB|4RCR|58BASARM|6RMIN|7RPLT|8BPWR|9ASPD|aDUR
36	31316 15323	   	206.74	ACR|2BASARM|2DMG|1ASPD	18DMG|2TLV|38ZMB|4RCR|58BASARM|6aRMIN|7RPLT|8BPWR|9ASPD
37	31316 15326	   	206.74	ACR|2BASARM|2DMG|1ASPD	18DMG|2TLV|38ZMB|4RCR|58BASARM|6RMIN|7RPLT|8BPWR|9ASPD|aLWND
38	34316 15322	   	206.74	ACR|2BASARM|2DMG|1ASPD	18DMG|2AME|38ZMB|4RCR|58BASARM|6RMIN|7RPLT|8BPWR|9ASPD|aDUR
39	34316 15323	   	206.74	ACR|2BASARM|2DMG|1ASPD	18DMG|2AME|38ZMB|4RCR|58BASARM|6aRMIN|7RPLT|8BPWR|9ASPD
40	31316 15321	   	206.64	ACR|2BASARM|2DMG|1ASPD	18DMG|2TLV|38ZMB|4RCR|58BASARM|6RMIN|7RPLT|8BPWR|9ASPD|aERES
41	34316 15321	   	206.64	ACR|2BASARM|2DMG|1ASPD	18DMG|2AME|38ZMB|4RCR|58BASARM|6RMIN|7RPLT|8BPWR|9ASPD|aERES
42	41522 33232	 * 	206.24	ACR|3VULN|2BEXP|1ASPD|2AAC|1CDMG	16AAC|2RCR|37aVULN|4RPLT|57BEXP|7BPWR|8ASPD|9CDMG
43	41533 43323	 * 	206.14	ACR|3VULN|2BEXP|1DMG|2AAC|1CDMG	14AAC|2RCR|39aVULN|57BEXP|6DMG|8CDMG
44	24633 11421	 * 	205.68	ACR|2BEXP|2AART|1ASPD|1DMG|2CDMG	16CDMG|2LWND|3RCR|4DMG|56BEXP|6BPWR|7RPLT|8ASPD|9aAART
45	31316 33341	   	205.61	ACR|1BASARM|2DMG|2CDMG|1AART	19DMG|2TLV|39ZMB|4RCR|5BASARM|6VENFST|79CDMG|8AART|9BPWR|aFEWX
46	31316 33345	   	205.61	ACR|1BASARM|2DMG|2CDMG|1AART	19DMG|2TLV|39ZMB|4RCR|5BASARM|6VENFST|79CDMG|8AART|9BPWR|aCGEN
47	34316 33341	   	205.61	ACR|1BASARM|2DMG|2CDMG|1AART	19DMG|2AME|39ZMB|4RCR|5BASARM|6VENFST|79CDMG|8AART|9BPWR|aFEWX
48	31316 16135	   	205.51	ACR|1BASARM|2ASPD|1DMG|1CDMG	1DMG|2TLV|3ZMB|4RCR|5BASARM|6RMIN|7aASPD|8LEGI|9CDMG
49	31316 16241	   	205.51	ACR|1BASARM|2DMG|1ASPD|1CDMG	19DMG|28TLV|3ZMB|4RCR|5BASARM|6RMIN|7ASPD|aCDMG
50	31316 33342	   	205.51	ACR|1BASARM|2DMG|2CDMG|1AART	19DMG|2TLV|39ZMB|4RCR|5BASARM|6VENFST|79CDMG|8AART|9BPWR|aMDPS
51	31316 33346	   	205.51	ACR|1BASARM|2DMG|2CDMG|1AART	19DMG|2TLV|39ZMB|4RCR|5BASARM|6VENFST|79CDMG|8AART|9BPWR|aMBVNT
52	34316 33342	   	205.51	ACR|1BASARM|2DMG|2CDMG|1AART	19DMG|2AME|39ZMB|4RCR|5BASARM|6VENFST|79CDMG|8AART|9BPWR|aMDPS
53	31316 33112	   	205.41	ACR|1BASARM|2ASPD|1DMG|1CDMG	1DMG|2aTLV|3ZMB|4RCR|5BASARM|6aVENFST|7CDMG|8aASPD|9DLOT|aBPWR
54	34316 33112	   	205.41	ACR|1BASARM|2ASPD|1DMG|1CDMG	1DMG|2aAME|3ZMB|4RCR|5BASARM|6aVENFST|7CDMG|8aASPD|9DLOT|aBPWR
55	41532 32115	 * 	204.78	ACR|3DMG|3VULN|3AAC	145AAC|2RCR|39aVULN|6LIT|79aDMG|89aERES|9aBPWR
56	24633 12225	 * 	204.49	ACR|3BEXP|1ASPD|1DMG|2CDMG|1AART	16CDMG|2LWND|3RCR|4DMG|56aBEXP|6BPWR|7LHND|8ASPD|9AART
57	24633 12216	 * 	204.11	ACR|2ASPD|2BEXP|2CDMG|1DMG	16CDMG|2LWND|3RCR|4DMG|56BEXP|6BPWR|7LHND|8aASPD|9VULN
