0	Index      	 *	Score 	Summary	Detail	
1	12336 46312	 * 	299.75	ACR|2BASARM|3ASPD|2VULN|3BEXP|1DMG	149ASPD|24aBEXP|3RCR|49BPWR|59BASARM|6CGEN|7DMG|89VULN
2	12336 46311	   	288.48	ACR|2BASARM|3ASPD|2VULN|2BEXP|1DMG	149ASPD|24BEXP|3RCR|49BPWR|59BASARM|6CGEN|7DMG|89VULN|aBELT
3	12336 46313	   	288.48	ACR|2BASARM|3ASPD|2VULN|2BEXP|1DMG	149ASPD|24BEXP|3RCR|49BPWR|59BASARM|6CGEN|7DMG|89VULN|aMLV
4	12336 33166	 * 	286.01	ACR|3ASPD|3DMG|1BASARM|3BEXP	14aASPD|24aBEXP|3RCR|4aBPWR|5BASARM|6ZMB|7RMIN|89aDMG
5	12336 53216	 * 	281.98	ACR|2BASARM|3ASPD|2DMG|2BEXP	14aASPD|24BEXP|3RCR|4aBPWR|5aBASARM|6DUR|7LIT|8aDMG|9AAC
6	12336 34123	   	281.88	ACR|2BASARM|3ASPD|2DMG|2BEXP	14aASPD|24BEXP|3RCR|4aBPWR|5aBASARM|6ZMB|7TLV|8aDMG|9AAC
7	12336 11515	   	281.60	ACR|2BASARM|3ASPD|3BEXP|1VULN|1AART	147ASPD|247BEXP|3RCR|47BPWR|57BASARM|6MDPS|8CGEN|9VULN|aAART
8	12336 11126	   	280.90	ACR|2BASARM|3ASPD|3BEXP|1DMG|1CDMG	147ASPD|247BEXP|3RCR|47BPWR|57BASARM|6MDPS|8LWND|9DMG|aCDMG
9	12336 11326	   	280.90	ACR|2BASARM|3ASPD|3BEXP|1DMG|1CDMG	147ASPD|247BEXP|3RCR|47BPWR|57BASARM|6MDPS|8DUR|9DMG|aCDMG
10	12336 11216	   	279.50	ACR|2BASARM|3ASPD|3BEXP|1VULN|1CDMG	147ASPD|247BEXP|3RCR|47BPWR|57BASARM|6MDPS|8TLV|9VULN|aCDMG
11	12336 46123	   	278.56	ACR|3ASPD|1BASARM|3BEXP|2DMG	14aASPD|24aBEXP|3RCR|4aBPWR|5BASARM|6CGEN|7aDMG|8NUKE|9AAC
12	12336 42163	   	275.88	ACR|2BASARM|3ASPD|2DMG|2BEXP	14aASPD|24BEXP|3RCR|4aBPWR|5aBASARM|6CGEN|7RCVC|8LWND|9aDMG
13	12336 42363	   	275.88	ACR|2BASARM|3ASPD|2DMG|2BEXP	14aASPD|24BEXP|3RCR|4aBPWR|5aBASARM|6CGEN|7RCVC|8FEWX|9aDMG
14	12336 42263	   	275.78	ACR|2BASARM|3ASPD|2DMG|2BEXP	14aASPD|24BEXP|3RCR|4aBPWR|5aBASARM|6CGEN|7RCVC|8DUST|9aDMG
15	12336 33263	   	273.67	ACR|2BASARM|3ASPD|2DMG|2BEXP	14aASPD|24BEXP|3RCR|4aBPWR|5aBASARM|6ZMB|7RMIN|8MLV|9aDMG
16	12336 33463	   	273.67	ACR|2BASARM|3ASPD|2DMG|2BEXP	14aASPD|24BEXP|3RCR|4aBPWR|5aBASARM|6ZMB|7RMIN|8CGEN|9aDMG
17	12336 51363	   	273.67	ACR|2BASARM|3ASPD|2DMG|2BEXP	14aASPD|24BEXP|3RCR|4aBPWR|5aBASARM|6DUR|7MLV|8DMSP|9aDMG
18	12336 24421	   	273.57	ACR|2BASARM|3ASPD|2DMG|2BEXP	149ASPD|24BEXP|3RCR|49BPWR|59BASARM|6SNIHEL|7LHND|89DMG|aCGEN
19	12336 33363	   	273.57	ACR|2BASARM|3ASPD|2DMG|2BEXP	14aASPD|24BEXP|3RCR|4aBPWR|5aBASARM|6ZMB|7RMIN|8ERES|9aDMG
20	12336 43363	   	273.57	ACR|2BASARM|3ASPD|2DMG|2BEXP	14aASPD|24BEXP|3RCR|4aBPWR|5aBASARM|6CGEN|7DUST|8DMSP|9aDMG
21	12336 24422	   	273.47	ACR|2BASARM|3ASPD|2DMG|2BEXP	149ASPD|24BEXP|3RCR|49BPWR|59BASARM|6SNIHEL|7LHND|89DMG|aDUST
22	12336 24423	   	273.47	ACR|2BASARM|3ASPD|2DMG|2BEXP	149ASPD|24BEXP|3RCR|49BPWR|59BASARM|6SNIHEL|7LHND|89DMG|aMDPS
23	12336 11235	   	273.16	ACR|2BASARM|3ASPD|3BEXP|1VULN	147ASPD|247BEXP|3RCR|47BPWR|57BASARM|6MDPS|8TLV|9AAC|aVULN
24	12336 61613	 * 	272.00	ACR|3ASPD|3VULN|1BASARM|3BEXP	149ASPD|249BEXP|3RCR|49BPWR|5BASARM|6TLV|79aVULN|8RMIN
25	12336 36333	   	270.15	ACR|3ASPD|1BASARM|3BEXP|2DMG	148ASPD|249BEXP|3RCR|4BPWR|5BASARM|6ZMB|7aDMG
