0	Index      	 *	Score 	Summary	Detail	
1	43252 61232	 * 	210.57	ACR|3DMG|2ASPD|1VULN|1AART	1RPLT|27AME|37ASPD|4RCR|5AART|67aDMG|7BPWR|8VULN|9LWND
2	43252 61231	   	201.96	ACR|2ASPD|2DMG|1VULN|1AART|1AAC	1RPLT|27AME|37ASPD|4RCR|5AART|67DMG|7BPWR|8VULN|9LWND|aAAC
3	43252 33142	 * 	196.53	ACR|1BASARM|1VULN|2AART|1ASPD	1RPLT|2AME|3ASPD|4RCR|5aAART|6SPLREG|7VULN|8MDPS|9BASARM
4	43252 32231	   	196.46	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1RPLT|2AME|3ASPD|4RCR|5AART|6SPLREG|7CGEN|8BEXP|9VULN|aBASARM
5	45252 32231	   	196.46	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1RPLT|2ERES|3ASPD|4RCR|5AART|6SPLREG|7CGEN|8BEXP|9VULN|aBASARM
6	46252 32231	   	196.46	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1RPLT|2TLV|3ASPD|4RCR|5AART|6SPLREG|7CGEN|8BEXP|9VULN|aBASARM
7	46252 33133	   	196.36	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1RPLT|2TLV|3ASPD|4RCR|5AART|6SPLREG|7VULN|8MDPS|9BASARM|aBEXP
8	46252 33132	 * 	196.24	ACR|1BASARM|2VULN|1ASPD|1AART	1RPLT|2TLV|3ASPD|4RCR|5AART|6SPLREG|7aVULN|8MDPS|9BASARM
9	43252 61212	   	193.66	ACR|2ASPD|2DMG|1VULN|1AART	1RPLT|27AME|37ASPD|4RCR|5AART|67DMG|7BPWR|8VULN|9ZMB|aCGEN
10	43252 61222	   	193.66	ACR|2ASPD|2DMG|1VULN|1AART	1RPLT|27AME|37ASPD|4RCR|5AART|67DMG|7BPWR|8VULN|9MLV|aCGEN
11	43252 61233	   	193.66	ACR|2ASPD|2DMG|1VULN|1AART	1RPLT|27AME|37ASPD|4RCR|5AART|67DMG|7BPWR|8VULN|9LWND|aLHND
12	43252 61211	   	193.56	ACR|2ASPD|2DMG|1VULN|1AART	1RPLT|27aAME|37ASPD|4RCR|5AART|67DMG|7BPWR|8VULN|9ZMB
13	43252 61213	   	193.56	ACR|2ASPD|2DMG|1VULN|1AART	1RPLT|27AME|37ASPD|4RCR|5AART|67DMG|7BPWR|8VULN|9ZMB|aTLV
14	43252 61221	   	193.56	ACR|2ASPD|2DMG|1VULN|1AART	1RPLT|27aAME|37ASPD|4RCR|5AART|67DMG|7BPWR|8VULN|9MLV
15	43252 61223	   	193.56	ACR|2ASPD|2DMG|1VULN|1AART	1RPLT|27AME|37ASPD|4RCR|5AART|67DMG|7BPWR|8VULN|9MLV|aTLV
16	43252 61133	   	190.41	ACR|3DMG|2ASPD|1AART	1RPLT|27AME|37ASPD|4RCR|5AART|67aDMG|7BPWR|8ERES|9DMSP
