0	Index      	 *	Score 	Summary	Detail	
1	23141 13562	 * 	230.14	ACR|1BASARM|2VULN|2AART|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|68AART|7BASARM|9aVULN
2	23141 13516	 * 	228.26	ACR|1BASARM|3AART|1DMG|1CDMG|1BEXP	1DMSP|2BELT|3CDMG|4RCR|5BEXP|68aAART|7BASARM|9DMG
3	23141 13112	 * 	227.43	ACR|1BASARM|1ASPD|1AART|1VULN|1BEXP|1CDMG|1AAC	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9AAC|aVULN
4	42141 13112	   	227.43	ACR|1BASARM|1ASPD|1AART|1VULN|1BEXP|1CDMG|1AAC	12BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9AAC|aVULN
5	23141 13113	 * 	226.25	ACR|1BASARM|2ASPD|1AART|1BEXP|1CDMG|1AAC	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8aASPD|9AAC
6	42141 13113	   	226.25	ACR|1BASARM|2ASPD|1AART|1BEXP|1CDMG|1AAC	12BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8aASPD|9AAC
7	23141 13252	 * 	225.53	ACR|1BASARM|2VULN|2BEXP|1AART|1CDMG	1DMSP|2BELT|3CDMG|4RCR|59BEXP|6AART|7BASARM|8aVULN
8	42141 13252	   	225.53	ACR|1BASARM|2VULN|2BEXP|1AART|1CDMG	12BELT|3CDMG|4RCR|59BEXP|6AART|7BASARM|8aVULN
9	23141 13254	 * 	224.16	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1DMSP|2BELT|3CDMG|4RCR|59aBEXP|6AART|7BASARM|8VULN
10	23141 13114	 * 	223.50	ACR|1BASARM|2BEXP|1ASPD|1AART|1CDMG|1AAC	1DMSP|2BELT|3CDMG|4RCR|5aBEXP|6AART|7BASARM|8ASPD|9AAC
11	42141 13114	   	223.50	ACR|1BASARM|2BEXP|1ASPD|1AART|1CDMG|1AAC	12BELT|3CDMG|4RCR|5aBEXP|6AART|7BASARM|8ASPD|9AAC
12	23141 13121	   	219.12	ACR|1BASARM|1ASPD|1AART|1VULN|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9RPLT|aVULN
13	23141 13152	   	219.12	ACR|1BASARM|1ASPD|1AART|1VULN|1BEXP|1CDMG	1DMSP|2BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9RMIN|aVULN
14	42141 13121	   	219.12	ACR|1BASARM|1ASPD|1AART|1VULN|1BEXP|1CDMG	12BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9RPLT|aVULN
15	42141 13152	   	219.12	ACR|1BASARM|1ASPD|1AART|1VULN|1BEXP|1CDMG	12BELT|3CDMG|4RCR|5BEXP|6AART|7BASARM|8ASPD|9RMIN|aVULN
