0	Index      	 *	Score 	Summary	Detail	
1	13132 26262	 * 	227.65	ACR|1BASARM|2VULN|2BEXP|1ASPD|1CDMG	16BEXP|2ZMB|3RCR|49VULN|5BELT|7BASARM|8CDMG|aASPD
2	13136 52131	 * 	223.79	ACR|2VULN|3ASPD|2BEXP|1DMG	18BEXP|28ZMB|3RCR|46VULN|5CGEN|789ASPD|8BPWR|aDMG
3	13122 52131	   	223.79	ACR|3ASPD|2VULN|2BEXP|1DMG	18BEXP|28ZMB|3RCR|4CGEN|56VULN|789ASPD|8BPWR|aDMG
4	13131 52131	   	223.69	ACR|2VULN|3ASPD|2BEXP|1DMG	18BEXP|28ZMB|3RCR|46VULN|5ERES|789ASPD|8BPWR|aDMG
5	13162 52131	   	223.69	ACR|3ASPD|2VULN|2BEXP|1DMG	18BEXP|28ZMB|3RCR|4ERES|56VULN|789ASPD|8BPWR|aDMG
6	13134 56333	 * 	221.98	ACR|3VULN|1BASARM|2BEXP|1ASPD	16BEXP|2ZMB|3RCR|478VULN|5LEGI|9ASPD|aBASARM
7	63133 26162	 * 	215.97	ACR|3VULN|3ASPD|1BEXP|1CDMG	189ASPD|2DUR|3RCR|489VULN|5CDMG|6BEXP|789ZMB|89BPWR|aRMIN
8	63133 26161	   	215.87	ACR|3VULN|3ASPD|1BEXP|1CDMG	189ASPD|2DUR|3RCR|489VULN|5CDMG|6BEXP|789ZMB|89BPWR|aAEFBLL
9	63133 26163	   	215.87	ACR|3VULN|3ASPD|1BEXP|1CDMG	189ASPD|2DUR|3RCR|489VULN|5CDMG|6BEXP|789ZMB|89BPWR|aSPLARM
10	13132 26264	   	215.66	ACR|3VULN|1BASARM|2BEXP|1CDMG	16BEXP|2ZMB|3RCR|49aVULN|5BELT|7BASARM|8CDMG
11	13133 46513	 * 	215.09	ACR|2VULN|1BASARM|1DMG|1BEXP|1AART	1BEXP|2ZMB|3RCR|46VULN|5LIT|7ERES|8BASARM|9DMG|aAART
12	13513 52131	   	213.79	ACR|2VULN|3ASPD|2BEXP|1DMG	18BEXP|28ZMB|3MLV|46VULN|5RCR|789ASPD|8BPWR|aDMG
13	13134 54232	 * 	212.89	ACR|2VULN|3BEXP|2ASPD|1AART	167BEXP|2aZMB|3RCR|4aVULN|5LEGI|8AART|9aASPD|aBPWR
14	15313 26333	   	212.18	ACR|3VULN|1BASARM|2BEXP|1ASPD	13BEXP|23FEWX|3BPWR|478VULN|5RCR|6ZMB|9ASPD|aBASARM
15	15313 52313	   	212.18	ACR|3VULN|1BASARM|2BEXP|1ASPD	13BEXP|23FEWX|3BPWR|468VULN|5RCR|7ASPD|9RMIN|aBASARM
16	15513 52313	   	212.08	ACR|3VULN|1BASARM|2BEXP|1ASPD	13BEXP|2FEWX|468VULN|5RCR|7ASPD|9RMIN|aBASARM
