0	Index      	 *	Score 	Summary	Detail	
1	55235 13311	 * 	205.35	ACR|2ASPD|3AART|1VULN|1DMG	159AART|2RMIN|3RCR|4LHND|6aASPD|7VULN|8DMG
2	61311 34234	 * 	204.65	ACR|1BASARM|2ASPD|2DMG	1VENTOX|2aASPD|39DMG|4LWND|5RCR|6DUR|7ZMB|8BASARM
3	21325 43632	 * 	203.29	ACR|2DMG|1VULN|2BEXP|1ASPD|1AART	1LIT|2CGEN|3VULN|4RCR|5AART|6ASPD|78BEXP|9aDMG
4	22225 43632	   	203.29	ACR|2DMG|1VULN|2BEXP|1ASPD|1AART	1LIT|2VULN|3CGEN|4RCR|5AART|6ASPD|78BEXP|9aDMG
5	55231 32136	 * 	201.64	ACR|2VULN|1BASARM|1DMG|1AART	1AART|2RMIN|3RCR|46LHND|56VULN|6BPWR|7MLV|8BASARM|9BELT|aDMG
6	61213 63236	 * 	201.30	DCR|3DMG|1BASARM|2BEXP|1ASPD	17VENTOX|2ASPD|3MDPS|4RMIN|57BEXP|679DMG|7BPWR|8BASARM|aRCR
7	61341 34233	   	200.61	ACR|1BASARM|2DMG|1ASPD|1AART	1VENTOX|2ASPD|39DMG|4DUST|5RCR|6DUR|7ZMB|8BASARM|aAART
8	21462 25312	 * 	197.70	ACR|2BASARM|1VULN|1DMG|1AART	18LIT|28CGEN|3MDPS|4RCR|5VULN|6LWND|78BASARM|8BPWR|9DMG|aAART
9	55231 31311	 * 	196.55	ACR|2VULN|3AART|1ASPD|1BEXP	189AART|2RMIN|3RCR|46LHND|56VULN|6BPWR|7BEXP|aASPD
10	55231 43311	   	196.45	ACR|2VULN|3AART|1ASPD|1BEXP	189AART|2RMIN|3RCR|4LHND|57VULN|6BEXP|aASPD
11	55235 21211	   	196.45	ACR|2VULN|3AART|1ASPD|1BEXP	159AART|2RMIN|3RCR|4LHND|68VULN|7BEXP|aASPD
12	61311 51322	 * 	195.55	ACR|2ASPD|2VULN|2BEXP|1DMG|1SELL	1VENTOX|2aASPD|3DMG|4LWND|5RCR|6SELL|7aBEXP|8MLV|9aVULN|aBPWR
13	55235 22122	 * 	195.32	ACR|1BASARM|1VULN|2AART|1CDMG	15AART|2RMIN|3RCR|4LHND|6VULN|7MLV|8BASARM|9TLV|aCDMG
14	55231 32122	   	195.13	ACR|2VULN|1BASARM|1CDMG|1AART	1AART|2RMIN|3RCR|46LHND|56VULN|6BPWR|7MLV|8BASARM|9TLV|aCDMG
15	22254 53213	 * 	194.82	DCR|3VULN|3ASPD|1DMG|2CDMG	17LIT|267VULN|3CGEN|49CDMG|567ASPD|67BPWR|8DMG|aRCR
16	33141 27262	 * 	193.60	ACR|1BASARM|2BEXP|1VULN|1BASICY	1DUST|2SNIHEL|39BEXP|4RCR|5VULN|6MBVNT|7FEWX|8BASICY|aBASARM
17	21325 43223	   	193.57	ACR|2VULN|2AART|1ASPD|1CDMG|1BEXP	1LIT|2CGEN|39VULN|4RCR|5aAART|6ASPD|7BEXP|8CDMG
18	22225 43223	   	193.57	ACR|2VULN|2AART|1ASPD|1CDMG|1BEXP	1LIT|29VULN|3CGEN|4RCR|5aAART|6ASPD|7BEXP|8CDMG
