0	Index      	 *	Score 	Summary	Detail	
1	13643 32214	 * 	320.22	DCR|4VULN|2TLV|1DMG|1ASPD|1AART	15TLV|2345VULN|5BPWR|6AART|7ASPD|8AAC|9DMG|aRCR
2	13643 31135	 * 	318.40	DCR|5VULN|2TLV|1ASPD|1AART	15TLV|2345aVULN|5BPWR|6AART|7SPLARM|8ASPD|9RCR
3	13643 23363	 * 	307.40	DCR|5VULN|3TLV	15aTLV|23457VULN|5BPWR|6NUKE|8LHND|9RCR
4	13643 31235	   	304.75	DCR|5VULN|2TLV|1AART	15TLV|2345aVULN|5BPWR|6AART|7SPLARM|8AAC|9RCR
5	13626 31136	 * 	301.77	DCR|3VULN|2TLV|3ASPD	18TLV|238VULN|4FEWX|5DUR|678ASPD|8BPWR|9AAC|aRCR
6	13636 31136	   	301.77	DCR|3VULN|2TLV|3ASPD	18TLV|238VULN|4BEXP|5DUR|678ASPD|8BPWR|9AAC|aRCR
7	13626 31123	   	301.67	DCR|3VULN|2TLV|3ASPD	18TLV|238VULN|4FEWX|5DUR|678ASPD|8BPWR|9VENICY|aRCR
8	13636 31123	   	301.67	DCR|3VULN|2TLV|3ASPD	18TLV|238VULN|4BEXP|5DUR|678ASPD|8BPWR|9VENICY|aRCR
9	13643 23263	   	300.68	DCR|5VULN|2TLV	15TLV|23457VULN|5BPWR|6NUKE|8BEXP|9RCR|aFLTARM
10	13643 31132	   	300.06	DCR|4VULN|2TLV|1ASPD|1AART	15TLV|2345VULN|5BPWR|6AART|7SPLARM|8ASPD|9RCR|aBELT
11	13643 31133	   	300.06	DCR|4VULN|2TLV|1ASPD|1AART	15TLV|2345VULN|5BPWR|6AART|7SPLARM|8ASPD|9RCR|aRPLT
12	13643 31131	   	299.96	DCR|4VULN|2TLV|1ASPD|1AART|1SELL	15TLV|2345VULN|5BPWR|6AART|7SPLARM|8ASPD|9RCR|aSELL
13	13643 31136	   	299.96	DCR|4VULN|2TLV|1ASPD|1AART|1MSE	15TLV|2345VULN|5BPWR|6AART|7SPLARM|8ASPD|9RCR|aMSE
14	13453 32521	 * 	299.87	ACR|DCR|1TLV|1VULN|1DMG|1CDMG|1AART	1TLV|2VULN|3AART|4AME|58RCR|6CDMG|7DUR|9LWND|aDMG
15	13453 32531	   	299.77	ACR|DCR|1TLV|1VULN|1DMG|1CDMG|1AART	1TLV|2VULN|3AART|4AME|58RCR|6CDMG|7DUR|9DUST|aDMG
16	13415 41112	   	298.97	DCR|3VULN|2TLV|2AEBURN|1CDMG|1AART	1aTLV|27aVULN|3AART|4CDMG|5AEFRZ|6RCR|8AETHUN|9aAEBURN|aBPWR
17	13643 11126	   	298.82	DCR|4VULN|2TLV|1CDMG	15TLV|2345VULN|5BPWR|6LIT|7RMIN|8CDMG|9DUR|aRCR
18	13643 52333	   	298.72	DCR|4VULN|2TLV|2RAT	15TLV|2345VULN|5BPWR|6TSLHEL|79RAT|8DUR|aRCR
19	33621 16253	 * 	296.15	ACR|DCR|2TLV|1VULN|1ASPD|1AART	1CANTOX|2ASPD|3AART|47RCR|5aTLV|6SPLREG|8VULN|9BEXP
20	13256 42233	   	294.14	DCR|3VULN|2TLV|1DMG|1AEBURN|1SELL	14TLV|28aVULN|3MDPS|5SELL|6DMG|7AEBURN|9RCR
21	13643 62333	   	293.85	DCR|5VULN|2TLV	15TLV|2345aVULN|5BPWR|6RPLT|7LHND|8AME|9RCR
22	13643 23262	   	293.75	DCR|5VULN|2TLV	15TLV|23457VULN|5BPWR|6NUKE|8BEXP|9RCR|aLHND
23	13643 23161	   	293.65	DCR|5VULN|2TLV	15TLV|23457VULN|5BPWR|6NUKE|8RMIN|9DLOT|aRCR
24	13643 23232	   	293.65	DCR|5VULN|2TLV	15TLV|23457VULN|5BPWR|6NUKE|8BEXP|9MDPS|aRCR
25	13643 23261	   	293.65	DCR|5VULN|2TLV	15TLV|23457VULN|5BPWR|6NUKE|8BEXP|9RCR|aMULARM
26	13643 23332	   	293.65	DCR|5VULN|2TLV	15TLV|23457VULN|5BPWR|6NUKE|8LHND|9MDPS|aRCR
27	13643 23361	   	293.65	DCR|5VULN|2TLV	15TLV|23457VULN|5BPWR|6NUKE|8LHND|9RCR|aMULARM
28	13643 23362	   	293.65	DCR|5VULN|2TLV	15TLV|23457VULN|5BPWR|6NUKE|8LHND|9RCR|aLEGI
29	13643 24133	   	293.55	DCR|5VULN|2TLV	15TLV|2345aVULN|5BPWR|6NUKE|7VENFST|8DLOT|9RCR
30	13453 32513	   	293.36	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG|1AART	1TLV|2VULN|3AART|4AME|58RCR|6CDMG|7DUR|9MDPS|aASPD
31	13622 31136	   	292.10	DCR|3VULN|2TLV|3ASPD	18TLV|238VULN|4FEWX|5BEXP|678ASPD|8BPWR|9AAC|aRCR
32	13622 31123	   	292.00	DCR|3VULN|2TLV|3ASPD	18TLV|238VULN|4FEWX|5BEXP|678ASPD|8BPWR|9VENICY|aRCR
