0	Index      	 *	Score 	Summary	Detail	
1	31354 26332	 * 	338.21	ACR|DCR|2TLV|2VULN|1DMG	1DUR|2DMG|38RCR|4RAT|56VULN|7AME|9aTLV
2	34354 13331	   	331.80	ACR|DCR|2TLV|2VULN|1ASPD	1DUR|29TLV|38RCR|4RAT|57VULN|6ASPD|aMLV
3	34354 13333	   	331.80	ACR|DCR|2TLV|2VULN|1ASPD	1DUR|29TLV|38RCR|4RAT|57VULN|6ASPD|aAME
4	34354 13332	   	331.70	ACR|DCR|2TLV|2VULN|1ASPD	1DUR|29TLV|38RCR|4RAT|57VULN|6ASPD|aAEWIND
5	13416 51231	 * 	323.35	ACR|DCR|3VULN|1TLV|1CDMG	1CDMG|2BEXP|368VULN|4aRCR|5FEWX|7DUR|9TLV
6	34354 13311	   	319.25	ACR|DCR|2VULN|1TLV|1ASPD|1CDMG	1DUR|2TLV|38RCR|4RAT|57VULN|6ASPD|9LWND|aCDMG
7	34354 13323	   	319.15	ACR|DCR|2VULN|1TLV|1ASPD|2RAT	1DUR|2TLV|38RCR|4aRAT|57VULN|6ASPD|9FRZICY
8	13211 24231	   	318.72	ACR|DCR|2VULN|1TLV|1AEBURN|1CDMG	1CDMG|2BEXP|3DUR|4aRCR|5AEBURN|68VULN|7FEWX|9TLV
9	13411 12213	   	318.72	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1CDMG|2BEXP|38VULN|4aRCR|5TLV|6LWND|7DMG|9DUR
10	13416 62213	   	318.72	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1CDMG|2BEXP|38VULN|4aRCR|5FEWX|6TLV|7DMG|9DUR
11	16211 24231	   	318.62	ACR|DCR|2VULN|1TLV|1AEBURN|1CDMG	1CDMG|2DUST|3DUR|4aRCR|5AEBURN|68VULN|7FEWX|9TLV
12	16211 26231	   	318.62	ACR|DCR|2VULN|1TLV|1AEBURN|1CDMG	1CDMG|2DUST|3DUR|4aRCR|5AEBURN|68VULN|7BEXP|9TLV
13	16411 12213	   	318.62	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1CDMG|2DUST|38VULN|4aRCR|5TLV|6LWND|7DMG|9DUR
14	16311 21231	   	318.62	ACR|DCR|2VULN|1TLV|1AEBURN|1CDMG	1CDMG|2DUST|3BEXP|4aRCR|5AEBURN|68VULN|7DUR|9TLV
15	34354 13313	   	312.54	ACR|DCR|2VULN|1TLV|1ASPD	1DUR|2TLV|38RCR|4RAT|57VULN|6ASPD|9LWND|aZMB
16	34354 13321	   	312.54	ACR|DCR|2VULN|1TLV|1ASPD	1DUR|2TLV|38RCR|4RAT|57VULN|6ASPD|9FRZICY|aAAC
17	34354 13322	   	312.44	ACR|DCR|2VULN|1TLV|1ASPD	1DUR|2TLV|38RCR|4RAT|57VULN|6ASPD|9FRZICY|aCANHEL
18	34322 51124	   	312.21	ACR|DCR|2VULN|1TLV|1ASPD|1CDMG	1DUR|2TLV|37RCR|4MBVNT|5ASPD|6AME|8aVULN|9CDMG
19	31354 26331	   	312.01	ACR|DCR|2VULN|1TLV|1DMG	1DUR|2DMG|38RCR|4RAT|56VULN|7AME|9TLV|aRPLT
20	31354 26333	   	311.91	ACR|DCR|2VULN|1TLV|1DMG	1DUR|2DMG|38RCR|4RAT|56VULN|7AME|9TLV|aMDPS
21	13416 62233	   	309.06	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1CDMG|2BEXP|38VULN|4aRCR|5FEWX|6TLV|7DMG|9LWND
22	34315 22623	   	308.76	ACR|DCR|2TLV|1VULN|1ASPD|1CDMG	1DUR|25TLV|3aRCR|45LHND|5BPWR|6ASPD|7FEWX|8VULN|9CDMG
23	34315 21623	   	308.66	ACR|DCR|2TLV|1VULN|1ASPD|1CDMG	1DUR|25TLV|3aRCR|45LHND|5BPWR|6ASPD|7AETHUN|8VULN|9CDMG
24	22343 36332	   	308.39	ACR|DCR|2TLV|2VULN	1ERES|27VULN|38RCR|4AAC|5LHND|6RAT|9aTLV
25	34323 86324	 * 	308.26	ACR|3TLV|2VULN|2DMG|3DUR	157DUR|28aTLV|3RCR|4MBVNT|6aDMG|9aVULN|aBPWR
