0	Index      	 *	Score 	Summary	Detail	
1	12142 24332	 * 	315.53	ACR|4VULN|2TLV|1AEFBLL|1DMG	18TLV|239aVULN|4RCR|5AEFBLL|6RPLT|7DMG
2	12165 31336	 * 	313.51	DCR|4VULN|2TLV|2CDMG|1AART	18TLV|2358VULN|48CDMG|6AART|7RPLT|8BPWR|9ZMB|aRCR
3	12111 46153	 * 	309.22	DCR|4VULN|3TLV|3BLAICY	178TLV|2378VULN|4MDPS|5BELT|678BLAICY|78BPWR|9AME|aRCR
4	12145 24332	   	306.77	ACR|3VULN|2TLV|1DMG|2DUR|1CDMG	18TLV|23aVULN|4RCR|59DUR|6CDMG|7DMG
5	12165 31326	   	306.57	DCR|4VULN|2TLV|2CDMG|1AART	18TLV|2358VULN|48CDMG|6AART|7RPLT|8BPWR|9AAC|aRCR
6	11366 84112	 * 	305.65	DCR|3TLV|3VULN|2DMG	169TLV|2FEWX|39DMG|4MDPS|5MBVNT|7RCR|89aVULN|9BPWR
7	14366 44112	   	305.55	DCR|3TLV|3VULN|2DMG	169TLV|2DUST|39DMG|4MDPS|5MBVNT|7RCR|89aVULN|9BPWR
8	12142 24335	   	304.14	ACR|3VULN|2TLV|1AEFBLL|1DMG	18TLV|239VULN|4RCR|5AEFBLL|6RPLT|7DMG|aDUR
9	11153 25115	 * 	303.95	ACR|DCR|3TLV|1VULN|2DUR	16aTLV|2FEWX|3VULN|48DUR|59RCR|7BASFIG
10	12165 53123	   	302.88	DCR|4VULN|1TLV|1DMG|1AEBURN|1CDMG	1TLV|2359VULN|4CDMG|6MGNSTR|7AEBURN|8DMG|aRCR
11	12142 31366	 * 	300.52	ACR|3VULN|2TLV|2ASPD|1AEFBLL	17TLV|239VULN|4RCR|5AEFBLL|6CGEN|8aASPD
12	12331 23225	   	300.36	DCR|4VULN|3TLV|1AART	159TLV|2579VULN|3RPLT|4AART|59BPWR|6AAC|89LIT|aRCR
13	11153 25112	 * 	298.79	ACR|DCR|2TLV|1VULN|3DUR	16TLV|2FEWX|3VULN|48aDUR|59RCR|7BASFIG
14	12165 22331	   	298.72	DCR|4VULN|2TLV|1CDMG	1aTLV|2357VULN|4CDMG|6RPLT|8DUR|9RCR
15	12166 12331	   	298.72	DCR|4VULN|2TLV|1CDMG	1aTLV|2367VULN|4CDMG|5RPLT|8DUR|9RCR
16	12331 62132	   	297.81	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	15TLV|25aVULN|3RPLT|4AART|5BPWR|68DUR|7RCR|9CDMG
17	12141 24332	   	297.73	ACR|3VULN|2TLV|1DMG|1CDMG	18TLV|23aVULN|4RCR|5FEWX|6CDMG|7DMG|9DUR
18	12161 22331	   	297.73	DCR|3VULN|2TLV|1AEBURN|1CDMG	1aTLV|237VULN|4CDMG|5AEBURN|6RPLT|8DUR|9RCR
19	12166 42331	   	297.73	DCR|3VULN|2TLV|1AEFBLL|1CDMG	1aTLV|237VULN|4CDMG|5RPLT|6AEFBLL|8DUR|9RCR
20	12145 24321	   	297.73	ACR|3VULN|2TLV|1DMG|1CDMG	18TLV|23aVULN|4RCR|5DUR|6CDMG|7DMG|9RPLT
21	12143 24332	   	297.63	ACR|3VULN|2TLV|1DMG|1CDMG	18TLV|23aVULN|4RCR|5DUST|6CDMG|7DMG|9DUR
22	11153 25116	   	297.24	ACR|DCR|2TLV|1VULN|2DUR	16TLV|2FEWX|3VULN|48DUR|59RCR|7BASFIG|aZMB
23	12141 13426	   	295.47	ACR|4VULN|2TLV|2CDMG	19TLV|239aVULN|4RCR|5FEWX|6AEWIND|7BELT|89CDMG|9BPWR
24	12562 32511	   	295.43	DCR|2TLV|2VULN|1AEFBLL|1DMG|2DUR	19TLV|29VULN|3ZMB|4MDPS|5AEFBLL|6RCR|7LEGI|89DUR|9BPWR|aDMG
25	12141 63421	   	294.58	ACR|3VULN|2TLV|1AEPOI|2CDMG	19TLV|239VULN|4RCR|5FEWX|6AEPOI|7BELT|89CDMG|9BPWR|aLWND
26	12141 63423	   	294.58	ACR|3VULN|2TLV|1AEPOI|2CDMG	19TLV|239VULN|4RCR|5FEWX|6AEPOI|7BELT|89CDMG|9BPWR|aLIT
27	12141 63422	   	294.48	ACR|3VULN|2TLV|1AEPOI|2CDMG	19TLV|239VULN|4RCR|5FEWX|6AEPOI|7BELT|89CDMG|9BPWR|aMULARM
28	12142 24322	   	294.48	ACR|3VULN|2TLV|1AEFBLL|1DMG	18TLV|23aVULN|4RCR|5AEFBLL|69RPLT|7DMG
29	12142 24331	   	294.48	ACR|3VULN|2TLV|1AEFBLL|1DMG	18TLV|239VULN|4RCR|5AEFBLL|6RPLT|7DMG|aAME
30	12142 24333	   	294.48	ACR|3VULN|2TLV|1AEFBLL|1DMG	18TLV|239VULN|4RCR|5AEFBLL|6RPLT|7DMG|aLIT
31	12142 24334	   	294.48	ACR|3VULN|2TLV|1AEFBLL|1DMG	18TLV|239VULN|4RCR|5AEFBLL|6RPLT|7DMG|aBEXP
32	12142 53331	   	294.48	ACR|3VULN|2TLV|1AEFBLL|1DMG	19TLV|238VULN|4RCR|5AEFBLL|6LIT|7DMG|aLHND
33	12142 53334	   	294.48	ACR|3VULN|2TLV|1AEFBLL|1DMG	19TLV|238VULN|4RCR|5AEFBLL|6LIT|7DMG|aCGEN
34	12142 53335	   	294.48	ACR|3VULN|2TLV|1AEFBLL|1DMG	19TLV|238VULN|4RCR|5AEFBLL|6LIT|7DMG|aAME
35	12442 24332	   	294.48	ACR|3VULN|2TLV|1AEFBLL|1DMG	18TLV|29aVULN|3RCVC|4RCR|5AEFBLL|6RPLT|7DMG
36	12142 24336	   	294.38	ACR|3VULN|2TLV|1AEFBLL|1DMG	18TLV|239VULN|4RCR|5AEFBLL|6RPLT|7DMG|aERES
37	12142 53332	   	294.38	ACR|3VULN|2TLV|1AEFBLL|1DMG	19TLV|238VULN|4RCR|5AEFBLL|6LIT|7DMG|aERES
