0	Index      	 *	Score 	Summary	Detail	
1	13413 41154	 * 	295.31	ACR|DCR|2VULN|1TLV|1AEFBLL	1MLV|2LHND|39VULN|4MBVNT|57RCR|6CGEN|8TLV|aAEFBLL
2	42123 42336	 * 	294.43	DCR|3VULN|2TLV|2ASPD	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6FLTARM|7RCR|89aVULN
3	63452 11221	   	294.41	DCR|3VULN|2TLV|2ASPD|1CDMG	1aTLV|24LHND|34aVULN|4aBPWR|5CDMG|67ASPD|8RCR|9aCGEN
4	42125 34111	 * 	293.87	DCR|2TLV|2VULN|2ASPD|1AEPOI|1AART	14ASPD|24TLV|3RMIN|4BPWR|5RAT|6AEPOI|7AART|8RCR|9aVULN
5	42123 42311	 * 	289.81	DCR|2TLV|2VULN|2ASPD|1DMG	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6FLTARM|7RCR|8aVULN|9DMG
6	42123 42326	 * 	289.81	DCR|2TLV|2VULN|2ASPD|1AEFBLL	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6FLTARM|7RCR|8aVULN|9AEFBLL
7	42123 42335	   	289.81	DCR|2TLV|2VULN|2ASPD|1DMG	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6FLTARM|7RCR|89VULN|aDMG
8	36113 34133	   	289.02	DCR|2TLV|2VULN|1AEPOI|2DUR|1CDMG	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7RCR|8aDUR|9AEPOI
9	36113 31633	   	288.49	DCR|3VULN|2TLV|1ASPD|1CDMG	1MDPS|26TLV|3CDMG|4RAT|567VULN|6BPWR|8ASPD|9MBVNT|aRCR
10	61514 13332	 * 	288.29	DCR|3VULN|2TLV|1AEBURN	16TLV|2DMSP|3AEBURN|4CANTOX|568VULN|6BPWR|7RAT|9RCR|aZMB
11	61524 13332	   	288.29	DCR|3VULN|2TLV|1AEBURN	16TLV|2DMSP|3AEBURN|4MSLTOX|568VULN|6BPWR|7RAT|9RCR|aZMB
12	42122 32336	   	287.50	DCR|3VULN|2TLV|2ASPD	14ASPD|24TLV|3RMIN|4BPWR|5FRZARM|6AAC|7RCR|89aVULN
13	42123 32336	   	287.50	DCR|3VULN|2TLV|2ASPD	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6TSLHEL|7RCR|89aVULN
14	13413 41158	   	286.25	ACR|DCR|2VULN|1TLV|1AART	1MLV|2LHND|39VULN|4MBVNT|57RCR|6CGEN|8TLV|aAART
15	36113 33122	   	286.01	DCR|2TLV|2VULN|2ASPD|1CDMG|1DUR	1MDPS|26TLV|3CDMG|4RAT|56VULN|6BPWR|7aASPD|8DUR|9RCR
16	13413 41134	 * 	285.24	ACR|DCR|2TLV|1VULN|1ASPD	1MLV|2LHND|3VULN|4MBVNT|57RCR|6CGEN|8aTLV|9ASPD
17	42234 12231	 * 	284.25	DCR|2TLV|1VULN|2DMG|2ASPD|1CDMG	17ASPD|27TLV|3CGEN|4AETHUN|5CDMG|67DMG|7BPWR|8RCR|9VULN|aRAT
