0	Index      	 *	Score 	Summary	Detail	
1	23231 53366	 * 	295.21	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2AAC|3AEWIND|47VULN|5ERES|69RCR|8RMIN|aTLV
2	23614 31312	 * 	294.48	DCR|3VULN|2TLV|1AEFBLL|1DMG	1DMG|2AAC|356VULN|4RMIN|79TLV|8AEFBLL|aRCR
3	23644 31312	   	294.38	DCR|3VULN|2TLV|1AEFBLL|1DMG	1DMG|2AAC|356VULN|4ERES|79TLV|8AEFBLL|aRCR
4	22423 32246	 * 	292.10	DCR|3VULN|2TLV|2DMG	19DMG|25BEXP|369VULN|4DUST|7CGEN|89TLV|9BPWR|aRCR
5	22421 32246	   	292.00	DCR|3VULN|2TLV|2DMG	19DMG|2BEXP|369VULN|45DUST|7CGEN|89TLV|9BPWR|aRCR
6	21533 51613	 * 	287.37	DCR|2TLV|2VULN|2DMG|2CDMG	1aDMG|2aCDMG|3ERES|45RMIN|69TLV|7RCR|8aVULN|aBPWR
7	21513 51613	   	287.27	DCR|2TLV|2VULN|2DMG|2CDMG	1aDMG|2aCDMG|36ERES|49TLV|5RMIN|7RCR|8aVULN|aBPWR
8	42235 21323	   	286.12	DCR|DCR|1TLV|1VULN|1DMG|1AART|1DUR	1FEWX|2AART|3DUR|4DUST|5TLV|6CGEN|79RCR|8VULN|aDMG
9	14123 51323	   	286.02	DCR|DCR|1TLV|1VULN|1DMG|1AART|1DUR	1DUST|2TLV|3ERES|4BEXP|5AART|6DUR|79RCR|8VULN|aDMG
10	14163 51323	   	286.02	DCR|DCR|1TLV|1VULN|1DMG|1AART|1DUR	1DUST|2TLV|3ERES|4FEWX|5AART|6DUR|79RCR|8VULN|aDMG
11	43211 54112	   	281.36	DCR|3VULN|2TLV|1DMG	15FEWX|2CANSTR|368VULN|45TLV|5BPWR|7RAT|9DMG|aRCR
12	13211 54112	   	281.16	DCR|3VULN|2TLV|1DMG	15DUST|2CANSTR|368VULN|45TLV|5BPWR|7RAT|9DMG|aRCR
13	42411 51321	   	279.80	DCR|DCR|1TLV|1VULN|1ASPD|1AART|1DUR	1FEWX|2AART|3TLV|4LHND|5CGEN|6DUR|79RCR|8VULN|aASPD
14	42431 41321	   	279.80	DCR|DCR|1TLV|1VULN|1ASPD|1AART|1DUR	1FEWX|2AART|3TLV|4DUR|5CGEN|6LWND|79RCR|8VULN|aASPD
15	62411 51321	   	279.80	DCR|DCR|1TLV|1VULN|1ASPD|1AART|1DUR	1LWND|2AART|3TLV|4LHND|5CGEN|69RCR|7DUR|8VULN|aASPD
16	12411 51321	   	279.70	DCR|DCR|1TLV|1VULN|1ASPD|1AART|1DUR	1DUST|2AART|3TLV|4LHND|5CGEN|6DUR|79RCR|8VULN|aASPD
17	12431 41321	   	279.70	DCR|DCR|1TLV|1VULN|1ASPD|1AART|1DUR	1DUST|2AART|3TLV|4DUR|5CGEN|6LWND|79RCR|8VULN|aASPD
18	42235 21321	   	279.70	DCR|DCR|1TLV|1VULN|1ASPD|1AART|1DUR	1FEWX|2AART|3DUR|4DUST|5TLV|6CGEN|79RCR|8VULN|aASPD
19	62235 21321	   	279.70	DCR|DCR|1TLV|1VULN|1ASPD|1AART|1DUR	1LWND|2AART|3DUR|4DUST|5TLV|6CGEN|79RCR|8VULN|aASPD
20	12416 51321	   	279.60	DCR|DCR|1TLV|1VULN|1ASPD|1AART|1DUR	1DUST|2AART|3TLV|4LHND|5ERES|6DUR|79RCR|8VULN|aASPD
21	12436 41321	   	279.60	DCR|DCR|1TLV|1VULN|1ASPD|1AART|1DUR	1DUST|2AART|3TLV|4DUR|5ERES|6LWND|79RCR|8VULN|aASPD
