0	Index      	 *	Score 	Summary	Detail	
1	21414 14213	 * 	315.20	ACR|DCR|2TLV|2VULN|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6aVULN|8RCVC|9AME
2	21344 33362	 * 	314.01	ACR|5VULN|2TLV|1DMG	145CGEN|2RCR|34589VULN|45BPWR|6DMG|7aTLV
3	21334 33362	   	313.91	ACR|5VULN|2TLV|1DMG	15CGEN|2RCR|34589VULN|5BPWR|6DMG|7aTLV
4	21334 55312	   	313.91	ACR|5VULN|2TLV|1DMG	15CGEN|2RCR|34568VULN|5BPWR|7DMG|9aTLV
5	21415 14213	   	309.06	ACR|DCR|2VULN|1TLV|1AEBURN|1CDMG	1CGEN|27RCR|3TLV|4CDMG|5AEBURN|6aVULN|8RCVC|9AME
6	21334 33164	   	307.77	ACR|5VULN|1TLV|1DMG|1AEPOI	15CGEN|2RCR|3459aVULN|5BPWR|6DMG|7TLV|8AEPOI
7	21344 33162	 * 	307.11	ACR|4VULN|1TLV|2DMG|1AEPOI	145CGEN|2RCR|3459VULN|45BPWR|6aDMG|7TLV|8AEPOI
8	21334 33162	   	307.01	ACR|4VULN|1TLV|2DMG|1AEPOI	15CGEN|2RCR|3459VULN|5BPWR|6aDMG|7TLV|8AEPOI
9	21414 14221	   	305.41	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6VULN|8RCVC|9DMG|aAME
10	21414 14222	   	305.41	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6VULN|8RCVC|9DMG|aRMIN
11	21414 14231	   	305.41	ACR|DCR|2TLV|1VULN|1AEFBLL|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6VULN|8RCVC|9BELT|aAEFBLL
12	21414 14223	   	305.31	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6VULN|8RCVC|9DMG|aLSRICY
13	21414 14313	   	305.31	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6VULN|8LEGI|9LIT|aDMG
14	11121 71311	   	304.97	ACR|DCR|2VULN|1TLV|1DMG	1DUR|2DMSP|3TLV|4MBVNT|58RCR|69VULN|7RPLT|aDMG
15	21344 33361	   	301.46	ACR|5VULN|1TLV|1DMG|1CDMG	145CGEN|2RCR|34589VULN|45BPWR|6DMG|7TLV|aCDMG
16	21334 33361	   	301.36	ACR|5VULN|1TLV|1DMG|1CDMG	15CGEN|2RCR|34589VULN|5BPWR|6DMG|7TLV|aCDMG
17	21334 55311	   	301.36	ACR|5VULN|1TLV|1DMG|1CDMG	15CGEN|2RCR|34568VULN|5BPWR|7DMG|9TLV|aCDMG
18	21334 33165	   	300.43	ACR|4VULN|1TLV|1DMG|1AEPOI|1AART	15CGEN|2RCR|3459VULN|5BPWR|6DMG|7TLV|8AEPOI|aAART
19	21415 14221	   	299.27	ACR|DCR|1TLV|1VULN|1AEBURN|1DMG|1CDMG	1CGEN|27RCR|3TLV|4CDMG|5AEBURN|6VULN|8RCVC|9DMG|aAME
20	21415 14222	   	299.27	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1CDMG	1CGEN|27RCR|3TLV|4CDMG|5AEBURN|6VULN|8RCVC|9DMG|aRMIN
21	21415 14223	   	299.17	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1CDMG	1CGEN|27RCR|3TLV|4CDMG|5AEBURN|6VULN|8RCVC|9DMG|aLSRICY
22	21415 14313	   	299.17	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1CDMG	1CGEN|27RCR|3TLV|4CDMG|5AEBURN|6VULN|8LEGI|9LIT|aDMG
23	21365 41221	 * 	296.59	ACR|DCR|1TLV|1VULN|3ASPD|1CDMG	1CGEN|2aRCR|3VULN|4TLV|567ASPD|8BASARM|9CDMG
24	21334 33166	   	296.37	ACR|4VULN|1TLV|1DMG|1AEPOI	15CGEN|2RCR|3459VULN|5BPWR|6DMG|7TLV|8AEPOI|aZMB
25	11121 78441	   	295.81	ACR|DCR|2VULN|1TLV|1AART	1DUR|2DMSP|3TLV|4MBVNT|58RCR|6aVULN|7MDPS|9AART
26	21344 33326	   	295.67	ACR|4VULN|2TLV|1DMG	145CGEN|2RCR|3458VULN|45BPWR|6DMG|7aTLV|9AME
27	21334 33326	   	295.57	ACR|4VULN|2TLV|1DMG	15CGEN|2RCR|3458VULN|5BPWR|6DMG|7aTLV|9AME
28	11121 75724	 * 	295.50	ACR|3TLV|3VULN|3DUR	178DUR|2DMSP|38aTLV|4MBVNT|5RCR|68aVULN|8aBPWR|9aMLV
29	21362 63362	   	295.47	ACR|4VULN|2TLV|1DMG	1CGEN|2RCR|3689VULN|47TLV|5RMIN|aDMG
30	23121 71311	   	295.31	ACR|DCR|2VULN|1TLV|1DMG	1CGEN|2TLV|3AME|4MBVNT|58RCR|69VULN|7RPLT|aDMG
31	23521 71311	   	295.31	ACR|DCR|2VULN|1TLV|1DMG	1CGEN|2TLV|3MLV|4MBVNT|58RCR|69VULN|7RPLT|aDMG
32	41121 71311	   	295.21	ACR|DCR|2VULN|1TLV|1DMG	1DUST|2DMSP|3TLV|4MBVNT|58RCR|69VULN|7RPLT|aDMG
33	21414 14123	   	295.01	ACR|DCR|2TLV|1VULN|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6VULN|8LHND|9RPLT|aDUR
34	21414 14323	   	294.91	ACR|DCR|2TLV|1VULN|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6VULN|8LEGI|9RPLT|aDUR
35	21344 33126	   	294.68	ACR|3VULN|2TLV|1DMG|1AEPOI	145CGEN|2RCR|345VULN|45BPWR|6DMG|7aTLV|8AEPOI|9AME
36	21334 33126	   	294.58	ACR|3VULN|2TLV|1DMG|1AEPOI	15CGEN|2RCR|345VULN|5BPWR|6DMG|7aTLV|8AEPOI|9AME
37	21362 63162	   	294.48	ACR|3VULN|2TLV|1DMG|1AEPOI	1CGEN|2RCR|369VULN|47TLV|5RMIN|8AEPOI|aDMG
38	21334 52612	   	293.95	ACR|5VULN|2TLV	158CGEN|2RCR|34568VULN|58BPWR|7RMIN|9aTLV
39	21344 52312	   	293.95	ACR|5VULN|2TLV	145CGEN|2RCR|34568VULN|45BPWR|7RMIN|9aTLV
40	21334 52312	   	293.85	ACR|5VULN|2TLV	15CGEN|2RCR|34568VULN|5BPWR|7RMIN|9aTLV
41	21334 63362	   	293.75	ACR|5VULN|2TLV	15CGEN|2RCR|34589VULN|5BPWR|6NUKE|7aTLV
42	21414 14113	   	292.28	ACR|DCR|2TLV|1VULN|1CDMG	1CGEN|27RCR|35TLV|4CDMG|6VULN|8LHND|9LIT|aRAT
43	21612 11136	 * 	290.72	ACR|2TLV|2VULN|2DMG|1CDMG	1CGEN|2RCR|3LIT|4aTLV|5aVULN|6CDMG|7aDMG|8DUR|9ERES|aBPWR
44	21344 33163	   	289.53	ACR|4VULN|1TLV|1DMG|1AEPOI	145CGEN|2RCR|3459VULN|45BPWR|6DMG|7TLV|8AEPOI|aMLV
45	21334 33154	   	289.43	ACR|4VULN|1TLV|1DMG|1AEPOI	15CGEN|2RCR|345aVULN|5BPWR|6DMG|7TLV|8AEPOI|9RCVC
46	21334 33163	   	289.43	ACR|4VULN|1TLV|1DMG|1AEPOI	15CGEN|2RCR|3459VULN|5BPWR|6DMG|7TLV|8AEPOI|aMLV
47	21334 34116	   	289.43	ACR|4VULN|1TLV|1DMG|1AEPOI	15CGEN|2RCR|3459VULN|5BPWR|6DMG|7LWND|8AEPOI|aTLV
48	21344 33134	   	289.43	ACR|4VULN|1TLV|1DMG|1AEPOI	145CGEN|2RCR|345aVULN|45BPWR|6DMG|7TLV|8AEPOI|9AEWIND
49	21344 33161	   	289.43	ACR|4VULN|1TLV|1DMG|1AEPOI	145CGEN|2RCR|3459VULN|45BPWR|6DMG|7TLV|8AEPOI|aAETHUN
50	21334 33134	   	289.33	ACR|4VULN|1TLV|1DMG|1AEPOI	15CGEN|2RCR|345aVULN|5BPWR|6DMG|7TLV|8AEPOI|9AEWIND
51	21334 33161	   	289.33	ACR|4VULN|1TLV|1DMG|1AEPOI	15CGEN|2RCR|3459VULN|5BPWR|6DMG|7TLV|8AEPOI|aAETHUN
52	21334 63162	   	289.33	ACR|4VULN|1TLV|1DMG|1AEPOI	15CGEN|2RCR|3459VULN|5BPWR|6NUKE|7TLV|8AEPOI|aDMG
53	21343 36116	 * 	289.11	ACR|DCR|3VULN|1DMG|1ASPD|1CDMG	14CGEN|29RCR|346VULN|4BPWR|5CDMG|7LIT|8DMG|aASPD
54	21333 36116	   	289.01	ACR|DCR|3VULN|1DMG|1ASPD|1CDMG	1CGEN|29RCR|346VULN|5CDMG|7LIT|8DMG|aASPD
55	21413 44213	   	289.00	ACR|DCR|2VULN|1TLV|1CDMG	1CGEN|27RCR|3TLV|4CDMG|5aVULN|68RCVC|9AME
56	21413 54213	   	289.00	ACR|DCR|2VULN|1TLV|1CDMG	16CGEN|27RCR|3TLV|4CDMG|5aVULN|8RCVC|9AME
57	23121 71314	   	288.90	ACR|DCR|2VULN|1TLV|1ASPD	1CGEN|2TLV|3AME|4MBVNT|58RCR|69VULN|7RPLT|aASPD
