0	Index      	 *	Score 	Summary	Detail	
1	31432 32615	 * 	319.23	ACR|3TLV|3VULN|1AEPOI|2CDMG|1AART	1RCVC|2aCDMG|3AEPOI|46aTLV|5RCR|79aVULN|8AART|aBPWR
2	31432 32334	   	308.23	ACR|3TLV|3VULN|1AEPOI|2CDMG	1RCVC|28CDMG|3AEPOI|468TLV|5RCR|78aVULN|8BPWR|9LHND
3	31432 32353	   	308.23	ACR|3TLV|3VULN|2CDMG|1AEPOI	1RCVC|28CDMG|3AEPOI|468TLV|5RCR|78aVULN|8BPWR|9RPLT
4	31432 32324	   	308.13	ACR|3TLV|3VULN|1AEPOI|2CDMG	1RCVC|28CDMG|3AEPOI|468TLV|5RCR|78aVULN|8BPWR|9AETHUN
5	31432 32344	   	301.48	ACR|3TLV|2VULN|1AEPOI|2CDMG|1AART	1RCVC|28CDMG|3AEPOI|468TLV|5RCR|78VULN|8BPWR|9FRZICY|aAART
6	41111 16252	 * 	301.32	ACR|DCR|2TLV|1VULN|1AEBURN	1FEWX|2ERES|37RCR|4DUR|5LWND|6AEBURN|8aTLV|9VULN
7	53111 16252	   	301.32	ACR|DCR|2TLV|1VULN|1AEBURN	1ERES|2FEWX|37RCR|4DUR|5LWND|6AEBURN|8aTLV|9VULN
8	61111 16252	   	301.32	ACR|DCR|2TLV|1VULN|1AEBURN	1BEXP|2ERES|37RCR|4DUR|5LWND|6AEBURN|8aTLV|9VULN
9	11111 16252	   	301.22	ACR|DCR|2TLV|1VULN|1AEBURN	1DUST|2ERES|37RCR|4DUR|5LWND|6AEBURN|8aTLV|9VULN
10	52111 16252	   	301.22	ACR|DCR|2TLV|1VULN|1AEBURN	1ERES|2DUST|37RCR|4DUR|5LWND|6AEBURN|8aTLV|9VULN
11	31432 32346	   	297.42	ACR|3TLV|2VULN|2CDMG|1AEPOI	1RCVC|28CDMG|3AEPOI|468TLV|5RCR|78VULN|8BPWR|9FRZICY|aZMB
12	31432 32333	   	297.19	ACR|3TLV|2VULN|1AEPOI|2CDMG|1ASPD	1RCVC|28CDMG|3AEPOI|468TLV|5RCR|78VULN|8BPWR|9LHND|aASPD
13	31432 32354	   	297.19	ACR|3TLV|2VULN|2CDMG|1AEPOI|1ASPD	1RCVC|28CDMG|3AEPOI|468TLV|5RCR|78VULN|8BPWR|9RPLT|aASPD
14	31432 32323	   	297.09	ACR|3TLV|2VULN|2CDMG|1AEPOI|1ASPD	1RCVC|28CDMG|3AEPOI|468TLV|5RCR|78VULN|8BPWR|9AETHUN|aASPD
