0	Index      	 *	Score 	Summary	Detail	
1	21523 21125	 * 	188.86	ACR|1BASARM|3BEXP|1ASPD	14TLV|2AIRHEL|378BEXP|5RCR|6RPLT|9BASARM|aASPD
2	13313 31263	 * 	186.30	ACR|2ASPD|2DMG|1VULN|1BEXP	14aLHND|2VULN|3aASPD|5RCR|6LWND|7BEXP|8aDMG|9BELT|aBPWR
3	13313 41263	   	186.30	ACR|2ASPD|2DMG|1VULN|1BEXP	14aLHND|2VULN|3aASPD|5RCR|6DUR|7BEXP|8aDMG|9BELT|aBPWR
4	13313 61263	   	186.20	ACR|2ASPD|2DMG|1VULN|1BEXP	14aLHND|2VULN|3aASPD|5RCR|6DUST|7BEXP|8aDMG|9BELT|aBPWR
5	55133 11413	 * 	184.83	ACR|1BASARM|2BEXP|1AART|1CDMG	1ZMB|2CDMG|3AME|4DUST|5RCR|69BEXP|7MDPS|8BASARM|aAART
6	55133 41313	 * 	184.83	ACR|1BASARM|2VULN|1AART|1CDMG	1ZMB|2CDMG|3AME|4DUST|5RCR|69VULN|7MDPS|8AART|aBASARM
7	13313 26653	 * 	184.72	ACR|2ASPD|1VULN|2CDMG|1BEXP|1AART	149LHND|2VULN|39ASPD|5RCR|6LEGI|79CDMG|8AART|9BPWR|aBEXP
8	12633 16623	 * 	184.62	ACR|2DMG|1VULN|2CDMG|1AART|1BEXP	19LHND|2TLV|39DMG|4ERES|5RCR|6VULN|79CDMG|8AART|9BPWR|aBEXP
9	13313 13644	 * 	184.04	ACR|3VULN|2BEXP|1ASPD|1AART	14aLHND|27aVULN|3ASPD|5RCR|6ERES|8AART|9aBEXP|aBPWR
10	55241 11131	 * 	182.74	ACR|3BEXP|1ASPD|1DMG|1CDMG	1ZMB|2CDMG|3RCVC|4RCR|5DMG|68aBEXP|7ASPD|9LIT
11	55133 11411	 * 	182.45	ACR|1BASARM|3BEXP|1CDMG	1ZMB|2CDMG|3AME|4DUST|5RCR|69aBEXP|7MDPS|8BASARM
12	13313 31244	 * 	182.06	ACR|2ASPD|1VULN|2BEXP|1DMG	14LHND|2VULN|3aASPD|5RCR|6LWND|79BEXP|8DMG
