0	Index      	 *	Score 	Summary	Detail	
1	42351 32631	 * 	261.33	ACR|1BASARM|2DMG|1VULN|1ASPD|1AART|1CDMG	1ERES|2RCR|3AAC|4aDMG|5CDMG|6VULN|7BASARM|8AART|9ASPD
2	12634 22631	 * 	249.17	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART|1CDMG	1MLV|2RCR|3CDMG|4FEWX|56VULN|7BASARM|8AART|9ASPD|aDMG
3	12614 22531	   	249.07	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART|1CDMG	1MLV|2RCR|3CDMG|4DUST|56VULN|7BASARM|8AART|9ASPD|aDMG
4	12122 44111	 * 	248.53	ACR|2BASARM|2AART|2ASPD|1BEXP	1aMLV|2RCR|3BELT|46AART|5aASPD|7BEXP|8CGEN|9aBASARM|aBPWR
5	42122 44111	   	248.33	ACR|2BASARM|2AART|2ASPD|1BEXP	1aERES|2RCR|3BELT|46AART|5aASPD|7BEXP|8CGEN|9aBASARM|aBPWR
6	12122 54111	 * 	246.73	ACR|2BASARM|3ASPD|1AART|1BEXP	1aMLV|2RCR|3BELT|4AART|56aASPD|7BEXP|8CGEN|9aBASARM|aBPWR
7	42122 54111	   	246.53	ACR|2BASARM|3ASPD|1AART|1BEXP	1aERES|2RCR|3BELT|4AART|56aASPD|7BEXP|8CGEN|9aBASARM|aBPWR
8	42352 52222	 * 	246.51	ACR|3BASARM|2DMG|2VULN	17aERES|2RCR|3AAC|47DMG|5MDPS|67aBASARM|7aBPWR|8aVULN|9BELT
9	12122 36111	 * 	245.92	ACR|2BASARM|2ASPD|2BEXP|1AART	1aMLV|2RCR|3BELT|4AART|5aASPD|67BEXP|8CGEN|9aBASARM|aBPWR
10	12122 25211	   	245.82	ACR|2BASARM|2ASPD|2BEXP|1AART	1aMLV|2RCR|3BELT|4AART|5aASPD|6TLV|78BEXP|9aBASARM|aBPWR
11	42122 15211	   	245.72	ACR|2BASARM|2ASPD|2BEXP|1AART	1aERES|2RCR|3BELT|4AART|5aASPD|6MLV|78BEXP|9aBASARM|aBPWR
12	42351 32632	   	242.64	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1CDMG	1ERES|2RCR|3AAC|4DMG|5CDMG|6VULN|7BASARM|8AART|9ASPD|aMDPS
