0	Index      	 *	Score 	Summary	Detail	
1	62412 15331	 * 	211.90	ACR|1BASARM|2VULN|1ASPD|1AART|1CDMG	19VULN|2SNIFST|3BASARM|4DUST|5RCR|6RPLT|7ASPD|8AART|aCDMG
2	61616 32112	 * 	207.47	ACR|3VULN|2BEXP|1ASPD|1DMG|1CDMG	136VULN|2AEMAG|4RCR|5DMG|78BEXP|9CDMG|aASPD
3	53121 63112	 * 	207.08	DCR|2VULN|3DMG|2AART|1ASPD|1AAC	1MDPS|247DMG|34VULN|4BPWR|5AAC|68AART|9ASPD|aRCR
4	62462 12122	 * 	206.59	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ASPD|8LHND|9ERES|aDMG
5	62462 12222	   	206.49	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ASPD|8DUST|9ERES|aDMG
6	62462 13211	 * 	204.01	ACR|1BASARM|2DMG|1VULN|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ERES|8DLOT|9aDMG
7	62462 12332	   	201.03	ACR|2VULN|1BASARM|1ASPD|1AART	18VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ASPD|9aRCVC
8	53421 42321	 * 	200.41	ACR|1BASARM|2ASPD|1DMG|1BEXP	1MDPS|2DMG|36AME|46ASPD|5RCR|6BPWR|7RPLT|8AEFBLL|9BASARM|aBEXP
9	53521 42321	   	200.41	ACR|1BASARM|2ASPD|1DMG|1BEXP	1MDPS|2DMG|36TLV|46ASPD|5RCR|6BPWR|7RPLT|8AEFBLL|9BASARM|aBEXP
10	62462 12331	   	199.76	ACR|2VULN|1BASARM|1ASPD|1AART	18VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ASPD|9RCVC|aDLOT
11	62462 12322	   	199.46	ACR|2VULN|1BASARM|1ASPD|1AART	18VULN|2SNIFST|3BASARM|49TLV|5RCR|6AART|7ASPD|aRCVC
12	62462 11311	   	199.27	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7LHND|8BEXP|9ASPD|aCGEN
13	62462 11332	   	199.27	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7LHND|8BEXP|9CGEN|aDMG
14	62462 12111	   	199.27	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ASPD|8LHND|9BEXP|aCGEN
15	62462 11312	   	199.17	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7LHND|8BEXP|9ASPD|aERES
16	62462 11313	   	199.17	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7LHND|8BEXP|9ASPD|aDUST
17	62462 12112	   	199.17	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ASPD|8LHND|9BEXP|aERES
18	62462 12113	   	199.17	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ASPD|8LHND|9BEXP|aDUST
19	62462 12121	   	199.17	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ASPD|8LHND|9ERES|aBEXP
20	62462 12223	   	199.07	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ASPD|8DUST|9ERES|aBEXP
21	53122 63112	   	198.67	DCR|2VULN|3DMG|2AART|1ASPD	1MDPS|247DMG|34VULN|4BPWR|5ERES|68AART|9ASPD|aRCR
22	53123 63112	   	198.67	DCR|2VULN|3DMG|2AART|1ASPD	1MDPS|247DMG|34VULN|4BPWR|5AME|68AART|9ASPD|aRCR
23	61516 32112	   	198.46	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	16VULN|2AEMAG|3DMSP|4RCR|5DMG|78BEXP|9CDMG|aASPD
24	62412 15322	   	198.27	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6RPLT|7ASPD|8AART|9CGEN|aCDMG
25	62462 12312	   	198.25	ACR|2VULN|1BASARM|1ASPD|1AART	18VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ASPD|9RMIN|aLWND
26	62462 12313	   	198.25	ACR|2VULN|1BASARM|1ASPD|1AART	18VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ASPD|9RMIN|aLIT
27	62412 15311	   	198.17	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1VULN|2SNIFST|3BASARM|49DUST|5RCR|6RPLT|7ASPD|8AART|aCDMG
28	62462 12311	   	198.15	ACR|2VULN|1BASARM|1ASPD|1AART	18VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ASPD|9RMIN|aLEGI
29	62462 12321	   	198.05	ACR|2VULN|1BASARM|1ASPD|1AART	18VULN|2SNIFST|3BASARM|49TLV|5RCR|6AART|7ASPD|aDLOT
30	62412 16311	 * 	197.57	ACR|1BASARM|2VULN|1ASPD|1DMG	18VULN|2SNIFST|3BASARM|4DUST|5RCR|6RPLT|7MULARM|9DMG|aASPD
31	62412 11242	   	197.17	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6RPLT|7CDMG|8MBVNT|9AART|aDMG
32	62412 12124	 * 	196.71	ACR|2BASARM|2VULN|2BEXP	1aVULN|2SNIFST|3aBASARM|4DUST|5RCR|6RPLT|7ZMB|8aBEXP|9MBVNT|aBPWR
33	53521 13621	   	196.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MDPS|2DMG|37TLV|4ASPD|5RCR|6LWND|8CDMG|9BASARM|aBEXP
34	61616 12233	 * 	196.29	ACR|4VULN|2CDMG|1DMG|1AART	139aVULN|2aAEMAG|4RCR|5DMG|6LHND|7aCDMG|8AART|aBPWR
35	62412 11511	   	196.27	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6RPLT|7CDMG|8LIT|9ASPD|aAART
36	62412 15332	   	196.25	ACR|1BASARM|2VULN|1ASPD|1AART	19VULN|2SNIFST|3BASARM|4DUST|5RCR|6RPLT|7ASPD|8AART|aCGEN
37	62412 15333	   	196.25	ACR|1BASARM|2VULN|1ASPD|1AART	19VULN|2SNIFST|3BASARM|4DUST|5RCR|6RPLT|7ASPD|8AART|aLHND
38	53121 65212	 * 	195.47	DCR|2VULN|3DMG|1ASPD|1AART|2AAC	1MDPS|248DMG|34VULN|4BPWR|57AAC|6AART|9ASPD|aRCR
39	62412 63311	   	195.18	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6CDMG|7LWND|8RCVC|9DMG|aBEXP
40	21321 45621	   	194.19	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1CGEN|26ZMB|3MDPS|46ASPD|5RCR|6BPWR|7DUST|8CDMG|9BASARM|aBEXP
41	62412 15121	 * 	193.46	ACR|1BASARM|1VULN|2BEXP|1ASPD	1VULN|2SNIFST|3BASARM|4DUST|5RCR|69RPLT|7ASPD|8aBEXP
42	62412 61311	   	193.27	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6CDMG|7RMIN|8CGEN|9DMG|aBEXP
43	62442 11221	   	193.27	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2SNIFST|3BASARM|4LWND|5RCR|6RPLT|7CDMG|8MBVNT|9DMG|aBEXP
44	32432 61224	 * 	193.22	ACR|2VULN|2ASPD|1DMG|1AART|1SELL	1BELT|2RCVC|3RPLT|49ASPD|5RCR|69VULN|7SELL|8AART|9BPWR|aDMG
45	62412 11221	   	193.17	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6RPLT|7CDMG|8MBVNT|9DMG|aBEXP
46	62412 61111	   	193.17	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6CDMG|7RMIN|8TLV|9DMG|aBEXP
47	62412 61211	   	193.17	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6CDMG|7RMIN|8ERES|9DMG|aBEXP
48	62462 11333	 * 	193.05	ACR|1BASARM|1VULN|2BEXP|1AART	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7LHND|8aBEXP|9CGEN
49	62462 13313	   	192.76	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ERES|8DUR|9BEXP|aCDMG
50	62462 13113	   	192.66	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	1VULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7ERES|8LEGI|9BEXP|aCDMG
51	31312 23426	 * 	192.37	2BASARM|3VULN|2DMG|2BEXP|1AART|1SELL	1BELT|2SELL|38aVULN|4aDMG|5AART|68LWND|78BASARM|8aBPWR|9aBEXP
52	62412 11228	   	191.15	ACR|1BASARM|2VULN|1DMG|1CDMG	1aVULN|2SNIFST|3BASARM|4DUST|5RCR|6RPLT|7CDMG|8MBVNT|9DMG
53	62412 12331	   	189.84	ACR|1BASARM|2VULN|1AART|1CDMG	19VULN|2SNIFST|3BASARM|4DUST|5RCR|6RPLT|7ZMB|8AART|aCDMG
54	62462 11323	   	189.84	ACR|1BASARM|2VULN|1AART|1BEXP	1aVULN|2SNIFST|3BASARM|4TLV|5RCR|6AART|7LHND|8BEXP|9LWND
55	62412 11246	   	189.76	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6RPLT|7CDMG|8MBVNT|9AART|aBEXP
56	61616 32113	 * 	189.71	ACR|4VULN|2BEXP|1DMG|1CDMG	136aVULN|2AEMAG|4RCR|5DMG|78BEXP|9CDMG
57	53521 25133	 * 	189.42	ACR|2ASPD|2DMG|1VULN|1CDMG	1MDPS|2aDMG|3TLV|47ASPD|5RCR|6ZMB|8CDMG|9VULN
58	62661 12223	 * 	189.11	ACR|2VULN|3BEXP|2DMG	1aVULN|2SNIFST|34DMG|5RCR|6RCVC|789BEXP
59	62412 11244	   	188.74	ACR|1BASARM|2VULN|1AART|1CDMG	1aVULN|2SNIFST|3BASARM|4DUST|5RCR|6RPLT|7CDMG|8MBVNT|9AART
60	55431 32323	 * 	188.55	ACR|2VULN|2DMG|2AAC|1CDMG	12MDPS|3RCR|48DMG|5aAAC|69VULN|7CDMG
61	62433 15313	 * 	188.34	DCR|1BASARM|1VULN|1ASPD|1DMG|1AART|1BEXP	1VULN|2SNIFST|3BASARM|4DMG|5BELT|6BEXP|7ERES|8AART|9ASPD|aRCR
62	61516 12233	   	187.98	ACR|3VULN|1DMG|2CDMG|1AART	19aVULN|2aAEMAG|3DMSP|4RCR|5DMG|6LHND|7aCDMG|8AART|aBPWR
63	61616 13122	 * 	187.56	ACR|2VULN|2ASPD|1DMG|1BEXP	13VULN|2AEMAG|4RCR|5DMG|6LHND|7DMSP|8BEXP|9aASPD
64	61616 23122	   	187.46	ACR|2VULN|2ASPD|1DMG|1BEXP	13VULN|26AEMAG|4RCR|5DMG|7DMSP|8BEXP|9aASPD
65	62412 63111	   	187.05	ACR|1BASARM|1VULN|2BEXP|1CDMG	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6CDMG|7LWND|8aBEXP|9RMIN
66	53421 42322	   	186.76	ACR|1BASARM|2ASPD|1DMG	1MDPS|2DMG|36AME|46ASPD|5RCR|6BPWR|7RPLT|8AEFBLL|9BASARM|aDUR
67	53521 42322	   	186.76	ACR|1BASARM|2ASPD|1DMG	1MDPS|2DMG|36TLV|46ASPD|5RCR|6BPWR|7RPLT|8AEFBLL|9BASARM|aDUR
68	53421 42323	   	186.51	ACR|1BASARM|2ASPD|1DMG|1SELL	1MDPS|2DMG|36AME|46ASPD|5RCR|6BPWR|7RPLT|8AEFBLL|9BASARM|aSELL
69	53521 42323	   	186.51	ACR|1BASARM|2ASPD|1DMG|1SELL	1MDPS|2DMG|36TLV|46ASPD|5RCR|6BPWR|7RPLT|8AEFBLL|9BASARM|aSELL
70	61613 36223	 * 	186.50	ACR|3VULN|1BASARM|1BEXP|1AAC	136VULN|2AEMAG|4RCR|5CGEN|7ERES|8BASARM|9AAC|aBEXP
71	62412 16111	   	185.94	ACR|1BASARM|1VULN|1ASPD|1DMG	1VULN|2SNIFST|3BASARM|4DUST|5RCR|68RPLT|7MULARM|9DMG|aASPD
72	62412 16231	   	185.94	ACR|1BASARM|1VULN|1ASPD|1DMG	1VULN|2SNIFST|3BASARM|4DUST|5RCR|6RPLT|7MULARM|8ASPD|9MLV|aDMG
73	62442 21113	   	185.94	ACR|1BASARM|1VULN|1ASPD|1DMG	1VULN|2SNIFST|3BASARM|4LWND|5RCR|6CGEN|7TLV|8ASPD|9MSLFST|aDMG
