0	Index      	 *	Score 	Summary	Detail	
1	11661 13522	 * 	219.16	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1BEXP|2DUST|3ASPD|4RCR|5VENFST|6RPLT|78DMG|9CDMG|aBASARM
2	11663 16132	 * 	217.75	ACR|2ASPD|3VULN|2BEXP|1DMG|1AART	1aBEXP|2DUST|3aASPD|4RCR|5MLV|6AART|7DMG|89aVULN|aBPWR
3	11661 13162	 * 	216.41	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	19BEXP|2DUST|3ASPD|4RCR|5VENFST|6RPLT|7DMG|8CDMG|aBASARM
4	11662 63321	   	212.55	ACR|1BASARM|2DMG|1ASPD|1BEXP	1BEXP|2DUST|3ASPD|4RCR|5FEWX|6BASARM|7CGEN|8VULN|9aDMG
5	11662 63322	   	209.80	ACR|1BASARM|2BEXP|1ASPD|1DMG	1aBEXP|2DUST|3ASPD|4RCR|5FEWX|6BASARM|7CGEN|8VULN|9DMG
6	11662 61321	   	205.61	ACR|1BASARM|2DMG|1ASPD|1BEXP	1BEXP|2DUST|3ASPD|4RCR|5FEWX|6BASARM|7LHND|8MLV|9aDMG
7	11662 63121	   	205.61	ACR|1BASARM|2DMG|1ASPD|1BEXP	1BEXP|2DUST|3ASPD|4RCR|5FEWX|6BASARM|7CGEN|8DUR|9aDMG
8	11662 63331	   	203.38	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1aBEXP|2DUST|3ASPD|4RCR|5FEWX|6BASARM|7CGEN|8VULN|9CDMG
9	12232 24333	 * 	202.96	ACR|1BASARM|2BEXP|1ASPD|2VULN	1aBEXP|2NUKE|3LIT|4RCR|5RPLT|6aCGEN|7BASARM|8ASPD|9aVULN|aBPWR
10	11662 61322	   	202.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1aBEXP|2DUST|3ASPD|4RCR|5FEWX|6BASARM|7LHND|8MLV|9DMG
11	11662 63122	   	202.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1aBEXP|2DUST|3ASPD|4RCR|5FEWX|6BASARM|7CGEN|8DUR|9DMG
12	53661 13132	   	201.67	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	19DUR|2BEXP|3ASPD|4RCR|5VENFST|6RPLT|7DMG|8CDMG|aBASARM
13	16661 13322	   	201.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1BEXP|2FEWX|3ASPD|4RCR|58VENFST|6RPLT|7DMG|9CDMG|aBASARM
14	53661 13322	   	201.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1DUR|2BEXP|3ASPD|4RCR|58VENFST|6RPLT|7DMG|9CDMG|aBASARM
15	11661 13322	   	201.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1BEXP|2DUST|3ASPD|4RCR|58VENFST|6RPLT|7DMG|9CDMG|aBASARM
16	12235 24353	 * 	200.28	ACR|1BASARM|2ASPD|2BEXP	1aBEXP|2NUKE|3LIT|4RCR|5ERES|6RPLT|7BASARM|89ASPD
17	11661 11152	 * 	197.66	ACR|1BASARM|1ASPD|2AAC|1BEXP|1CDMG	1BEXP|2DUST|3ASPD|4RCR|5VENFST|6RPLT|79AAC|8CDMG|aBASARM
18	11662 61331	   	196.44	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1aBEXP|2DUST|3ASPD|4RCR|5FEWX|6BASARM|7LHND|8MLV|9CDMG
19	11662 63131	   	196.44	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1aBEXP|2DUST|3ASPD|4RCR|5FEWX|6BASARM|7CGEN|8DUR|9CDMG
20	12231 45432	   	196.34	ACR|1BASARM|2BEXP|1ASPD|1AART	17BEXP|2NUKE|3LIT|4RCR|5DUST|6AART|8LHND|9ASPD|aBASARM
21	11662 63313	 * 	194.96	ACR|1BASARM|1ASPD|1BASICY|1BEXP	1BEXP|2DUST|3ASPD|4RCR|5FEWX|6BASARM|7CGEN|8VULN|9BELT|aBASICY
22	11662 63323	   	194.86	ACR|1BASARM|1ASPD|1DMG|1BEXP	1BEXP|2DUST|3ASPD|4RCR|5FEWX|6BASARM|7CGEN|8VULN|9DMG|aERES
23	32162 23614	 * 	194.33	ACR|2BASARM|3VULN|1CDMG|1SELL	19aVULN|2NUKE|3aLWND|4RCR|5FEWX|6CDMG|7SELL|8aBASARM|aBPWR
24	16661 13122	 * 	192.17	ACR|2ASPD|2BEXP|1DMG|2CDMG	1aBEXP|2FEWX|3aASPD|4RCR|5VENFST|6RPLT|7DMG|8aCDMG|9BELT|aBPWR
25	16663 13122	   	192.17	ACR|2ASPD|2BEXP|1DMG|2CDMG	1aBEXP|2FEWX|3aASPD|4RCR|5LSRICY|6RPLT|7DMG|8aCDMG|9BELT|aBPWR
26	11661 13122	   	192.07	ACR|2ASPD|2BEXP|1DMG|2CDMG	1aBEXP|2DUST|3aASPD|4RCR|5VENFST|6RPLT|7DMG|8aCDMG|9BELT|aBPWR
27	11666 13122	   	192.07	ACR|2ASPD|2BEXP|1DMG|2CDMG	1aBEXP|2DUST|3aASPD|4RCR|5SNIHEL|6RPLT|7DMG|8aCDMG|9BELT|aBPWR
28	13362 22231	   	191.44	ACR|1BASARM|2BEXP|1ASPD|1AART	12BEXP|3RMIN|4AART|5RCR|6RPLT|7ASPD|8MDPS|9BASARM|aLHND
