0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13142 43531	6	 * 	271.14	橙4易伤2等级2时间	1挖青2a等级3平台467a易伤5额外掉落8核9a时间a序列升级
2	13142 53531	6	 * 	271.14	橙4易伤3等级2时间	1挖青26a等级3平台467a易伤5额外掉落6a序列升级8核9a时间
3	23126 51252	7	 * 	271.01	橙2易伤3时间2伤害1等级1暴击	19最后敌人267时间3暴击49伤害59易伤8核9序列升级a等级
4	13268 17311	9	 * 	270.05	橙3易伤2等级2时间1伤害	1挖青27等级3双倍矿4加一579易伤67时间7序列升级8伤害a核
5	13343 61432	6	   	269.95	橙3易伤2等级2时间1伤害	1挖青2a等级3a掉矿49时间5伤害6核78a易伤a序列升级
6	12125 23413	6	 * 	267.83	橙2易伤3伤害2等级2暴击	1挖青29易伤38暴击459伤害6额外掉落79等级9序列升级a核
7	12125 25413	7	   	267.83	橙2易伤3伤害2等级2暴击	1挖青29易伤38暴击459伤害6额外掉落79等级9序列升级a核
8	12251 54332	3	   	266.88	橙4易伤2时间1等级2雷电	1挖青2369易伤4掉矿59雷电79时间8核9序列升级a等级
9	13141 34236	6	 * 	266.57	橙3易伤2等级2伤害1全技能	1挖青29等级3平台49a易伤59伤害6全技能7随机矿8核9序列升级
10	12316 32433	6	   	265.21	橙3易伤2等级2伤害	1挖青28a易伤34敌人爆炸58伤害6核78等级8序列升级9雷电
11	12336 32433	6	   	265.21	橙3易伤2等级2伤害	1挖青28a易伤3敌人爆炸4立即金币58伤害6核78等级8序列升级9雷电
12	21214 62361	4	   	263.87	橙3易伤2等级1伤害1时间	1最后敌人235易伤45等级5序列升级6攻速7时间8伤害9策反a核
13	21215 12361	6	   	263.87	橙3易伤2等级1伤害1时间	1最后敌人235易伤45等级5序列升级6攻速7时间8伤害9策反a核
14	21215 15161	8	   	263.87	橙3易伤2等级1伤害1时间	1最后敌人235易伤45等级5序列升级6攻速7矿等8伤害9时间a核
15	21215 62361	5	   	263.87	橙3易伤2等级1伤害1时间	1最后敌人235易伤45等级5序列升级6攻速7时间8伤害9策反a核
16	12214 62361	4	   	263.77	橙3易伤2等级1伤害1时间	1挖青235易伤45等级5序列升级6攻速7时间8伤害9策反a核
17	12215 12361	6	   	263.77	橙3易伤2等级1伤害1时间	1挖青235易伤45等级5序列升级6攻速7时间8伤害9策反a核
18	12215 15161	8	   	263.77	橙3易伤2等级1伤害1时间	1挖青235易伤45等级5序列升级6攻速7矿等8伤害9时间a核
19	12215 62361	5	   	263.77	橙3易伤2等级1伤害1时间	1挖青235易伤45等级5序列升级6攻速7时间8伤害9策反a核
