0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31233 66363	1	 * 	281.31	橙2易伤3伤害3等级3攻速1全技能	1随机矿278伤害3a易伤48a等级58a攻速6核8a序列升级9全技能
2	33414 21211	10	 * 	277.16	橙3易伤3伤害1等级1暴击1全技能	1随机矿29a最后敌人39a伤害4等级5全技能6核7暴击89a易伤9a序列升级
3	11123 24511	1	 * 	273.73	橙3易伤2伤害2时间2攻速2雷电	1立即金币27a易伤3a伤害47时间57攻速6挖青7a序列升级8核9a雷电
4	13123 24511	2	   	273.73	橙3易伤2伤害2时间2攻速2雷电	1立即金币27a易伤3a伤害47时间57攻速6挖青7a序列升级8核9a雷电
5	13233 15166	9	 * 	273.25	橙3易伤2等级2伤害1时间	1立即金币239易伤49等级5基地爆炸6低血量敌人7核89伤害9序列升级a时间
6	13233 15161	10	 * 	272.66	橙3易伤3伤害2等级	1立即金币239易伤49等级5基地爆炸6低血量敌人7核89a伤害9序列升级
7	13233 35161	10	   	272.56	橙3易伤3伤害2等级	1立即金币239易伤49等级5基地爆炸6挖尘7核89a伤害9序列升级
8	13233 66161	10	   	272.56	橙3易伤3伤害2等级	1立即金币239易伤49等级5基地爆炸6核7挖尘89a伤害9序列升级
9	13231 33122	8	 * 	272.49	橙4易伤2伤害1等级1暴击	1立即金币2367易伤4等级58伤害9暴击a核
10	31233 66334	1	   	271.74	橙2易伤3伤害2等级3攻速	1随机矿278伤害3a易伤48等级58a攻速6核8a序列升级9a金币生成
11	13233 63561	10	 * 	270.25	橙3易伤2等级2时间1伤害	1立即金币239易伤49等级5基地爆炸6核7策反89时间9序列升级a伤害
12	13314 24474	5	   	270.05	橙3易伤2等级2时间1伤害	1立即金币278易伤3挖青47等级57时间6加一7序列升级9核a伤害
13	13243 21614	10	   	269.91	橙3易伤2等级2时间1伤害1卖塔	1立即金币23a易伤4a时间5掉矿6伤害7卖塔8核9a等级a序列升级
14	31233 56311	1	 * 	268.09	橙2易伤3伤害2时间1等级	1随机矿278伤害38易伤4等级5攻速68时间8序列升级9核a基地爆炸
