0	Index      	 *	Score 	Summary	Detail	
1	32632 33643	 * 	246.40	紫3攻速1基础对甲2基地爆炸1伤害	178敌人爆炸2核368攻速4随机矿58基地爆炸8序列升级9基础对甲a伤害
2	32623 31432	 * 	230.02	紫1基础对甲1易伤1攻速1全技能1基地爆炸1暴击	1敌人爆炸2核3攻速4掉矿5全技能6基地爆炸7最后敌人8暴击9易伤a基础对甲
3	32663 31432	   	230.02	紫1基础对甲1易伤1攻速1全技能1基地爆炸1暴击	1敌人爆炸2核3攻速4技能点5全技能6基地爆炸7最后敌人8暴击9易伤a基础对甲
4	32325 35332	   	228.12	紫1基础对甲1易伤1攻速1全技能1基地爆炸1暴击	1敌人爆炸2核3最后敌人4攻速5金币生成6暴击7全技能8基地爆炸9易伤a基础对甲
5	32615 35332	   	228.12	紫1基础对甲1易伤1攻速1全技能1基地爆炸1暴击	1敌人爆炸2核3攻速4低血量敌人5金币生成6暴击7全技能8基地爆炸9易伤a基础对甲
6	62632 35332	   	228.02	紫1基础对甲1易伤1攻速1全技能1基地爆炸1暴击	1低血量敌人2核3攻速4技能点5基地爆炸6暴击7全技能8敌人爆炸9易伤a基础对甲
7	32632 33642	   	226.34	紫3攻速1基础对甲2基地爆炸	178敌人爆炸2核368攻速4随机矿58基地爆炸8序列升级9基础对甲a低血量敌人
8	32632 33641	   	226.24	紫3攻速1基础对甲2基地爆炸	178敌人爆炸2核368攻速4随机矿58基地爆炸8序列升级9基础对甲a掉矿
9	32325 55232	   	226.12	紫1基础对甲1易伤1攻速1全技能1基地爆炸1暴击	1敌人爆炸2核3最后敌人4攻速5金币生成6易伤7基地爆炸8暴击9全技能a基础对甲
10	32261 31132	   	226.02	紫1基础对甲1易伤1攻速1全技能1基地爆炸1暴击	1敌人爆炸2核3等级4易伤5攻速6暴击7低血量敌人8基地爆炸9全技能a基础对甲
11	32261 33332	   	226.02	紫1基础对甲1易伤1攻速1全技能1基地爆炸1暴击	1敌人爆炸2核3等级4易伤5攻速6暴击7基地爆炸8最后敌人9全技能a基础对甲
12	32261 36132	   	226.02	紫1基础对甲1易伤1攻速1全技能1基地爆炸1暴击	1敌人爆炸2核3等级4易伤5攻速6暴击7最后敌人8基地爆炸9全技能a基础对甲
13	32211 55232	   	226.02	紫1基础对甲1易伤1攻速1全技能1基地爆炸1暴击	1敌人爆炸2核3等级4低血量敌人5攻速6易伤7基地爆炸8暴击9全技能a基础对甲
14	32322 46232	   	226.02	紫1基础对甲1易伤1攻速1全技能1基地爆炸1暴击	1敌人爆炸2核3最后敌人4攻速5基地爆炸6等级7易伤8暴击9全技能a基础对甲
15	32612 46232	   	226.02	紫1基础对甲1易伤1攻速1全技能1基地爆炸1暴击	1敌人爆炸2核3攻速4低血量敌人5基地爆炸6等级7易伤8暴击9全技能a基础对甲
16	32662 51232	   	226.02	紫1基础对甲1易伤1攻速1全技能1基地爆炸1暴击	1敌人爆炸2核3攻速4技能点5基地爆炸6易伤7最后敌人8暴击9全技能a基础对甲
17	32662 53232	   	226.02	紫1基础对甲1易伤1攻速1全技能1基地爆炸1暴击	1敌人爆炸2核3攻速4技能点5基地爆炸6易伤7低血量敌人8暴击9全技能a基础对甲
18	32252 43163	 * 	219.58	紫1基础对甲2全技能1攻速1易伤	1敌人爆炸2核3等级4加一5基础对甲6立即金币78全技能9攻速a易伤
19	32252 43171	 * 	219.58	紫1基础对甲2全技能1易伤1伤害	1敌人爆炸2核3等级4加一5基础对甲6立即金币78全技能9易伤a伤害
20	32261 35113	 * 	218.10	紫2全技能1易伤1攻速1伤害1基地爆炸1暴击	1敌人爆炸2核3等级4易伤5攻速6暴击78全技能9基地爆炸a伤害
21	32261 22315	 * 	217.80	紫3攻速2易伤1全技能1暴击	1敌人爆炸2核3等级48易伤57a攻速6全技能9暴击
22	62261 22315	   	217.80	紫3攻速2易伤1全技能1暴击	1低血量敌人2核3等级48易伤57a攻速6全技能9暴击
23	62251 33182	 * 	217.42	紫3攻速2易伤2暴击1基地爆炸	17a低血量敌人2核3等级4加一57a攻速67暴击7a序列升级8基地爆炸9a易伤
24	32212 52353	 * 	217.29	紫1基础对甲1伤害1基础对冰1易伤1暴击	1敌人爆炸2核3等级4低血量敌人5基础对甲6立即金币7伤害8基础对冰9易伤a暴击
25	32252 42147	   	216.58	紫1基础对甲2全技能1易伤1伤害	1敌人爆炸2核3等级4加一5基础对甲6立即金币7伤害8a全技能9易伤
26	32252 26714	 * 	216.44	紫2基础对甲2伤害1攻速	19敌人爆炸2核3等级4加一59基础对甲6挖尘7掉矿89伤害9序列升级a攻速
