0	Index      	 *	Score 	Summary	Detail	
1	12151 52323	 * 	310.56	DCR|3LIT|2MLV|2DMG|1VULN	19aLIT|2RPLT|39MLV|4ZMB|5VULN|6RCR|7RCVC|89DMG|9BPWR
2	21613 51321	 * 	308.67	DCR|3LIT|2VULN|3DMG|1MLV	1LWND|246DMG|349LIT|4BPWR|5MLV|78VULN|aRCR
3	41613 51321	   	308.67	DCR|3LIT|2VULN|3DMG|1MLV	1LHND|246DMG|349LIT|4BPWR|5MLV|78VULN|aRCR
4	16313 55121	 * 	303.31	DCR|3LIT|2MLV|2VULN|1CDMG	127LIT|279BPWR|39MLV|47LWND|579BASHEA|6RCR|89VULN|aCDMG
5	12151 53325	 * 	293.97	DCR|3LIT|3ASPD|1VULN|1MLV|3ZMB	19aLIT|2RPLT|3MLV|49aZMB|5VULN|6RCR|7DUST|89aASPD|9aBPWR
6	21615 16313	   	293.01	DCR|3LIT|2VULN|2DMG|1MLV	1LWND|24DMG|345LIT|4BPWR|68VULN|7MLV|9LHND|aRCR
7	13115 24241	   	290.69	DCR|3LIT|2MLV|2VULN	169LIT|2CGEN|39VULN|4LWND|5FEWX|7RCR|89MLV|9BPWR|aZMB
8	13133 24241	   	290.69	DCR|3LIT|2MLV|2VULN	169LIT|2CGEN|39VULN|4FEWX|5LWND|7RCR|89MLV|9BPWR|aZMB
9	13134 24241	   	290.69	DCR|3LIT|2MLV|2VULN	169LIT|2CGEN|39VULN|4FEWX|5LHND|7RCR|89MLV|9BPWR|aZMB
10	13123 24241	   	290.54	DCR|3LIT|2MLV|2VULN	169LIT|2CGEN|39VULN|4DUST|5LWND|7RCR|89MLV|9BPWR|aZMB
11	13124 24241	   	290.54	DCR|3LIT|2MLV|2VULN	169LIT|2CGEN|39VULN|4DUST|5LHND|7RCR|89MLV|9BPWR|aZMB
12	13135 24241	   	290.54	DCR|3LIT|2MLV|2VULN	169LIT|2CGEN|39VULN|4FEWX|5DUR|7RCR|89MLV|9BPWR|aZMB
13	13125 24241	   	290.39	DCR|3LIT|2MLV|2VULN	169LIT|2CGEN|39VULN|4DUST|5DUR|7RCR|89MLV|9BPWR|aZMB
14	13113 53245	 * 	290.25	DCR|2LIT|2MLV|3VULN	19LIT|2CGEN|39aVULN|45LWND|6RCR|7LHND|89MLV|9BPWR
15	13113 52243	   	290.10	DCR|2LIT|2MLV|3VULN	19LIT|2CGEN|39aVULN|45LWND|6RCR|7DUR|89MLV|9BPWR
16	13133 14245	   	287.55	DCR|2LIT|2MLV|3VULN	19LIT|2CGEN|39aVULN|4FEWX|5LWND|6RCVC|7RCR|89MLV|9BPWR
17	13133 34245	   	287.55	DCR|2LIT|2MLV|3VULN	19LIT|2CGEN|39aVULN|4FEWX|56LWND|7RCR|89MLV|9BPWR
18	13113 14243	   	287.40	DCR|2LIT|2MLV|3VULN	19LIT|2CGEN|39aVULN|45LWND|6DUR|7RCR|89MLV|9BPWR
19	13123 14245	   	287.40	DCR|2LIT|2MLV|3VULN	19LIT|2CGEN|39aVULN|4DUST|5LWND|6RCVC|7RCR|89MLV|9BPWR
20	13123 34245	   	287.40	DCR|2LIT|2MLV|3VULN	19LIT|2CGEN|39aVULN|4DUST|56LWND|7RCR|89MLV|9BPWR
21	16335 31313	   	287.37	DCR|2LIT|3VULN|1MLV|1DMG	12LIT|2BPWR|3MLV|4DMSP|5CGEN|6RCR|79aVULN|8DMG
