0	Index      	 *	Score 	Summary	Detail	
1	12112 11542	 * 	282.12	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1DUST|27LIT|36VULN|4ASPD|5DMG|8RCR|9ZMB|aMLV
2	31221 11232	 * 	281.32	DCR|2LIT|3VULN|3DMG	1LEGI|257DMG|3CANSTR|478VULN|67LIT|7BPWR|9LWND|aRCR
3	53314 52133	 * 	281.22	DCR|2LIT|2VULN|2DMG|1MLV	1DMSP|2aVULN|3RMIN|4aTLV|56DMG|7RCR|8MLV|9aLIT|aBPWR
4	31221 11464	 * 	280.94	DCR|2LIT|2VULN|3DMG|1NUKE	1LEGI|257DMG|3CANSTR|47VULN|67LIT|7BPWR|8SNITOX|9RCR|aNUKE
5	12245 12336	 * 	279.96	ACR|3LIT|3VULN|1MLV|1DMG	14DUST|248LIT|3RCR|4BPWR|5MLV|67aVULN|9DMG
6	12111 12141	 * 	279.42	DCR|2LIT|2VULN|1MLV|2ASPD|1CDMG	1DUST|28LIT|36VULN|45ASPD|7CDMG|9RCR|aMLV
7	33441 12141	   	279.42	DCR|2LIT|2VULN|1MLV|2ASPD|1CDMG	1LEGI|25ASPD|38LIT|46VULN|7CDMG|9RCR|aMLV
8	12111 32541	   	279.42	DCR|2LIT|2VULN|1MLV|2ASPD|1CDMG	1DUST|26LIT|38VULN|45ASPD|7CDMG|9RCR|aMLV
9	31443 31353	 * 	278.97	DCR|3LIT|2VULN|2DMG|1AART	1LEGI|28DMG|367LIT|48VULN|58CGEN|8BPWR|9RCR|aAART
10	12111 12541	 * 	278.69	DCR|3VULN|1LIT|1MLV|2ASPD|1CDMG	1DUST|2LIT|368VULN|45ASPD|7CDMG|9RCR|aMLV
11	31221 11463	   	277.13	DCR|2LIT|2VULN|3DMG|1AART	1LEGI|257DMG|3CANSTR|47VULN|67LIT|7BPWR|8SNITOX|9RCR|aAART
12	12112 12542	   	276.83	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	1DUST|2LIT|36VULN|4ASPD|57DMG|8RCR|9ZMB|aMLV
13	12245 12313	   	276.15	ACR|3LIT|3VULN|1MLV|1AART	14DUST|248LIT|3RCR|4BPWR|5MLV|679VULN|aAART
14	53552 22331	 * 	275.72	DCR|2LIT|3VULN|1NUKE|1CDMG|1SELL	1DMSP|249VULN|34LIT|4BPWR|5ZMB|6RCR|7CDMG|8SELL|aNUKE
15	12156 12141	 * 	275.45	DCR|2LIT|3VULN|1MLV|1CDMG	1DUST|28LIT|356VULN|4CGEN|7CDMG|9RCR|aMLV
16	12346 12141	   	275.45	DCR|2LIT|3VULN|1MLV|1CDMG	1DUST|28LIT|3CGEN|456VULN|7CDMG|9RCR|aMLV
17	45523 11212	   	274.70	DCR|2LIT|3VULN|2DMG	157MGNSTR|27DMG|3LHND|458VULN|57BPWR|67LIT|9RCR|aZMB
18	12161 13463	   	273.55	DCR|2LIT|3VULN|1MLV|1CDMG|1DUR	1DUST|25LIT|356VULN|4LEGI|5BPWR|7DUR|8MLV|9CDMG|aRCR
19	12112 32542	   	273.50	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD	1DUST|26LIT|3VULN|4ASPD|57DMG|8RCR|9ZMB|aMLV
20	31442 53211	 * 	273.33	DCR|2LIT|2VULN|2DMG|2ASPD	1LEGI|2aDMG|36LIT|4aVULN|5RMIN|7RPLT|8RCR|9aASPD|aBPWR
21	12341 31356	 * 	273.21	DCR|3LIT|3VULN|2ASPD	18DUST|267LIT|3CGEN|48aVULN|58ASPD|8BPWR|9RCR
22	53552 23211	   	273.20	DCR|3LIT|3VULN|1CDMG	1DMSP|248VULN|34aLIT|4BPWR|5ZMB|6RCR|7BELT|9CDMG
23	31442 13211	 * 	272.59	DCR|3VULN|1LIT|2DMG|2ASPD	1LEGI|2aDMG|3LIT|46aVULN|5RMIN|7RPLT|8RCR|9aASPD|aBPWR
24	53552 21232	   	272.27	DCR|2LIT|2VULN|1MLV|1DMG	1DMSP|24VULN|34LIT|4BPWR|5ZMB|6RCR|7BEXP|8DMG|9TLV|aMLV
25	12112 11543	   	272.16	DCR|2LIT|3VULN|1DMG|1ASPD	1DUST|27LIT|36aVULN|4ASPD|5DMG|8RCR|9ZMB
26	32522 52522	   	270.57	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	1LEGI|2BELT|38VULN|49LIT|5ASPD|6CDMG|7RCR|aMLV
27	12625 22152	   	270.16	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG	1DUST|28LIT|3RCVC|45DMG|6RCR|7CDMG|9MLV|aVULN
28	12111 12544	   	269.46	DCR|2LIT|3VULN|2ASPD|1CDMG	1DUST|2aLIT|368VULN|45ASPD|7CDMG|9RCR
29	53124 12141	 * 	268.96	DCR|2LIT|2MLV|2VULN|1CDMG	1DMSP|26VULN|3DUST|4aMLV|58LIT|7CDMG|9RCR
30	45523 11213	   	267.76	DCR|2LIT|3VULN|2DMG	157MGNSTR|27DMG|3LHND|458VULN|57BPWR|67LIT|9RCR|aFEWX
