0	Index      	 *	Score 	Summary	Detail	
1	33387 45222	 * 	287.50	DCR|2LIT|3VULN|1MLV|1ASPD|1CDMG	18TLV|2MBVNT|3MLV|489VULN|5ASPD|6CDMG|78LIT|8BPWR|aRCR
2	22114 36136	 * 	284.97	DCR|2LIT|2MLV|2FLTARM|1VULN|2DUR	18LWND|2aBEXP|38MLV|4VULN|5aLIT|68DUR|7RCR|8aBPWR|9aFLTARM
3	22513 16136	 * 	279.61	DCR|2LIT|2FLTARM|2VULN|1DUR	1LWND|2aBEXP|3DUR|45LIT|6RCR|7aVULN|8TLV|9aFLTARM|aBPWR
4	23211 16136	   	279.61	DCR|2LIT|2FLTARM|2VULN|1DUR	13LWND|2aLIT|4FEWX|5DUR|6RCR|7aVULN|8TLV|9aFLTARM|aBPWR
5	23141 16136	   	279.51	DCR|2LIT|2FLTARM|2VULN|1DUR	1LWND|2aLIT|3DUST|4DMSP|5DUR|6RCR|7aVULN|8TLV|9aFLTARM|aBPWR
6	23231 16136	   	279.51	DCR|2LIT|2FLTARM|2VULN|1DUR	13LWND|2aLIT|4DUST|5DUR|6RCR|7aVULN|8TLV|9aFLTARM|aBPWR
7	23111 16136	   	279.41	DCR|2LIT|2FLTARM|2VULN|1DUR	1LWND|2aLIT|34DUST|5DUR|6RCR|7aVULN|8TLV|9aFLTARM|aBPWR
8	33387 45232	 * 	277.82	DCR|2LIT|2VULN|1MLV|2ASPD|1CDMG	18TLV|2MBVNT|3MLV|48VULN|59ASPD|6CDMG|78LIT|8BPWR|aRCR
9	33632 65222	 * 	276.97	DCR|2LIT|2MLV|2VULN|1CDMG	18TLV|2MBVNT|3CDMG|48MLV|5ZMB|69VULN|78LIT|8BPWR|aRCR
10	34153 22241	 * 	272.83	DCR|2MLV|1LIT|2VULN|1FLTARM|1CDMG	1TLV|2LIT|38MLV|4ZMB|5FLTARM|69VULN|7CDMG|aRCR
11	34153 22421	   	272.83	DCR|2MLV|1LIT|2VULN|1FLTARM|1CDMG	1TLV|2LIT|39MLV|4ZMB|5FLTARM|68VULN|7CDMG|aRCR
12	33383 64222	 * 	270.95	DCR|3VULN|1LIT|1MLV|2CDMG|1ASPD	18TLV|2MBVNT|3MLV|489VULN|5LIT|6ASPD|78CDMG|8BPWR|aRCR
13	43383 64222	   	270.95	DCR|3VULN|1LIT|1MLV|2CDMG|1ASPD	18CGEN|2MBVNT|3MLV|489VULN|5LIT|6ASPD|78CDMG|8BPWR|aRCR
