0	Index      	 *	Score 	Summary	Detail	
1	24132 31521	 * 	331.68	DCR|3LIT|2MLV|2DMG|1VULN|1CDMG|1ASPD	18MLV|248LIT|34LWND|48BPWR|5CDMG|68DMG|7RCR|9ASPD|aVULN
2	24132 31535	 * 	324.66	DCR|3LIT|3MLV|3DMG|2CDMG|1AART	189MLV|248LIT|34LWND|489BPWR|59CDMG|689DMG|7RCR|aAART
3	34335 11621	 * 	321.62	DCR|5VULN|2LIT|1MLV|2CDMG	14689VULN|28LIT|38CDMG|5MBVNT|7RCR|8BPWR|aMLV
4	24132 31514	   	318.08	DCR|3LIT|2MLV|2DMG|1VULN|1CDMG	18MLV|248LIT|34LWND|48BPWR|5CDMG|68DMG|7RCR|9FRZARM|aVULN
5	24132 31553	   	318.08	DCR|3LIT|2MLV|2DMG|1VULN|1CDMG	18MLV|248LIT|34LWND|48BPWR|5CDMG|68DMG|7RCR|9FEWX|aVULN
6	24132 31541	   	317.93	DCR|3LIT|2MLV|2DMG|1VULN|1CDMG	18MLV|248LIT|34LWND|48BPWR|5CDMG|68DMG|7RCR|9ERES|aVULN
7	34312 31532	 * 	317.63	DCR|2LIT|4VULN|2DMG|1ASPD|1CDMG	158aVULN|28LIT|3CDMG|4ASPD|68DMG|7RCR|8BPWR|9ERES
8	24112 31512	 * 	315.46	DCR|2LIT|2MLV|3DMG|1VULN|1CDMG	18MLV|28LIT|34LWND|5CDMG|689DMG|7RCR|8BPWR|aVULN
9	24112 31525	   	315.46	DCR|2LIT|2MLV|3DMG|1VULN|1CDMG	18MLV|28LIT|34LWND|5CDMG|68aDMG|7RCR|8BPWR|9VULN
10	24322 31512	   	315.46	DCR|2LIT|2MLV|3DMG|1VULN|1CDMG	18MLV|28LIT|3DMSP|4FEWX|5CDMG|689DMG|7RCR|8BPWR|aVULN
11	24322 31525	   	315.46	DCR|2LIT|2MLV|3DMG|1VULN|1CDMG	18MLV|28LIT|3DMSP|4FEWX|5CDMG|68aDMG|7RCR|8BPWR|9VULN
12	24332 31512	   	315.46	DCR|2LIT|2MLV|3DMG|1VULN|1CDMG	18MLV|28LIT|3DMSP|4LWND|5CDMG|689DMG|7RCR|8BPWR|aVULN
13	24332 31525	   	315.46	DCR|2LIT|2MLV|3DMG|1VULN|1CDMG	18MLV|28LIT|3DMSP|4LWND|5CDMG|68aDMG|7RCR|8BPWR|9VULN
14	34312 31533	 * 	314.12	DCR|2LIT|3VULN|3DMG|1ASPD|1CDMG	158VULN|28LIT|3CDMG|4ASPD|68aDMG|7RCR|8BPWR|9ERES
15	34315 31532	 * 	310.92	DCR|2LIT|3VULN|2DMG|2ASPD|1CDMG	18aVULN|28LIT|3CDMG|45ASPD|68DMG|7RCR|8BPWR|9ERES
16	24132 31532	   	308.46	DCR|3LIT|3MLV|3DMG|2CDMG	189MLV|248LIT|34LWND|489BPWR|59CDMG|689DMG|7RCR|aTLV
17	24132 31534	   	308.46	DCR|3LIT|3MLV|3DMG|2CDMG	189MLV|248LIT|34LWND|489BPWR|59CDMG|689DMG|7RCR|aBEXP
18	24132 31531	   	308.31	DCR|3LIT|3MLV|3DMG|2CDMG	189MLV|248LIT|34LWND|489BPWR|59CDMG|689DMG|7RCR|aDUR
19	24132 31536	   	308.31	DCR|3LIT|3MLV|3DMG|2CDMG	189MLV|248LIT|34LWND|489BPWR|59CDMG|689DMG|7RCR|aDUST
20	36632 31532	 * 	307.21	DCR|4VULN|1LIT|2DMG|2ASPD|1CDMG	128aVULN|38ASPD|4LIT|5CDMG|68DMG|7RCR|8BPWR|9ERES
21	36332 31512	 * 	307.09	DCR|4VULN|1LIT|3DMG|1CDMG	128aVULN|38ZMB|4LIT|5CDMG|689DMG|7RCR|8BPWR
22	34335 11622	 * 	306.83	DCR|3LIT|5VULN|2CDMG	14689VULN|28aLIT|38CDMG|5MBVNT|7RCR|8BPWR
23	34312 31522	   	304.88	DCR|2LIT|3VULN|2DMG|2CDMG|1ASPD	158VULN|28LIT|39CDMG|4ASPD|68DMG|7RCR|8BPWR|aDMSP
24	34312 31523	   	304.88	DCR|2LIT|3VULN|2DMG|2CDMG|1ASPD	158VULN|28LIT|39CDMG|4ASPD|68DMG|7RCR|8BPWR|aTLV
25	34312 31526	   	304.88	DCR|2LIT|3VULN|2DMG|2CDMG|1ASPD	158VULN|28LIT|39CDMG|4ASPD|68DMG|7RCR|8BPWR|aLWND
26	34312 31521	   	304.78	DCR|2LIT|3VULN|2DMG|2CDMG|1ASPD	158VULN|28LIT|39CDMG|4ASPD|68DMG|7RCR|8BPWR|aERES
27	34312 31524	   	304.78	DCR|2LIT|3VULN|2DMG|2CDMG|1ASPD	158VULN|28LIT|39CDMG|4ASPD|68DMG|7RCR|8BPWR|aLEGI
28	34315 31533	 * 	304.43	DCR|2LIT|2VULN|3DMG|2ASPD|1CDMG	18VULN|28LIT|3CDMG|45ASPD|68aDMG|7RCR|8BPWR|9ERES
29	36632 31533	 * 	303.70	DCR|3VULN|1LIT|3DMG|2ASPD|1CDMG	128VULN|38ASPD|4LIT|5CDMG|68aDMG|7RCR|8BPWR|9ERES
