0	Index      	 *	Score 	Summary	Detail	
1	11635 34333	 * 	301.25	DCR|2LIT|3VULN|2DMG|1MLV	145VULN|2NUKE|37LIT|6MLV|8RCR|9aDMG
2	31454 12222	 * 	298.49	DCR|3LIT|2MLV|2DMG|2ASPD|1CDMG	17aLIT|2CGEN|3aDMG|4CDMG|59MLV|6RCR|8aASPD|aBPWR
3	33366 13332	 * 	298.35	DCR|3LIT|3VULN|1MLV|1CDMG	189LIT|28LHND|3ERES|4CDMG|578VULN|6RCR|8BPWR|aMLV
4	11635 33333	 * 	297.55	DCR|4VULN|1LIT|2DMG|1MLV	1457VULN|2NUKE|3LIT|6MLV|8RCR|9aDMG
5	11635 33336	   	293.61	DCR|4VULN|1LIT|1MLV|1DMG|1CDMG	1457VULN|2NUKE|3LIT|6MLV|8RCR|9DMG|aCDMG
6	35633 11523	 * 	291.39	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	1LIT|2FEWX|3aASPD|4aVULN|5ZMB|6aDMG|7RCR|8BEXP|9MLV|aBPWR
7	13512 23121	 * 	288.78	DCR|2LIT|2VULN|2DMG|2ASPD|1CDMG	1aVULN|2LWND|3aLIT|4CDMG|58DMG|6aASPD|7RCR|9MBVNT|aBPWR
8	13512 23151	   	288.78	DCR|2LIT|2VULN|2DMG|2ASPD|1CDMG	1aVULN|2LWND|3aLIT|4CDMG|58DMG|6aASPD|7RCR|9LEGI|aBPWR
9	12563 11523	 * 	288.05	DCR|2LIT|2DMG|1VULN|1MLV|2ASPD	1VULN|2FEWX|3aLIT|4aASPD|5ZMB|6aDMG|7RCR|8BEXP|9MLV|aBPWR
10	31454 12332	   	287.84	DCR|3LIT|2MLV|2DMG|1CDMG|2ZMB	17aLIT|2CGEN|3aDMG|4CDMG|58MLV|6RCR|9aZMB|aBPWR
11	11633 51623	 * 	287.25	DCR|2LIT|2MLV|3VULN	14aVULN|2NUKE|3aLIT|5MBVNT|6BEXP|7RCR|8FEWX|9aMLV|aBPWR
12	32365 63332	 * 	287.11	DCR|2MLV|1LIT|2VULN|2DMG|1ASPD	1LIT|2RCVC|39DMG|46MLV|57VULN|8RCR|aASPD
13	11633 51523	   	287.10	DCR|2LIT|2MLV|3VULN	14aVULN|2NUKE|3aLIT|5MBVNT|6BEXP|7RCR|8DUST|9aMLV|aBPWR
14	51322 21523	   	286.76	DCR|2MLV|1LIT|2VULN|2DMG	1FEWX|2NUKE|3aDMG|4ZMB|5LIT|6aVULN|7RCR|8BEXP|9aMLV|aBPWR
15	26512 23125	   	285.44	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG|1ASPD	1LHND|2aVULN|3LIT|4CDMG|58DMG|6ASPD|7RCR|9MLV
16	11342 41523	   	284.28	DCR|2LIT|2MLV|2VULN|1DMG	1aVULN|2NUKE|3DMG|4RMIN|5aLIT|6BEXP|7RCR|8FEWX|9aMLV|aBPWR
17	11342 41423	   	284.13	DCR|2LIT|2MLV|2VULN|1DMG	1aVULN|2NUKE|3DMG|4RMIN|5aLIT|6BEXP|7RCR|8DUST|9aMLV|aBPWR
18	32365 63331	   	283.91	DCR|2MLV|1LIT|2VULN|2DMG	1LIT|2RCVC|39DMG|46MLV|57VULN|8RCR|aZMB
19	11635 34331	   	283.67	DCR|2LIT|3VULN|1MLV|1DMG	145VULN|2NUKE|37LIT|6MLV|8RCR|9DMG|aFEWX
20	11635 34332	   	283.67	DCR|2LIT|3VULN|1MLV|1DMG	145VULN|2NUKE|37LIT|6MLV|8RCR|9DMG|aCGEN
21	34263 13451	   	283.57	DCR|2LIT|3VULN|1MLV|1DMG	16LIT|2ERES|3MLV|4DMG|5MBVNT|79aVULN|8RCR
22	11635 33323	 * 	282.77	DCR|2LIT|4VULN|1MLV	1457VULN|2NUKE|3aLIT|6MLV|8RCR|9CGEN
23	11635 33353	   	282.67	DCR|2LIT|4VULN|1MLV	1457VULN|2NUKE|3aLIT|6MLV|8RCR|9DUST
24	65322 21523	   	282.23	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD|2ZMB	1ASPD|2FEWX|3aDMG|4aZMB|5LIT|6aVULN|7RCR|8BEXP|9MLV|aBPWR
25	26512 23124	   	282.11	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG|1ASPD	1LHND|2VULN|3aLIT|4CDMG|58DMG|6ASPD|7RCR|9MLV
26	32365 63323	   	281.43	DCR|2LIT|2MLV|2VULN|1DMG	1aLIT|2RCVC|3DMG|46MLV|57VULN|8RCR|9CGEN
27	33643 11241	   	281.12	DCR|2LIT|2DMG|1VULN|1MLV|2ASPD	18LIT|2LHND|38ASPD|4CGEN|5BEXP|68DMG|7RCR|8BPWR|9VULN|aMLV
28	33653 11241	   	281.12	DCR|2LIT|2DMG|1VULN|1MLV|2ASPD	18LIT|2LHND|38ASPD|4TLV|5BEXP|68DMG|7RCR|8BPWR|9VULN|aMLV
29	33366 13351	   	281.05	DCR|2LIT|3VULN|1MLV|1CDMG	18LIT|28LHND|3ERES|4CDMG|578VULN|6RCR|8BPWR|9MLV|aFEWX
30	33366 13352	   	281.05	DCR|2LIT|3VULN|1MLV|1CDMG	18LIT|28LHND|3ERES|4CDMG|578VULN|6RCR|8BPWR|9MLV|aTLV
31	33612 11241	   	281.02	DCR|2LIT|2DMG|1VULN|1MLV|2ASPD	18LIT|2LHND|38ASPD|4LEGI|5RMIN|68DMG|7RCR|8BPWR|9VULN|aMLV
