0	Index      	 *	Score 	Summary	Detail	
1	35215 53211	 * 	310.06	橙5易伤3伤害2等级	16789易伤29等级379敌人爆炸467伤害5立即金币679序列升级a核
2	35221 33226	 * 	308.16	橙4易伤2矿等1等级1伤害	159a易伤2等级39敌人爆炸4时间6核7伤害89矿等9序列升级
3	35221 35226	   	304.35	橙4易伤2矿等1等级1攻速	159a易伤2等级39敌人爆炸4时间6核7攻速89矿等9序列升级
4	35122 12255	 * 	297.76	橙橙1等级1易伤1矿等	1易伤2等级3基地爆炸4时间5随机技能6a核7矿等8全技能9敌人爆炸
5	35222 12225	   	297.76	橙橙1等级1易伤1矿等	1易伤2等级3敌人爆炸4时间5随机技能6a核7矿等8全技能9基地爆炸
6	51233 41242	 * 	295.01	橙橙2易伤1等级1攻速	1等级2爆破对壮3立即金币4随机矿5随机技能68核79易伤a攻速
7	31633 43251	   	293.62	橙橙2易伤1等级2时间	14易伤2立即金币3多重对愈5随机技能68核7a时间9等级
8	31633 43242	 * 	293.37	橙橙3易伤1攻速	149易伤2立即金币3多重对愈5随机技能68核7时间a攻速
9	32636 13236	 * 	291.03	橙橙2易伤2伤害2随机技能	15易伤23伤害4最后敌人6a随机技能79核8赏金塔
10	32616 43232	 * 	290.31	橙橙2伤害1易伤1等级	1易伤23伤害4随机技能5等级6金币生成79核8赏金塔a雷电
11	32616 43233	   	290.31	橙橙2伤害1易伤1等级	1易伤23伤害4随机技能5等级6金币生成79核8赏金塔a策反
12	32616 53232	   	290.31	橙橙2伤害1等级1易伤	1易伤23伤害4随机技能5等级6随机矿79核8赏金塔a雷电
13	32616 53233	   	290.31	橙橙2伤害1等级1易伤	1易伤23伤害4随机技能5等级6随机矿79核8赏金塔a策反
14	32616 43231	   	290.21	橙橙2伤害1易伤1等级	1易伤23伤害4随机技能5等级6金币生成79核8赏金塔a基地爆炸
15	32616 53231	   	290.21	橙橙2伤害1等级1易伤	1易伤23伤害4随机技能5等级6随机矿79核8赏金塔a基地爆炸
16	53632 23135	 * 	289.94	橙3易伤2矿等2等级	17等级2随机技能3赏金邻近4双倍秒伤57矿等67a易伤7序列升级8时间9核
17	51243 41211	   	289.45	橙橙1易伤1等级1矿等	1等级2爆破对壮3立即金币4技能点5随机技能68核7易伤9矿等a时间
18	35221 33221	   	288.99	橙3易伤2矿等1等级1伤害	159易伤2等级39敌人爆炸4时间6核7伤害89矿等9序列升级a低血量敌人
19	35221 33224	   	288.99	橙3易伤2矿等1等级1伤害	159易伤2等级39敌人爆炸4时间6核7伤害89矿等9序列升级a赏金塔
20	35221 33225	   	288.99	橙3易伤2矿等1等级1伤害	159易伤2等级39敌人爆炸4时间6核7伤害89矿等9序列升级a双倍矿
21	35221 33222	   	288.89	橙3易伤2矿等1等级1伤害1挖怪	159易伤2等级39敌人爆炸4时间6核7伤害89矿等9序列升级a挖怪
22	35221 33223	   	288.89	橙3易伤2矿等1等级1伤害	159易伤2等级39敌人爆炸4时间6核7伤害89矿等9序列升级a双倍秒伤
23	31633 42251	   	287.07	橙橙2易伤1等级	14易伤2立即金币3多重对愈5随机技能68核7敌人爆炸9等级a时间
24	31633 43212	   	287.07	橙橙2易伤1等级	14易伤2立即金币3多重对愈5随机技能68核7时间9技能点a等级
