0	Index      	 *	Score 	Summary	Detail	
1	21213 33251	 * 	307.45	橙橙2易伤1等级1矿等	1等级29易伤3随机技能4矿等5雷电6低血量敌人7a核8赏金邻近
2	22232 23564	 * 	299.33	橙2易伤3等级2矿等2伤害	135等级2赏金塔3a序列升级4赏金邻近6核7a易伤8a伤害9a矿等
3	11522 11454	 * 	298.20	橙3易伤2矿等1等级2攻速	127易伤37攻速4加一57矿等6双倍秒伤7序列升级8等级9随机技能a核
4	22632 53413	 * 	292.28	橙3易伤3矿等1等级	1等级2赏金塔368矿等49a易伤5时间7核
5	21213 13241	   	289.55	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6时间7a核8赏金邻近9双倍矿
6	21213 13251	   	289.55	橙橙1等级1易伤1矿等	1等级2易伤3随机技能4矿等5雷电6时间7a核8赏金邻近9立即金币
7	21213 13361	   	289.55	橙橙1等级1易伤1矿等	1等级2易伤3随机技能4矿等5雷电6时间7a核8立即金币9赏金塔
8	21213 13121	   	289.45	橙橙1等级1易伤1矿等	1等级2易伤3随机技能4矿等5雷电6时间7a核8双倍秒伤9最后敌人
9	21213 13131	   	289.45	橙橙1等级1易伤1矿等	1等级2易伤3随机技能4矿等5雷电6时间7a核8双倍秒伤9低血量敌人
10	21213 13141	   	289.35	橙橙1等级1易伤1矿等	1等级2易伤3随机技能4矿等5雷电6时间7a核8双倍秒伤9基地爆炸
11	22631 53413	   	283.97	橙3易伤3矿等1等级	1等级2赏金塔368矿等49a易伤5敌人爆炸7核
12	21422 31538	   	282.52	橙橙1等级1易伤1矿等	1等级2易伤3立即金币4加一5矿等6时间7额外掉落8a核9赏金邻近
13	21622 31538	   	282.42	橙橙1等级1易伤1矿等	1等级2易伤3暴雪减费4加一5矿等6时间7额外掉落8a核9赏金邻近
14	21213 33361	   	281.25	橙橙1等级1易伤1矿等	1等级2易伤3随机技能4矿等5雷电6低血量敌人7a核8立即金币9赏金塔
15	21213 43241	   	281.25	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6敌人爆炸7a核8赏金邻近9双倍矿
16	21213 43361	   	281.25	橙橙1等级1易伤1矿等	1等级2易伤3随机技能4矿等5雷电6敌人爆炸7a核8立即金币9赏金塔
17	21213 33121	   	281.15	橙橙1等级1易伤1矿等	1等级2易伤3随机技能4矿等5雷电6低血量敌人7a核8双倍秒伤9最后敌人
18	21213 43121	   	281.15	橙橙1等级1易伤1矿等	1等级2易伤3随机技能4矿等5雷电6敌人爆炸7a核8双倍秒伤9最后敌人
19	21213 43131	   	281.15	橙橙1等级1易伤1矿等	1等级2易伤3随机技能4矿等5雷电6敌人爆炸7a核8双倍秒伤9低血量敌人
20	21213 53241	   	281.15	橙橙1易伤1等级1矿等	1等级2易伤3随机技能4矿等5雷电6挖尘7a核8赏金邻近9双倍矿
21	21213 53361	   	281.15	橙橙1等级1易伤1矿等	1等级2易伤3随机技能4矿等5雷电6挖尘7a核8立即金币9赏金塔
22	21213 33131	   	281.05	橙橙1等级1易伤1矿等	1等级2易伤3随机技能4矿等5雷电6低血量敌人7a核8双倍秒伤9挖青
23	21213 33141	   	281.05	橙橙1等级1易伤1矿等	1等级2易伤3随机技能4矿等5雷电6低血量敌人7a核8双倍秒伤9基地爆炸
24	21213 43141	   	281.05	橙橙1等级1易伤1矿等	1等级2易伤3随机技能4矿等5雷电6敌人爆炸7a核8双倍秒伤9基地爆炸
25	21213 53121	   	281.05	橙橙1等级1易伤1矿等	1等级2易伤3随机技能4矿等5雷电6挖尘7a核8双倍秒伤9最后敌人
26	21213 53131	   	281.05	橙橙1等级1易伤1矿等	1等级2易伤3随机技能4矿等5雷电6挖尘7a核8双倍秒伤9低血量敌人
27	21213 53221	   	281.05	橙橙1等级1易伤1矿等	1等级2易伤3随机技能4矿等5雷电69挖尘7a核8赏金邻近
28	21213 53141	   	280.95	橙橙1等级1易伤1矿等	1等级2易伤3随机技能4矿等5雷电6挖尘7a核8双倍秒伤9基地爆炸
29	31152 11653	 * 	280.49	橙3易伤2矿等2技能1伤害	17敌人爆炸247易伤3a技能57矿等6双倍秒伤7序列升级8核9伤害
30	11521 15338	   	279.33	橙3易伤2矿等2攻速1伤害	12a易伤3a攻速4加一5赏金塔6核7伤害8金币生成9a矿等a序列升级
31	21243 33251	   	278.86	橙橙2易伤1等级	1等级29易伤3随机技能4金币生成5雷电6低血量敌人7a核8赏金邻近
32	11161 44311	 * 	278.48	橙橙3易伤	12a易伤3立即金币4全技能5时间6敌人爆炸79核8导弹对绿
33	21366 27431	   	277.66	橙2易伤2矿等2等级1技能	18等级28易伤3平台4挖尘5加一6时间78矿等8序列升级9核a技能
