0	Index      	 *	Score 	Summary	Detail	
1	31634 62333	 * 	218.84	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	1aMSLFST|2aDUR|3ASPD|48DMG|5BELT|6RCR|7aVULN|9AART|aBPWR
2	51112 13163	 * 	215.78	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2LIT|3AART|4LWND|5DMG|68aVULN|7CDMG|9RCR
3	51122 13163	   	215.78	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2LIT|3AART|4LHND|5DMG|68aVULN|7CDMG|9RCR
4	51332 13163	   	215.78	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2LIT|3LWND|4AART|5DMG|68aVULN|7CDMG|9RCR
5	63315 12231	 * 	212.66	DCR|2VULN|2ASPD|2CDMG|1DMG|1ZMB|1DUR	1ZMB|29CDMG|3DMG|4FEWX|59VULN|6BELT|7DUR|89ASPD|9BPWR|aRCR
6	51112 13463	 * 	212.17	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	18ASPD|2LIT|3AART|4LWND|5DMG|6aVULN|7CDMG|9RCR
7	51122 13463	   	212.17	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	18ASPD|2LIT|3AART|4LHND|5DMG|6aVULN|7CDMG|9RCR
8	51332 13463	   	212.17	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	18ASPD|2LIT|3LWND|4AART|5DMG|6aVULN|7CDMG|9RCR
9	53332 12461	 * 	211.16	DCR|1MDPS|2ASPD|1VULN|1DMG|1CDMG|2DUR|1AAC	14ASPD|2CDMG|3DMG|56DUR|7RCR|8VULN|9MDPS|aAAC
10	53331 23436	 * 	210.92	DCR|3ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	147ASPD|2CDMG|3DMG|5ERES|6AART|8VULN|9DUR|aRCR
11	51112 11453	 * 	208.08	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1ASPD|2LIT|39AART|4LWND|5DMG|6aVULN|7DUR|8RCR
12	51122 11453	   	208.08	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1ASPD|2LIT|39AART|4LHND|5DMG|6aVULN|7DUR|8RCR
13	51332 11453	   	208.08	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1ASPD|2LIT|3LWND|49AART|5DMG|6aVULN|7DUR|8RCR
14	51112 13162	   	206.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2LIT|3AART|4LWND|5DMG|68VULN|7CDMG|9RCR|aDUR
15	51122 13162	   	206.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2LIT|3AART|4LHND|5DMG|68VULN|7CDMG|9RCR|aDUR
16	51332 13162	   	206.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2LIT|3LWND|4AART|5DMG|68VULN|7CDMG|9RCR|aDUR
17	53362 12226	 * 	206.21	DCR|2VULN|3CDMG|1ASPD|1DMG|2DUR	1ASPD|248CDMG|3DMG|56DUR|7RCR|9aVULN
18	61112 13163	   	206.05	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1ZMB|2LIT|3AART|4LWND|5ASPD|68aVULN|7CDMG|9RCR
19	61122 13163	   	206.05	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1ZMB|2LIT|3AART|4LHND|5ASPD|68aVULN|7CDMG|9RCR
20	61332 13163	   	206.05	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1ZMB|2LIT|3LWND|4AART|5ASPD|68aVULN|7CDMG|9RCR
21	53332 12426	   	205.94	DCR|2VULN|2ASPD|1DMG|1CDMG|2DUR	14ASPD|2CDMG|3DMG|56DUR|7RCR|8aVULN|9AELBLL
22	53233 11232	 * 	205.81	DCR|3ASPD|2DMG|1AART|2CDMG|1SELL	14aASPD|2aCDMG|3ERES|5SELL|6CGEN|7AART|8aDMG|9RCR|aBPWR
23	53233 31232	 * 	205.81	DCR|3ASPD|2DMG|1AART|2CDMG|1SELL	14aASPD|2aCDMG|3ERES|5SELL|6MLV|7AART|8aDMG|9RCR|aBPWR
24	63315 11231	   	204.35	DCR|2VULN|2ASPD|2CDMG|1DMG|1ZMB	1ZMB|29CDMG|3DMG|4FEWX|59VULN|6BELT|7LWND|89ASPD|9BPWR|aRCR
