0	Index      	 *	Score 	Summary	Detail	
1	52353 31511	 * 	236.97	DCR|4VULN|2DMG|2CDMG|1ASPD	1268VULN|3AME|48DMG|58CDMG|7RCR|8BPWR|9MBVNT|aASPD
2	52353 31521	 * 	235.73	DCR|4VULN|1MDPS|2DMG|2CDMG	1268VULN|3AME|48DMG|58CDMG|7RCR|8BPWR|9MDPS|aLIT
3	52353 31522	   	235.73	DCR|4VULN|1MDPS|2DMG|2CDMG	1268VULN|3AME|48DMG|58CDMG|7RCR|8BPWR|9MDPS|aMLV
4	52353 31523	   	235.73	DCR|4VULN|1MDPS|2DMG|2CDMG	1268VULN|3aAME|48DMG|58CDMG|7RCR|8BPWR|9MDPS
5	52353 31531	   	217.01	DCR|4VULN|2DMG|2CDMG	1268VULN|3AME|48DMG|58CDMG|7RCR|8BPWR|9RMIN|aCGEN
6	52353 31532	   	217.01	DCR|4VULN|2DMG|2CDMG	1268VULN|3AME|48DMG|58CDMG|7RCR|8BPWR|9RMIN|aLWND
7	52353 31512	   	216.91	DCR|4VULN|2DMG|2CDMG	1268VULN|3AME|48DMG|58CDMG|7RCR|8BPWR|9MBVNT|aMLV
8	52353 31513	   	216.91	DCR|4VULN|2DMG|2CDMG	1268VULN|3AME|48DMG|58CDMG|7RCR|8BPWR|9MBVNT|aRMIN
9	52353 31533	   	216.91	DCR|4VULN|2DMG|2CDMG|1MSE	1268VULN|3AME|48DMG|58CDMG|7RCR|8BPWR|9RMIN|aMSE
10	52353 31514	   	216.81	DCR|4VULN|2DMG|2CDMG	1268VULN|3AME|48DMG|58CDMG|7RCR|8BPWR|9MBVNT|aDUST
11	45331 22211	 * 	215.14	DCR|3VULN|1SPLARM|1AART|1CDMG|1ZMB	1RPLT|2AART|346VULN|4BPWR|5AME|7ZMB|8CDMG|9RCR|aSPLARM
12	42246 22211	   	215.04	DCR|3VULN|1SPLARM|1AART|1CDMG|1ZMB	1RPLT|2TLV|356VULN|4AART|7ZMB|8CDMG|9RCR|aSPLARM
13	45336 22211	   	215.04	DCR|3VULN|1SPLARM|1AART|1CDMG|1ZMB	1RPLT|2AART|346VULN|4BPWR|5ERES|7ZMB|8CDMG|9RCR|aSPLARM
14	52353 31123	   	213.59	DCR|3VULN|2DMG|1ASPD|1CDMG	126VULN|3AME|4aDMG|5CDMG|7RCR|8BELT|9ASPD
