0	Index      	 *	Score 	Summary	Detail	
1	16223 22433	 * 	235.84	DCR|3VULN|2AART|2DMG|3DUR	18aDUR|29AART|3aDMG|46aVULN|5LEGI|7RCR|aBPWR
2	16221 22126	 * 	226.33	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|28AART|3DMG|46VULN|5LHND|7RCR|9CDMG|aASPD
3	16223 22126	   	226.23	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|28AART|3DMG|46VULN|5LEGI|7RCR|9CDMG|aASPD
4	16224 22126	   	226.23	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|28AART|3DMG|46VULN|5DUST|7RCR|9CDMG|aASPD
5	16221 22124	 * 	225.10	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG|1DUR	1DUR|28AART|3DMG|46VULN|5LHND|7RCR|9CDMG|aMDPS
6	16223 22124	   	225.00	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG|1DUR	1DUR|28AART|3DMG|46VULN|5LEGI|7RCR|9CDMG|aMDPS
7	16224 22124	   	225.00	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG|1DUR	1DUR|28AART|3DMG|46VULN|5DUST|7RCR|9CDMG|aMDPS
8	42231 53113	 * 	221.70	DCR|3VULN|1SPLARM|2ASPD|1ZMB|1DUR	1FEWX|2DUR|3ZMB|459VULN|68ASPD|7RCR|aSPLARM
9	26221 22216	 * 	219.54	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1LWND|2AART|39DMG|46VULN|5LHND|7RCR|8CDMG|aASPD
10	16221 22433	   	218.35	DCR|3VULN|2AART|1DMG|3DUR	18aDUR|29AART|3DMG|46aVULN|5aLHND|7RCR|aBPWR
11	26221 22214	 * 	218.30	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG	1LWND|2AART|39DMG|46VULN|5LHND|7RCR|8CDMG|aMDPS
12	26224 22126	   	217.93	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1LWND|28AART|3DMG|46VULN|5DUST|7RCR|9CDMG|aASPD
13	26221 22213	 * 	217.31	DCR|3VULN|2DMG|1AART|1CDMG	1LWND|2AART|39DMG|46aVULN|5LHND|7RCR|8CDMG
14	26224 22124	   	216.69	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG	1LWND|28AART|3DMG|46VULN|5DUST|7RCR|9CDMG|aMDPS
15	26224 22123	 * 	215.70	DCR|3VULN|2AART|1DMG|1CDMG	1LWND|28AART|3DMG|46aVULN|5DUST|7RCR|9CDMG
16	16221 22426	   	215.50	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	18DUR|2AART|3DMG|46VULN|5LHND|7RCR|9CDMG|aASPD
17	16223 22426	   	215.40	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	18DUR|2AART|3DMG|46VULN|5LEGI|7RCR|9CDMG|aASPD
18	16221 22424	   	214.26	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|2DUR	18DUR|2AART|3DMG|46VULN|5LHND|7RCR|9CDMG|aMDPS
19	16223 22424	   	214.16	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|2DUR	18DUR|2AART|3DMG|46VULN|5LEGI|7RCR|9CDMG|aMDPS
20	42231 53124	 * 	213.61	DCR|2VULN|1MDPS|2ASPD|1DMG|1ZMB|1DUR	1FEWX|2DUR|3ZMB|45VULN|68ASPD|7RCR|9DMG|aMDPS
21	16221 22533	   	213.30	DCR|3VULN|2AART|1DMG|2DUR	1aDUR|29AART|3DMG|46aVULN|58aLHND|7RCR|aBPWR
22	43231 53113	   	213.29	DCR|3VULN|1SPLARM|2ASPD|1ZMB	1FEWX|2LEGI|3ZMB|459VULN|68ASPD|7RCR|aSPLARM
23	16221 22432	   	213.10	DCR|3VULN|2AART|1DMG|2DUR	18DUR|29AART|3DMG|46aVULN|5LHND|7RCR
24	16224 22133	   	213.10	DCR|3VULN|2AART|1DMG|2DUR	1aDUR|28AART|3DMG|46aVULN|5aDUST|7RCR|9DMSP|aBPWR
25	16223 22432	   	213.00	DCR|3VULN|2AART|1DMG|2DUR	18DUR|29AART|3DMG|46aVULN|5LEGI|7RCR
26	16221 22263	 * 	212.63	DCR|3DMG|2VULN|1AART|2DUR	1aDUR|2AART|39aDMG|46VULN|5LHND|7RCR|8aLWND|aBPWR
27	26221 22163	   	212.63	DCR|3DMG|2VULN|1AART|2DUR	1aLWND|2AART|39aDMG|46VULN|5LHND|7RCR|8aDUR|aBPWR
28	26425 22323	   	211.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1LWND|2AART|3AME|46VULN|5DUR|7RCR|89DMG|aASPD
29	16221 22121	   	211.51	DCR|2VULN|2AART|1DMG|1CDMG|2DUR	1aDUR|28AART|3DMG|46VULN|5LHND|7RCR|9CDMG
30	16223 22623	   	211.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2AART|39DMG|46VULN|5LEGI|7RCR|8CGEN|aASPD
31	16224 22623	   	211.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2AART|39DMG|46VULN|5DUST|7RCR|8CGEN|aASPD
32	25532 22323	   	211.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1LWND|2TLV|3DUR|46VULN|5AART|7RCR|89DMG|aASPD
33	16223 22121	   	211.41	DCR|2VULN|2AART|1DMG|1CDMG|2DUR	1aDUR|28AART|3DMG|46VULN|5LEGI|7RCR|9CDMG
34	16224 22121	   	211.41	DCR|2VULN|2AART|1DMG|1CDMG|2DUR	1aDUR|28AART|3DMG|46VULN|5DUST|7RCR|9CDMG
35	16221 22316	   	211.35	DCR|2VULN|2DMG|1AART|1ASPD|1DUR|1SELL	1DUR|2AART|39DMG|46VULN|5LHND|7RCR|8SELL|aASPD
36	16223 22316	   	211.25	DCR|2VULN|2DMG|1AART|1ASPD|1DUR|1SELL	1DUR|2AART|39DMG|46VULN|5LEGI|7RCR|8SELL|aASPD
37	16224 22316	   	211.25	DCR|2VULN|2DMG|1AART|1ASPD|1DUR|1SELL	1DUR|2AART|39DMG|46VULN|5DUST|7RCR|8SELL|aASPD
38	16221 42126	   	211.20	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|2DUR	16DUR|28AART|3DMG|4VULN|5LHND|7RCR|9CDMG|aASPD
39	16223 42126	   	211.10	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|2DUR	16DUR|28AART|3DMG|4VULN|5LEGI|7RCR|9CDMG|aASPD
40	16223 22263	   	210.26	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	1DUR|2AART|39DMG|46VULN|5LEGI|7RCR|8LWND|aMDPS
41	16224 22263	   	210.26	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	1DUR|2AART|39DMG|46VULN|5DUST|7RCR|8LWND|aMDPS
