0	Index      	 *	Score 	Summary	Detail	
1	52533 41231	 * 	228.20	DCR|1SPLARM|3DMG|1AART|1VULN|1CDMG|1DUR	1AART|2LIT|3VULN|468DMG|5CDMG|7DUR|9RCR|aSPLARM
2	64132 31232	 * 	221.54	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8CGEN|9aVULN
3	64132 31132	 * 	221.44	DCR|2VULN|2DMG|1AART|1ASPD|1NUKE|1CDMG	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8NUKE|9aVULN
4	64132 31532	   	221.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8TLV|9aVULN
5	52213 52124	 * 	221.15	DCR|3ASPD|2VULN|1AART|1DMG|1DUR	1AART|2LIT|3DUR|49VULN|568ASPD|7RCR|aDMG
6	61622 13533	 * 	220.08	DCR|4VULN|3DMG|1ZMB|1SELL	17aDMG|2ZMB|37aERES|4RCVC|5SELL|679aVULN|7aBPWR|8RCR
7	64132 31343	 * 	217.23	DCR|2AART|2DMG|1VULN|1ASPD|1CDMG	17DMG|2CDMG|3aAART|4ASPD|5LWND|6RCR|8DMSP|9VULN
8	62512 32324	 * 	216.81	DCR|3VULN|3DMG|1AART	19aDMG|24FEWX|348VULN|4BPWR|5LIT|6AART|7RCR
9	64132 31141	 * 	216.17	DCR|2AART|2DMG|1MDPS|1ASPD|1NUKE|1CDMG	17DMG|2CDMG|39AART|4ASPD|5LWND|6RCR|8NUKE|aMDPS
10	64132 31151	 * 	216.17	DCR|2DMG|1MDPS|2CDMG|1AART|1ASPD|1NUKE	17DMG|2aCDMG|3AART|4ASPD|5LWND|6RCR|8NUKE|9MDPS
11	64132 31152	   	216.17	DCR|2DMG|1MDPS|1AART|1ASPD|1NUKE|1CDMG	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8NUKE|9MDPS|aDMSP
12	64132 31153	   	216.17	DCR|2DMG|1MDPS|1AART|1ASPD|1NUKE|1CDMG	17DMG|2CDMG|3AART|4ASPD|5aLWND|6RCR|8NUKE|9MDPS
13	64132 31342	 * 	215.38	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG	17DMG|2CDMG|3AART|4aASPD|5LWND|6RCR|8DMSP|9VULN
14	51315 23532	 * 	213.25	DCR|3AART|2VULN|1ASPD|1NUKE|1DUR	157AART|2DUST|39VULN|4ASPD|6DUR|8RCR|aNUKE
15	64132 31241	   	212.28	DCR|2AART|2DMG|1MDPS|1ASPD|1CDMG	17DMG|2CDMG|39AART|4ASPD|5LWND|6RCR|8CGEN|aMDPS
16	64132 33126	   	212.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|7MLV|8DUR|9aVULN
17	64122 31126	   	212.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2CDMG|3AART|4DUST|5MLV|6RCR|7ASPD|8DUR|9aVULN
18	64132 32124	   	212.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|7ERES|8DUR|9aVULN
19	51315 63131	 * 	211.93	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	15AART|2DUST|39VULN|4ASPD|6CDMG|7MLV|8DMG|aRCR
20	51315 62131	   	211.83	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	15AART|2DUST|39VULN|4ASPD|6CDMG|7ERES|8DMG|aRCR
21	64132 33232	 * 	211.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1DMG|28CDMG|3AART|4ASPD|5LWND|6RCR|7MLV|9aVULN
22	64132 36232	   	211.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1DMG|28CDMG|3AART|4ASPD|5LWND|6RCR|7AME|9aVULN
23	64152 31232	   	211.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1DMG|28CDMG|3AART|4CGEN|5LHND|6RCR|7ASPD|9aVULN
24	56353 31232	   	211.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1AART|2LWND|3ERES|48CDMG|5DMG|6RCR|7ASPD|9aVULN
25	64122 31232	   	211.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1DMG|28CDMG|3AART|4DUST|5MLV|6RCR|7ASPD|9aVULN
26	64126 31232	   	211.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1DMG|28CDMG|3AART|4DUST|5AME|6RCR|7ASPD|9aVULN
27	64132 32232	   	211.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1DMG|28CDMG|3AART|4ASPD|5LWND|6RCR|7ERES|9aVULN
28	64124 31232	   	211.18	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1AAC	1DMG|28CDMG|3AART|4DUST|5AAC|6RCR|7ASPD|9aVULN
29	33532 42352	 * 	211.02	ACR|4VULN|2DMG|2ASPD	1RCR|2RCVC|368aVULN|4aASPD|5LIT|7CGEN|9aDMG|aBPWR
30	52213 52142	 * 	209.87	DCR|3ASPD|1MDPS|1AART|1VULN|1ZMB|1DUR	1AART|2LIT|3DUR|4VULN|568ASPD|7RCR|9ZMB|aMDPS
31	64132 31235	   	209.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8CGEN|9VULN|aDUR
32	64132 31135	   	209.36	DCR|2DMG|1VULN|1AART|1ASPD|1NUKE|1CDMG|1DUR	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8NUKE|9VULN|aDUR
33	61622 13532	 * 	208.54	DCR|3VULN|2DMG|1NUKE|1ZMB|1SELL	17DMG|2ZMB|37ERES|4RCVC|5SELL|679VULN|7BPWR|8RCR|aNUKE
34	55111 62232	   	208.27	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	15AART|2AME|3CGEN|4DMG|6RCR|7DUR|8aVULN|9CDMG
35	55231 62232	   	208.27	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	15AART|2AME|3ASPD|4CGEN|6RCR|7DUR|8aVULN|9CDMG
36	56211 62232	   	208.27	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	15AART|2LWND|3DMSP|4DMG|6RCR|7DUR|8aVULN|9CDMG
37	64132 33122	   	207.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1DMG|2CDMG|3aAART|4ASPD|5LWND|6RCR|7MLV|8DUR|9VULN
38	64132 35322	   	207.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1DMG|2CDMG|3aAART|4ASPD|5LWND|6RCR|7DUR|8CGEN|9VULN
39	64132 36122	   	207.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1DMG|2CDMG|3aAART|4ASPD|5LWND|6RCR|7AME|8DUR|9VULN
40	64152 31122	   	207.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1DMG|2CDMG|3aAART|4CGEN|5LHND|6RCR|7ASPD|8DUR|9VULN
41	56353 31122	   	207.85	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1aAART|2LWND|3ERES|4CDMG|5DMG|6RCR|7ASPD|8DUR|9VULN
42	64122 31122	   	207.85	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1DMG|2CDMG|3aAART|4DUST|5MLV|6RCR|7ASPD|8DUR|9VULN
43	64126 31122	   	207.85	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1DMG|2CDMG|3aAART|4DUST|5AME|6RCR|7ASPD|8DUR|9VULN
44	64132 32122	   	207.85	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1DMG|2CDMG|3aAART|4ASPD|5LWND|6RCR|7ERES|8DUR|9VULN
45	33534 26222	 * 	207.71	ACR|2VULN|2AART|2ASPD|1DMG|1DUR	1RCR|2RCVC|3aVULN|49ASPD|58AART|6DUR|7DMG
46	61532 12412	 * 	206.91	DCR|1MDPS|1VULN|1ASPD|1DMG|1NUKE|1CDMG|1ZMB	1DMG|2ZMB|3VULN|4ASPD|5LIT|6TSLARM|7RCR|8CDMG|9NUKE|aMDPS
47	64132 32126	   	206.00	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2CDMG|3AART|4aASPD|5LWND|6RCR|7ERES|8DUR|9VULN
48	64132 33532	   	205.86	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|7MLV|8RCVC|9aVULN
49	64122 31632	   	205.76	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DMG|2CDMG|3AART|4DUST|5MLV|6RCR|7ASPD|8RCVC|9aVULN
50	64132 32532	   	205.76	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|7ERES|8RCVC|9aVULN
51	51331 12356	 * 	205.33	DCR|3VULN|1AART|1ASPD|1DMG	1AART|28DUST|349VULN|5FEWX|6RCR|7DMG|aASPD
52	61262 13522	   	205.17	DCR|3DMG|2VULN|1AART|1ZMB|1SELL	147DMG|2ZMB|37CGEN|5SELL|67VULN|7BPWR|8AME|9RCR|aAART
53	61432 13522	   	205.17	DCR|3DMG|2VULN|1AART|1ZMB|1SELL	147DMG|2ZMB|37MLV|5SELL|67VULN|7BPWR|8AME|9RCR|aAART
54	61222 13516	 * 	204.92	DCR|3VULN|2DMG|1CDMG|1ZMB|1SELL	17DMG|2ZMB|37CGEN|4RCVC|5SELL|67aVULN|7BPWR|8RCR|9CDMG
55	61521 14132	   	204.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DMG|2ZMB|39VULN|4DUR|5FEWX|6AART|7RCR|8DLOT|aASPD
56	33534 63131	 * 	204.19	ACR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1RCR|2RCVC|39VULN|4ASPD|5AART|6CDMG|7MLV|8DMG|aMDPS
57	61512 14132	   	204.14	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DMG|2ZMB|39VULN|4DUST|5DUR|6AART|7RCR|8DLOT|aASPD
58	33534 62131	   	204.09	ACR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1RCR|2RCVC|39VULN|4ASPD|5AART|6CDMG|7ERES|8DMG|aMDPS
59	64512 12131	   	204.06	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2CDMG|3ASPD|45ERES|69VULN|7AART|8DUR|aRCR
60	64132 33326	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|7MLV|8LHND|9aVULN
61	64132 33632	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|78MLV|9aVULN
62	64152 31332	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DMG|2CDMG|3AART|4CGEN|58LHND|6RCR|7ASPD|9aVULN
63	52213 52322	 * 	203.92	DCR|2AART|2ASPD|1VULN|1DMG|1DUR	1aAART|2LIT|3DUR|4VULN|56ASPD|7RCR|8AELBLL|9DMG
64	52213 52532	   	203.92	DCR|2AART|2ASPD|1VULN|1DMG|1DUR	1aAART|2LIT|3DUR|4VULN|56ASPD|7RCR|8BELT|9DMG
65	64122 31326	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DMG|2CDMG|3AART|4DUST|5MLV|6RCR|7ASPD|8LHND|9aVULN
66	64132 32324	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|7ERES|8LHND|9aVULN
67	51353 12263	   	203.67	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2DUST|3aVULN|4ERES|5ZMB|6RCR|79DMG|8DUR
68	62512 32313	   	203.63	DCR|3VULN|1AART|1ASPD|1DMG	1DMG|24FEWX|348VULN|4BPWR|5LIT|6AART|7RCR|9BEXP|aASPD
69	62514 12313	   	203.63	DCR|3VULN|1AART|1ASPD|1DMG	1DMG|24FEWX|348VULN|4BPWR|5AART|6LIT|7RCR|9BEXP|aASPD
70	63512 32316	   	203.63	DCR|3VULN|1AART|1ASPD|1DMG	1DMG|249BEXP|348VULN|4BPWR|5LIT|6AART|7RCR|aASPD
71	63512 32353	   	203.63	DCR|3VULN|1AART|1ASPD|1DMG	1DMG|24BEXP|348VULN|4BPWR|5LIT|6AART|7RCR|9FEWX|aASPD
72	62421 35213	 * 	203.61	DCR|2VULN|2AART|2DMG|1DUR	13DMG|2FEWX|4DUR|5CGEN|68AART|7aVULN|9RCR
73	63421 35213	   	203.61	DCR|2VULN|2AART|2DMG|1DUR	13DMG|2BEXP|4DUR|5CGEN|68AART|7aVULN|9RCR
74	51331 12326	   	203.58	DCR|2VULN|2AART|1ASPD|1DMG	19AART|28DUST|34VULN|5FEWX|6RCR|7DMG|aASPD
75	51334 12326	   	203.58	DCR|2VULN|2AART|1ASPD|1DMG	19AART|28DUST|34VULN|5BEXP|6RCR|7DMG|aASPD
76	63126 32353	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	1DMG|2BEXP|3LIT|458VULN|6AART|7RCR|9FEWX|aASPD
77	64121 21231	   	203.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1DMG|28CDMG|3AART|4DUST|59VULN|6RMIN|7ASPD|aRCR
78	64121 61231	   	203.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1DMG|28CDMG|3AART|4DUST|59VULN|6AME|7ASPD|aRCR
79	62151 32153	   	202.87	DCR|2DMG|1AART|1VULN|1ASPD|1NUKE	15DMG|2FEWX|3LIT|45DUST|5BPWR|6AART|7RCR|8ASPD|9VULN|aNUKE
80	63151 32153	   	202.87	DCR|2DMG|1AART|1VULN|1ASPD|1NUKE	15DMG|2BEXP|3LIT|45DUST|5BPWR|6AART|7RCR|8ASPD|9VULN|aNUKE
81	51334 12235	 * 	202.61	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1AART|2DUST|34VULN|5BEXP|6RCR|7DMG|8MLV|9CDMG|aMDPS
82	51335 12235	   	202.61	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1AART|2DUST|34VULN|5LWND|6RCR|7DMG|8MLV|9CDMG|aMDPS
83	51334 12135	   	202.51	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1AART|2DUST|34VULN|5BEXP|6RCR|7DMG|8ERES|9CDMG|aMDPS
84	51335 12135	   	202.51	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1AART|2DUST|34VULN|5LWND|6RCR|7DMG|8ERES|9CDMG|aMDPS
85	62512 32325	   	202.46	DCR|3VULN|2DMG|1AART	19DMG|24FEWX|348VULN|4BPWR|5LIT|6AART|7RCR|aRCVC
86	64132 33241	 * 	202.12	DCR|2AART|1MDPS|2CDMG|1ASPD|1DMG	1DMG|28CDMG|39AART|4ASPD|5LWND|6RCR|7MLV|aMDPS
87	64132 32241	   	202.02	DCR|2AART|1MDPS|2CDMG|1ASPD|1DMG	1DMG|28CDMG|39AART|4ASPD|5LWND|6RCR|7ERES|aMDPS
88	62512 32122	   	201.88	DCR|2VULN|2AART|1ASPD|1DMG	1DMG|24FEWX|34VULN|4BPWR|59LIT|6aAART|7RCR|8ASPD
89	62512 32152	   	201.88	DCR|2VULN|2AART|1ASPD|1DMG	1DMG|24FEWX|34VULN|4BPWR|5LIT|6aAART|7RCR|8ASPD|9AELBLL
90	62514 12122	   	201.88	DCR|2VULN|2AART|1ASPD|1DMG	1DMG|24FEWX|34VULN|4BPWR|5aAART|69LIT|7RCR|8ASPD
91	63512 32122	   	201.88	DCR|2VULN|2AART|1ASPD|1DMG	1DMG|24BEXP|34VULN|4BPWR|59LIT|6aAART|7RCR|8ASPD
92	63512 32152	   	201.88	DCR|2VULN|2AART|1ASPD|1DMG	1DMG|24BEXP|34VULN|4BPWR|5LIT|6aAART|7RCR|8ASPD|9AELBLL
93	63514 12122	   	201.88	DCR|2VULN|2AART|1ASPD|1DMG	1DMG|24BEXP|34VULN|4BPWR|5aAART|69LIT|7RCR|8ASPD
