0	Index      	 *	Score 	Summary	Detail	
1	23432 62224	 * 	208.88	DCR|2VULN|1MDPS|2ASPD|3CDMG|1DMG	14aCDMG|2LIT|3MDPS|5aASPD|6RCR|7DMG|8DUST|9aVULN|aBPWR
2	26322 12322	 * 	208.20	DCR|3VULN|1MDPS|1AART|2CDMG|2DUR	19CDMG|2LWND|359VULN|4DMSP|6AART|79DUR|8RCR|9BPWR|aMDPS
3	26442 12322	   	208.20	DCR|3VULN|1MDPS|1AART|2CDMG|2DUR	19CDMG|23LWND|459VULN|6AART|79DUR|8RCR|9BPWR|aMDPS
4	26431 12326	 * 	208.12	DCR|2VULN|3CDMG|1AART|1ASPD|2DUR	149CDMG|23LWND|59VULN|6AART|79DUR|8RCR|9BPWR|aASPD
5	53541 11231	 * 	204.44	DCR|2SPLARM|3VULN|1MDPS|1AART|1ASPD	19SPLARM|2AART|39CGEN|4RCVC|5MDPS|679VULN|8RCR|9BPWR|aASPD
6	53515 11231	   	204.01	DCR|2SPLARM|3VULN|1MDPS|1AART|1ASPD	19SPLARM|2AART|39CGEN|4MDPS|5RCVC|679VULN|8RCR|9BPWR|aASPD
7	53511 11231	   	201.55	DCR|2SPLARM|3VULN|1MDPS|1AART|1ASPD	19SPLARM|2AART|3CGEN|4MDPS|59AELBLL|679VULN|8RCR|9BPWR|aASPD
8	31364 43112	 * 	200.88	DCR|3DMG|2VULN|1AART	1aAME|2CGEN|359DMG|4aVULN|6RCR|7AART|8aERES|aBPWR
9	31364 43312	   	200.88	DCR|3DMG|2VULN|1AART	1aAME|2CGEN|359DMG|4aVULN|6RCR|7AART|8aTLV|aBPWR
10	53541 11232	 * 	200.22	DCR|2SPLARM|4VULN|1MDPS|1AART	19SPLARM|2AART|39CGEN|4RCVC|5MDPS|679aVULN|8RCR|9BPWR
11	21211 26111	 * 	200.10	DCR|3VULN|2ASPD|2CDMG|1DUR	17CDMG|2RMIN|34BEXP|57ASPD|678VULN|7BPWR|9DUR|aRCR
12	21211 26541	   	200.10	DCR|3VULN|2ASPD|2CDMG|1DUR	17CDMG|2RMIN|34BEXP|57ASPD|679VULN|7BPWR|8DUR|aRCR
13	51531 13523	 * 	199.87	DCR|2SPLARM|2VULN|1AART|1ASPD|1CDMG	12SPLARM|2BPWR|34VULN|5RPLT|6LHND|7ASPD|8RCR|9CDMG|aAART
14	62251 52213	   	199.87	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2MLV|3ZMB|4RPLT|57VULN|69DMG|8RCR|aAART
15	53515 11232	   	199.80	DCR|2SPLARM|4VULN|1MDPS|1AART	19SPLARM|2AART|39CGEN|4MDPS|5RCVC|679aVULN|8RCR|9BPWR
16	51531 23523	   	199.77	DCR|2SPLARM|2VULN|1AART|1ASPD|1CDMG	12SPLARM|2BPWR|34VULN|5RPLT|6DUST|7ASPD|8RCR|9CDMG|aAART
17	12316 16135	 * 	199.62	DCR|3VULN|1AART|1ASPD|1CDMG	16DUST|2MLV|3LHND|456VULN|6BPWR|7RCR|8ASPD|9AART|aCDMG
18	12316 16235	 * 	199.62	DCR|3VULN|1AART|1DMG|1CDMG	16DUST|2MLV|3LHND|456VULN|6BPWR|7RCR|8DMG|9AART|aCDMG
19	53341 11613	 * 	199.30	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG	1SPLARM|2AART|3DMG|4RCVC|56RMIN|7RCR|8aVULN|9CDMG
20	22621 12134	 * 	199.23	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB	14CDMG|2ZMB|3BELT|5ASPD|6MBVNT|7RCR|8VULN|9AART|aDMG
21	53343 31513	   	199.10	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG	1SPLARM|2AART|3DMG|4RCVC|56ERES|7RCR|8aVULN|9CDMG
22	16258 22214	 * 	198.86	DCR|3VULN|2DMG|2CDMG	1aDUST|27aVULN|3MBVNT|4LHND|59DMG|6aCDMG|8RCR|aBPWR
23	26322 12321	   	198.84	DCR|3VULN|1AART|2CDMG|2DUR	19CDMG|2LWND|359VULN|4DMSP|6AART|79DUR|8RCR|9BPWR|aBEXP
24	26442 12321	   	198.84	DCR|3VULN|1AART|2CDMG|2DUR	19CDMG|23LWND|459VULN|6AART|79DUR|8RCR|9BPWR|aBEXP
25	53321 26433	 * 	198.83	DCR|1SPLARM|2AART|2ASPD|1VULN|1DMG	1SPLARM|26AART|3DMG|4LIT|5LHND|7aASPD|8VULN|9RCR
26	26322 12323	   	198.74	DCR|3VULN|1AART|2CDMG|2DUR|1MSE	19CDMG|2LWND|359VULN|4DMSP|6AART|79DUR|8RCR|9BPWR|aMSE
27	26322 12325	   	198.74	DCR|3VULN|1AART|2CDMG|2DUR	19CDMG|2LWND|359VULN|4DMSP|6AART|79DUR|8RCR|9BPWR|aERES
28	26442 12323	   	198.74	DCR|3VULN|1AART|2CDMG|2DUR|1MSE	19CDMG|23LWND|459VULN|6AART|79DUR|8RCR|9BPWR|aMSE
29	23531 53216	   	198.36	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1CDMG|2LIT|38RCVC|4ZMB|5AART|6RCR|7ASPD|9DMG|aVULN
30	26316 62211	   	198.04	DCR|2VULN|2CDMG|1ASPD|1DMG|1AAC|1ZMB	17CDMG|2LWND|37VULN|4AAC|57LIT|6RCR|7BPWR|8DMG|9ASPD|aZMB
31	53511 11232	   	197.34	DCR|2SPLARM|4VULN|1MDPS|1AART	19SPLARM|2AART|3CGEN|4MDPS|59AELBLL|679aVULN|8RCR|9BPWR
32	22621 12115	   	197.25	DCR|2VULN|2ASPD|3CDMG|1ZMB	14aCDMG|2ZMB|3BELT|5aASPD|6MBVNT|7RCR|8aVULN|9RPLT|aBPWR
33	31364 42223	   	197.14	DCR|3VULN|2DMG|1CDMG	1AME|2CGEN|35DMG|49aVULN|6RCR|7RCVC|8CDMG
34	26316 62213	   	197.06	DCR|2VULN|1MDPS|2CDMG|1ASPD|1DMG|1AAC	17CDMG|2LWND|37VULN|4AAC|57LIT|6RCR|7BPWR|8DMG|9ASPD|aMDPS
35	55333 12242	   	196.88	DCR|2SPLARM|3VULN|1AART|2ZMB	17SPLARM|2RCVC|37ZMB|4RPLT|5BELT|67aVULN|7BPWR|8AART|9RCR
36	21342 12314	   	196.30	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1CDMG|2RMIN|3CGEN|45aVULN|6AART|7DUR|8RCR|9ZMB
37	25342 12314	   	196.30	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1CDMG|2MLV|3CGEN|45aVULN|6AART|7DUR|8RCR|9ZMB
38	26322 12314	   	196.30	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1CDMG|2LWND|35aVULN|4DMSP|6AART|7DUR|8RCR|9ZMB
39	26362 12314	   	196.30	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1CDMG|2LWND|35aVULN|4AELBLL|6AART|7DUR|8RCR|9ZMB
40	22142 32134	 * 	196.12	DCR|4VULN|1ASPD|1CDMG|1ZMB	1CDMG|2ZMB|3AME|4578VULN|6BEXP|9ASPD|aRCR
41	22142 32154	 * 	196.12	DCR|4VULN|1DMG|1CDMG|1ZMB	1CDMG|2ZMB|3AME|4578VULN|6BEXP|9DMG|aRCR
42	22342 32134	   	196.12	DCR|4VULN|1ASPD|1CDMG|1ZMB	1CDMG|2ZMB|3CGEN|4578VULN|6BEXP|9ASPD|aRCR
43	22342 32154	   	196.12	DCR|4VULN|1DMG|1CDMG|1ZMB	1CDMG|2ZMB|3CGEN|4578VULN|6BEXP|9DMG|aRCR
44	53354 12254	 * 	196.03	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG	1SPLARM|2AART|3DMG|4MBVNT|5DUST|6aVULN|7CGEN|8ASPD|9RCR
45	53354 11254	   	195.93	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG	1SPLARM|2AART|3DMG|4MBVNT|5DUST|6aVULN|7ERES|8ASPD|9RCR
46	31366 41133	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1AME|2CGEN|3DMG|45VULN|6RCR|7DUST|8ASPD|9AART|aDUR
47	31366 42223	   	195.40	DCR|4VULN|1DMG|1CDMG	1AME|2CGEN|3DMG|459aVULN|6RCR|7RCVC|8CDMG
48	22621 33434	   	195.23	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB	14CDMG|2ZMB|3BELT|5ASPD|6DUST|7AART|8VULN|9RCR|aDMG
49	23453 62213	 * 	195.06	DCR|3VULN|1MDPS|2DMG|2CDMG	17CDMG|28LIT|3MDPS|4RPLT|579VULN|67DMG|7BPWR|aRCR
50	23453 62313	   	195.06	DCR|3VULN|1MDPS|2DMG|2CDMG	17CDMG|2LIT|3MDPS|48RPLT|579VULN|67DMG|7BPWR|aRCR
51	22631 12134	   	195.02	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2ZMB	1CDMG|24ZMB|3BELT|5ASPD|6MBVNT|7RCR|8VULN|9AART|aDMG
52	26322 13322	   	194.65	DCR|3VULN|1MDPS|1AART|2CDMG	19CDMG|2LWND|359VULN|4DMSP|6AART|79FEWX|8RCR|9BPWR|aMDPS
53	26442 13322	   	194.65	DCR|3VULN|1MDPS|1AART|2CDMG	19CDMG|23LWND|459VULN|6AART|79FEWX|8RCR|9BPWR|aMDPS
54	26431 13326	   	194.57	DCR|2VULN|3CDMG|1AART|1ASPD	149CDMG|23LWND|59VULN|6AART|79FEWX|8RCR|9BPWR|aASPD
55	22643 32613	   	194.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1CDMG|2ZMB|3BELT|47VULN|5RPLT|6AART|8ASPD|9DUR|aRCR
56	62251 52212	   	193.92	DCR|3VULN|2DMG|1ZMB|1DUR	1DUR|2MLV|3ZMB|4RPLT|57aVULN|69DMG|8RCR
57	62251 31532	   	193.64	DCR|2VULN|1MDPS|1AART|1ASPD|1ZMB|1DUR	1DUR|2MLV|3ZMB|4RPLT|59VULN|6AART|7RCR|8ASPD|aMDPS
58	22621 12143	   	193.60	DCR|3VULN|2CDMG|1ASPD|1ZMB	14CDMG|2ZMB|3BELT|5ASPD|6MBVNT|7RCR|89aVULN
59	23425 13124	   	193.43	DCR|2VULN|1MDPS|2DMG|2CDMG|1AAC|1DUR	1aCDMG|2aLIT|3MDPS|49VULN|5DUR|6RCR|7AAC|8aDMG|aBPWR
60	21142 32434	 * 	193.42	DCR|4VULN|2CDMG|1ASPD	18CDMG|2RMIN|3AME|4578VULN|68BEXP|8BPWR|9ASPD|aRCR
61	21342 32334	   	193.42	DCR|4VULN|2CDMG|1ASPD	18CDMG|2RMIN|3CGEN|4578VULN|68BEXP|8BPWR|9ASPD|aRCR
62	21342 32354	 * 	193.42	DCR|4VULN|2CDMG|1DMG	18CDMG|2RMIN|3CGEN|4578VULN|68BEXP|8BPWR|9DMG|aRCR
63	22631 12115	   	193.41	DCR|2VULN|2ASPD|2CDMG|2ZMB	1aCDMG|24ZMB|3BELT|5aASPD|6MBVNT|7RCR|8aVULN|9RPLT|aBPWR
64	22214 14433	 * 	193.13	DCR|1SPLARM|2AART|1VULN|1DMG|1CDMG|1ZMB	1CDMG|2ZMB|34BEXP|59AART|6VULN|7SPLARM|8RCR|aDMG
65	31364 41133	 * 	193.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1AME|2CGEN|35DMG|4VULN|6RCR|7DUST|8ASPD|9AART|aDUR
66	26431 12321	 * 	193.11	DCR|2VULN|3CDMG|1AART|3DUR	149CDMG|23LWND|59VULN|6AART|79aDUR|8RCR|9BPWR
67	66213 34822	 * 	193.04	DCR|3VULN|3ASPD|1DUR	1DUR|246VULN|3MBVNT|5FEWX|79aASPD|8RCR
68	24321 52134	   	193.02	DCR|4VULN|2CDMG|1ASPD	16CDMG|2DUST|3578VULN|4LEGI|9ASPD|aRCR
69	53321 26432	   	192.91	DCR|1SPLARM|2AART|1VULN|1ASPD|1DMG|1DUR	1SPLARM|26AART|3DMG|4LIT|5LHND|7ASPD|8VULN|9RCR|aDUR
70	53512 11236	 * 	192.84	DCR|3SPLARM|3VULN|1MDPS|1AART|1ZMB	159SPLARM|2AART|359CGEN|4MDPS|59BPWR|679VULN|8RCR|aZMB
71	22361 52343	 * 	192.57	DCR|3VULN|3CDMG|3ZMB	168CDMG|28aZMB|3CGEN|4FEWX|578VULN|8BPWR|9RCR
72	56132 32242	   	192.31	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG|1AAC	1SPLARM|2ASPD|3AAC|4aVULN|5CGEN|6BELT|7CDMG|8AART|9RCR
73	56133 32242	   	192.31	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG|1AAC	1SPLARM|2ASPD|3AAC|4aVULN|5AME|6BELT|7CDMG|8AART|9RCR
74	22325 13432	   	192.22	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1CDMG|2ZMB|3CGEN|4MULFIG|59VULN|6LHND|7RCR|8AART|aASPD
75	24316 61122	   	191.99	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1CDMG|2DUST|38VULN|4AAC|5LIT|6RCR|7DUR|9DMG|aAART
76	34316 16133	   	191.88	DCR|3VULN|1AART|1ASPD|1DUR	16AME|2LHND|3BEXP|456VULN|6BPWR|7RCR|8ASPD|9AART|aDUR
77	34316 16233	   	191.88	DCR|3VULN|1AART|1DMG|1DUR	16AME|2LHND|3BEXP|456VULN|6BPWR|7RCR|8DMG|9AART|aDUR
78	21211 26121	   	191.79	DCR|3VULN|2ASPD|2CDMG	17CDMG|2RMIN|34BEXP|57ASPD|678VULN|7BPWR|9LWND|aRCR
79	21211 26141	   	191.79	DCR|3VULN|2ASPD|2CDMG	17CDMG|2RMIN|34BEXP|57ASPD|678VULN|7BPWR|9FEWX|aRCR
80	21211 26161	   	191.79	DCR|3VULN|2ASPD|2CDMG	17CDMG|2RMIN|34BEXP|57ASPD|678VULN|7BPWR|9LHND|aRCR
81	21211 26224	   	191.79	DCR|3VULN|2ASPD|2CDMG	17CDMG|2RMIN|34BEXP|57ASPD|679VULN|7BPWR|8CGEN|aRCR
82	34116 16133	   	191.78	DCR|3VULN|1AART|1ASPD|1DUR	16AME|2LHND|3DUST|456VULN|6BPWR|7RCR|8ASPD|9AART|aDUR
83	34116 16233	   	191.78	DCR|3VULN|1AART|1DMG|1DUR	16AME|2LHND|3DUST|456VULN|6BPWR|7RCR|8DMG|9AART|aDUR
