0	Index      	 *	Score 	Summary	Detail	
1	62543 32123	 * 	229.72	3VULN|1SPLARM|2DMG|1MDPS|1ASPD|1CDMG	17DMG|27DUST|3CDMG|4ASPD|5RMIN|678VULN|7BPWR|9SPLARM|aMDPS
2	62323 53235	 * 	223.99	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2DUST|3DUR|47aVULN|5ASPD|6AART|8CDMG|9RCR
3	13362 84521	 * 	221.16	DCR|2VULN|2AART|2DMG|1ASPD	1TLV|28DMG|39AART|4MBVNT|57VULN|6RCR|aASPD
4	61423 43131	 * 	220.56	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB|1DUR	1DMG|2LHND|3DUR|49VULN|5aASPD|6RCR|7ZMB|8AART
5	62323 41633	 * 	220.43	DCR|3VULN|2ASPD|1DMG|1CDMG|1DUR	1DMG|2DUST|3DUR|479VULN|58ASPD|6RCR|aCDMG
6	64142 21332	 * 	219.01	DCR|3ASPD|2VULN|2DMG|1MDPS|1CDMG	18DMG|28BEXP|3MDPS|4CDMG|56aASPD|78VULN|8BPWR|9RCR
7	63221 15263	   	218.84	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	12DMG|3aDUR|4LIT|5ASPD|6RCR|78VULN|9AART
8	61433 52332	   	218.76	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB|1DUR	1DMG|2aLHND|3DUR|4FEWX|5aASPD|6AART|7RCR|8ZMB|9aVULN|aBPWR
9	62511 62123	 * 	218.57	4VULN|1SPLARM|2DMG|1MDPS|1CDMG	17DMG|27DUST|3CDMG|4FEWX|5678VULN|7BPWR|9SPLARM|aMDPS
10	62213 52332	   	218.56	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB|1DUR	1DMG|2aDUST|3LHND|4DUR|5aASPD|6AART|7RCR|8ZMB|9aVULN|aBPWR
11	62213 43214	 * 	217.77	DCR|2DMG|2ASPD|1VULN|1AART|1ZMB|1DUR	17DMG|27DUST|3LHND|4DUR|57ASPD|6RCR|7BPWR|8ZMB|9VULN|aAART
12	13342 13161	 * 	217.41	DCR|3VULN|2AART|1ASPD|1DMG	1TLV|2DMG|36AART|459VULN|7LEGI|8RCR|aASPD
13	13342 14161	   	217.41	DCR|3VULN|2AART|1ASPD|1DMG	1TLV|2DMG|36AART|459VULN|7DUST|8RCR|aASPD
14	13342 34121	   	217.41	DCR|3VULN|2AART|1ASPD|1DMG	1TLV|2DMG|39AART|456VULN|7DUST|8RCR|aASPD
15	13342 36821	   	217.41	DCR|3VULN|2AART|1ASPD|1DMG	1TLV|2DMG|39AART|456VULN|7MBVNT|8RCR|aASPD
16	13342 33161	 * 	217.18	DCR|4VULN|1AART|1ASPD|1DMG	1TLV|2DMG|3AART|4569VULN|7LEGI|8RCR|aASPD
17	13342 34161	   	217.18	DCR|4VULN|1AART|1ASPD|1DMG	1TLV|2DMG|3AART|4569VULN|7DUST|8RCR|aASPD
18	13362 84524	 * 	216.76	DCR|3DMG|2VULN|2AART	1TLV|28aDMG|39AART|4MBVNT|57VULN|6RCR
19	61111 35112	 * 	216.71	DCR|3VULN|2DMG|1MDPS|1AART|2DUR	1aDMG|25LHND|3MDPS|47aVULN|6RCR|8AART|9aDUR|aBPWR
20	63221 12346	 * 	215.91	DCR|3DMG|2VULN|1ASPD|1ZMB|1DUR	129DMG|3DUR|49LIT|5ASPD|6RCR|7ERES|89VULN|9BPWR|aZMB
21	13342 36824	 * 	214.93	DCR|3VULN|2AART|2DMG	1TLV|2aDMG|39AART|456VULN|7MBVNT|8RCR
22	62323 41132	   	213.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DMG|2DUST|3DUR|47aVULN|5ASPD|6RCR|8FEWX|9AART
23	62323 41532	   	213.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DMG|2DUST|3DUR|47aVULN|5ASPD|6RCR|8LWND|9AART
24	66321 12343	 * 	213.66	DCR|3VULN|2DMG|2ASPD	19DMG|24LIT|39ASPD|5BEXP|6RCR|7ERES|89aVULN|9BPWR
25	63221 11363	   	213.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	12DMG|3DUR|4LIT|5ASPD|6RCR|7AART|8BEXP|9aVULN
26	63221 15261	   	213.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	12DMG|3DUR|4LIT|5ASPD|6RCR|78VULN|9AART|aAME
27	63221 15262	   	213.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	12DMG|3DUR|4LIT|5ASPD|6RCR|78VULN|9AART|aLHND
28	63321 15263	   	213.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	12DMG|3BEXP|4LIT|5ASPD|6RCR|78VULN|9AART|aDUR
29	66322 12343	   	213.56	DCR|3VULN|2DMG|2ASPD	19DMG|24LIT|39ASPD|5DUST|6RCR|7ERES|89aVULN|9BPWR
30	65323 31432	 * 	213.41	DCR|2VULN|2DMG|1MDPS|2ASPD|2CDMG|1AAC	18DMG|2AAC|3MDPS|48CDMG|5aASPD|6MLV|78VULN|8BPWR|9RCR
31	63221 61234	 * 	213.40	DCR|3DMG|2VULN|2ASPD|1DUR	126DMG|3DUR|4LIT|56ASPD|6BPWR|7RCVC|89VULN|aRCR
32	62543 32332	   	212.92	DCR|2VULN|2DMG|2ASPD|1CDMG	17DMG|27DUST|3CDMG|4aASPD|5RMIN|67VULN|7BPWR|8BELT|9RCR
33	13362 84731	   	212.11	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	1TLV|2DMG|3AART|4MBVNT|579VULN|6RCR|8ASPD|aAAC
34	13362 84523	   	211.43	DCR|2VULN|2AART|2DMG|1ZMB	1TLV|28DMG|39AART|4MBVNT|57VULN|6RCR|aZMB
35	13341 53421	   	211.22	DCR|2AART|2DMG|1VULN|1ASPD|1ZMB	1TLV|28DMG|39AART|4VULN|5AME|6RCR|7ZMB|aASPD
36	13343 53421	   	211.12	DCR|2AART|2DMG|1VULN|1ASPD|1ZMB	1TLV|28DMG|39AART|4VULN|5ERES|6RCR|7ZMB|aASPD
37	26323 52611	 * 	211.10	DCR|3ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2ZMB|3DUR|4VULN|58aASPD|6AART|7RCR|9DMG
38	36323 41633	   	210.70	DCR|3VULN|2ASPD|1CDMG|1ZMB|1DUR	1DUST|2ZMB|3DUR|479VULN|58ASPD|6RCR|aCDMG
