0	Index      	 *	Score 	Summary	Detail	
1	13312 25162	 * 	319.73	紫橙3易伤2矿等1等级	16矿等2时间3挖尘49核56a易伤6序列升级7等级8低血量敌人
2	12215 46331	 * 	318.83	橙3易伤3矿等2等级1暴击	138矿等238易伤38序列升级4火球减费5加一6随机技能78等级9核a暴击
3	12215 46333	 * 	314.20	橙3易伤3矿等3等级	138矿等238易伤38序列升级4火球减费5加一6随机技能78a等级9核
4	12215 46335	   	311.79	橙3易伤3矿等2等级2随机技能	138矿等238易伤38序列升级4火球减费5加一6a随机技能78等级9核
5	12215 46336	   	305.18	橙3易伤3矿等2等级	138矿等238易伤38序列升级4火球减费5加一6随机技能78等级9核a立即金币
6	12215 46337	   	305.18	橙3易伤3矿等2等级	138矿等238易伤38序列升级4火球减费5加一6随机技能78等级9核a敌人爆炸
7	12215 46338	   	305.18	橙3易伤3矿等2等级	138矿等238易伤38序列升级4火球减费5加一6随机技能78等级9核a低血量敌人
8	12215 46332	   	305.08	橙3易伤3矿等2等级	138矿等238易伤38序列升级4火球减费5加一6随机技能78等级9核a掉矿
9	12215 46334	   	305.08	橙3易伤3矿等2等级	138矿等238易伤38序列升级4火球减费5加一6随机技能78等级9核a烈焰减费
10	13312 25161	   	297.59	紫橙2易伤2矿等1等级	16矿等2时间3挖尘49核56易伤6序列升级7等级8低血量敌人a散射对甲
11	13312 25163	   	297.59	紫橙2易伤2矿等1等级	16矿等2时间3挖尘49核56易伤6序列升级7等级8低血量敌人a金币生成
12	13312 25164	   	297.59	紫橙2易伤2矿等1等级	16矿等2时间3挖尘49核56易伤6序列升级7等级8低血量敌人a技能点
13	13312 25165	   	297.49	紫橙2易伤2矿等1等级	16矿等2时间3挖尘49核56易伤6序列升级7等级8低血量敌人a毒气减费
14	13312 25166	   	297.49	紫橙2易伤2矿等1等级	16矿等2时间3a挖尘49核56易伤6序列升级7等级8低血量敌人
15	12262 14135	   	296.70	橙3易伤3矿等2暴击1攻速	137矿等237易伤37序列升级4全技能5双倍矿67暴击8策反9攻速a核
16	12222 66326	 * 	296.63	橙2易伤2矿等2伤害1等级1暴击	13矿等23易伤3序列升级4雷电58伤害6随机技能7暴击9等级a核
17	11364 31623	   	295.16	橙3矿等2等级1易伤3时间1技能	157矿等2立即金币357时间4全技能57序列升级67等级8易伤9技能a核
18	12265 11325	   	294.10	橙3易伤3矿等1伤害1暴击	136矿等236易伤36序列升级4全技能5平台7策反8核9暴击a伤害
19	12265 15321	   	294.10	橙3易伤3矿等1伤害1暴击	136矿等236易伤36序列升级4全技能5平台7伤害8核9暴击a敌人爆炸
20	12265 15322	   	294.10	橙3易伤3矿等1伤害1暴击	136矿等236易伤36序列升级4全技能5平台7伤害8核9暴击a随机矿
21	12265 15323	   	294.10	橙3易伤3矿等1伤害1暴击	136矿等236易伤36序列升级4全技能5平台7伤害8核9暴击a赏金塔
22	12312 25462	   	293.72	紫橙3易伤1等级1矿等	1矿等25a易伤3挖尘49核6挖青7等级8时间
23	12312 35462	   	293.72	紫橙3易伤1等级1矿等	1矿等25a易伤3挖尘49核6基地爆炸7等级8时间
24	32312 12462	   	293.72	紫橙3易伤1等级1矿等	1等级25a易伤3挖尘49核6矿等7基地爆炸8时间
25	12263 31234	   	292.38	橙3易伤3矿等1等级	136矿等239易伤3序列升级4全技能5雷电7核8最后敌人a等级
26	12265 11336	   	292.38	橙3易伤3矿等1等级	136矿等236易伤36序列升级4全技能5平台7策反8核9双倍秒伤a等级
27	32615 63132	   	290.99	橙2易伤2矿等2伤害1等级2时间	1等级28易伤3a矿等4敌人爆炸58时间6散射对甲78伤害8序列升级9核
28	32635 63132	   	290.89	橙2易伤2矿等2伤害1等级2时间	1等级28易伤3a矿等4挖尘58时间6散射对甲78伤害8序列升级9核
29	13421 23621	 * 	290.82	橙橙1等级1易伤1矿等	1矿等2时间3雷电4最后敌人5全技能67核8挖青9等级a易伤
30	12245 13623	   	290.30	橙3矿等2易伤1等级1伤害	137矿等23易伤3序列升级4赏金邻近5全技能6等级8随机矿9核a伤害
31	12266 13623	   	290.30	橙3矿等2易伤1等级1伤害	137矿等23易伤3序列升级4全技能5赏金塔6等级8随机矿9核a伤害
