0	Index      	 *	Score 	Summary	Detail	
1	31322 44432	 * 	298.37	橙橙2矿等1等级1技能2随机技能	1基地爆炸29矿等3敌人爆炸4技能5a随机技能6等级78核
2	33542 21522	 * 	296.82	橙橙2矿等1易伤1暴击	1基地爆炸2暴击39矿等4低血量敌人5易伤6随机技能7时间8a核
3	23243 12552	   	296.72	橙橙2矿等1等级1暴击	1掉矿2暴击3随机技能4时间5双倍秒伤6等级79矿等8a核
4	33562 22522	   	296.72	橙橙2矿等1易伤1暴击	1基地爆炸2暴击39矿等4挖尘5易伤6随机技能7时间8a核
5	63512 22522	   	296.72	橙橙2矿等1易伤1暴击	1挖尘2暴击39矿等4基地爆炸5易伤6随机技能7时间8a核
6	31322 44431	   	291.66	橙橙2矿等1等级1技能	1基地爆炸29矿等3敌人爆炸4技能5随机技能6等级78核a掉矿
7	31322 44433	   	291.66	橙橙2矿等1等级1技能1挖怪	1基地爆炸29矿等3敌人爆炸4技能5随机技能6等级78核a挖怪
8	51235 11513	 * 	289.75	橙3矿等2易伤2等级2随机技能	1最后敌人24a矿等34随机技能4a序列升级5烈焰减费6a易伤7雷电8a等级9核
9	32316 52522	   	288.51	橙橙2矿等1易伤1暴击	1基地爆炸2敌人爆炸3暴击4易伤5最后敌人6随机技能79矿等8a核
10	33115 52522	   	288.51	橙橙2矿等1易伤1暴击	1基地爆炸2暴击3最后敌人4易伤5敌人爆炸6随机技能79矿等8a核
11	14335 24123	 * 	287.53	紫橙2矿等1等级1易伤1攻速	1等级2攻速3挖尘49矿等57核6敌人爆炸8易伤a时间
12	31122 44412	 * 	286.73	橙橙2等级1矿等1技能2随机技能	1基地爆炸2矿等3低血量敌人4技能5a随机技能69等级78核
13	31322 44412	   	286.73	橙橙2等级1矿等1技能2随机技能	1基地爆炸2矿等3敌人爆炸4技能5a随机技能69等级78核
14	51613 52232	 * 	283.97	橙3易伤3矿等1等级	1最后敌人279矿等3金币生成48a易伤5等级6核
15	31613 52232	   	283.87	橙3易伤3矿等1等级	1基地爆炸279矿等3金币生成48a易伤5等级6核
16	61613 52232	   	283.87	橙3易伤3矿等1等级	1挖尘279矿等3金币生成48a易伤5等级6核
17	31122 44411	   	280.02	橙橙2等级1矿等1技能	1基地爆炸2矿等3低血量敌人4技能5随机技能69等级78核a掉矿
18	31122 44413	   	280.02	橙橙2等级1矿等1技能1挖怪	1基地爆炸2矿等3低血量敌人4技能5随机技能69等级78核a挖怪
19	31322 44411	   	280.02	橙橙2等级1矿等1技能	1基地爆炸2矿等3敌人爆炸4技能5随机技能69等级78核a掉矿
20	31322 44413	   	280.02	橙橙2等级1矿等1技能1挖怪	1基地爆炸2矿等3敌人爆炸4技能5随机技能69等级78核a挖怪
21	14335 24121	   	279.23	紫橙2矿等1等级1易伤1攻速	1等级2攻速3挖尘49矿等57核6敌人爆炸8易伤a额外掉落
22	14335 24122	   	279.23	紫橙2矿等1等级1易伤1攻速	1等级2攻速3挖尘49矿等57核6敌人爆炸8易伤a低血量敌人
23	11365 11322	 * 	277.82	紫橙1等级1易伤1矿等1伤害1暴击	1等级2随机技能3赏金邻近4暴击58核6伤害7掉矿9易伤a矿等
24	23133 51335	 * 	275.73	橙橙1易伤1矿等1伤害1暴击	1掉矿2暴击3基础对冰4低血量敌人5雷电6a核7矿等8伤害9易伤
25	23433 51335	   	275.73	橙橙1易伤1矿等1伤害1暴击	1掉矿2暴击3基础对甲4低血量敌人5雷电6a核7矿等8伤害9易伤
26	31613 52225	 * 	274.50	橙2易伤2矿等1等级1伤害1攻速	1基地爆炸27矿等3金币生成48易伤5等级6核9攻速a伤害
27	51122 34411	   	274.35	橙橙1等级1矿等1技能	1最后敌人2矿等3低血量敌人4技能5随机技能6随机矿78核9等级a全技能
28	51322 34411	   	274.35	橙橙1等级1矿等1技能	1最后敌人2矿等3敌人爆炸4技能5随机技能6随机矿78核9等级a全技能
29	13262 24432	   	274.25	橙橙1等级1矿等1技能	1等级2敌人爆炸3随机技能4技能5技能点6基地爆炸78核9矿等a时间
30	13262 34432	   	274.25	橙橙1等级1矿等1技能	1等级2敌人爆炸3随机技能4技能5技能点6挖尘78核9矿等a时间
31	31122 44431	   	274.25	橙橙1等级1矿等1技能	1基地爆炸2矿等3低血量敌人4技能5随机技能6等级78核9金币生成a全技能
32	51222 24411	   	274.25	橙橙1等级1矿等1技能	1最后敌人2矿等3随机技能4技能5技能点6基地爆炸78核9等级a全技能
33	51222 34411	   	274.25	橙橙1等级1矿等1技能	1最后敌人2矿等3随机技能4技能5技能点6挖尘78核9等级a全技能
34	51211 34411	   	273.71	橙橙1等级1矿等1攻速	1最后敌人2矿等3随机技能4敌人爆炸5攻速6随机矿78核9等级a全技能
35	31122 44422	   	272.56	橙橙1等级1矿等1技能2随机技能	1基地爆炸2矿等39低血量敌人4技能5a随机技能6等级78核
36	31322 44422	   	272.56	橙橙1等级1矿等1技能2随机技能	1基地爆炸2矿等3敌人爆炸4技能5a随机技能6等级78核9低血量敌人
37	23243 12512	   	270.81	橙橙1等级1矿等1暴击	19掉矿2暴击3随机技能4时间5双倍秒伤6等级7矿等8a核
38	32222 44423	 * 	269.45	橙橙1等级1易伤1技能	1基地爆炸2敌人爆炸3金币生成4技能5随机技能6等级78核9平台a易伤
39	21214 24423	   	269.25	橙橙1等级1易伤1技能	1掉矿2随机技能3等级4挖尘5技能6基地爆炸78核9平台a易伤
40	12445 33321	 * 	269.25	橙2矿等2等级1易伤3暴击1技能	19等级2掉矿3随机矿469暴击5技能7核89矿等9序列升级a易伤
