0	Index      	 *	Score 	Summary	Detail	
1	25311 61433	 * 	344.48	橙橙4易伤2等级2时间	17等级28时间37策反457a易伤69核7序列升级
2	22322 61233	 * 	340.62	橙橙2易伤2等级2伤害2时间	18等级23伤害45时间69核7a易伤
3	22212 63233	   	337.30	橙橙3易伤2等级1伤害	18等级2伤害34a易伤5时间69核7火球减费
4	22221 63233	   	337.30	橙橙3易伤2等级1伤害	18等级2伤害35a易伤4时间69核7火球减费
5	25513 21433	 * 	333.54	紫橙4易伤2等级2攻速2时间	17等级28时间39核47攻速567a易伤7序列升级
6	22334 61233	   	332.85	橙橙2易伤2等级2伤害	18等级23伤害4立即金币5时间69核7a易伤
7	22326 63233	   	332.75	橙橙2易伤2等级2伤害	18等级23伤害4时间5a易伤69核7火球减费
8	22354 61233	   	332.75	橙橙2易伤2等级2伤害	18等级23伤害4火球减费5时间69核7a易伤
9	22463 61333	 * 	329.37	橙橙2等级2伤害1易伤1矿等	17等级27伤害3基地爆炸4矿等578金币生成69核7序列升级a易伤
10	22411 63233	   	327.64	橙橙3易伤2等级1伤害	18等级2伤害3基地爆炸45a易伤69核7火球减费
11	25311 61431	   	325.31	橙橙3易伤2等级2时间	17等级28时间37策反457易伤69核7序列升级a敌人爆炸
12	25311 61432	   	325.31	橙橙3易伤2等级2时间	17等级28时间37策反457易伤69核7序列升级a低血量敌人
13	22212 63433	   	324.53	橙橙3易伤1等级1伤害2时间	1等级2伤害34a易伤58时间69核7火球减费
14	22221 63433	   	324.53	橙橙3易伤1等级1伤害2时间	1等级2伤害35a易伤48时间69核7火球减费
15	22333 13363	 * 	322.09	橙橙2伤害1等级1雷电1易伤1攻速	1等级23伤害4立即金币5攻速6a核7雷电8易伤9防空对愈
16	22353 13363	   	321.99	橙橙1等级2伤害1雷电1易伤1攻速	1等级23伤害4火球减费5攻速6a核7雷电8易伤9防空对愈
17	22212 63235	   	320.72	橙橙2易伤2等级1伤害	18等级2伤害34易伤5时间69核7火球减费a赏金塔
18	22221 63235	   	320.72	橙橙2易伤2等级1伤害	18等级2伤害35易伤4时间69核7火球减费a赏金塔
19	22334 61433	   	320.08	橙橙2易伤2伤害1等级2时间	1等级23伤害4立即金币58时间69核7a易伤
20	22322 61235	   	319.98	橙橙2等级2伤害1易伤2时间	18等级23伤害45时间69核7易伤a赏金塔
21	22322 62633	   	319.98	橙橙2易伤1等级2伤害2时间	1等级23伤害45时间69核7火球减费8a易伤
22	22326 63433	   	319.98	橙橙2易伤1等级2伤害2时间	1等级23伤害48时间5a易伤69核7火球减费
23	22111 65233	   	319.25	橙橙2易伤2等级1伤害1暴击	18等级2伤害37敌人爆炸45易伤69核a暴击
24	22111 63233	   	319.15	橙橙2易伤2等级1伤害1暴击	18等级2伤害3敌人爆炸45易伤69核7火球减费a暴击
25	22213 63233	   	319.15	橙橙2易伤2等级1伤害1攻速	18等级2伤害34易伤5低血量敌人69核7火球减费a攻速
26	21221 63233	   	317.24	橙橙3易伤2等级	18等级2技能35a易伤4时间69核7火球减费
27	25211 63233	   	317.24	橙橙3易伤2等级	18等级2时间35a易伤4技能69核7火球减费
28	25241 63233	   	317.24	橙橙3易伤2等级	18等级2时间35a易伤4策反69核7火球减费
29	25311 63233	   	317.24	橙橙3易伤2等级	18等级2时间3策反45a易伤69核7火球减费
30	22212 63231	   	315.16	橙橙2易伤2等级1伤害	18等级2伤害34易伤5时间69核7火球减费a敌人爆炸
31	22212 63232	   	315.16	橙橙2易伤2等级1伤害	18等级2伤害34易伤5时间69核7火球减费a低血量敌人
32	22212 63234	   	315.16	橙橙2易伤2等级1伤害	18等级2伤害34易伤5时间69核7火球减费a金币生成
33	22212 63236	   	315.16	橙橙2易伤2等级1伤害	18等级2伤害34易伤5时间69核7火球减费a最后敌人
34	22221 63231	   	315.16	橙橙2易伤2等级1伤害	18等级2伤害35易伤4时间69核7火球减费a敌人爆炸
35	22221 63232	   	315.16	橙橙2易伤2等级1伤害	18等级2伤害35易伤4时间69核7火球减费a低血量敌人
36	22221 63234	   	315.16	橙橙2易伤2等级1伤害	18等级2伤害35易伤4时间69核7火球减费a金币生成
37	22221 63236	   	315.16	橙橙2易伤2等级1伤害	18等级2伤害35易伤4时间69核7火球减费a最后敌人
38	22232 63233	   	315.16	橙橙2易伤2等级1伤害	18等级2伤害3a易伤4立即金币5时间69核7火球减费
