0	Index      	 *	Score 	Summary	Detail	
1	26326 61332	 * 	300.78	橙橙3易伤1等级1暴击	1技能2金币生成3等级45a易伤6暴击78核9双倍矿
2	26324 61332	 * 	299.19	橙橙2易伤2等级1暴击	1技能2金币生成35等级4a易伤6暴击78核9双倍矿
3	26326 61322	   	288.21	橙橙2易伤1等级1暴击	1技能2金币生成3等级45易伤6暴击78核9掉矿a赏金邻近
4	26326 61312	   	286.95	橙橙2易伤1等级1暴击	1技能2金币生成3等级45易伤6暴击78核9低血量敌人a全技能
5	32223 22255	 * 	285.91	橙橙1等级1雷电1易伤1矿等1卖塔	1卖塔2敌人爆炸3双倍秒伤4易伤5矿等6等级79核8基地爆炸a雷电
6	32223 22155	 * 	285.81	橙橙1等级1雷电1易伤1矿等1卖塔	1卖塔2敌人爆炸3双倍秒伤4易伤5矿等6等级79核8挖尘a雷电
7	26326 61331	 * 	284.96	橙橙2易伤1等级2暴击	1技能2金币生成3等级45易伤6a暴击78核9双倍矿
8	42142 21135	 * 	282.74	橙橙2等级1矿等1攻速	1矿等2低血量敌人3敌人爆炸4赏金邻近58等级6最后敌人7a核9攻速
9	42242 21135	   	282.74	橙橙2等级1矿等1攻速	1矿等2低血量敌人3基地爆炸4赏金邻近58等级6最后敌人7a核9攻速
10	11442 21135	   	282.64	橙橙2等级1矿等1攻速	1立即金币2矿等3双倍秒伤4赏金邻近58等级6最后敌人7a核9攻速
11	26324 61322	   	282.55	橙橙2等级1易伤1暴击	1技能2金币生成35等级4易伤6暴击78核9掉矿a赏金邻近
12	11141 21352	 * 	281.56	橙橙3易伤1矿等1伤害1暴击	1立即金币2矿等3暴击4掉矿5伤害69a易伤78核
13	26324 61312	   	281.29	橙橙2等级1易伤1暴击	1技能2金币生成35等级4易伤6暴击78核9低血量敌人a全技能
14	26324 61331	 * 	279.30	橙橙2等级1易伤2暴击	1技能2金币生成35等级4易伤6a暴击78核9双倍矿
15	11141 21363	 * 	278.96	橙橙1雷电1易伤1矿等1伤害1攻速1暴击	1立即金币2矿等3暴击4掉矿5伤害6易伤78核9雷电a攻速
16	26326 61313	   	278.64	橙橙2易伤1等级1暴击	1技能2金币生成3等级45易伤6暴击78核9低血量敌人a基地爆炸
17	26326 61311	   	278.54	橙橙2易伤1等级1暴击	1技能2金币生成3等级45易伤6暴击78核9低血量敌人a掉矿
18	26326 61333	   	278.54	橙橙2易伤1等级1暴击	1技能2金币生成3等级45易伤6暴击78核9双倍矿a激光对愈
19	26326 61321	   	278.44	橙橙2易伤1等级1暴击	1技能2金币生成3等级45易伤6暴击78核9掉矿a技能点
20	26326 61323	   	278.44	橙橙2易伤1等级1暴击	1技能2金币生成3等级45易伤6暴击78核9掉矿a加一
21	12324 26263	 * 	276.95	橙3雷电2易伤1等级2暴击	1立即金币2赏金塔3a暴击4a易伤5喷火对甲6核7等级89a雷电a序列升级
22	42122 23635	 * 	275.77	紫橙2易伤2矿等1等级1攻速	17矿等2低血量敌人37敌人爆炸47易伤5a核6赏金塔7序列升级8等级9攻速
23	11141 21362	   	274.97	橙橙1雷电1易伤1矿等1伤害1暴击	1立即金币2矿等3暴击4掉矿5伤害6易伤78核9雷电a赏金邻近
24	55225 23232	 * 	273.89	橙3易伤2等级1雷电	1挖青2技能3全技能47等级57a易伤6核7序列升级8雷电9赏金邻近
25	11141 21365	   	273.61	橙橙1雷电1易伤1矿等1伤害1暴击	1立即金币2矿等3暴击4掉矿5伤害6易伤78核9雷电a平台
26	26324 61313	   	272.99	橙橙2等级1易伤1暴击	1技能2金币生成35等级4易伤6暴击78核9低血量敌人a基地爆炸
27	26324 61311	   	272.89	橙橙2等级1易伤1暴击	1技能2金币生成35等级4易伤6暴击78核9低血量敌人a掉矿
28	26324 61333	   	272.89	橙橙2等级1易伤1暴击	1技能2金币生成35等级4易伤6暴击78核9双倍矿a激光对愈
29	26324 61321	   	272.79	橙橙2等级1易伤1暴击	1技能2金币生成35等级4易伤6暴击78核9掉矿a技能点
30	26324 61323	   	272.79	橙橙2等级1易伤1暴击	1技能2金币生成35等级4易伤6暴击78核9掉矿a加一
31	14311 61321	 * 	272.40	橙橙1等级1易伤1伤害1暴击	1立即金币2易伤3金币生成4随机矿5伤害6暴击78核9掉矿a等级
