0	Index      	 *	Score 	Summary	Detail	
1	22626 21634	 * 	318.62	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1CDMG|2DUR|38VULN|47RCR|5MBVNT|6TLV|9LIT|aDMG
2	33535 12263	 * 	317.76	DCR|DCR|2TLV|1VULN|2ASPD|1AEFBLL	14ASPD|2RCVC|3MBVNT|58TLV|6AEFBLL|79RCR|aVULN
3	22623 22262	 * 	312.87	ACR|3TLV|3VULN|3CDMG|2DUR|1SELL	17aCDMG|29DUR|37aVULN|4RCR|5SELL|67aTLV|7aBPWR|8RMIN
4	22623 22662	 * 	312.87	ACR|3TLV|3VULN|3CDMG|2DUR|1SELL	17aCDMG|29DUR|37aVULN|4RCR|5SELL|67aTLV|7aBPWR|8AAC
5	12223 21526	 * 	309.21	ACR|DCR|3VULN|1TLV|2SELL	1FEWX|28aVULN|35SELL|47RCR|6TLV|9DUR
6	22326 21284	   	308.83	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1CDMG	1CDMG|2DUR|3LHND|47RCR|5MBVNT|6TLV|8AEFBLL|9DMG|aVULN
7	22326 21617	   	307.60	ACR|DCR|2VULN|1TLV|2DUR|1CDMG	1CDMG|29DUR|3LHND|47RCR|5MBVNT|6TLV|8aVULN
8	22626 21117	   	307.60	ACR|DCR|2VULN|1TLV|2DUR|1CDMG	1CDMG|29DUR|3aVULN|47RCR|5MBVNT|6TLV|8LHND
9	22626 21317	   	307.60	ACR|DCR|2VULN|1TLV|2DUR|1CDMG	1CDMG|28DUR|3aVULN|47RCR|5MBVNT|6TLV|9LHND
10	22626 21337	   	307.60	ACR|DCR|2VULN|1TLV|2DUR|1CDMG	1CDMG|28DUR|3aVULN|47RCR|5MBVNT|6TLV|9LIT
11	22626 21622	   	307.60	ACR|DCR|2VULN|1TLV|2DUR|1CDMG	1CDMG|29DUR|38VULN|47RCR|5MBVNT|6TLV|aRPLT
12	22626 21624	   	307.60	ACR|DCR|2VULN|1TLV|2DUR|1CDMG	1CDMG|29DUR|38VULN|47RCR|5MBVNT|6TLV|aBELT
13	33544 53242	 * 	307.56	DCR|3VULN|2TLV|2ASPD|1AEFBLL	1aASPD|2RCVC|3MBVNT|4aTLV|5ZMB|6AEFBLL|79aVULN|8RCR|aBPWR
