0	Index      	 *	Score 	Summary	Detail	
1	26524 32132	 * 	305.31	DCR|3TLV|3VULN|3CDMG|1AART	1AART|289TLV|389VULN|4LIT|5ERES|6RPLT|789CDMG|89BPWR|aRCR
2	16611 61221	   	299.07	DCR|3VULN|2TLV|1DMG|1ASPD|1AART	126VULN|38TLV|4ASPD|5AART|7CGEN|9RCR|aDMG
3	16611 36221	 * 	286.83	DCR|2TLV|2VULN|2ASPD|1DMG|1AART	12VULN|38TLV|47ASPD|5AART|6AAC|9RCR|aDMG
4	16623 33153	 * 	286.35	DCR|DCR|2VULN|1TLV|1AART	12VULN|3TLV|4DMSP|5BEXP|6FEWX|7aRCR|8MLV|9AART
5	11253 13153	   	286.25	DCR|DCR|2VULN|1TLV|1AART	14VULN|2BEXP|3FEWX|5TLV|6AEWIND|7aRCR|8MLV|9AART
6	16623 23153	   	286.25	DCR|DCR|2VULN|1TLV|1AART	12VULN|3TLV|4DMSP|5BEXP|6DUST|7aRCR|8MLV|9AART
7	16632 23153	   	286.25	DCR|DCR|2VULN|1TLV|1AART	12VULN|3TLV|45FEWX|6DUST|7aRCR|8MLV|9AART
8	22123 36162	 * 	286.25	ACR|DCR|2VULN|1TLV|1AART	1AART|2aFEWX|35aDUST|46RCR|7TLV|8MLV|9aVULN|aBPWR
9	23423 36162	   	286.25	ACR|DCR|2VULN|1TLV|1AART	1AART|25aDUST|3aFEWX|46RCR|7TLV|8MLV|9aVULN|aBPWR
10	11253 13553	   	286.15	DCR|DCR|2VULN|1TLV|1AART	14VULN|2BEXP|3FEWX|5TLV|6AEWIND|7aRCR|8ERES|9AART
11	23523 45233	   	286.02	ACR|DCR|1TLV|1VULN|1AEPOI|1AART	1AART|25DUST|3DUR|4aRCR|6TLV|7AEPOI|8VULN|9RMIN
12	23523 36523	   	285.92	ACR|DCR|1TLV|1VULN|1AEFBLL|1AART	1AART|25DUST|3DUR|46RCR|7TLV|8MDPS|9VULN|aAEFBLL
13	23523 43153	   	285.92	ACR|DCR|1TLV|1VULN|1AEPOI|1AART	1AART|25DUST|3DUR|4aRCR|6TLV|7VULN|8ERES|9AEPOI
14	13223 32332	   	281.46	DCR|3VULN|2TLV|1DMG	19aVULN|2LIT|3AETHUN|4aTLV|5DMG|6RAT|7aBEXP|8RCR|aBPWR
15	13223 35332	   	281.46	DCR|3VULN|2TLV|1DMG	19aVULN|2LIT|3AETHUN|4aTLV|5DMG|6RAT|7aFEWX|8RCR|aBPWR
16	13131 16535	 * 	281.23	DCR|2VULN|1TLV|3ASPD|1DMG|2AEPOI	17VULN|2LIT|37AEPOI|4LHND|5TLV|678ASPD|7BPWR|9DMG|aRCR
17	23523 36332	   	279.50	ACR|DCR|1TLV|1VULN|1CDMG|1AART	1AART|25DUST|3DUR|46RCR|7TLV|8SNITOX|9CDMG|aVULN
18	16611 61223	   	279.01	DCR|3VULN|2TLV|1ASPD|1AART	126VULN|38TLV|4ASPD|5AART|7aCGEN|9RCR
19	16311 51361	 * 	279.01	DCR|3VULN|1TLV|2ASPD|2RAT|1AART	129VULN|3AAC|49ASPD|5AART|6RMIN|79RAT|8RCR|9BPWR|aTLV
20	16611 61222	   	278.91	DCR|3VULN|2TLV|1ASPD|1AART|1MSE	126VULN|38TLV|4ASPD|5AART|7CGEN|9RCR|aMSE
21	23121 65125	 * 	278.21	DCR|2TLV|2VULN|2DMG|1AART	1AART|237DUST|4RMIN|57DMG|67TLV|7BPWR|8RCR|9aVULN
22	13436 22353	 * 	276.97	ACR|2TLV|2VULN|2DMG	13VULN|2LIT|4LHND|5RCR|69DMG|7DUR|8aTLV
