0	Index      	 *	Score 	Summary	Detail	
1	65212 11115	 * 	312.07	DCR|3VULN|1TLV|2DMG|2ASPD|1AEBURN	17DMG|2LIT|37ASPD|4TLV|5ERES|678VULN|7BPWR|9AEBURN|aRCR
2	62213 41522	 * 	306.35	ACR|DCR|1TLV|1VULN|2DMG|1CDMG	1aDMG|2DUR|39RCR|4LWND|5TLV|6CDMG|7AETHUN|8VULN
3	62223 41522	   	306.25	ACR|DCR|1TLV|1VULN|2DMG|1CDMG	1aDMG|2DUR|39RCR|4DUST|5TLV|6CDMG|7AETHUN|8VULN
4	12223 42563	   	302.64	ACR|DCR|1TLV|1VULN|1AEFBLL|1CDMG	1ZMB|2DUR|39RCR|4DUST|5TLV|6CDMG|7RAT|8AEFBLL|aVULN
5	22213 44522	   	302.52	ACR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2DUR|39RCR|4LWND|5TLV|6CDMG|7FEWX|8VULN|aDMG
6	22213 41522	   	302.42	ACR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2DUR|39RCR|4LWND|5TLV|6CDMG|7AETHUN|8VULN|aDMG
7	22253 41522	   	302.42	ACR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2DUR|39RCR|4FEWX|5TLV|6CDMG|7AETHUN|8VULN|aDMG
8	62223 42163	   	302.32	ACR|DCR|1TLV|1VULN|1DMG|1CDMG|2RAT	1DMG|2DUR|39RCR|4DUST|5TLV|6CDMG|78RAT|aVULN
9	22223 41522	   	302.32	ACR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2DUR|39RCR|4DUST|5TLV|6CDMG|7AETHUN|8VULN|aDMG
10	62213 41523	   	299.77	ACR|DCR|1TLV|1VULN|1DMG|1CDMG|1AART	1DMG|2DUR|39RCR|4LWND|5TLV|6CDMG|7AETHUN|8VULN|aAART
11	62214 31121	 * 	297.12	ACR|2TLV|2VULN|2DMG|2DUR|1AART	19DMG|29DUR|3RCR|4LWND|5AART|6aVULN|79TLV|8AETHUN|9BPWR
12	62231 22564	   	297.12	ACR|2TLV|2VULN|2DMG|2DUR|1AART	1aDMG|26DUR|3RCR|4AAC|5MBVNT|7aTLV|8aVULN|9AART|aBPWR
13	62231 26264	   	297.12	ACR|2TLV|2VULN|2DMG|2DUR|1AART	1aDMG|26DUR|3RCR|4AAC|5MBVNT|7aVULN|8aTLV|9AART|aBPWR
14	22253 42163	   	296.00	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG|2RAT	1ASPD|2DUR|39RCR|4FEWX|5TLV|6CDMG|78RAT|aVULN
15	22223 42163	   	295.90	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG|2RAT	1ASPD|2DUR|39RCR|4DUST|5TLV|6CDMG|78RAT|aVULN
16	12213 44522	   	295.80	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1ZMB|2DUR|39RCR|4LWND|5TLV|6CDMG|7FEWX|8VULN|aDMG
17	12213 41522	   	295.70	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1ZMB|2DUR|39RCR|4LWND|5TLV|6CDMG|7AETHUN|8VULN|aDMG
18	12253 41522	   	295.70	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1ZMB|2DUR|39RCR|4FEWX|5TLV|6CDMG|7AETHUN|8VULN|aDMG
19	12223 41522	   	295.60	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1ZMB|2DUR|39RCR|4DUST|5TLV|6CDMG|7AETHUN|8VULN|aDMG
20	62223 61522	   	292.36	ACR|DCR|1TLV|1VULN|2DMG|1SELL	1aDMG|2DUR|39RCR|4DUST|5TLV|6SELL|7AETHUN|8VULN
21	65212 11135	   	292.00	DCR|3VULN|1TLV|2DMG|2ASPD	17DMG|29LIT|37ASPD|4TLV|5ERES|678VULN|7BPWR|aRCR
22	22213 44523	   	291.49	ACR|DCR|1TLV|1VULN|2DUR|1ASPD|1CDMG	1ASPD|2aDUR|39RCR|4LWND|5TLV|6CDMG|7FEWX|8VULN
23	22253 41523	   	291.39	ACR|DCR|1TLV|1VULN|2DUR|1ASPD|1CDMG	1ASPD|2aDUR|39RCR|4FEWX|5TLV|6CDMG|7AETHUN|8VULN
24	22223 41523	   	291.29	ACR|DCR|1TLV|1VULN|2DUR|1ASPD|1CDMG	1ASPD|2aDUR|39RCR|4DUST|5TLV|6CDMG|7AETHUN|8VULN
25	62126 32214	 * 	291.02	DCR|3VULN|2TLV|1DMG	1DMG|2DUR|3CGEN|458VULN|6RAT|7RCR|9aTLV
26	12231 14611	 * 	291.00	ACR|3VULN|1TLV|1AEBURN|2DUR|1CDMG|2ZMB	19ZMB|29DUR|3RCR|4AAC|5CDMG|6AEBURN|789VULN|9BPWR|aTLV
27	12261 14611	   	291.00	ACR|3VULN|1TLV|1AEBURN|2DUR|1CDMG|2ZMB	19ZMB|29DUR|3RCR|4RMIN|5CDMG|6AEBURN|789VULN|9BPWR|aTLV
28	12253 42163	   	289.29	ACR|DCR|1TLV|1VULN|2RAT|1CDMG	1ZMB|2DUR|39RCR|4FEWX|5TLV|6CDMG|78RAT|aVULN
29	22213 41525	   	289.29	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG	1ASPD|2DUR|39RCR|4LWND|5TLV|6CDMG|7AETHUN|8VULN|aFLTARM
30	12223 42163	   	289.19	ACR|DCR|1TLV|1VULN|2RAT|1CDMG	1ZMB|2DUR|39RCR|4DUST|5TLV|6CDMG|78RAT|aVULN
31	62213 41521	   	288.77	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1DMG|2DUR|39RCR|4LWND|5TLV|6CDMG|7AETHUN|8VULN|aCGEN
32	62243 31234	   	288.69	ACR|2TLV|2VULN|1DMG|1AEPOI|2DUR	1DMG|2aDUR|3RCR|4CGEN|5FEWX|6aVULN|7AEPOI|8aTLV|9RPLT|aBPWR
33	62223 41521	   	288.67	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1DMG|2DUR|39RCR|4DUST|5TLV|6CDMG|7AETHUN|8VULN|aCGEN
34	62223 41523	   	288.67	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1DMG|2DUR|39RCR|4DUST|5TLV|6CDMG|7AETHUN|8VULN|aDMSP
35	22253 61522	   	288.52	ACR|DCR|1TLV|1VULN|1DMG|1ASPD|1SELL	1ASPD|2DUR|39RCR|4FEWX|5TLV|6SELL|7AETHUN|8VULN|aDMG
36	62223 62163	   	288.42	ACR|DCR|1TLV|1VULN|1DMG|2RAT|1SELL	1DMG|2DUR|39RCR|4DUST|5TLV|6SELL|78RAT|aVULN
37	22223 61522	   	288.42	ACR|DCR|1TLV|1VULN|1DMG|1ASPD|1SELL	1ASPD|2DUR|39RCR|4DUST|5TLV|6SELL|7AETHUN|8VULN|aDMG
38	61231 42522	   	287.48	ACR|2TLV|2VULN|2DMG|1AEPOI	1aDMG|2MDPS|3AAC|4aVULN|5RCR|6FEWX|7AEPOI|8RPLT|9aTLV|aBPWR
39	62153 32214	   	286.39	DCR|2TLV|2VULN|1DMG|1AEPOI	1DMG|2DUR|3CGEN|4AEPOI|58VULN|6RAT|7RCR|9aTLV
40	62623 32214	   	286.39	DCR|2TLV|2VULN|1AEFBLL|1DMG	1DMG|2DUR|3AEFBLL|4CGEN|58VULN|6RAT|7RCR|9aTLV
41	22231 22364	 * 	285.57	ACR|2TLV|2VULN|2ASPD|2DUR|1AART	1aASPD|26DUR|3RCR|4AAC|5MBVNT|7aTLV|8aVULN|9AART|aBPWR
42	22261 22364	   	285.57	ACR|2TLV|2VULN|2ASPD|2DUR|1AART	1aASPD|26DUR|3RCR|4RMIN|5MBVNT|7aTLV|8aVULN|9AART|aBPWR
43	22214 31121	   	285.57	ACR|2TLV|2VULN|2ASPD|2DUR|1AART	19ASPD|29DUR|3RCR|4LWND|5AART|6aVULN|79TLV|8AETHUN|9BPWR
44	22231 26264	   	285.57	ACR|2TLV|2VULN|2ASPD|2DUR|1AART	1aASPD|26DUR|3RCR|4AAC|5MBVNT|7aVULN|8aTLV|9AART|aBPWR
45	22261 26264	   	285.57	ACR|2TLV|2VULN|2ASPD|2DUR|1AART	1aASPD|26DUR|3RCR|4RMIN|5MBVNT|7aVULN|8aTLV|9AART|aBPWR
46	62126 32211	   	284.88	DCR|3VULN|1TLV|1AEFBLL|1DMG	1DMG|2DUR|3CGEN|458VULN|6RAT|7RCR|9TLV|aAEFBLL
47	62126 32215	   	284.88	DCR|3VULN|1TLV|1DMG|1AEPOI	1DMG|2DUR|3CGEN|458VULN|6RAT|7RCR|9TLV|aAEPOI
48	12213 44523	   	284.78	ACR|DCR|1TLV|1VULN|2DUR|1CDMG	1ZMB|2aDUR|39RCR|4LWND|5TLV|6CDMG|7FEWX|8VULN
49	12253 41523	   	284.68	ACR|DCR|1TLV|1VULN|2DUR|1CDMG	1ZMB|2aDUR|39RCR|4FEWX|5TLV|6CDMG|7AETHUN|8VULN
50	22126 32214	   	284.60	DCR|3VULN|2TLV|1ASPD	1ASPD|2DUR|3CGEN|458VULN|6RAT|7RCR|9aTLV
51	12223 41523	   	284.58	ACR|DCR|1TLV|1VULN|2DUR|1CDMG	1ZMB|2aDUR|39RCR|4DUST|5TLV|6CDMG|7AETHUN|8VULN
52	62223 25261	 * 	283.98	ACR|3VULN|2TLV|1DMG	1DMG|2DUR|3RCR|4DUST|58TLV|6RCVC|79aVULN
53	12213 41525	   	282.58	ACR|DCR|1TLV|1VULN|1CDMG	1ZMB|2DUR|39RCR|4LWND|5TLV|6CDMG|7AETHUN|8VULN|aFLTARM
54	22213 44521	   	282.45	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG	1ASPD|2DUR|39RCR|4LWND|5TLV|6CDMG|7FEWX|8VULN|aCGEN
55	35212 11165	 * 	282.44	DCR|4VULN|1TLV|2ASPD	17CGEN|2LIT|37ASPD|4TLV|5ZMB|6789VULN|7BPWR|aRCR
56	22213 41521	   	282.35	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG	1ASPD|2DUR|39RCR|4LWND|5TLV|6CDMG|7AETHUN|8VULN|aCGEN
57	22213 41523	   	282.35	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG	1ASPD|2DUR|39RCR|4LWND|5TLV|6CDMG|7AETHUN|8VULN|aRCVC
58	22213 41524	   	282.35	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG	1ASPD|2DUR|39RCR|4LWND|5TLV|6CDMG|7AETHUN|8VULN|aBELT
