0	Index      	 *	Score 	Summary	Detail	
1	15211 51213	 * 	218.55	ACR|4VULN|3DMG|1AART|1ZMB	19aSNIHEL|289aVULN|3ZMB|4AART|5RCR|6FEWX|79aDMG|9aBPWR
2	15211 51612	   	218.09	ACR|3VULN|3DMG|1AART|1CDMG|1ZMB	189SNIHEL|289VULN|3ZMB|4AART|5RCR|6FEWX|789DMG|89BPWR|aCDMG
3	15211 51613	   	204.44	ACR|3VULN|3DMG|1AART|1ZMB	189SNIHEL|289VULN|3ZMB|4AART|5RCR|6FEWX|789DMG|89BPWR|aLHND
4	15211 31366	 * 	192.54	ACR|3VULN|2DMG|1AART|2ZMB	1SNIHEL|268VULN|36ZMB|4AART|5RCR|6BPWR|7aDMG|9RMIN
5	15411 31413	   	189.92	ACR|3DMG|2VULN|1AART|2DUR	169SNIHEL|26VULN|3RMIN|4AART|5RCR|69BPWR|79aDMG|89DUR
6	15211 31213	 * 	189.26	ACR|4VULN|1AART|1DMG|2ZMB	19aSNIHEL|269aVULN|36ZMB|4AART|5RCR|69aBPWR|7DMG|89aFEWX
7	15211 31313	   	189.16	ACR|4VULN|1AART|1DMG|2ZMB	1aSNIHEL|268aVULN|36ZMB|4AART|5RCR|6aBPWR|7DMG|9aFEWX
8	15211 31612	   	189.16	ACR|4VULN|1AART|1DMG|2ZMB	19SNIHEL|269aVULN|36ZMB|4AART|5RCR|69BPWR|7DMG|89BEXP
9	15211 31334	   	189.06	ACR|4VULN|1AART|1DMG|2ZMB	1SNIHEL|268aVULN|36ZMB|4AART|5RCR|6BPWR|7DMG|9CGEN
10	15211 31342	   	189.06	ACR|4VULN|1AART|1DMG|2ZMB	1SNIHEL|268aVULN|36ZMB|4AART|5RCR|6BPWR|7DMG|9BEXP
11	15211 31364	   	189.06	ACR|4VULN|1AART|1DMG|2ZMB	1SNIHEL|268aVULN|36ZMB|4AART|5RCR|6BPWR|7DMG|9RMIN
12	15211 51211	   	188.69	ACR|3VULN|2DMG|1AART|1ZMB	19SNIHEL|289VULN|3ZMB|4AART|5RCR|6FEWX|79DMG|9BPWR|aBEXP
13	15211 51212	   	188.69	ACR|3VULN|2DMG|1AART|1ZMB	19SNIHEL|289VULN|3ZMB|4AART|5RCR|6aFEWX|79DMG|9BPWR
14	15211 51253	   	188.69	ACR|3VULN|2DMG|1AART|1ZMB	1aSNIHEL|28aVULN|3ZMB|4AART|5RCR|69FEWX|7aDMG|aBPWR
15	15211 51215	   	188.59	ACR|3VULN|2DMG|1AART|1ZMB	19SNIHEL|289VULN|3ZMB|4AART|5RCR|6FEWX|79DMG|9BPWR|aDUST
