0	Index      	 *	Score 	Summary	Detail	
1	25531 31336	 * 	192.73	ACR|3DMG|2VULN|2AART	1LEGI|27VULN|3RCR|47aDMG|5BELT|68AART|7BPWR|9CGEN
2	25531 31353	 * 	192.73	ACR|3VULN|2DMG|2AART	1LEGI|279VULN|3RCR|47DMG|5BELT|68AART|7BPWR|aFEWX
3	25531 31351	   	192.63	ACR|3VULN|2DMG|2AART	1LEGI|279VULN|3RCR|47DMG|5BELT|68AART|7BPWR|aTLV
4	25163 22125	 * 	190.19	DCR|2AART|2DMG|2VULN|2DUR	1LEGI|2aVULN|3RPLT|49AART|5aDMG|6RCR|7aDUR|8RCVC|aBPWR
5	15234 25133	 * 	189.31	DCR|2VULN|2DMG|1AART|2ZMB|1ASPD	18DUST|2AART|38VULN|4BASHEA|5ASPD|6RCR|78ZMB|8BPWR|9aDMG
6	63433 21263	   	188.71	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	18AIRHEL|28ZMB|3AART|4DUR|5DUST|6RCR|78VULN|8BPWR|9aDMG
7	12532 34362	 * 	186.62	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUST|26VULN|3RCR|49DMG|5AART|7LSRHEA|8DUR|aCDMG
8	42623 31632	 * 	185.79	ACR|4VULN|2DMG|1CDMG|1SELL	1RCVC|2RCR|3489VULN|59LWND|6SELL|79DMG|9BPWR|aCDMG
9	15232 21363	   	185.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUST|2AART|37VULN|4BASHEA|5ZMB|6RCR|8DUR|9aDMG
10	25632 21363	   	184.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1LEGI|27VULN|3AART|4BASHEA|5ZMB|6RCR|8DUR|9aDMG
11	63433 21261	 * 	184.65	DCR|2VULN|3ZMB|1AART|1DMG|1DUR	18AIRHEL|28aZMB|3AART|4DUR|5DUST|6RCR|78VULN|8BPWR|9DMG
12	25531 31341	   	184.02	ACR|2VULN|2DMG|2AART|1DUR	1LEGI|27VULN|3RCR|47DMG|5BELT|68AART|7BPWR|9DUR|aRMIN
13	25531 31342	   	184.02	ACR|2VULN|2DMG|2AART|1DUR	1LEGI|27VULN|3RCR|47DMG|5BELT|68AART|7BPWR|9DUR|aBEXP
14	25531 31343	   	184.02	ACR|2VULN|2DMG|2AART|1DUR	1LEGI|27VULN|3RCR|47DMG|5BELT|68AART|7BPWR|9DUR|aLWND
15	12424 26314	 * 	183.98	DCR|4VULN|1AART|1DMG|1ZMB	1DUST|247aVULN|3DMG|5AART|6ZMB|8RCR|9MBVNT
16	25531 31324	   	183.92	ACR|2VULN|2DMG|2AART|1DUR	1LEGI|27VULN|3RCR|47DMG|5BELT|68AART|7BPWR|9DUST|aDUR
17	25532 31531	   	183.37	ACR|3VULN|1AART|1DMG|2DUR|1ASPD	1LEGI|278VULN|3RCR|4DMG|5AART|6aDUR|9ASPD
18	21262 62262	 * 	183.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1LEGI|2LHND|3CDMG|45VULN|6RCR|7DUR|89DMG|aAART
19	14313 21125	 * 	182.67	DCR|3DMG|2VULN|1AART	1aDUST|2RPLT|3AART|47FEWX|58aDMG|6RCR|9aVULN|aBPWR
20	14313 22125	   	182.57	DCR|3DMG|2VULN|1AART	17aDUST|2RPLT|3AART|4FEWX|58aDMG|6RCR|9aVULN|aBPWR
21	25163 21125	 * 	182.17	DCR|3VULN|2DMG|1AART	1LEGI|29aVULN|3RPLT|4AART|5aDMG|6RCR|7aFEWX|8RCVC|aBPWR
22	25632 23263	   	181.87	DCR|2VULN|2DMG|1AART|2ZMB	1LEGI|28VULN|3AART|4BASHEA|58ZMB|6RCR|78BEXP|8BPWR|9aDMG
23	12532 32644	   	181.79	ACR|3VULN|2DMG|1AART	19DUST|26aVULN|3RCR|49DMG|5AART|79CGEN|8MBVNT|9BPWR
24	12532 43644	   	181.79	ACR|3VULN|2DMG|1AART	19DUST|27aVULN|3RCR|49DMG|5AART|69CGEN|8MBVNT|9BPWR
25	62622 21263	   	181.77	DCR|2VULN|2DMG|1AART|2ZMB	18AIRHEL|2LEGI|3AART|4FEWX|58ZMB|6RCR|78VULN|8BPWR|9aDMG
26	12532 21646	   	181.59	ACR|3DMG|2VULN|1AART	19aDUST|2aVULN|3RCR|49aDMG|5AART|679ERES|8MBVNT|9aBPWR
27	12532 24644	   	181.59	ACR|3VULN|2DMG|1AART	19DUST|27aVULN|3RCR|49DMG|5AART|69ERES|8MBVNT|9BPWR
