0	Index      	 *	Score 	Summary	Detail	
1	52553 12123	 * 	207.57	ACR|3VULN|3DMG|1AART|2DUR	18aVULN|2RCVC|3LWND|4RCR|5AART|68DUR|789DMG|8BPWR
2	56513 32122	 * 	204.26	DCR|3VULN|3DMG|1AART|1DUR	128VULN|3LWND|48FEWX|5AART|6RCR|789DMG|8BPWR|aDUR
3	56513 32121	   	197.32	DCR|3VULN|3DMG|1AART	128VULN|3LWND|48aFEWX|5AART|6RCR|789DMG|8BPWR
4	56513 32123	   	197.32	DCR|3VULN|3DMG|1AART	128VULN|3LWND|48FEWX|5AART|6RCR|789DMG|8BPWR|aLHND
5	56513 32131	   	195.32	DCR|3VULN|2DMG|1AART|1CDMG	128VULN|3LWND|48FEWX|5AART|6RCR|78DMG|8BPWR|9LHND|aCDMG
6	56513 32111	   	195.22	DCR|3VULN|2DMG|1AART|1CDMG	128VULN|3LWND|48FEWX|5AART|6RCR|78DMG|8BPWR|9DUST|aCDMG
7	56523 32121	   	195.12	DCR|3VULN|2DMG|1AART|1CDMG	128VULN|3LWND|48DUST|5AART|6RCR|78DMG|8BPWR|9LHND|aCDMG
8	56523 32131	   	195.12	DCR|3VULN|2DMG|1AART|1CDMG	128VULN|3LWND|48DUST|5AART|6RCR|78DMG|8BPWR|9FEWX|aCDMG
9	56523 32112	   	195.02	DCR|3VULN|2DMG|1AART|1CDMG	128VULN|3LWND|489DUST|5AART|6RCR|78DMG|8BPWR|aCDMG
10	52553 12121	   	191.92	ACR|3DMG|2VULN|1AART|2DUR	18VULN|2RCVC|3LWND|4RCR|5AART|68DUR|789DMG|8BPWR|aFEWX
11	52553 12122	   	191.82	ACR|3DMG|2VULN|1AART|2DUR	18VULN|2RCVC|3LWND|4RCR|5AART|68DUR|789DMG|8BPWR|aLEGI
12	53261 31241	 * 	189.94	ACR|4VULN|2DMG|1AART|1SELL	134aVULN|2SELL|5RCR|6RMIN|7AART|8aDMG|9aCGEN|aBPWR
13	52553 12131	   	189.92	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	18VULN|2RCVC|3LWND|4RCR|5AART|68DUR|78DMG|8BPWR|9LHND|aCDMG
14	52553 12111	   	189.82	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	18VULN|2RCVC|3LWND|4RCR|5AART|68DUR|78DMG|8BPWR|9DUST|aCDMG
15	54261 21223	 * 	189.71	ACR|3VULN|2AART|1DMG|2CDMG	134VULN|2aCDMG|5RCR|6CGEN|79AART|8DMG
16	52513 32122	   	188.61	DCR|3DMG|2VULN|1AART|1DUR	18VULN|2RCVC|3LWND|48FEWX|5AART|6RCR|789DMG|8BPWR|aDUR
17	52523 32152	 * 	188.26	DCR|2AART|2DMG|2VULN|1ZMB	18VULN|2RCVC|3LWND|48DUST|5aAART|6RCR|78DMG|8BPWR|9ZMB
18	56321 42131	   	187.42	DCR|3VULN|2DMG|1AART|1CDMG	128VULN|38LHND|4DUST|5LWND|6AART|78DMG|8BPWR|9RCR|aCDMG
19	54262 31231	   	187.07	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	134VULN|2CDMG|5DUR|6RMIN|7AART|8DMG|9RCR|aZMB
20	52351 42123	   	186.03	ACR|3DMG|2VULN|1AART|1ASPD	18VULN|2RCVC|3LHND|4RCR|58LWND|6AART|789DMG|8BPWR|aASPD
21	54261 21221	   	183.40	ACR|3VULN|2AART|1DMG|1CDMG	134VULN|2CDMG|5RCR|6CGEN|79AART|8DMG|aLIT
22	54261 21222	   	183.30	ACR|3VULN|2AART|1DMG|1CDMG	134VULN|2CDMG|5RCR|6CGEN|79AART|8DMG|aLSRHEA
23	53261 21223	   	183.15	ACR|3VULN|2AART|1DMG|1CDMG|1SELL	134VULN|2SELL|5RCR|6CGEN|79AART|8DMG|aCDMG
24	54261 21211	   	182.95	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	134VULN|2CDMG|5RCR|6CGEN|7AART|8DMG|9LHND|aZMB
25	54261 31211	   	182.95	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	134VULN|2CDMG|5RCR|6RMIN|7AART|8DMG|9LHND|aZMB
26	52513 32121	   	181.67	DCR|3DMG|2VULN|1AART	18VULN|2RCVC|3LWND|48aFEWX|5AART|6RCR|789DMG|8BPWR
27	52513 32123	   	181.67	DCR|3DMG|2VULN|1AART	18VULN|2RCVC|3LWND|48FEWX|5AART|6RCR|789DMG|8BPWR|aLHND
28	52513 32125	   	181.67	DCR|3DMG|2VULN|1AART	18VULN|2RCVC|3LWND|48FEWX|5AART|6RCR|789DMG|8BPWR|aCGEN
29	52513 32126	   	181.67	DCR|3DMG|2VULN|1AART	18VULN|2RCVC|3LWND|48FEWX|5AART|6RCR|789DMG|8BPWR|aRMIN
