0	Index      	 *	Score 	Summary	Detail	
1	12553 52223	 * 	213.12	DCR|4VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|245aVULN|35DMG|5BPWR|6CDMG|7LIT|8RCR|9AART
2	12553 52221	   	205.96	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1ZMB|245VULN|35DMG|5BPWR|6CDMG|7LIT|8RCR|9AART|aDUR
3	12541 11232	 * 	202.23	DCR|3DMG|2AART|1VULN|2ZMB|1CDMG	17ZMB|2VULN|357DMG|47FEWX|6RCR|7BPWR|89AART|aCDMG
4	12553 52222	   	199.02	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|245VULN|35DMG|5BPWR|6CDMG|7LIT|8RCR|9AART|aMGNSTR
5	12521 13436	 * 	198.21	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	1ZMB|2aVULN|358DMG|4LWND|6RCR|7AART|9DUR
6	12541 11213	   	197.72	DCR|3DMG|1AART|1VULN|2ZMB|1CDMG|1ASPD	17ZMB|2VULN|357DMG|47FEWX|6RCR|7BPWR|8AART|9ASPD|aCDMG
7	12541 11216	 * 	197.61	DCR|3DMG|3ZMB|1AART|1VULN|1ASPD	17aZMB|2VULN|357DMG|47FEWX|6RCR|7BPWR|8AART|9ASPD
8	12541 11215	   	195.52	DCR|3DMG|2AART|1VULN|2ZMB|1ASPD	17ZMB|2VULN|357DMG|47FEWX|6RCR|7BPWR|8aAART|9ASPD
9	12541 11233	   	195.52	DCR|3DMG|2AART|1VULN|2ZMB|1DUR	17ZMB|2VULN|357DMG|47FEWX|6RCR|7BPWR|89AART|aDUR
10	12541 11226	 * 	194.72	DCR|3DMG|2VULN|1AART|2ZMB	17ZMB|2aVULN|357DMG|47FEWX|6RCR|7BPWR|8AART|9LHND
11	12553 23622	   	194.61	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|245VULN|35DMG|5BPWR|6ERES|7RCR|8RPLT|9AART|aDUR
12	12531 13413	   	194.27	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1ZMB|2VULN|358DMG|4LHND|6RCR|7AART|9ASPD|aCDMG
13	12521 13423	   	191.27	DCR|3DMG|2VULN|1AART|1ZMB	1ZMB|2aVULN|358DMG|4LWND|6RCR|7AART|9LHND
14	12531 13432	   	191.27	DCR|3DMG|2VULN|1AART|1ZMB	1ZMB|2aVULN|358DMG|4LHND|6RCR|7AART|9LIT
15	12521 13463	   	191.17	DCR|3DMG|2VULN|1AART|1ZMB	1ZMB|2aVULN|358DMG|4LWND|6RCR|7AART|9BASHEA
16	12531 13463	   	191.17	DCR|3DMG|2VULN|1AART|1ZMB	1ZMB|2aVULN|358DMG|4LHND|6RCR|7AART|9BASHEA
17	16551 11213	   	190.91	DCR|3DMG|2VULN|2ZMB|1CDMG|1DUR	17ZMB|2LHND|357DMG|47VULN|6RCR|7BPWR|8DUR|9LIT|aCDMG
18	34551 11213	   	190.81	DCR|3DMG|2VULN|2ZMB|1CDMG|1DUR	1LEGI|27ZMB|357DMG|47VULN|6RCR|7BPWR|8DUR|9LIT|aCDMG
19	12551 11113	   	190.70	DCR|2VULN|2DMG|1AART|2ZMB|2DUR	17ZMB|24VULN|37DMG|57LWND|6RCR|7BPWR|8aDUR|9AART
20	12552 11113	   	190.70	DCR|2VULN|2DMG|1AART|2ZMB|2DUR	17ZMB|24VULN|37DMG|57LHND|6RCR|7BPWR|8aDUR|9AART
21	12553 31226	 * 	190.33	DCR|4VULN|3DMG|2ZMB|1SELL	17ZMB|2457VULN|357DMG|57BPWR|6RPLT|8RMIN|9SELL|aRCR
22	16551 11232	   	189.49	DCR|3DMG|2VULN|2ZMB|2DUR|1ASPD	17ZMB|2LHND|357DMG|47VULN|6RCR|7BPWR|89DUR|aASPD
23	34551 11232	   	189.39	DCR|3DMG|2VULN|2ZMB|2DUR|1ASPD	1LEGI|27ZMB|357DMG|47VULN|6RCR|7BPWR|89DUR|aASPD
24	12553 52231	   	189.32	DCR|4VULN|2DMG|1CDMG|1ZMB	1ZMB|245aVULN|35DMG|5BPWR|6CDMG|7LIT|8RCR|9MGNSTR
25	12541 11231	   	188.58	DCR|3DMG|2AART|1VULN|2ZMB	17ZMB|2VULN|357DMG|47FEWX|6RCR|7BPWR|89AART|aRMIN
26	12541 11234	   	188.58	DCR|3DMG|2AART|1VULN|2ZMB	17ZMB|2VULN|357DMG|47FEWX|6RCR|7BPWR|89AART|aLWND
27	12541 11236	   	188.58	DCR|3DMG|2AART|1VULN|2ZMB	17ZMB|2VULN|357DMG|47FEWX|6RCR|7BPWR|89AART|aRCVC
