0	Index      	 *	Score 	Summary	Detail	
1	32421 61336	 * 	181.27	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1ASPD	12ZMB|3FEWX|47VULN|5CDMG|6RCR|8ASPD|9AART|aDMG
2	31252 53342	 * 	179.77	ACR|3VULN|2DMG|3ZMB	178ZMB|24aCGEN|348BEXP|48aBPWR|5RCR|68aVULN|9aDMG
3	31262 53342	   	179.67	ACR|3VULN|2DMG|3ZMB	178ZMB|2aCGEN|348BEXP|5RCR|68aVULN|8aBPWR|9aDMG
4	31641 11212	 * 	178.55	DCR|2DMG|3ZMB|3CDMG|1AART	139ZMB|2CGEN|49aCDMG|59DMG|6RCVC|7RCR|8AART|9BPWR
5	32341 11212	   	178.55	DCR|2DMG|3ZMB|3CDMG|1AART	129ZMB|3CGEN|49aCDMG|59DMG|6RCVC|7RCR|8AART|9BPWR
6	36641 11212	   	178.45	DCR|2DMG|3ZMB|3CDMG|1AART	139ZMB|2TLV|49aCDMG|59DMG|6RCVC|7RCR|8AART|9BPWR
7	33333 33624	 * 	177.31	DCR|4VULN|1AART|2ZMB|2DUR	17ZMB|27DUR|3LWND|4ERES|578aVULN|6AART|7BPWR|9RCR
8	33333 33623	 * 	176.86	DCR|3VULN|1AART|2ZMB|1CDMG|2DUR	17ZMB|27DUR|3LWND|4ERES|578VULN|6AART|7BPWR|9RCR|aCDMG
9	32121 66133	 * 	176.51	DCR|2VULN|3ZMB|3CDMG|1DMG	128ZMB|3LWND|48VULN|589CDMG|6RCR|7NUKE|8BPWR|aDMG
10	32421 66133	   	176.51	DCR|2VULN|3ZMB|3CDMG|1DMG	128ZMB|3FEWX|48VULN|589CDMG|6RCR|7NUKE|8BPWR|aDMG
11	32521 66133	   	176.51	DCR|2VULN|3ZMB|3CDMG|1DMG	128ZMB|3LHND|48VULN|589CDMG|6RCR|7NUKE|8BPWR|aDMG
12	35121 66133	 * 	176.34	DCR|3VULN|1AART|2CDMG|2ZMB	18ZMB|2RCVC|3LWND|48aVULN|58CDMG|6RCR|7NUKE|8BPWR|9AART
13	22325 25613	 * 	175.87	DCR|4VULN|2DMG|1ZMB	19LIT|249aVULN|34FEWX|49BPWR|5ZMB|6RCVC|79DMG|8RCR
14	13213 45423	 * 	175.03	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|2LWND|37aVULN|4MBVNT|5CDMG|6RCR|8DMG|9AART
15	32124 13563	   	174.93	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	12ZMB|3LWND|47VULN|5FEWX|6RCR|8AART|9DMG|aCDMG
16	34741 34181	 * 	174.57	DCR|2VULN|2DMG|2ZMB|2ASPD|1CDMG	18ZMB|2MBVNT|3RMIN|48ASPD|5CDMG|6aVULN|78DMG|8BPWR|9RCR
17	53242 33523	 * 	173.66	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1FEWX|2DUR|36VULN|45AART|7MLV|8DMG|9RCR|aCDMG
18	53242 36223	   	173.56	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1FEWX|2DUR|36VULN|45AART|7DMG|8ERES|9RCR|aCDMG
19	32121 61361	 * 	173.12	DCR|3VULN|1DMG|2ZMB|1CDMG|1DUR	12ZMB|3LWND|47aVULN|5CDMG|6RCR|8DUR|9DMG
20	32421 61261	   	173.12	DCR|3VULN|1DMG|2ZMB|1CDMG|1DUR	12ZMB|3FEWX|47aVULN|5CDMG|6RCR|8DUR|9DMG
21	32521 61361	   	173.12	DCR|3VULN|1DMG|2ZMB|1CDMG|1DUR	12ZMB|3LHND|47aVULN|5CDMG|6RCR|8DUR|9DMG
22	32651 31224	 * 	172.97	DCR|4VULN|3ZMB|1DMG	128ZMB|3RPLT|4568VULN|78ERES|8BPWR|9RCR|aDMG
23	34741 34183	 * 	172.63	DCR|3DMG|1VULN|2ZMB|2ASPD|1CDMG	18ZMB|2MBVNT|3RMIN|48ASPD|5CDMG|6VULN|78aDMG|8BPWR|9RCR
24	31641 11214	   	172.51	DCR|2DMG|3ZMB|1AART|2CDMG	139ZMB|2CGEN|49CDMG|59DMG|6aRCVC|7RCR|8AART|9BPWR
25	31641 11216	   	172.51	DCR|2DMG|3ZMB|1AART|2CDMG	139ZMB|2CGEN|49CDMG|59DMG|6RCVC|7RCR|8AART|9BPWR|aRPLT
26	32341 11214	   	172.51	DCR|2DMG|3ZMB|1AART|2CDMG	129ZMB|3CGEN|49CDMG|59DMG|6aRCVC|7RCR|8AART|9BPWR
27	32341 11216	   	172.51	DCR|2DMG|3ZMB|1AART|2CDMG	129ZMB|3CGEN|49CDMG|59DMG|6RCVC|7RCR|8AART|9BPWR|aRPLT
28	12621 66133	   	172.48	DCR|3VULN|1AART|2CDMG|1ZMB	128LHND|3ZMB|48aVULN|58CDMG|6RCR|7NUKE|8BPWR|9AART
29	31641 11213	   	172.41	DCR|2DMG|3ZMB|1AART|2CDMG	139ZMB|2CGEN|49CDMG|59DMG|6RCVC|7RCR|8AART|9BPWR|aDUST
30	31641 11215	   	172.41	DCR|2DMG|3ZMB|1AART|2CDMG	139ZMB|2CGEN|49CDMG|59DMG|6RCVC|7RCR|8AART|9BPWR|aTLV
31	32341 11213	   	172.41	DCR|2DMG|3ZMB|1AART|2CDMG	129ZMB|3CGEN|49CDMG|59DMG|6RCVC|7RCR|8AART|9BPWR|aDUST
32	32341 11215	   	172.41	DCR|2DMG|3ZMB|1AART|2CDMG	129ZMB|3CGEN|49CDMG|59DMG|6RCVC|7RCR|8AART|9BPWR|aTLV
33	36641 11213	   	172.31	DCR|2DMG|3ZMB|1AART|2CDMG	139ZMB|2TLV|49CDMG|59DMG|6RCVC|7RCR|8AART|9BPWR|aDUST
34	32121 66115	 * 	172.30	DCR|3VULN|3ZMB|3CDMG	128ZMB|3aLWND|48aVULN|58aCDMG|6RCR|7NUKE|8aBPWR|9RMIN
35	31641 11211	   	172.27	DCR|2DMG|3ZMB|1AART|2CDMG|1SELL	139ZMB|2CGEN|49CDMG|59DMG|6RCVC|7RCR|8AART|9BPWR|aSELL
36	32341 11211	   	172.27	DCR|2DMG|3ZMB|1AART|2CDMG|1SELL	129ZMB|3CGEN|49CDMG|59DMG|6RCVC|7RCR|8AART|9BPWR|aSELL
37	36641 11211	   	172.17	DCR|2DMG|3ZMB|1AART|2CDMG|1SELL	139ZMB|2TLV|49CDMG|59DMG|6RCVC|7RCR|8AART|9BPWR|aSELL
38	32121 64225	   	171.96	DCR|3VULN|3ZMB|3CDMG|1SELL	128ZMB|3LWND|48aVULN|589CDMG|6RCR|7SELL|8BPWR
39	33415 33623	   	171.56	DCR|3VULN|1AART|2ZMB|1CDMG|1DUR	17ZMB|2DUR|37MLV|4LEGI|578VULN|6AART|7BPWR|9RCR|aCDMG
40	52265 13332	 * 	171.55	DCR|5VULN|1DMG|1DUR	1FEWX|2LHND|3479aVULN|5DMG|6RCR|8DUR
41	15265 13332	   	171.45	DCR|5VULN|1DMG|1DUR	1LHND|2DUST|3479aVULN|5DMG|6RCR|8DUR
42	22433 25632	 * 	171.07	DCR|3VULN|3DMG|1SELL	139LIT|29aVULN|4BEXP|5aCGEN|6RCR|7SELL|89aDMG|9aBPWR
43	61621 61213	   	170.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2CGEN|3ZMB|47VULN|5CDMG|6RCR|8RCVC|9AART|aDMG
44	62361 61213	   	170.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2ZMB|37VULN|4CGEN|5CDMG|6RCR|8RCVC|9AART|aDMG
45	32121 66153	   	170.47	DCR|2VULN|3ZMB|1DMG|2CDMG	128ZMB|3LWND|48VULN|58CDMG|6RCR|7NUKE|8BPWR|9BEXP|aDMG
46	32121 66163	   	170.47	DCR|2VULN|3ZMB|1DMG|2CDMG	128ZMB|3LWND|48VULN|58CDMG|6RCR|7NUKE|8BPWR|9FEWX|aDMG
47	32421 64213	   	170.33	DCR|2VULN|3ZMB|1DMG|2CDMG|1SELL	128ZMB|3FEWX|48VULN|58CDMG|6RCR|7SELL|8BPWR|9LWND|aDMG
48	53262 11433	   	170.04	DCR|3VULN|1AART|1CDMG|1DUR|1ASPD	1FEWX|2DUR|349VULN|5ERES|6RCR|7AART|8ASPD|aCDMG
49	32121 61533	   	169.92	DCR|3VULN|1AART|2ZMB|1CDMG	12ZMB|3LWND|47aVULN|5CDMG|6RCR|8RMIN|9AART
50	32521 61533	   	169.92	DCR|3VULN|1AART|2ZMB|1CDMG	12ZMB|3LHND|47aVULN|5CDMG|6RCR|8RMIN|9AART
51	14252 14633	   	169.67	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1LHND|2MBVNT|3VULN|4AART|5DUR|6RCR|7ZMB|8DMG|9ASPD|aCDMG
52	53262 11125	   	169.52	DCR|3VULN|1AART|1DMG|1DUR	1FEWX|2DUR|349VULN|5ERES|6RCR|7AART|8LHND|aDMG
53	53262 11225	   	169.42	DCR|3VULN|1AART|1DMG|1DUR	1FEWX|2DUR|349VULN|5ERES|6RCR|7AART|8LEGI|aDMG
54	53262 11325	   	169.42	DCR|3VULN|1AART|1DMG|1DUR	1FEWX|2DUR|349VULN|5ERES|6RCR|7AART|8DUST|aDMG
55	12621 61361	   	169.27	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	12LHND|3ZMB|47aVULN|5CDMG|6RCR|8DUR|9DMG
56	33421 61361	   	169.27	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2DUR|3MLV|4CGEN|5CDMG|6RCR|78aVULN|9DMG
57	35121 61361	   	169.27	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2RCVC|3LWND|47aVULN|5CDMG|6RCR|8DUR|9DMG
58	33351 13624	 * 	169.06	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1ZMB|25DUR|3LWND|4LHND|6RCR|7VULN|8aDMG|9AART
59	13223 36524	 * 	169.02	DCR|2VULN|2DMG|1AART|1ZMB	14LHND|2LWND|3aVULN|5ZMB|6AART|78DMG|9RCR
60	13231 22364	   	168.91	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1LHND|2LWND|36VULN|4ASPD|5DUR|7RCR|8AART|9ZMB|aDMG
61	13241 22364	   	168.91	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1LHND|2LWND|36VULN|4DUR|5ASPD|7RCR|8AART|9ZMB|aDMG
62	15243 61112	 * 	168.69	DCR|2VULN|1AART|1DMG|2CDMG	18LHND|2DUST|37VULN|4AART|5DMG|6RCR|9aCDMG
63	32126 22365	 * 	168.41	DCR|2VULN|3ZMB|1AART|1DMG	128ZMB|3LWND|48VULN|5RCVC|68LHND|7AART|8BPWR|9RCR|aDMG
64	32161 22365	   	168.41	DCR|2VULN|3ZMB|1AART|1DMG	128ZMB|3LWND|4DMSP|58VULN|68LHND|7AART|8BPWR|9RCR|aDMG
65	32421 21561	   	168.32	DCR|3VULN|1DMG|2ZMB|1CDMG|1DUR	12ZMB|3FEWX|47aVULN|5CDMG|6DUR|8RCR|9DMG
66	31634 11213	 * 	167.96	DCR|3DMG|3ZMB|1AART|1SELL	139ZMB|29CGEN|49aDMG|5SELL|6RCVC|7RCR|8AART|9BPWR
67	32334 11213	 * 	167.96	DCR|3DMG|3ZMB|1AART|1SELL	129ZMB|39CGEN|49aDMG|5SELL|6RCVC|7RCR|8AART|9BPWR
68	32421 61331	 * 	167.82	DCR|2VULN|1AART|2ZMB|2ASPD|1CDMG	12ZMB|3FEWX|47VULN|5CDMG|6RCR|8aASPD|9AART
69	36634 11213	 * 	167.76	DCR|3DMG|3ZMB|1AART|1SELL	139ZMB|29TLV|49aDMG|5SELL|6RCVC|7RCR|8AART|9BPWR
70	53243 33623	 * 	167.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	17FEWX|27DUR|38VULN|4AART|5DMG|67CGEN|7BPWR|9RCR|aCDMG
71	35121 66131	   	167.62	DCR|2VULN|1AART|2CDMG|2ZMB|1ASPD	18ZMB|2RCVC|3LWND|48VULN|58CDMG|6RCR|7NUKE|8BPWR|9AART|aASPD
72	33333 33375	 * 	167.51	DCR|2VULN|1AART|1DMG|2ZMB|2DUR	17ZMB|27DUR|3LWND|4ERES|57VULN|6AART|7BPWR|8MBVNT|9RCR|aDMG
73	33421 61511	 * 	167.36	DCR|4VULN|2ZMB|1CDMG|1DUR	18ZMB|2DUR|38MLV|4CGEN|5CDMG|6RCR|789aVULN|8BPWR
74	32121 61311	   	167.16	DCR|4VULN|2ZMB|1CDMG|1DUR	12ZMB|3LWND|479aVULN|5CDMG|6RCR|8DUR
75	32421 61211	   	167.16	DCR|4VULN|2ZMB|1CDMG|1DUR	12ZMB|3FEWX|479aVULN|5CDMG|6RCR|8DUR
76	32521 61311	   	167.16	DCR|4VULN|2ZMB|1CDMG|1DUR	12ZMB|3LHND|479aVULN|5CDMG|6RCR|8DUR
77	32335 56333	   	167.13	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	12ZMB|3CGEN|4DMG|5AART|6CDMG|78VULN|9RPLT|aRCR
78	31326 33624	   	166.98	DCR|3VULN|1AART|1DMG|1ZMB	1ZMB|2CGEN|37aVULN|4BEXP|5TLV|6AART|8DMG|9RCR
79	14252 14326	   	166.67	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LHND|2MBVNT|38VULN|4AART|5DUR|6RCR|7ZMB|9FEWX|aDMG
80	14252 14345	   	166.67	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LHND|2MBVNT|38VULN|4AART|5DUR|6RCR|7ZMB|9CGEN|aDMG
