0	Index      	 *	Score 	Summary	Detail	
1	23231 25365	 * 	189.40	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1aDUR|2FEWX|3aDMG|4CDMG|5ERES|6RCR|7aVULN|8RMIN|9AART|aBPWR
2	55212 12362	 * 	186.17	ACR|3VULN|3DMG|2DUR	18FEWX|2RCR|389DMG|47aVULN|5MLV|68DUR|8BPWR
3	55262 33121	 * 	185.19	ACR|3VULN|2DMG|1AART	169FEWX|2RCR|39DMG|4RMIN|59aVULN|7AART|8RCVC|9BPWR
4	35252 21114	 * 	184.63	DCR|4VULN|2AART|1DMG	1CGEN|2RMIN|3568VULN|4DMG|7RCR|9aAART
5	55262 33122	 * 	183.19	ACR|2VULN|2DMG|1AART|1CDMG	169FEWX|2RCR|39DMG|4RMIN|59VULN|7AART|8RCVC|9BPWR|aCDMG
6	35252 21222	 * 	183.01	DCR|3VULN|2DMG|1AART|1DUR	1CGEN|2RMIN|356VULN|49DMG|7RCR|8DUR|aAART
7	55212 12361	   	181.52	ACR|3DMG|2VULN|2DUR|1ZMB	18FEWX|2RCR|389DMG|47VULN|5MLV|68DUR|8BPWR|aZMB
8	55262 12221	 * 	181.15	ACR|3VULN|1AART|1DMG|3DUR	19FEWX|2RCR|3DMG|4RMIN|579VULN|69aDUR|8AART|9BPWR
9	55213 31621	   	181.08	ACR|2VULN|2DMG|1AART|1CDMG	15FEWX|2RCR|3aDMG|49VULN|6CDMG|7AART|8RMIN
10	55152 31121	   	180.98	ACR|2VULN|2DMG|1AART|1CDMG	13FEWX|2RCR|4aDMG|59VULN|6CDMG|7AART|8TLV
11	55213 31121	   	180.98	ACR|2VULN|2DMG|1AART|1CDMG	15FEWX|2RCR|3aDMG|49VULN|6CDMG|7AART|8TLV
12	55222 22362	   	180.88	ACR|3VULN|3DMG|1DUR	18FEWX|2RCR|389DMG|4DUR|56aVULN|78MLV|8BPWR
13	53252 21135	 * 	179.79	DCR|5VULN|2DMG	12FEWX|35689VULN|4aDMG|7RCR
14	55133 14311	   	179.64	ACR|2VULN|2DMG|1AART|1ZMB	134FEWX|2RCR|5AART|67DMG|7BPWR|8aVULN|9ZMB
15	55212 12321	   	179.52	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	18FEWX|2RCR|38DMG|47VULN|5MLV|68DUR|8BPWR|9ZMB|aCDMG
16	35212 64322	   	178.36	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1CGEN|2RMIN|35VULN|4ZMB|6ASPD|7RCR|89DMG|aAART
17	55212 12332	   	178.07	ACR|2VULN|2DMG|1AART|2DUR	189FEWX|2RCR|38DMG|47VULN|5MLV|68DUR|8BPWR|aAART
18	55212 32352	   	178.07	ACR|2VULN|2DMG|1AART|2DUR	168FEWX|2RCR|38DMG|49VULN|5MLV|78DUR|8BPWR|aAART
19	35212 21515	 * 	177.52	DCR|3VULN|2DMG|1CDMG|1ZMB	1CGEN|2RMIN|356VULN|4ZMB|7RCR|8CDMG|9aDMG
20	53212 21515	   	177.52	DCR|3VULN|2DMG|1CDMG|1ZMB	12FEWX|356VULN|4ZMB|7RCR|8CDMG|9aDMG
21	23262 15222	 * 	177.37	DCR|2VULN|2DMG|1AART|3DUR	169DUR|2FEWX|39DMG|4RMIN|59VULN|7AART|8RCR|9BPWR|aRCVC
22	55262 12223	   	177.33	ACR|3VULN|1AART|1DMG|2DUR	19FEWX|2RCR|3DMG|4RMIN|579VULN|69DUR|8AART|9BPWR|aBELT
23	35252 21131	 * 	176.68	DCR|4VULN|1DMG|1CDMG|1FLTHEA	1CGEN|2RMIN|3568VULN|4DMG|7RCR|9FLTHEA|aCDMG
24	55112 25322	   	176.64	ACR|2VULN|2DMG|1AART|1ZMB	13FEWX|2RCR|4ZMB|56VULN|7CGEN|89DMG|aAART
25	53212 21241	   	176.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	12FEWX|356VULN|4ZMB|7RCR|8DUR|9DMG|aAART
26	55213 31511	   	176.40	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	15FEWX|2RCR|3aDMG|4VULN|6CDMG|7AART|8RCVC|9ZMB
27	55222 63321	 * 	176.35	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1FEWX|2RCR|3aDMG|4DUR|5VULN|6aCDMG|7BEXP|8AART|9aLHND|aBPWR
28	55232 61321	   	176.25	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1FEWX|2RCR|3aDMG|4DUST|5VULN|6aCDMG|7DUR|8AART|9aLHND|aBPWR
29	55222 22361	   	176.23	ACR|3DMG|2VULN|1ZMB|1DUR	18FEWX|2RCR|389DMG|4DUR|56VULN|78MLV|8BPWR|aZMB
30	55262 22222	   	176.10	ACR|3VULN|1AART|1DMG|1ZMB	19FEWX|2RCR|3DMG|4RMIN|579VULN|69LWND|8AART|9BPWR|aZMB
31	35252 21322	   	176.07	DCR|3VULN|2DMG|1AART	1CGEN|2RMIN|356VULN|49DMG|7RCR|8LHND|aAART
32	53252 21342	   	176.07	DCR|3VULN|2DMG|1AART	12FEWX|356VULN|49DMG|7RCR|8LHND|aAART
33	23262 65221	   	176.06	DCR|2VULN|2DMG|1AART|3DUR	19aDUR|26FEWX|39DMG|4RMIN|59VULN|7AART|8RCR|9BPWR
34	23262 15223	   	176.06	DCR|2VULN|2DMG|1AART|3DUR	169DUR|2FEWX|39DMG|4RMIN|59VULN|7AART|8RCR|9BPWR|aBEXP
35	23262 15225	   	176.06	DCR|2VULN|2DMG|1AART|3DUR	169DUR|2FEWX|39DMG|4RMIN|59VULN|7AART|8RCR|9BPWR|aCGEN
36	35252 21422	   	175.97	DCR|3VULN|2DMG|1AART	1CGEN|2RMIN|356VULN|49DMG|7RCR|8DUST|aAART
37	23262 15221	   	175.96	DCR|2VULN|2DMG|1AART|3DUR	169DUR|2FEWX|39DMG|4RMIN|59VULN|7AART|8RCR|9BPWR|aTLV
38	23262 15224	   	175.96	DCR|2VULN|2DMG|1AART|3DUR	169DUR|2FEWX|39DMG|4RMIN|59VULN|7AART|8RCR|9BPWR|aERES
39	55133 14312	   	175.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	134FEWX|2RCR|5AART|67DMG|7BPWR|8VULN|9ZMB|aCDMG
40	35212 21114	   	175.57	DCR|4VULN|2AART|1ZMB	1CGEN|2RMIN|3568VULN|4ZMB|7RCR|9aAART
41	55222 63331	   	175.13	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1FEWX|2RCR|3DMG|49DUR|5aVULN|6CDMG|7BEXP|8AART
42	55216 11331	   	175.03	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1FEWX|2RCR|3DMG|4aVULN|5CDMG|6DUST|79DUR|8AART
43	55232 61331	   	175.03	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1FEWX|2RCR|3DMG|4DUST|5aVULN|6CDMG|79DUR|8AART
44	55112 31621	   	174.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	13FEWX|2RCR|4ZMB|59VULN|6CDMG|7AART|8MLV|aDMG
45	35252 21111	   	174.49	DCR|4VULN|1AART|1DMG	1CGEN|2RMIN|3568VULN|4DMG|7RCR|9AART|aRCVC
46	55112 31121	   	174.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	13FEWX|2RCR|4ZMB|59VULN|6CDMG|7AART|8TLV|aDMG
47	55213 31124	   	174.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	15FEWX|2RCR|3DMG|49VULN|6CDMG|7AART|8TLV|aZMB
