0	Index      	 *	Score 	Summary	Detail	
1	51312 61362	 * 	190.11	DCR|3VULN|2DMG|1AART|1DUR	1RPLT|2AART|348VULN|5DUR|6RCR|7TLV|9aDMG
2	51323 43316	   	187.07	DCR|3VULN|2DMG|1AART|1ZMB	1RPLT|2AART|36aVULN|4aDMG|5MLV|7ZMB|8aDUST|9RCR|aBPWR
3	51321 43316	   	186.97	DCR|3VULN|2DMG|1AART|1ZMB	1RPLT|2AART|36aVULN|4aDMG|5ERES|7ZMB|8aDUST|9RCR|aBPWR
4	51312 61363	 * 	186.17	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1RPLT|2AART|348VULN|5DUR|6RCR|7TLV|9DMG|aCDMG
5	23116 63632	 * 	184.29	DCR|3DMG|1AART|3FLTHEA|3ASPD	189ASPD|2AART|3TLV|489FLTHEA|589DMG|6DLOT|7RCVC|89BPWR|aRCR
6	51312 61312	   	183.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1RPLT|2AART|348VULN|5DUR|6RCR|7TLV|9ZMB|aDMG
7	51316 63231	   	179.33	DCR|3VULN|1AART|1DMG|1CDMG	1RPLT|2AART|349VULN|5BEXP|6RCR|7CDMG|8LIT|aDMG
8	51316 63331	   	179.33	DCR|3VULN|1AART|1DMG|1CDMG	1RPLT|2AART|34aVULN|5BEXP|6RCR|7CDMG|8RMIN|9DMG
9	51316 63131	   	179.23	DCR|3VULN|1AART|1DMG|1CDMG	1RPLT|2AART|34aVULN|5BEXP|6RCR|7CDMG|8TLV|9DMG
10	31423 62252	 * 	177.96	DCR|3DMG|1AART|1VULN|2ASPD|2DUR	17BEXP|2RMIN|35ASPD|457DMG|57BPWR|67DUR|8VULN|9AART|aRCR
11	51312 64122	 * 	177.55	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1ASPD	1RPLT|2AART|34VULN|5DUR|6RCR|7FLTHEA|8ASPD|9BELT|aDMG
12	22122 33556	 * 	177.47	DCR|3VULN|3DMG|2ASPD	18ASPD|25BEXP|3DMSP|458VULN|58BPWR|68aDMG|7MBVNT|9RCR
13	51312 61315	   	177.11	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RPLT|2AART|348VULN|5DUR|6RCR|7TLV|9ZMB|aCDMG
14	25314 32316	 * 	176.56	DCR|2VULN|2DMG|1AART|2ASPD	1aASPD|2LWND|3aVULN|4BEXP|5FEWX|6AART|7RCR|8RPLT|9aDMG|aBPWR
15	23165 64341	   	176.49	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1ASPD|2AART|3TLV|46DMG|5MBVNT|7DUR|8RCR|9aVULN
16	25311 32316	   	176.46	DCR|2VULN|2DMG|1AART|2ASPD	1aASPD|2LWND|3aVULN|4BEXP|5DUST|6AART|7RCR|8RPLT|9aDMG|aBPWR
17	51314 53112	   	176.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1RPLT|2AART|34aVULN|5RMIN|6DMG|7ZMB|8DUR|9RCR
18	51323 43112	   	176.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1RPLT|2AART|36aVULN|4DMG|5MLV|7ZMB|8DUR|9RCR
19	51312 61162	   	176.36	DCR|2VULN|2DMG|1AART|1DUR	1RPLT|2AART|34VULN|5DUR|6RCR|7TLV|8RCVC|9aDMG
20	51321 43112	   	176.32	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1RPLT|2AART|36aVULN|4DMG|5ERES|7ZMB|8DUR|9RCR
21	22122 33552	 * 	175.92	DCR|4VULN|2DMG|2ASPD	18ASPD|25BEXP|3DMSP|458aVULN|58BPWR|68DMG|7MBVNT|9RCR
22	51316 63333	   	174.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2AART|34VULN|5BEXP|6RCR|7CDMG|8RMIN|9DMG|aZMB
23	51316 63133	   	174.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2AART|34VULN|5BEXP|6RCR|7CDMG|8TLV|9DMG|aZMB
24	23162 21151	   	174.48	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	18ASPD|2AART|3TLV|47DMG|5LHND|6RCR|9ZMB|aVULN
25	23162 21341	   	174.48	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	19ASPD|2AART|3TLV|47DMG|5LHND|6RCR|8ZMB|aVULN
26	23166 21151	   	174.48	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	18ASPD|2AART|3TLV|47DMG|5BEXP|6RCR|9ZMB|aVULN
27	23166 21321	   	174.45	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2AART|3TLV|47DMG|5BEXP|6RCR|8aVULN|9LHND
28	51323 61612	   	174.29	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1RPLT|2AART|3aVULN|48DMG|5MLV|6ASPD|7DUR|9RCR
29	23343 42612	   	174.19	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1ASPD|2AART|3DUR|4RPLT|5TLV|6aVULN|78DMG|9RCR
30	51312 43612	   	174.02	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1RPLT|2AART|346VULN|5DUR|7ZMB|8DMG|9MGNSTR|aRCR
31	51323 62316	   	173.96	DCR|2VULN|2DMG|1AART|2ASPD	1RPLT|2AART|3aVULN|4aDMG|5MLV|67ASPD|8aDUST|9RCR|aBPWR
32	51321 62316	   	173.86	DCR|2VULN|2DMG|1AART|2ASPD	1RPLT|2AART|3aVULN|4aDMG|5ERES|67ASPD|8aDUST|9RCR|aBPWR
33	34122 11155	 * 	173.65	DCR|3VULN|2DMG|1CDMG|1DUR	129BEXP|29BPWR|3FEWX|49DMG|5CDMG|6DUR|7RCR|89aVULN
34	23315 24436	 * 	173.40	DCR|2AART|2DMG|2ASPD|2DUR|1ZMB	1aASPD|27AART|3aDUR|4DUST|5MBVNT|6ZMB|8RCR|9aDMG|aBPWR
35	23326 34512	 * 	173.27	DCR|2VULN|1AART|3CDMG|3ASPD|1DUR	168ASPD|2AART|3DUR|4NUKE|58VULN|789CDMG|8BPWR|aRCR
36	51311 32611	 * 	173.24	DCR|3VULN|1AART|2CDMG|2ZMB	19RPLT|2AART|348VULN|58CDMG|68ZMB|7RCVC|8BPWR|aRCR
37	51311 32661	   	173.24	DCR|3VULN|1AART|2CDMG|2ZMB	1RPLT|2AART|348VULN|58CDMG|68ZMB|7RCVC|8BPWR|9DMSP|aRCR
38	51312 61512	   	173.16	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1RPLT|2AART|34VULN|58DUR|6RCR|7TLV|9ZMB|aDMG
39	51111 12321	 * 	172.88	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1DUR	1RPLT|2AART|3RMIN|4DMG|5CDMG|6FLTHEA|7DUR|8RCR|9ZMB|aVULN
40	51312 62421	   	172.82	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RPLT|2AART|34VULN|5DUR|6RCR|7RCVC|8LIT|9CDMG|aDMG
41	23622 64321	   	172.75	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD|1DUR	1ASPD|2AART|3RPLT|4aVULN|5LWND|6DMG|7FLTHEA|8RCR|9DUR
42	51322 54321	   	172.75	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD|1DUR	1RPLT|2AART|3aVULN|4DMG|5LWND|6ASPD|7FLTHEA|8RCR|9DUR
43	51322 61612	   	172.65	DCR|2VULN|2DMG|1AART|2DUR	1RPLT|2AART|3aVULN|48DMG|5LWND|67DUR|9RCR
44	35246 11112	 * 	172.63	DCR|3DMG|1AART|1VULN|1CDMG	1BEXP|2CDMG|3LHND|4VULN|56aDMG|7RCR|8TLV|9AART
45	21232 34131	 * 	172.53	DCR|3VULN|1AART|3ASPD|1CDMG	158ASPD|2LHND|3DUST|456VULN|5BPWR|7RCR|9AART|aCDMG
46	25232 34131	   	172.53	DCR|3VULN|1AART|3ASPD|1CDMG	158ASPD|2LWND|3DUST|456VULN|5BPWR|7RCR|9AART|aCDMG
47	51312 61326	   	172.52	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|2AART|348VULN|5DUR|6RCR|7TLV|9LWND|aDMG
48	51312 61342	   	172.52	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|2AART|348VULN|5DUR|6RCR|7TLV|9CGEN|aDMG
49	51312 61361	   	172.52	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|2AART|348VULN|5DUR|6RCR|7TLV|9DMG|aFEWX
50	51312 61163	   	172.42	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RPLT|2AART|34VULN|5DUR|6RCR|7TLV|8RCVC|9DMG|aCDMG
51	23122 36636	   	172.42	DCR|3DMG|1AART|1VULN|1ASPD	1ASPD|2AART|3TLV|4DUST|5LIT|6RCR|78aDMG|9VULN
52	23163 51262	 * 	172.36	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	1ASPD|29AART|3TLV|46DMG|5VULN|7LIT|8CDMG|aRCR
53	51323 61312	   	172.36	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1RPLT|2AART|38aVULN|4DMG|5MLV|6ASPD|7DUR|9RCR
54	51323 66112	   	172.36	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1RPLT|2AART|37aVULN|4DMG|5MLV|6ASPD|8DUR|9RCR
55	23343 42312	   	172.26	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1ASPD|2AART|3DUR|4RPLT|5TLV|68aVULN|7DMG|9RCR
56	23652 42312	   	172.26	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1ASPD|2AART|3RPLT|4TLV|5DUR|68aVULN|7DMG|9RCR
57	51321 61312	   	172.26	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1RPLT|2AART|38aVULN|4DMG|5ERES|6ASPD|7DUR|9RCR
58	51321 66112	   	172.26	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1RPLT|2AART|37aVULN|4DMG|5ERES|6ASPD|8DUR|9RCR
59	23622 64212	 * 	172.02	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB|1ASPD	1ASPD|2AART|3RPLT|4VULN|5LWND|68DMG|7FLTHEA|9ZMB|aRCR
60	51322 54212	   	172.02	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB|1ASPD	1RPLT|2AART|3VULN|48DMG|5LWND|6ASPD|7FLTHEA|9ZMB|aRCR
61	13621 13162	   	171.95	DCR|2VULN|2DMG|1AART|1DUR	15ERES|2AART|3RPLT|46VULN|7RCR|8DUR|9aDMG
62	51361 13162	   	171.95	DCR|2VULN|2DMG|1AART|1DUR	1RPLT|2AART|36VULN|45ERES|7RCR|8DUR|9aDMG
63	51311 52611	 * 	171.93	DCR|3VULN|1AART|2CDMG|2ASPD	19RPLT|2AART|348VULN|58CDMG|68ASPD|7RCVC|8BPWR|aRCR
64	51322 61312	   	170.71	DCR|3VULN|1AART|1DMG|2DUR	1RPLT|2AART|38aVULN|4DMG|5LWND|67DUR|9RCR
65	51312 43122	 * 	170.70	DCR|3VULN|2AART|2DUR|1ZMB	1RPLT|29AART|346VULN|58DUR|7ZMB|aRCR
66	51312 62132	 * 	170.62	DCR|2AART|2VULN|1DMG|1DUR	1RPLT|28AART|34VULN|5DUR|6RCR|7RCVC|9LWND|aDMG
67	51325 62112	   	170.61	DCR|3VULN|1AART|1DMG|2DUR	1RPLT|2AART|37aVULN|4DMG|5DUST|68DUR|9RCR
68	51312 62122	   	170.52	DCR|2AART|2VULN|1DMG|1DUR	1RPLT|28AART|34VULN|5DUR|6RCR|7RCVC|9LEGI|aDMG
69	51312 62152	   	170.52	DCR|2AART|2VULN|1DMG|1DUR	1RPLT|28AART|34VULN|5DUR|6RCR|7RCVC|9DUST|aDMG
70	51312 64222	   	170.51	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1RPLT|2AART|34VULN|5DUR|6RCR|7FLTHEA|8TLV|9BELT|aDMG
71	51312 43312	 * 	170.46	DCR|4VULN|1AART|1ZMB|1DUR	1RPLT|2AART|346aVULN|5DUR|7ZMB|8FEWX|9RCR
72	51316 43112	   	170.46	DCR|4VULN|1AART|1ZMB|1DUR	1RPLT|2AART|346aVULN|5BEXP|7ZMB|8DUR|9RCR
73	23162 26422	   	170.41	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2AART|3TLV|4DMG|5LHND|6RCR|7aVULN|8LEGI|9CDMG
74	23162 21141	   	170.41	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	18ASPD|2AART|3TLV|47DMG|5LHND|6RCR|9VULN|aDUR
75	23166 21141	   	170.41	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	18ASPD|2AART|3TLV|47DMG|5BEXP|6RCR|9VULN|aDUR
76	23122 36334	   	170.41	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ASPD|2AART|3TLV|4DUST|5LIT|6RCR|7aDMG|8CDMG|9VULN
