0	Index      	 *	Score 	Summary	Detail	
1	13223 21613	 * 	229.41	ACR|4VULN|3DMG|1AART|2FLTHEA	189DMG|278aVULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR
2	13223 21631	   	217.59	ACR|3VULN|2DMG|1AART|2FLTHEA|1ZMB	18DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9ASPD|aZMB
3	13223 26614	   	217.59	ACR|3DMG|2VULN|1AART|2FLTHEA|1ZMB	178DMG|28VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9ASPD|aZMB
4	13144 62112	 * 	216.40	ACR|3VULN|3DMG|1AART|3ASPD	17aDMG|267VULN|3AART|4RCR|567ASPD|67BPWR|8RMIN|9TLV
5	15313 15153	 * 	215.82	ACR|3DMG|2AART|2VULN|2ASPD	19aDMG|24AART|3RCR|5DUR|6aVULN|7RCVC|8aASPD|aBPWR
6	13223 21612	   	215.30	ACR|3VULN|3DMG|1AART|2FLTHEA	189DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|aRMIN
7	13223 21614	   	215.30	ACR|3VULN|3DMG|1AART|2FLTHEA	189DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|aLIT
8	13223 21615	   	215.30	ACR|3VULN|3DMG|1AART|2FLTHEA	189DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|aFEWX
9	13223 21616	   	215.30	ACR|3VULN|3DMG|1AART|2FLTHEA	189DMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|aCGEN
10	13223 21644	   	215.30	ACR|3VULN|3DMG|1AART|2FLTHEA	18aDMG|278VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9LIT
11	13223 26653	   	215.30	ACR|3VULN|3DMG|1AART|2FLTHEA	178DMG|28aVULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9RCVC
12	13223 26615	   	213.53	ACR|3DMG|2VULN|1AART|2FLTHEA	178DMG|28VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9ASPD|aDUR
13	13223 26642	   	213.30	ACR|3DMG|2VULN|1AART|2FLTHEA|1CDMG	178DMG|28VULN|38FLTHEA|4RCR|5AART|6RPLT|8BPWR|9MGNLIT|aCDMG
14	13144 62323	   	213.08	ACR|3VULN|2DMG|1AART|3ASPD|2DUR	17DMG|267VULN|3AART|4RCR|567ASPD|67BPWR|8LWND|9aDUR
15	13144 62231	   	211.85	ACR|3VULN|2DMG|1AART|3ASPD|1ZMB	17DMG|267VULN|3AART|4RCR|567ASPD|67BPWR|8FEWX|9ZMB|aLHND
