0	Index      	 *	Score 	Summary	Detail	
1	31453 11232	 * 	193.22	ACR|3DMG|2VULN|3ZMB|1FLTHEA	1LEGI|279LIT|38VULN|479ZMB|5RCR|679DMG|79BPWR|aFLTHEA
2	12222 45253	 * 	190.75	ACR|4VULN|1AART|1DMG|1CDMG	1ERES|2FEWX|3RCR|4569VULN|7AART|8DMG|aCDMG
3	22332 14634	 * 	190.54	ACR|2VULN|2DMG|3CDMG|1AART	1RMIN|29aCDMG|3RCR|4aVULN|5TLV|6CGEN|7aDMG|8AART|aBPWR
4	32222 45263	 * 	189.93	ACR|5VULN|1AART|1DMG	1LEGI|2MLV|3RCR|4569aVULN|7AART|8DMG
5	24221 36221	 * 	188.83	ACR|3VULN|2DMG|1AART|1ASPD	1RMIN|29DUST|3RCR|49aVULN|5AART|6ASPD|7CGEN|89DMG|9BPWR
6	24221 23221	   	188.73	ACR|3VULN|2DMG|1AART|1ASPD	1RMIN|29DUST|3RCR|49aVULN|5AART|6ERES|7ASPD|89DMG|9BPWR
7	24221 32221	   	188.73	ACR|3VULN|2DMG|1AART|1ASPD	1RMIN|29DUST|3RCR|49aVULN|5AART|6ASPD|7TLV|89DMG|9BPWR
8	24221 35221	   	188.73	ACR|3VULN|2DMG|1AART|1ASPD	1RMIN|29DUST|3RCR|49aVULN|5AART|6ASPD|7ERES|89DMG|9BPWR
9	65223 62233	   	186.45	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	146VULN|2CGEN|3RCR|5DMG|7ZMB|8TLV|9AART|aCDMG
10	66223 62233	   	186.35	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	146VULN|2ERES|3RCR|5DMG|7ZMB|8TLV|9AART|aCDMG
11	66231 42222	 * 	185.44	ACR|4VULN|3DMG	189aVULN|29aERES|3RCR|4BASHEA|5LWND|6RPLT|79aDMG|9aBPWR
12	25222 45211	   	184.14	ACR|4VULN|1AART|1DMG|1DUR	1RMIN|2LWND|3RCR|456aVULN|7AART|8DMG|9DUR
13	12222 45211	   	184.04	ACR|4VULN|1AART|1DMG|1DUR	1ERES|2FEWX|3RCR|456aVULN|7AART|8DMG|9DUR
14	12222 45252	   	184.04	ACR|4VULN|1AART|1DMG|1DUR	1ERES|2FEWX|3RCR|4569VULN|7AART|8DMG|aDUR
15	16222 45211	   	184.04	ACR|4VULN|1AART|1DMG|1DUR	1ERES|2LHND|3RCR|456aVULN|7AART|8DMG|9DUR
16	32222 45211	   	184.04	ACR|4VULN|1AART|1DMG|1DUR	1LEGI|2MLV|3RCR|456aVULN|7AART|8DMG|9DUR
17	36222 45211	   	184.04	ACR|4VULN|1AART|1DMG|1DUR	1LEGI|2CGEN|3RCR|456aVULN|7AART|8DMG|9DUR
18	12133 53553	 * 	182.36	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1DUR	1ERES|2FEWX|3DMG|4FLTHEA|5AART|6RCR|79VULN|8CDMG|aDUR
19	25221 63236	 * 	182.26	ACR|2VULN|1AART|1DMG|2CDMG|1FLTHEA	1RMIN|2LWND|3RCR|47VULN|5AART|6DMG|89CDMG|aFLTHEA
20	22333 35541	 * 	182.25	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	1RMIN|2CDMG|3RCR|45VULN|6MBVNT|7DMG|8ZMB|9aAART
21	52323 22441	 * 	182.02	DCR|4VULN|2DMG|2ZMB	19ZMB|26FEWX|349aVULN|59DMG|7RCR|8BELT|9BPWR
22	25221 63161	   	181.89	ACR|3VULN|2DMG|1AART	1RMIN|2LWND|3RCR|47aVULN|5AART|69DMG|8RPLT
23	32222 62661	   	181.19	ACR|3VULN|2DMG|1AART	1LEGI|2MLV|3RCR|45aVULN|6AART|7RPLT|89DMG
24	32222 66221	   	181.19	ACR|3VULN|2DMG|1AART	1LEGI|29MLV|3RCR|45aVULN|6AART|79DUST|89DMG|9BPWR
25	66221 41212	 * 	180.71	ACR|5VULN|2AART	14567VULN|267ERES|3RCR|67BPWR|8aAART|9LIT
26	24222 15221	   	180.69	ACR|3VULN|2DMG|1AART	1RMIN|29DUST|3RCR|45aVULN|69LWND|7AART|89DMG|9BPWR
27	12222 45234	   	180.59	ACR|3VULN|2DMG|1AART	1ERES|2FEWX|3RCR|456VULN|7AART|8aDMG|9RMIN
28	32222 45234	   	180.59	ACR|3VULN|2DMG|1AART	1LEGI|2MLV|3RCR|456VULN|7AART|8aDMG|9RMIN
29	32224 23661	   	180.59	ACR|3VULN|2DMG|1AART	1LEGI|2MLV|3RCR|46aVULN|5RPLT|7AART|89DMG
30	22333 24636	   	180.46	ACR|2VULN|1AART|1DMG|2CDMG|1FLTHEA	1RMIN|29CDMG|3RCR|45VULN|6LWND|7DMG|8AART|aFLTHEA
31	12221 16252	   	180.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ERES|2FEWX|3RCR|49VULN|5AART|6CDMG|7ASPD|8ZMB|aDMG
32	25221 63232	 * 	180.06	ACR|2AART|2VULN|1DMG|2CDMG	1RMIN|2LWND|3RCR|47VULN|5aAART|6DMG|89CDMG
33	45221 12215	   	179.98	ACR|2VULN|2DMG|1AART|1CDMG	1aLWND|2CGEN|3RCR|4aVULN|5AART|6CDMG|7ERES|8aDMG|9RCVC|aBPWR
34	45221 12235	   	179.98	ACR|2VULN|2DMG|1AART|1CDMG	1aLWND|29CGEN|3RCR|4aVULN|5AART|6CDMG|7ERES|8aDMG|aBPWR
35	36221 66232	   	179.96	ACR|2VULN|2AART|1DMG|2CDMG	1LEGI|2CGEN|3RCR|47VULN|5aAART|6DMG|89CDMG
36	32221 12215	   	179.88	ACR|2DMG|2VULN|1AART|1CDMG	1LEGI|2aMLV|3RCR|4aVULN|5AART|6CDMG|7ERES|8aDMG|9RCVC|aBPWR
37	36221 12215	   	179.88	ACR|2VULN|2DMG|1AART|1CDMG	1LEGI|2aCGEN|3RCR|4aVULN|5AART|6CDMG|7ERES|8aDMG|9RCVC|aBPWR
38	36221 12235	   	179.88	ACR|2VULN|2DMG|1AART|1CDMG	1LEGI|29aCGEN|3RCR|4aVULN|5AART|6CDMG|7ERES|8aDMG|aBPWR
39	25221 11661	   	179.88	ACR|2VULN|2DMG|1AART|1CDMG	1RMIN|2LWND|3RCR|4aVULN|5AART|6CDMG|7BEXP|89DMG
40	16221 11661	   	179.78	ACR|2VULN|2DMG|1AART|1CDMG	1ERES|2LHND|3RCR|4aVULN|5AART|6CDMG|7BEXP|89DMG
41	32221 11661	   	179.78	ACR|2VULN|2DMG|1AART|1CDMG	1LEGI|2MLV|3RCR|4aVULN|5AART|6CDMG|7BEXP|89DMG
42	24221 36223	 * 	179.78	ACR|2VULN|2DMG|1AART|2ASPD	1RMIN|29DUST|3RCR|49VULN|5AART|6aASPD|7CGEN|89DMG|9BPWR
43	32221 41661	   	179.78	ACR|2VULN|2DMG|1AART|1CDMG	1LEGI|2MLV|3RCR|4aVULN|5AART|6BEXP|7CDMG|89DMG
44	65223 62232	   	179.74	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	146VULN|2CGEN|3RCR|5DMG|7ZMB|8TLV|9AART|aDUR
45	12133 53434	 * 	179.72	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB|1DUR	1ERES|2FEWX|39DMG|4FLTHEA|5AART|6RCR|7VULN|8DUR|aZMB
46	16221 13661	   	179.68	ACR|2VULN|2DMG|1AART|1CDMG	1ERES|2LHND|3RCR|4aVULN|5AART|6CDMG|7DUST|89DMG
47	32221 15661	   	179.68	ACR|2VULN|2DMG|1AART|1CDMG	1LEGI|2MLV|3RCR|4aVULN|5AART|6CDMG|7DUST|89DMG
48	24221 23223	   	179.68	ACR|2VULN|2DMG|1AART|2ASPD	1RMIN|29DUST|3RCR|49VULN|5AART|6ERES|7aASPD|89DMG|9BPWR
49	24221 32223	   	179.68	ACR|2VULN|2DMG|1AART|2ASPD	1RMIN|29DUST|3RCR|49VULN|5AART|6aASPD|7TLV|89DMG|9BPWR
50	24221 35223	   	179.68	ACR|2VULN|2DMG|1AART|2ASPD	1RMIN|29DUST|3RCR|49VULN|5AART|6aASPD|7ERES|89DMG|9BPWR
51	66223 62232	   	179.64	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	146VULN|2ERES|3RCR|5DMG|7ZMB|8TLV|9AART|aDUR
52	31453 11233	   	179.57	ACR|3DMG|2VULN|3ZMB	1LEGI|279LIT|38VULN|479ZMB|5RCR|679DMG|79BPWR|aRPLT
53	31453 11234	   	179.57	ACR|3DMG|2VULN|3ZMB	1LEGI|279LIT|38VULN|479ZMB|5RCR|679DMG|79BPWR|aFEWX
54	31453 11236	   	179.57	ACR|3DMG|2VULN|3ZMB	1LEGI|279LIT|38VULN|479ZMB|5RCR|679DMG|79BPWR|aCGEN
55	31453 11235	   	179.47	ACR|3DMG|2VULN|3ZMB	1LEGI|279LIT|38VULN|479ZMB|5RCR|679DMG|79BPWR|aTLV
56	66223 32236	   	179.29	ACR|3VULN|2DMG|1AART	147VULN|28ERES|3RCR|5aDMG|6LWND|9AART
