0	Index      	 *	Score 	Summary	Detail	
1	51531 42333	 * 	203.28	ACR|3VULN|3DMG|1AART|1ASPD	19aVULN|2RCVC|3RCR|4ASPD|59TLV|689DMG|7AART|9BPWR
2	11542 11228	   	192.39	ACR|3DMG|2VULN|1AART|1ZMB	1aLHND|2RCVC|3RCR|4MBVNT|5ZMB|6AART|79aDMG|8aVULN|aBPWR
3	21542 11228	   	192.39	ACR|3DMG|2VULN|1AART|1ZMB	1aLWND|2RCVC|3RCR|4MBVNT|5ZMB|6AART|79aDMG|8aVULN|aBPWR
4	51521 12321	 * 	191.93	ACR|3VULN|3DMG|1CDMG|1ASPD	159VULN|2RCVC|3RCR|4CDMG|68aDMG|7ASPD
5	56211 11161	 * 	187.78	DCR|4VULN|1AART|1DMG|1ZMB	158aVULN|2BASHEA|3ZMB|45MLV|5BPWR|6RCR|7AART|9DMG
6	51531 42232	   	187.63	ACR|3VULN|2DMG|1AART|1ASPD	189VULN|2RCVC|3RCR|4ASPD|59TLV|69DMG|7AART|9BPWR|aFEWX
7	51531 42233	   	187.63	ACR|3VULN|2DMG|1AART|1ASPD	189VULN|2aRCVC|3RCR|4ASPD|59TLV|69DMG|7AART|9BPWR
8	51531 42331	   	187.63	ACR|3DMG|2VULN|1AART|1ASPD	19VULN|2RCVC|3RCR|4ASPD|59TLV|689DMG|7AART|9BPWR|aMLV
9	51531 42231	   	187.53	ACR|3VULN|2DMG|1AART|1ASPD	189VULN|2RCVC|3RCR|4ASPD|59TLV|69DMG|7AART|9BPWR|aDUST
10	51531 42332	   	187.53	ACR|3DMG|2VULN|1AART|1ASPD	19VULN|2RCVC|3RCR|4ASPD|59TLV|689DMG|7AART|9BPWR|aERES
11	51521 12325	   	187.28	ACR|3VULN|2DMG|1CDMG|1ZMB|1ASPD	159VULN|2RCVC|3RCR|4CDMG|68DMG|7ASPD|aZMB
12	51521 23113	 * 	186.85	ACR|3VULN|2DMG|2CDMG|1ZMB	15aVULN|2RCVC|3RCR|4aCDMG|69LIT|7ZMB|8aDMG|aBPWR
13	51563 11222	 * 	186.58	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	18VULN|2RCVC|3RCR|4DUR|5ZMB|6AART|7DMG|9ASPD|aCDMG
14	51532 36432	 * 	185.72	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	19VULN|2RCVC|3RCR|4ASPD|59DMG|6MBVNT|7AART|89CGEN|9BPWR|aCDMG
15	31532 36248	   	184.30	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	1aDUR|29RCVC|3RCR|4ASPD|5aDMG|6MBVNT|7AART|8aVULN|aBPWR
16	51542 11424	   	183.67	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	19VULN|2RCVC|3RCR|4MBVNT|5ZMB|6AART|79DMG|89CGEN|9BPWR|aASPD
17	11563 11223	   	183.57	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1LHND|2RCVC|3RCR|4DUR|5ZMB|6AART|79DMG|8aVULN
18	14563 11223	   	183.57	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	12LHND|2BPWR|3RCR|4DUR|5ZMB|6AART|79DMG|8aVULN
19	21563 11223	   	183.57	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1LWND|2RCVC|3RCR|4DUR|5ZMB|6AART|79DMG|8aVULN
20	24563 11223	   	183.57	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	12LWND|2BPWR|3RCR|4DUR|5ZMB|6AART|79DMG|8aVULN
21	51535 11233	   	183.57	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	18VULN|2RCVC|3RCR|4ASPD|5FEWX|6AART|79DMG|aZMB
22	51563 11323	   	183.57	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1aVULN|2RCVC|3RCR|4DUR|5ZMB|6AART|79DMG|8BEXP
23	31542 71223	   	183.47	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2RCVC|3RCR|4MBVNT|5ZMB|6AART|79DMG|8aVULN
24	51563 11123	   	183.47	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1aVULN|2RCVC|3RCR|4DUR|5ZMB|6AART|79DMG|8DUST
25	51521 12316	   	183.21	ACR|3DMG|2VULN|1CDMG|1ASPD|1DUR	15VULN|2RCVC|3RCR|4CDMG|689DMG|7ASPD|aDUR
26	51521 12324	   	183.21	ACR|3VULN|2DMG|1CDMG|1ASPD|1DUR	159VULN|2RCVC|3RCR|4CDMG|68DMG|7ASPD|aDUR
27	51513 11225	 * 	182.96	ACR|2VULN|1AART|2CDMG|1DMG|2ZMB	1aVULN|2RCVC|3RCR|4DUST|5aZMB|6AART|7DMG|8LIT|9aCDMG|aBPWR
28	51532 36233	   	182.87	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	18VULN|2RCVC|3RCR|4ASPD|59DMG|6MBVNT|7AART|aZMB
29	51521 12353	   	182.79	ACR|3VULN|2DMG|2CDMG|1ASPD	15aVULN|2RCVC|3RCR|4aCDMG|68DMG|7ASPD|9aLIT|aBPWR
30	36321 35511	 * 	182.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2aDMG|3CGEN|4CDMG|59VULN|6MLV|7RCR|8AART
31	36323 25511	   	182.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2aDMG|3CGEN|4CDMG|5ERES|69VULN|7RCR|8AART
32	35323 25511	   	182.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2TLV|3aDMG|4CDMG|5ERES|69VULN|7RCR|8AART
33	55422 11233	 * 	181.81	DCR|2AART|2VULN|2DMG|1CDMG	18VULN|2RPLT|3CDMG|46AART|5MBVNT|79DMG|aRCR
34	51533 11253	   	181.64	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	189VULN|2RCVC|3RCR|4ASPD|5LWND|6AART|7DMG|aZMB
35	51563 11213	   	181.64	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	18aVULN|2RCVC|3RCR|4DUR|5ZMB|6AART|7DMG|9FEWX
36	51563 11233	   	181.64	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	18aVULN|2RCVC|3RCR|4DUR|5ZMB|6AART|7DMG|9LHND
37	43161 33114	 * 	181.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2CDMG|3LHND|4RMIN|59aVULN|6AART|7RCR|8DMG
38	51552 22232	   	180.59	ACR|3VULN|2DMG|1AART	189VULN|2RCVC|3RCR|49ERES|59DMG|6NUKE|7AART|9BPWR|aFEWX
39	51552 22233	   	180.59	ACR|3VULN|2DMG|1AART	189VULN|2aRCVC|3RCR|49ERES|59DMG|6NUKE|7AART|9BPWR
40	51552 22231	   	180.49	ACR|3VULN|2DMG|1AART	189VULN|2RCVC|3RCR|49ERES|59DMG|6NUKE|7AART|9BPWR|aDUST
41	51542 11233	 * 	180.39	ACR|2VULN|2DMG|1AART|2ZMB	18VULN|2RCVC|3RCR|4MBVNT|5aZMB|6AART|79DMG
42	22233 15511	   	180.27	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2FEWX|3CDMG|4ASPD|569VULN|7RCR|8AART|aDMG
43	42221 21216	   	179.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1ASPD|2RCVC|3CDMG|4aDMG|5AART|6RCR|7RPLT|8VULN|9ZMB
44	43421 21216	   	179.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1ASPD|2CDMG|3RCVC|4aDMG|5AART|6RCR|7RPLT|8VULN|9ZMB
45	51535 13232	   	179.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	18VULN|2RCVC|3RCR|4ASPD|5FEWX|6AART|7ZMB|9DMG|aCDMG
46	11521 32111	   	179.28	ACR|2VULN|2DMG|1AART|1CDMG	1LHND|2RCVC|3RCR|4CDMG|59VULN|6AART|7LWND|8aDMG
47	14521 32111	   	179.28	ACR|2VULN|2DMG|1AART|1CDMG	12LHND|2BPWR|3RCR|4CDMG|59VULN|6AART|7LWND|8aDMG
48	21552 22232	   	178.68	ACR|2VULN|2DMG|1AART|1CDMG	19LWND|2RCVC|3RCR|4ERES|59DMG|6NUKE|7AART|89VULN|9BPWR|aCDMG
49	51532 43222	   	178.28	ACR|3VULN|3DMG|1ASPD	18aVULN|27RCVC|3RCR|4ASPD|569DMG
50	34544 11223	   	177.77	ACR|2VULN|2DMG|1AART|2DUR	12DUR|2BPWR|3RCR|4MBVNT|5MLV|6AART|79DMG|8aVULN
51	34553 11223	   	177.77	ACR|2VULN|2DMG|1AART|2DUR	12DUR|2BPWR|3RCR|4ERES|5LWND|6AART|79DMG|8aVULN
52	51533 11243	   	177.58	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	18aVULN|2RCVC|3RCR|4ASPD|5LWND|6AART|7DMG|9DUR
53	11521 32114	 * 	177.35	ACR|3VULN|1AART|1DMG|1CDMG	1LHND|2RCVC|3RCR|4CDMG|59aVULN|6AART|7LWND|8DMG
54	14521 32114	   	177.35	ACR|3VULN|1AART|1DMG|1CDMG	12LHND|2BPWR|3RCR|4CDMG|59aVULN|6AART|7LWND|8DMG
55	21542 11238	   	176.74	ACR|2VULN|2DMG|1AART|1ZMB	19aLWND|2RCVC|3RCR|4MBVNT|5ZMB|6AART|7aDMG|8aVULN|aBPWR
56	51542 11423	   	176.74	ACR|2VULN|2DMG|1AART|1ZMB	19VULN|2RCVC|3RCR|4MBVNT|5ZMB|6AART|79DMG|89CGEN|9BPWR|aRPLT
57	51542 11421	   	176.64	ACR|2VULN|2DMG|1AART|1ZMB	19VULN|2RCVC|3RCR|4MBVNT|5ZMB|6AART|79DMG|89CGEN|9BPWR|aNUKE
58	51542 11422	   	176.64	ACR|2VULN|2DMG|1AART|1ZMB	19VULN|2RCVC|3RCR|4MBVNT|5ZMB|6AART|79DMG|89CGEN|9BPWR|aDUST
59	11542 11223	   	176.54	ACR|2VULN|2DMG|1AART|1ZMB	1LHND|2RCVC|3RCR|4MBVNT|5ZMB|6AART|79DMG|8aVULN
60	14542 11223	   	176.54	ACR|2VULN|2DMG|1AART|1ZMB	12LHND|2BPWR|3RCR|4MBVNT|5ZMB|6AART|79DMG|8aVULN
61	21542 11223	   	176.54	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2RCVC|3RCR|4MBVNT|5ZMB|6AART|79DMG|8aVULN
62	24542 11223	   	176.54	ACR|2VULN|2DMG|1AART|1ZMB	12LWND|2BPWR|3RCR|4MBVNT|5ZMB|6AART|79DMG|8aVULN
63	51513 11623	   	176.54	ACR|2VULN|2DMG|1AART|1ZMB	1aVULN|2RCVC|3RCR|4DUST|5ZMB|6AART|79DMG|8BEXP
64	51542 11231	   	176.54	ACR|2VULN|2DMG|1AART|1ZMB	18VULN|2RCVC|3RCR|4MBVNT|5ZMB|6AART|79DMG|aLIT
65	51542 11232	   	176.54	ACR|2VULN|2DMG|1AART|1ZMB	18VULN|2RCVC|3RCR|4MBVNT|5ZMB|6AART|79DMG|aMLV
66	51542 11234	   	176.54	ACR|2VULN|2DMG|1AART|1ZMB	18VULN|2RCVC|3RCR|4MBVNT|5ZMB|6AART|79DMG|aLWND
67	51542 11323	   	176.54	ACR|2VULN|2DMG|1AART|1ZMB	1aVULN|2RCVC|3RCR|4MBVNT|5ZMB|6AART|79DMG|8BEXP
68	51513 11423	   	176.44	ACR|2VULN|2DMG|1AART|1ZMB	1aVULN|2RCVC|3RCR|4DUST|5ZMB|6AART|79DMG|8MBVNT
69	51542 11123	   	176.44	ACR|2VULN|2DMG|1AART|1ZMB	1aVULN|2RCVC|3RCR|4MBVNT|5ZMB|6AART|79DMG|8DUST
70	51521 12313	   	176.27	ACR|3DMG|2VULN|1CDMG|1ASPD	15VULN|2RCVC|3RCR|4CDMG|689DMG|7ASPD|aLWND
71	51521 12314	   	176.27	ACR|3DMG|2VULN|1CDMG|1ASPD	15VULN|2RCVC|3RCR|4CDMG|689DMG|7ASPD|aRPLT
72	51521 12315	   	176.27	ACR|3DMG|2VULN|1CDMG|1ASPD	15VULN|2RCVC|3RCR|4CDMG|689DMG|7ASPD|aBEXP
73	51521 12322	   	176.27	ACR|3VULN|2DMG|1CDMG|1ASPD	159VULN|2RCVC|3RCR|4CDMG|68DMG|7ASPD|aRPLT
74	51521 12326	   	176.27	ACR|3VULN|2DMG|1CDMG|1ASPD	159VULN|2RCVC|3RCR|4CDMG|68DMG|7ASPD|aCGEN
75	51532 43321	   	176.27	ACR|3DMG|2VULN|1CDMG|1ASPD	19VULN|27RCVC|3RCR|4ASPD|56aDMG|8CDMG
76	51521 12311	   	176.17	ACR|3DMG|2VULN|1CDMG|1ASPD	15VULN|2RCVC|3RCR|4CDMG|689DMG|7ASPD|aERES
77	51521 12312	   	176.17	ACR|3DMG|2VULN|1CDMG|1ASPD	15VULN|2RCVC|3RCR|4CDMG|689DMG|7ASPD|aBASHEA
78	55331 51111	   	176.11	DCR|3VULN|1AART|1DMG|2DUR	179VULN|2RPLT|38DUR|4RMIN|5AART|6RCR|aDMG
79	43236 11233	   	176.10	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1ASPD|2CDMG|3ERES|4RPLT|58VULN|6AART|79DMG|aRCR
80	22233 15551	   	176.06	DCR|2VULN|2AART|1DMG|1CDMG|1ASPD	1LWND|2FEWX|3CDMG|4ASPD|56VULN|7RCR|89AART|aDMG
81	31221 65511	   	175.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2RCVC|3LWND|4CDMG|59VULN|6ZMB|7RCR|8AART|aDMG
82	31533 16411	   	175.57	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DUR|2RCVC|3RCR|4ASPD|5LWND|6AART|7CDMG|89VULN|aDMG
83	11521 31451	   	175.57	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1LHND|2RCVC|3RCR|4CDMG|58VULN|6AART|7ASPD|9DUR|aDMG
84	51533 11532	 * 	175.45	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	19VULN|2RCVC|3RCR|49ASPD|5LWND|6AART|7DMG|89CGEN|9BPWR|aCDMG
85	11521 31325	   	175.25	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	1LHND|2RCVC|3RCR|4CDMG|5aVULN|6AART|79ASPD|8DMG
86	14521 31325	   	175.25	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	12LHND|2BPWR|3RCR|4CDMG|5aVULN|6AART|79ASPD|8DMG
87	11521 31415	   	175.23	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1LHND|2RCVC|3RCR|4CDMG|58aVULN|6AART|7ASPD|9ZMB
88	26223 25511	   	175.16	DCR|2VULN|2DMG|1AART|1CDMG	1LWND|2aDMG|3RMIN|4CDMG|5ERES|69VULN|7RCR|8AART
89	26323 25511	   	175.16	DCR|2VULN|2DMG|1AART|1CDMG	1LWND|2aDMG|3CGEN|4CDMG|5ERES|69VULN|7RCR|8AART
90	42221 23365	 * 	175.13	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	1ASPD|2RCVC|38CDMG|4DMG|5AART|6RCR|7LWND|9aVULN
91	25323 25511	   	175.06	DCR|2VULN|2DMG|1AART|1CDMG	1LWND|2TLV|3aDMG|4CDMG|5ERES|69VULN|7RCR|8AART
92	51532 37313	   	174.85	ACR|3VULN|2DMG|2DUR|1ASPD	17aVULN|2RCVC|3RCR|4ASPD|5aDMG|6MBVNT|8NUKE|9aDUR|aBPWR
93	53231 52512	   	174.78	DCR|3VULN|1AART|1DMG|1ZMB	19aVULN|2DUST|3RPLT|4RMIN|5AART|6RCR|7ZMB|8DMG
94	53231 52612	   	174.78	DCR|3VULN|1AART|1DMG|1ZMB	18aVULN|2DUST|3RPLT|4RMIN|5AART|6RCR|7ZMB|9DMG
95	21531 42232	   	174.75	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	19LWND|2RCVC|3RCR|49ASPD|5TLV|6DMG|7AART|89VULN|9BPWR|aCDMG
96	21534 42232	   	174.75	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	19LWND|2RCVC|3RCR|49ASPD|5ERES|6DMG|7AART|89VULN|9BPWR|aCDMG
97	11542 11227	   	174.60	ACR|3DMG|1AART|1VULN|1ZMB	1LHND|2RCVC|3RCR|4MBVNT|5ZMB|6AART|79aDMG|8VULN
98	21542 11227	   	174.60	ACR|3DMG|1AART|1VULN|1ZMB	1LWND|2RCVC|3RCR|4MBVNT|5ZMB|6AART|79aDMG|8VULN
99	51542 11223	   	174.60	ACR|3VULN|1AART|1DMG|1ZMB	18aVULN|2RCVC|3RCR|4MBVNT|5ZMB|6AART|7DMG|9LWND
100	22233 15514	 * 	174.31	DCR|4VULN|1AART|1CDMG|1ASPD	1LWND|2FEWX|3CDMG|4ASPD|569aVULN|7RCR|8AART
101	56211 11162	   	173.68	DCR|3VULN|1AART|1DMG|1ZMB	158VULN|2BASHEA|3ZMB|45MLV|5BPWR|6RCR|7AART|9DMG|aCGEN
102	56211 11163	   	173.68	DCR|3VULN|1AART|1DMG|1ZMB	158VULN|2BASHEA|3ZMB|45MLV|5BPWR|6RCR|7AART|9DMG|aLWND
103	36121 22263	 * 	173.33	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1DUR|29DMG|3RCVC|4AART|56CDMG|7RCR|8LHND|aVULN
104	36121 22363	   	173.33	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1DUR|29DMG|3RCVC|4AART|56CDMG|7RCR|8CGEN|aVULN
