0	Index      	 *	Score 	Summary	Detail	
1	13243 15432	 * 	195.33	DCR|2VULN|2DMG|2AART|2DUR|1ASPD	19DUR|29VULN|3LHND|4ASPD|5LEGI|6RCR|7aAART|89DMG|9BPWR
2	32366 21361	 * 	188.38	ACR|2DMG|3ZMB|1AART|1VULN|2ASPD	168ZMB|27LWND|3RCR|48ASPD|58DMG|8BPWR|9AART|aVULN
3	13263 15432	   	188.29	DCR|2DMG|2VULN|2AART|2DUR	19DUR|29VULN|3LHND|4ERES|5LEGI|6RCR|7aAART|89DMG|9BPWR
4	13566 32311	 * 	187.49	DCR|2VULN|3ZMB|1AART|1DMG|1ASPD|1DUR	1DUR|29VULN|38aZMB|4ASPD|5DMG|6AART|7RCR
5	23523 15432	   	187.16	DCR|2VULN|2DMG|2AART|1ZMB	19LHND|29VULN|3ZMB|4FEWX|5LEGI|6RCR|7aAART|89DMG|9BPWR
6	23241 43413	 * 	185.41	DCR|3VULN|2DMG|1AART|1DUR	13LHND|249VULN|5aDMG|6AART|7RCR|8DUR
7	13566 33111	   	185.39	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	1DUR|2aVULN|3ZMB|4ASPD|5aDMG|6AART|7CANSTR|8RCR|9aMLV|aBPWR
8	32366 33411	 * 	184.37	ACR|2VULN|2AART|1DMG|1ZMB|1DUR|1ASPD	1ZMB|2LWND|3RCR|4ASPD|5DMG|67AART|8DUR|9aVULN
9	32363 32441	 * 	184.18	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1ZMB|2LWND|3RCR|4ASPD|56VULN|7DUR|8CDMG|9DMG|aAART
10	13243 15433	   	183.88	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	19DUR|29VULN|3aLHND|4ASPD|5LEGI|6RCR|7AART|89DMG|9BPWR
11	23343 15432	   	183.10	DCR|2VULN|2DMG|2AART|1ASPD	19LHND|29VULN|3FEWX|4ASPD|5LEGI|6RCR|7aAART|89DMG|9BPWR
12	23143 15432	   	183.00	DCR|2VULN|2DMG|2AART|1ASPD	19LHND|29VULN|3DUST|4ASPD|5LEGI|6RCR|7aAART|89DMG|9BPWR
13	32363 32212	 * 	180.82	ACR|4VULN|1AART|1ZMB|1DUR|1ASPD	1ZMB|2LWND|3RCR|4ASPD|568aVULN|7DUR|9AART
14	33226 66212	 * 	180.77	DCR|2VULN|2DMG|1AART|2ZMB	1aZMB|2DUST|3aVULN|4FEWX|5AART|6RCR|79MLV|8aDMG|aBPWR
15	35223 32341	 * 	180.42	ACR|3VULN|1AART|1CDMG|2DUR|1ZMB	1ZMB|2AART|3ERES|4RCR|58DUR|67aVULN|9CDMG
16	36332 26631	 * 	180.24	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ZMB|2DUR|3RCR|4LIT|5AART|69DMG|7RMIN|8CDMG|aVULN
17	32366 21325	 * 	180.23	ACR|3DMG|3ZMB|1VULN|2ASPD	168ZMB|27LWND|3RCR|48ASPD|589DMG|8BPWR|aVULN
18	32366 21351	   	180.23	ACR|3DMG|3ZMB|1VULN|2ASPD	168ZMB|27LWND|3RCR|48ASPD|58aDMG|8BPWR|9VULN
19	36332 22631	   	180.14	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ZMB|2DUR|3RCR|4LIT|5AART|69DMG|7ERES|8CDMG|aVULN
20	36332 24331	   	180.14	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ZMB|2DUR|3RCR|4LIT|5AART|69DMG|7CDMG|8ERES|aVULN
21	13566 32111	   	179.25	DCR|2VULN|1AART|1DMG|2ZMB|2DUR|1ASPD	18DUR|29VULN|3aZMB|4ASPD|5DMG|6AART|7RCR
22	35523 12222	 * 	179.15	ACR|2DMG|1AART|1VULN|3DUR|2ZMB	1aZMB|2AART|3MLV|4RCR|59aDUR|6BEXP|7VULN|8aDMG|aBPWR
23	35523 31222	   	179.15	ACR|2DMG|1AART|1VULN|3DUR|2ZMB	1aZMB|2AART|3MLV|4RCR|59aDUR|6VULN|7FEWX|8aDMG|aBPWR
24	35523 34222	   	179.15	ACR|2DMG|1AART|1VULN|3DUR|2ZMB	1aZMB|2AART|3MLV|4RCR|59aDUR|6VULN|7BEXP|8aDMG|aBPWR
25	35523 22222	   	179.05	ACR|2DMG|1AART|1VULN|3DUR|2ZMB	1aZMB|2AART|3MLV|4RCR|59aDUR|6DUST|7VULN|8aDMG|aBPWR
26	35523 36222	   	179.05	ACR|2DMG|1AART|1VULN|3DUR|2ZMB	1aZMB|2AART|3MLV|4RCR|59aDUR|6VULN|7DUST|8aDMG|aBPWR
27	23241 43411	   	178.82	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	13LHND|249VULN|5DMG|6AART|7RCR|8DUR|aZMB
28	23241 43432	   	178.82	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	13LHND|24aVULN|5DMG|6AART|7RCR|8DUR|9ZMB
29	32363 32443	 * 	178.56	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	1ZMB|2LWND|3RCR|4ASPD|56VULN|7DUR|8CDMG|9aDMG
30	33122 53221	   	178.26	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2DUST|3BELT|49DMG|5DUR|68VULN|7RCR|aAART
31	33122 53511	   	178.26	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2DUST|3BELT|48DMG|5DUR|69VULN|7RCR|aAART
32	36366 31111	   	178.22	ACR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	1ZMB|28DUR|3RCR|4ASPD|5DMG|6AART|7BEXP|9aVULN
33	32366 33511	   	177.43	ACR|2VULN|2AART|1DMG|1ZMB|1ASPD	1ZMB|2LWND|3RCR|4ASPD|5DMG|67AART|8FEWX|9aVULN
34	32363 33441	   	177.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ZMB|2LWND|3RCR|4ASPD|56VULN|7FEWX|8CDMG|9DMG|aAART
35	32363 31441	   	177.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ZMB|2LWND|3RCR|4ASPD|56VULN|7DUST|8CDMG|9DMG|aAART
36	36321 32541	   	177.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2DUR|3RCR|4ERES|5LWND|68VULN|7CDMG|9DMG|aAART
37	36322 32541	   	177.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2DUR|3RCR|4ERES|5LHND|68VULN|7CDMG|9DMG|aAART
38	32365 32312	 * 	177.06	ACR|2VULN|3ZMB|1AART|2ASPD|1DUR	17aZMB|2LWND|3RCR|4aASPD|5CGEN|6AART|8DUR|9aVULN|aBPWR
39	35223 32541	   	177.03	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1ZMB|2AART|3ERES|4RCR|5DUR|67aVULN|8RCVC|9CDMG
40	13263 15433	   	176.85	DCR|2DMG|2VULN|1AART|2DUR	19DUR|29VULN|3aLHND|4ERES|5LEGI|6RCR|7AART|89DMG|9BPWR
41	36366 31311	 * 	176.78	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD|1DUR	18ZMB|2DUR|3RCR|4ASPD|5DMG|6AART|7BEXP|9aVULN
42	33226 61512	   	176.51	DCR|2VULN|3ZMB|1AART|1DMG	17aZMB|2DUST|3aVULN|4FEWX|5AART|6RCR|8DMG|9aTLV|aBPWR
43	33122 53211	   	176.32	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2DUST|3BELT|4DMG|5DUR|689VULN|7RCR|aAART
44	23363 15432	   	176.06	DCR|2DMG|2VULN|2AART	19LHND|29VULN|3FEWX|4ERES|5LEGI|6RCR|7aAART|89DMG|9BPWR
45	23623 15432	   	176.06	DCR|2DMG|2VULN|2AART	19LHND|29VULN|3ERES|4FEWX|5LEGI|6RCR|7aAART|89DMG|9BPWR
46	23163 15432	   	175.96	DCR|2DMG|2VULN|2AART	19LHND|29VULN|3DUST|4ERES|5LEGI|6RCR|7aAART|89DMG|9BPWR
47	23241 32627	 * 	175.72	DCR|4VULN|3DMG	1379LHND|2479VULN|579DMG|6RPLT|79BPWR|8MBVNT|aRCR
48	23523 15433	   	175.72	DCR|2VULN|2DMG|1AART|1ZMB	19aLHND|29VULN|3ZMB|4FEWX|5LEGI|6RCR|7AART|89DMG|9BPWR
49	13566 32112	   	175.40	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	18DUR|29VULN|3ZMB|4ASPD|5DMG|6AART|7RCR|aRPLT
50	13566 32113	   	175.40	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	18DUR|29VULN|3ZMB|4ASPD|5DMG|6AART|7RCR|aMLV
51	13566 32132	   	175.40	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	18DUR|2aVULN|3ZMB|4ASPD|5DMG|6AART|7RCR|9RMIN
52	13566 32222	   	175.40	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	19DUR|2aVULN|3ZMB|4ASPD|5DMG|6AART|7RCR|8CGEN
53	36166 32111	   	175.40	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	1ZMB|28DUR|3FEWX|4ASPD|5DMG|6AART|7RCR|9aVULN
54	36266 32111	   	175.40	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	1ZMB|28DUR|3BEXP|4ASPD|5DMG|6AART|7RCR|9aVULN
55	35523 12212	   	175.33	ACR|2DMG|1AART|1VULN|2ZMB|2DUR	1aZMB|2AART|39MLV|4RCR|5aDUR|6BEXP|7VULN|8aDMG|aBPWR
56	35523 31212	   	175.33	ACR|2DMG|1AART|1VULN|2ZMB|2DUR	1aZMB|2AART|39MLV|4RCR|5aDUR|6VULN|7FEWX|8aDMG|aBPWR
57	35523 34212	   	175.33	ACR|2DMG|1AART|1VULN|2ZMB|2DUR	1aZMB|2AART|39MLV|4RCR|5aDUR|6VULN|7BEXP|8aDMG|aBPWR
58	13566 32122	   	175.30	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	18DUR|2aVULN|3ZMB|4ASPD|5DMG|6AART|7RCR|9ERES
59	35523 22212	   	175.23	ACR|2DMG|1AART|1VULN|2ZMB|2DUR	1aZMB|2AART|39MLV|4RCR|5aDUR|6DUST|7VULN|8aDMG|aBPWR
60	35523 36212	   	175.23	ACR|2DMG|1AART|1VULN|2ZMB|2DUR	1aZMB|2AART|39MLV|4RCR|5aDUR|6VULN|7DUST|8aDMG|aBPWR
61	13243 12325	 * 	174.94	DCR|3VULN|1AART|2ZMB|2DUR|1ASPD	19DUR|279VULN|3LHND|4ASPD|5LEGI|6RCR|89ZMB|9BPWR|aAART
62	23241 43141	 * 	174.53	DCR|3VULN|1AART|1DMG|1CDMG	13LHND|24aVULN|5DMG|6AART|7RCR|8CGEN|9CDMG
63	23241 43315	   	174.53	DCR|3VULN|1AART|1DMG|1CDMG	13LHND|24aVULN|5DMG|6AART|7RCR|8RPLT|9CDMG
64	23241 43241	   	174.43	DCR|3VULN|1AART|1DMG|1CDMG	13LHND|24aVULN|5DMG|6AART|7RCR|8ERES|9CDMG
65	36332 23316	 * 	174.26	ACR|1AART|1VULN|1DMG|2CDMG|2DUR|1ZMB	1ZMB|27DUR|3RCR|4LIT|5AART|6DMG|8VULN|9aCDMG
66	13566 32312	   	173.96	DCR|2VULN|1AART|1DMG|2ZMB|1ASPD|1DUR	1DUR|29VULN|38ZMB|4ASPD|5DMG|6AART|7RCR|aRPLT
67	13566 32313	   	173.96	DCR|2VULN|1AART|1DMG|2ZMB|1DUR|1ASPD	1DUR|29VULN|38ZMB|4ASPD|5DMG|6AART|7RCR|aMLV
68	13566 32332	   	173.96	DCR|2VULN|1AART|1DMG|2ZMB|1ASPD|1DUR	1DUR|2aVULN|38ZMB|4ASPD|5DMG|6AART|7RCR|9RMIN
