0	Index      	 *	Score 	Summary	Detail	
1	31551 12331	 * 	203.48	ACR|3VULN|3DMG|1AART|1DUR	1RPLT|28LHND|3RCR|4DUR|58aDMG|689VULN|7AART|8BPWR
2	33515 42331	 * 	192.70	DCR|3VULN|2DMG|1AART|2DUR	1RPLT|28DUR|3aDMG|48LWND|589VULN|6RCR|7AART|8BPWR
3	36213 25342	 * 	190.18	ACR|4VULN|3DMG|1DUR	1RPLT|23aDMG|4RCR|5DUR|678aVULN|9aFEWX|aBPWR
4	36213 25352	   	190.18	ACR|4VULN|3DMG|1DUR	1RPLT|23aDMG|4RCR|5DUR|678aVULN|9aLWND|aBPWR
5	36213 25322	   	189.98	ACR|4VULN|3DMG|1DUR	1RPLT|23aDMG|4RCR|5DUR|678aVULN|9aDUST|aBPWR
6	31551 12312	   	187.83	ACR|3DMG|2VULN|1AART|1DUR	1RPLT|28LHND|3RCR|4DUR|58aDMG|68VULN|7AART|8BPWR|9CGEN
7	31551 12352	   	187.83	ACR|3VULN|2DMG|1AART|1DUR	1RPLT|28LHND|3RCR|4DUR|58DMG|68aVULN|7AART|8BPWR|9BEXP
8	31551 12361	   	187.83	ACR|3DMG|2VULN|1AART|1DUR	1RPLT|28LHND|3RCR|4DUR|58aDMG|68VULN|7AART|8BPWR|9DMSP
9	31551 12322	   	187.73	ACR|3DMG|2VULN|1AART|1DUR	1RPLT|28LHND|3RCR|4DUR|58aDMG|68VULN|7AART|8BPWR|9TLV
10	31551 12333	   	187.73	ACR|3VULN|2DMG|1AART|1DUR	1RPLT|28LHND|3RCR|4DUR|58DMG|689VULN|7AART|8BPWR|aERES
11	31551 12334	   	187.73	ACR|3VULN|2DMG|1AART|1DUR	1RPLT|28LHND|3RCR|4DUR|58DMG|689VULN|7AART|8BPWR|aAIRHEL
12	31551 12431	   	187.63	ACR|3VULN|2DMG|1AART|1DUR	1RPLT|2LHND|3RCR|4DUR|5aDMG|689VULN|7AART
13	31551 12631	   	187.63	ACR|3DMG|2VULN|1AART|1DUR	1RPLT|2LHND|3RCR|4DUR|58aDMG|69VULN|7AART
14	33561 42331	 * 	187.21	DCR|3DMG|2VULN|1AART|1DUR	1RPLT|2DUR|38aDMG|49VULN|5FEWX|6RCR|7AART
15	36211 25262	 * 	187.15	ACR|5VULN|2DMG|1ASPD	1RPLT|23DMG|4RCR|5679aVULN|8ASPD
16	32263 26146	 * 	186.60	ACR|3DMG|3ZMB|1AART|2DUR|1ASPD	1RPLT|257ZMB|357DMG|4RCR|57BPWR|67DUR|8MBVNT|9ASPD|aAART
17	31551 12325	 * 	185.72	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1RPLT|28LHND|3RCR|4DUR|58DMG|68VULN|7AART|8BPWR|9TLV|aCDMG
18	36213 25111	   	184.63	ACR|3DMG|2VULN|1AART|1DUR	1RPLT|23aDMG|4RCR|5DUR|67VULN|8AART|9LHND
19	36213 25151	   	184.63	ACR|3DMG|2VULN|1AART|1DUR	1RPLT|23aDMG|4RCR|5DUR|67VULN|8AART|9LWND
20	33532 32626	 * 	184.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RPLT|2DUR|38DMG|4AART|5aVULN|6RMIN|7RCR|9CDMG
21	36213 25121	   	184.53	ACR|3DMG|2VULN|1AART|1DUR	1RPLT|23aDMG|4RCR|5DUR|67VULN|8AART|9LEGI
22	34332 22626	   	184.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RPLT|2TLV|3DUR|4AART|5aVULN|68DMG|7RCR|9CDMG
23	35332 22626	   	184.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RPLT|2ERES|3DUR|4AART|5aVULN|68DMG|7RCR|9CDMG
24	36213 25133	   	184.38	ACR|3VULN|2DMG|1AART|1DUR|1SELL	1RPLT|23DMG|4RCR|5DUR|67aVULN|8AART|9SELL
25	31551 12311	 * 	183.62	ACR|2VULN|2DMG|2AART|1DUR	1RPLT|28LHND|3RCR|4DUR|58DMG|68VULN|7aAART|8BPWR|9CGEN
26	31551 12353	   	183.62	ACR|2VULN|2DMG|2AART|1DUR	1RPLT|28LHND|3RCR|4DUR|58DMG|68VULN|7aAART|8BPWR|9BEXP
27	31551 12321	   	183.52	ACR|2VULN|2DMG|2AART|1DUR	1RPLT|28LHND|3RCR|4DUR|58DMG|68VULN|7aAART|8BPWR|9TLV
28	31551 12131	   	183.42	ACR|2VULN|2DMG|2AART|1DUR	1RPLT|2LHND|3RCR|4DUR|5aDMG|69VULN|78AART
29	36214 25322	   	183.04	ACR|4VULN|3DMG	1RPLT|23aDMG|4RCR|5FEWX|678aVULN|9aDUST|aBPWR
30	36215 25322	   	183.04	ACR|4VULN|3DMG	1RPLT|23aDMG|4RCR|5LHND|678aVULN|9aDUST|aBPWR
31	33515 42131	 * 	183.00	DCR|2VULN|2DMG|2AART|1DUR	1RPLT|2DUR|3aDMG|4LWND|59VULN|6RCR|78AART
32	32263 16161	 * 	181.99	ACR|3DMG|1AART|1VULN|2ZMB|1DUR	1RPLT|25ZMB|35aDMG|4RCR|5BPWR|6CGEN|7VULN|8AART|9DUR
33	32332 32631	   	181.96	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1RPLT|2ZMB|3DUR|4AART|59VULN|6MLV|7RCR|8aDMG
34	33532 32661	   	181.96	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1RPLT|2DUR|38DMG|4AART|59VULN|6RMIN|7RCR|aZMB
35	32264 22313	 * 	181.85	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	1RPLT|2ZMB|36DMG|4RCR|56CDMG|6BPWR|7DUR|8CGEN|9AART|aVULN
36	36211 25142	 * 	181.04	ACR|4VULN|2DMG|1CDMG	1RPLT|23DMG|4RCR|567aVULN|8CGEN|9CDMG
37	36211 22642	   	180.94	ACR|4VULN|2DMG|1CDMG	1RPLT|23DMG|4RCR|568aVULN|7ERES|9CDMG
38	36211 25243	   	180.81	ACR|3VULN|2DMG|1CDMG|1ASPD|1DUR	1RPLT|23DMG|4RCR|567VULN|8ASPD|9CDMG|aDUR
39	32361 42431	   	180.62	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1RPLT|2ZMB|3DUR|489VULN|5FEWX|6RCR|7AART|aDMG
40	36211 25241	 * 	180.48	ACR|3VULN|2DMG|2ASPD|1CDMG	1RPLT|23DMG|4RCR|567VULN|8aASPD|9CDMG
41	32263 26325	 * 	180.33	ACR|3DMG|3ZMB|1VULN|3DUR	1RPLT|257ZMB|357DMG|4RCR|57BPWR|67aDUR|8TLV|9VULN
42	33532 53351	   	180.25	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1RPLT|29DUR|39DMG|4AART|56VULN|7ZMB|89LIT|9BPWR|aRCR
43	36211 22662	   	180.11	ACR|5VULN|2DMG	1RPLT|23DMG|4RCR|5689aVULN|7ERES
44	32332 12621	   	180.02	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1RPLT|2ZMB|3DUR|4AART|5VULN|6CGEN|7RCR|89aDMG
45	36213 25141	   	179.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RPLT|23DMG|4RCR|5DUR|67VULN|8AART|9CGEN|aZMB
46	51113 51613	 * 	179.42	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	1DUST|2DUR|37DMG|4aVULN|5RCR|68ASPD|9AART
47	32263 42313	 * 	179.39	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG|1DUR	1RPLT|25ZMB|35DMG|4RCR|5BPWR|6CDMG|7DUR|8CGEN|9AART|aVULN
48	36211 31161	   	178.04	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1RPLT|23aDMG|4RCR|5VULN|6ZMB|7CGEN|8AART|9DUR
49	36211 21111	   	177.69	ACR|3DMG|2VULN|1AART	1RPLT|23aDMG|4RCR|56VULN|7BEXP|8AART|9LHND
50	36211 21151	   	177.69	ACR|3DMG|2VULN|1AART	1RPLT|23aDMG|4RCR|56VULN|7BEXP|8AART|9LWND
51	36211 23111	   	177.69	ACR|3DMG|2VULN|1AART	1RPLT|23aDMG|4RCR|56VULN|7LWND|8AART|9LHND
52	36211 23123	   	177.69	ACR|3VULN|2DMG|1AART	1RPLT|23DMG|4RCR|56aVULN|7LWND|8AART|9DMSP
53	36211 23133	   	177.69	ACR|3VULN|2DMG|1AART	19RPLT|23DMG|4RCR|56aVULN|7LWND|8AART
54	36211 26113	   	177.69	ACR|3VULN|2DMG|1AART	1RPLT|23DMG|4RCR|56aVULN|79LHND|8AART
55	36211 26151	   	177.69	ACR|3DMG|2VULN|1AART	1RPLT|23aDMG|4RCR|56VULN|7LHND|8AART|9LWND
56	36214 25111	   	177.69	ACR|3DMG|2VULN|1AART	1RPLT|23aDMG|4RCR|5FEWX|67VULN|8AART|9LHND
57	36215 25113	   	177.69	ACR|3VULN|2DMG|1AART	1RPLT|23DMG|4RCR|59LHND|67aVULN|8AART
58	36212 16134	   	177.69	ACR|3DMG|2VULN|1AART	1RPLT|23aDMG|4RCR|5aERES|6CGEN|7LHND|8AART|9aVULN|aBPWR
59	36211 21121	   	177.59	ACR|3DMG|2VULN|1AART	1RPLT|23aDMG|4RCR|56VULN|7BEXP|8AART|9LEGI
60	36211 45111	   	177.59	ACR|3DMG|2VULN|1AART	1RPLT|23aDMG|4RCR|57VULN|6DUST|8AART|9LHND
61	36214 25121	   	177.59	ACR|3DMG|2VULN|1AART	1RPLT|23aDMG|4RCR|5FEWX|67VULN|8AART|9LEGI
62	36211 45121	   	177.49	ACR|3DMG|2VULN|1AART	1RPLT|23aDMG|4RCR|57VULN|6DUST|8AART|9LEGI
63	31551 12315	   	177.47	ACR|2VULN|2DMG|1AART|2DUR	1RPLT|28LHND|3RCR|4aDUR|58DMG|68VULN|7AART|8BPWR|9CGEN
64	31551 12342	   	177.47	ACR|2VULN|2DMG|1AART|2DUR	1RPLT|28LHND|3RCR|4aDUR|58DMG|68VULN|7AART|8BPWR|9LIT
65	36211 21133	   	177.44	ACR|3VULN|2DMG|1AART|1SELL	1RPLT|23DMG|4RCR|56aVULN|7BEXP|8AART|9SELL
66	36211 23163	   	177.44	ACR|3VULN|2DMG|1AART|1SELL	1RPLT|23DMG|4RCR|56aVULN|7LWND|8AART|9SELL
67	36211 26163	   	177.44	ACR|3VULN|2DMG|1AART|1SELL	1RPLT|23DMG|4RCR|56aVULN|7LHND|8AART|9SELL
68	36211 45133	   	177.34	ACR|3VULN|2DMG|1AART|1SELL	1RPLT|23DMG|4RCR|57aVULN|6DUST|8AART|9SELL
69	33515 42312	   	177.05	DCR|2VULN|2DMG|1AART|2DUR	1RPLT|28DUR|3aDMG|48LWND|58VULN|6RCR|7AART|8BPWR|9CGEN
70	32263 16143	 * 	176.99	ACR|2VULN|2DMG|1AART|2ZMB	1RPLT|25ZMB|35DMG|4RCR|5BPWR|69CGEN|7aVULN|8AART
71	33515 42322	   	176.95	DCR|2VULN|2DMG|1AART|2DUR	1RPLT|28DUR|3aDMG|48LWND|58VULN|6RCR|7AART|8BPWR|9TLV
72	32263 16133	   	176.74	ACR|2VULN|2DMG|1AART|2ZMB|1SELL	1RPLT|25ZMB|35DMG|4RCR|5BPWR|6CGEN|7aVULN|8AART|9SELL
73	32263 36133	   	176.64	ACR|2VULN|2DMG|1AART|2ZMB|1SELL	1RPLT|25ZMB|35DMG|4RCR|5BPWR|6ERES|7aVULN|8AART|9SELL
74	32263 26137	   	176.52	ACR|3DMG|3ZMB|1VULN|2DUR	1RPLT|257ZMB|357DMG|4RCR|57BPWR|67DUR|8MBVNT|9BEXP|aVULN
75	32263 26227	   	176.52	ACR|3DMG|3ZMB|1VULN|2DUR	1RPLT|257ZMB|357DMG|4RCR|57BPWR|67DUR|8BEXP|9MBVNT|aVULN
76	32263 26321	   	176.52	ACR|3DMG|3ZMB|1VULN|2DUR	1RPLT|257ZMB|357DMG|4RCR|57BPWR|67DUR|8TLV|9VULN|aCGEN
77	32263 26322	   	176.52	ACR|3DMG|3ZMB|1VULN|2DUR	1RPLT|257ZMB|357DMG|4RCR|57BPWR|67DUR|8TLV|9VULN|aBELT
78	32263 26323	   	176.52	ACR|3DMG|3ZMB|1VULN|2DUR	1RPLT|257ZMB|357DMG|4RCR|57BPWR|67DUR|8TLV|9VULN|aRCVC
79	32263 26521	   	176.52	ACR|3DMG|3ZMB|1VULN|2DUR	1RPLT|257ZMB|357DMG|4RCR|57BPWR|67DUR|8ERES|9VULN|aCGEN
80	32263 26522	   	176.52	ACR|3DMG|3ZMB|1VULN|2DUR	1RPLT|257ZMB|357DMG|4RCR|57BPWR|67DUR|8ERES|9VULN|aBELT
81	32263 26523	   	176.52	ACR|3DMG|3ZMB|1VULN|2DUR	1RPLT|257ZMB|357DMG|4RCR|57BPWR|67DUR|8ERES|9VULN|aRCVC
82	36211 23331	   	176.49	ACR|3VULN|2DMG|1AART	1RPLT|23DMG|4RCR|568VULN|7LWND|9RMIN|aAART
83	36211 25111	   	176.49	ACR|3VULN|2DMG|1AART	1RPLT|23DMG|4RCR|567VULN|8CGEN|9FEWX|aAART
84	36211 25121	   	176.49	ACR|3VULN|2DMG|1AART	1RPLT|23DMG|4RCR|567VULN|8CGEN|9BEXP|aAART
85	36211 26331	   	176.49	ACR|3VULN|2DMG|1AART	1RPLT|23DMG|4RCR|568VULN|7LHND|9RMIN|aAART
86	36215 25331	   	176.49	ACR|3VULN|2DMG|1AART	1RPLT|23DMG|4RCR|5LHND|678VULN|9RMIN|aAART
87	32263 26324	   	176.42	ACR|3DMG|3ZMB|1VULN|2DUR	1RPLT|257ZMB|357DMG|4RCR|57BPWR|67DUR|8TLV|9VULN|aDUST
88	32263 26326	   	176.42	ACR|3DMG|3ZMB|1VULN|2DUR	1RPLT|257ZMB|357DMG|4RCR|57BPWR|67DUR|8TLV|9VULN|aERES
89	36211 22611	   	176.39	ACR|3VULN|2DMG|1AART	1RPLT|23DMG|4RCR|568VULN|7ERES|9FEWX|aAART
90	36211 22621	   	176.39	ACR|3VULN|2DMG|1AART	1RPLT|23DMG|4RCR|568VULN|7ERES|9BEXP|aAART
91	36211 25348	   	176.39	ACR|3VULN|2DMG|1AART	19RPLT|23DMG|4RCR|567VULN|8MBVNT|aAART
92	36211 25511	   	176.39	ACR|3VULN|2DMG|1AART	1RPLT|23DMG|4RCR|567VULN|8ERES|9FEWX|aAART
93	36211 25521	   	176.39	ACR|3VULN|2DMG|1AART	1RPLT|23DMG|4RCR|567VULN|8ERES|9BEXP|aAART
94	13416 41223	   	176.38	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1RMIN|2DUR|3RCR|45aVULN|6CGEN|7DMG|8AART|9ASPD
95	54161 22111	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|2CDMG|3aDMG|45VULN|6AART|7RCR|8LWND|9LHND
96	54161 22311	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|2CDMG|3aDMG|45VULN|6AART|7RCR|8BEXP|9LHND
97	13416 11223	   	176.28	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1RMIN|2DUR|3RCR|45aVULN|6ERES|7DMG|8AART|9ASPD
98	13416 16223	   	176.28	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1RMIN|2DUR|3RCR|45aVULN|6ERES|7ASPD|8AART|9DMG
99	54161 22321	   	176.26	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|2CDMG|3aDMG|45VULN|6AART|7RCR|8BEXP|9LEGI
100	35332 32634	   	176.25	DCR|2VULN|2DMG|1AART|2DUR	1RPLT|2aERES|3aDUR|4AART|59VULN|6MLV|7RCR|8aDMG|aBPWR
101	36313 25612	   	176.08	ACR|3VULN|3DMG|1DUR	1RPLT|29aDMG|3DMSP|4RCR|5DUR|67aVULN|8aLWND|aBPWR
102	62163 32323	   	175.96	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1DMSP|2LWND|3ASPD|45aVULN|6RCR|7DUR|8AART|9DMG
103	36213 25316	   	175.88	ACR|3VULN|3DMG|1DUR	1RPLT|23aDMG|4RCR|5DUR|678VULN|9LIT
104	36313 25512	   	175.88	ACR|3VULN|3DMG|1DUR	1RPLT|29aDMG|3DMSP|4RCR|5DUR|67aVULN|8aDUST|aBPWR
105	33532 12651	   	175.82	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1RPLT|2DUR|38DMG|49AART|5VULN|6CGEN|7RCR|aZMB
106	32263 16331	   	175.79	ACR|2VULN|2DMG|1AART|2ZMB	1RPLT|25ZMB|35DMG|4RCR|5BPWR|6CGEN|78VULN|9RMIN|aAART
107	34332 22651	   	175.72	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1RPLT|2TLV|3DUR|49AART|5VULN|68DMG|7RCR|aZMB
108	35332 22651	   	175.72	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1RPLT|2ERES|3DUR|49AART|5VULN|68DMG|7RCR|aZMB
109	32263 36331	   	175.69	ACR|2VULN|2DMG|1AART|2ZMB	1RPLT|25ZMB|35DMG|4RCR|5BPWR|6ERES|78VULN|9RMIN|aAART
110	36211 21145	   	175.68	ACR|2VULN|2DMG|1AART|1CDMG	1RPLT|23DMG|4RCR|56VULN|7BEXP|8AART|9CGEN|aCDMG
111	36211 23145	   	175.68	ACR|2VULN|2DMG|1AART|1CDMG	1RPLT|23DMG|4RCR|56VULN|7LWND|8AART|9CGEN|aCDMG
112	36211 26125	   	175.68	ACR|2VULN|2DMG|1AART|1CDMG	1RPLT|23DMG|4RCR|56VULN|7LHND|8AART|9CGEN|aCDMG
113	32264 22332	 * 	175.63	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1RPLT|2ZMB|36DMG|4RCR|56CDMG|6BPWR|7DUR|8CGEN|9aVULN
114	36211 26135	   	175.58	ACR|2VULN|2DMG|1AART|1CDMG	1RPLT|23DMG|4RCR|56VULN|7LHND|8AART|9ERES|aCDMG
115	13414 62331	   	175.53	ACR|3VULN|1AART|1DMG|2DUR	1RMIN|28DUR|3RCR|489VULN|58LHND|6RPLT|7AART|8BPWR|aDMG
116	13415 62331	   	175.53	ACR|3VULN|1AART|1DMG|2DUR	1RMIN|28DUR|3RCR|489VULN|58LWND|6RPLT|7AART|8BPWR|aDMG
117	32264 31313	   	175.44	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1RPLT|2ZMB|37DMG|4RCR|5CDMG|6MLV|8DUR|9AART|aVULN
118	32264 41313	   	175.44	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1RPLT|2ZMB|37DMG|4RCR|5CDMG|6CGEN|8DUR|9AART|aVULN
119	36213 23442	 * 	175.28	ACR|3DMG|2VULN|2ZMB|1DUR	19RPLT|23aDMG|4RCR|5DUR|6aVULN|7RMIN|8aZMB|aBPWR
120	36313 23412	   	175.28	ACR|3DMG|2VULN|2ZMB|1DUR	1RPLT|29aDMG|3DMSP|4RCR|5DUR|6aVULN|7RMIN|8aZMB|aBPWR
