0	Index      	 *	Score 	Summary	Detail	
1	62342 13115	 * 	191.88	DCR|2VULN|2DMG|1AART|2FLTHEA|1ZMB	1AART|29FLTHEA|3BELT|4ZMB|59VULN|69DMG|7RCVC|8DLOT|9BPWR|aRCR
2	62342 51131	 * 	190.83	DCR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1AART|2FLTHEA|3BELT|4ZMB|579VULN|6RCR|8TLV|aDMG
3	61374 33137	 * 	190.81	DCR|3VULN|2DMG|1AART|1DUR	1AART|29LIT|3MBVNT|49DMG|5DUR|6RCR|7TLV|89aVULN|9BPWR
4	62253 32362	   	188.90	DCR|2VULN|2DMG|1AART|1FLTHEA|1ASPD	1AART|2FLTHEA|3aLWND|4CGEN|5ASPD|6RCR|7aVULN|8DUST|9aDMG|aBPWR
5	61374 33132	 * 	188.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|29LIT|3MBVNT|49DMG|5DUR|6RCR|7TLV|89VULN|9BPWR|aCDMG
6	62223 32362	   	188.80	DCR|2VULN|2DMG|1AART|1FLTHEA|1ASPD	1AART|2FLTHEA|3aLWND|4ERES|5ASPD|6RCR|7aVULN|8DUST|9aDMG|aBPWR
7	62261 35321	 * 	187.75	ACR|2AART|1DMG|1VULN|1CDMG|1FLTHEA|1ZMB|1DUR	18AART|2FLTHEA|3LWND|4RCR|5DUR|6CDMG|7VULN|9ZMB|aDMG
8	62222 32542	 * 	186.17	DCR|2VULN|1AART|1DMG|2ZMB|1FLTHEA|1DUR	1AART|2FLTHEA|3aLWND|4ERES|5DMG|6RCR|7aVULN|8DUR|9aZMB|aBPWR
9	61374 33135	   	186.16	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|29LIT|3MBVNT|49DMG|5DUR|6RCR|7TLV|89VULN|9BPWR|aZMB
10	61374 21337	   	186.11	DCR|3VULN|2DMG|1AART|1DUR	1AART|29LIT|3MBVNT|49DMG|5DUR|6CGEN|79aVULN|8RCR|9BPWR
11	45362 31111	 * 	185.73	DCR|3AART|2VULN|1DMG|1CDMG|1ASPD	1ASPD|2CDMG|389AART|4BEXP|5aVULN|6RCR|7DMG
12	61375 33234	 * 	184.57	DCR|3VULN|2AART|1DMG|1ASPD	19AART|2LIT|3MBVNT|4DMG|578VULN|6RCR|aASPD
13	61374 21332	   	184.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|29LIT|3MBVNT|49DMG|5DUR|6CGEN|79VULN|8RCR|9BPWR|aCDMG
14	61373 33273	   	183.77	DCR|3VULN|2DMG|1AART	1AART|2LIT|3MBVNT|48DMG|5FEWX|6RCR|79aVULN
15	62342 52311	   	182.22	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2FLTHEA|3BELT|4ZMB|5aVULN|6RCR|7DMG|8DUR|9LWND
16	62342 52321	   	182.12	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1AART|2FLTHEA|3BELT|4ZMB|5aVULN|6RCR|7DMG|8DUR|9DUST
17	61377 32132	   	181.96	DCR|2VULN|2DMG|1AART|1CDMG	1AART|29LIT|3MBVNT|49DMG|5LHND|6RCR|7CGEN|89VULN|9BPWR|aCDMG
18	62261 33521	   	181.59	ACR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|2DUR|1ZMB	1AART|2FLTHEA|3LWND|4RCR|57DUR|6CDMG|8VULN|9ZMB|aDMG
19	61374 21335	   	181.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|29LIT|3MBVNT|49DMG|5DUR|6CGEN|79VULN|8RCR|9BPWR|aZMB
20	62512 13115	 * 	181.33	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1AART|2FLTHEA|3RCVC|4LIT|5CDMG|6RCR|7CGEN|89VULN|aDMG
21	21661 26322	 * 	180.61	DCR|3DMG|2VULN|1AART|1DUR	13VULN|2RPLT|459DMG|6FEWX|7DUR|8RCR|aAART
22	22561 26322	   	180.61	DCR|3DMG|2VULN|1AART|1DUR	12VULN|3RPLT|459DMG|6FEWX|7DUR|8RCR|aAART
23	62342 51232	 * 	180.31	DCR|2AART|2VULN|1FLTHEA|1CDMG|1ZMB	19AART|2FLTHEA|3BELT|4ZMB|57VULN|6RCR|8CDMG|aLIT
24	62342 51233	   	180.31	DCR|2AART|2VULN|1FLTHEA|1CDMG|1ZMB	19AART|2FLTHEA|3BELT|4ZMB|57VULN|6RCR|8CDMG|aBEXP
25	22651 22322	 * 	180.01	DCR|5VULN|1AART|1DMG	12356VULN|46LHND|6BPWR|7AART|8SNIHEL|9DMG|aRCR
26	61344 43273	 * 	179.39	ACR|3VULN|2DMG|1AART	1AART|2LIT|3MBVNT|4FEWX|5RCR|68DMG|79aVULN
27	62252 32242	   	179.33	DCR|2VULN|1AART|1DMG|2ZMB|1FLTHEA	1AART|2FLTHEA|3aLWND|4CGEN|5DMG|6RCR|7aVULN|8FEWX|9aZMB|aBPWR
28	62222 32242	   	179.23	DCR|2VULN|1AART|1DMG|2ZMB|1FLTHEA	1AART|2FLTHEA|3aLWND|4ERES|5DMG|6RCR|7aVULN|8FEWX|9aZMB|aBPWR
29	62252 32342	   	179.23	DCR|2VULN|1AART|1DMG|2ZMB|1FLTHEA	1AART|2FLTHEA|3aLWND|4CGEN|5DMG|6RCR|7aVULN|8DUST|9aZMB|aBPWR
30	62222 32342	   	179.13	DCR|2VULN|1AART|1DMG|2ZMB|1FLTHEA	1AART|2FLTHEA|3aLWND|4ERES|5DMG|6RCR|7aVULN|8DUST|9aZMB|aBPWR
31	22363 52412	 * 	178.97	DCR|3VULN|1AART|1DMG|2ASPD|1DUR	125VULN|39ASPD|4BEXP|6AART|7DUR|8RCR|aDMG
32	23611 33461	   	178.97	DCR|3VULN|2DMG|1AART	135VULN|2LWND|4LIT|6RCR|7aDMG|8CANHEL|9AART
33	61375 33231	   	178.93	DCR|3VULN|2AART|1DMG	19AART|2LIT|3MBVNT|4DMG|578VULN|6RCR|aRCVC
34	62113 54331	 * 	178.72	DCR|2AART|1DMG|1VULN|1CDMG|1FLTHEA|1ASPD	17AART|2FLTHEA|3CDMG|4CGEN|5ASPD|6RCR|8BEXP|9DMG|aVULN
35	62133 54331	   	178.62	DCR|2AART|1VULN|1DMG|1CDMG|1FLTHEA|1ASPD	17AART|2FLTHEA|3CDMG|4TLV|5ASPD|6RCR|8BEXP|9DMG|aVULN
36	62222 32535	   	178.62	DCR|2AART|1VULN|1DMG|1FLTHEA|1CDMG|1DUR	19AART|2FLTHEA|3LWND|4ERES|5DMG|6RCR|7VULN|8DUR|aCDMG
37	62163 51331	   	178.28	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ZMB|1ASPD	1AART|2FLTHEA|3CDMG|4ZMB|5ASPD|6RCR|7DMSP|8LWND|9DMG|aVULN
38	62312 52135	   	178.28	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1DUR	1AART|2FLTHEA|3BELT|4DUR|5ZMB|6RCR|7MGNLIT|8CDMG|9DMG|aVULN
39	62163 51231	   	178.18	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1ASPD	1AART|2FLTHEA|3CDMG|4ZMB|5ASPD|6RCR|7DMSP|8DUST|9DMG|aVULN
40	62222 34335	   	178.18	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1ASPD	1AART|2FLTHEA|3LWND|4ERES|5DMG|6RCR|7ASPD|8ZMB|9VULN|aCDMG
41	62133 53532	 * 	178.05	DCR|2VULN|1AART|2FLTHEA|1CDMG|1DUR|1ASPD	1AART|2aFLTHEA|3CDMG|4aTLV|5ASPD|6RCR|7DUR|8aVULN|9RPLT|aBPWR
