0	Index      	 *	Score 	Summary	Detail	
1	22353 51152	 * 	221.45	DCR|5VULN|2DMG|1AART|2ASPD	1359aVULN|2AART|35BPWR|45DMG|68ASPD|7RCR
2	22353 51162	 * 	212.90	DCR|3VULN|2AART|2DMG|2ASPD	135VULN|2aAART|35BPWR|45DMG|68ASPD|7RCR|9DUR
3	22353 51134	 * 	210.07	DCR|3VULN|3DMG|1AART|2ASPD	135VULN|2AART|35BPWR|45aDMG|68ASPD|7RCR|9AIRHEL
4	22353 51132	   	208.52	DCR|4VULN|2DMG|1AART|2ASPD	135aVULN|2AART|35BPWR|45DMG|68ASPD|7RCR|9AIRHEL
5	22353 51151	   	208.52	DCR|4VULN|2DMG|1AART|2ASPD	1359VULN|2AART|35BPWR|45DMG|68ASPD|7RCR|aBASHEA
6	22353 51153	   	208.52	DCR|4VULN|2DMG|1AART|2ASPD	1359VULN|2AART|35BPWR|45DMG|68ASPD|7RCR|aERES
7	22353 51632	   	208.40	DCR|3VULN|2DMG|1AART|1CDMG	135VULN|2AART|35BPWR|45DMG|6ASPD|7RCR|8CANHEL|9CDMG|aDUR
8	22353 51143	   	208.17	DCR|3VULN|2DMG|1AART|2ASPD|1CDMG	135VULN|2AART|35BPWR|45DMG|68ASPD|7RCR|9LIT|aCDMG
9	22353 51135	   	205.87	DCR|3VULN|2AART|2DMG|2ASPD	135VULN|2aAART|35BPWR|45DMG|68ASPD|7RCR|9AIRHEL
10	22353 51352	 * 	203.63	DCR|3VULN|3AART|2DMG	135VULN|29aAART|35BPWR|45DMG|6ASPD|7RCR|8BEXP
11	22353 51341	   	203.56	DCR|3VULN|3DMG|1AART	135VULN|2AART|35BPWR|459DMG|6ASPD|7RCR|8BEXP|aFEWX
12	22353 51342	   	203.56	DCR|3VULN|3DMG|1AART	135VULN|2AART|35BPWR|459DMG|6ASPD|7RCR|8BEXP|aLIT
13	22353 51315	   	203.46	DCR|3VULN|3DMG|1AART	135VULN|2AART|35BPWR|45aDMG|6ASPD|7RCR|8BEXP|9LEGI
14	22353 51343	   	203.46	DCR|3VULN|3DMG|1AART	135VULN|2AART|35BPWR|459DMG|6ASPD|7RCR|8BEXP|aDUST
15	22353 51251	   	202.01	DCR|4VULN|2DMG|1AART	135aVULN|2AART|35BPWR|45DMG|6ASPD|7RCR|8LIT|9BELT
16	22353 51622	   	201.91	DCR|4VULN|2DMG|1AART	135aVULN|2AART|35BPWR|45DMG|6ASPD|7RCR|8CANHEL|9BEXP
17	22353 51161	   	201.46	DCR|3VULN|2DMG|1AART|2ASPD	135VULN|2AART|35BPWR|45DMG|68ASPD|7RCR|9DUR|aRPLT
18	22353 51163	   	201.46	DCR|3VULN|2DMG|1AART|2ASPD	135VULN|2AART|35BPWR|45DMG|68ASPD|7RCR|9DUR|aLWND
19	22353 51633	   	201.46	DCR|3VULN|2DMG|1AART|1CDMG	135VULN|2AART|35BPWR|45DMG|6ASPD|7RCR|8CANHEL|9CDMG|aRMIN
20	22353 51133	   	201.36	DCR|3VULN|2DMG|1AART|2ASPD	135VULN|2AART|35BPWR|45DMG|68ASPD|7RCR|9AIRHEL|aDUR
21	22353 51611	   	201.36	DCR|3VULN|2DMG|1AART|1CDMG	135VULN|2AART|35BPWR|45DMG|6ASPD|7RCR|8CANHEL|9ERES|aCDMG
22	22353 51631	   	201.36	DCR|3VULN|2DMG|1AART|1CDMG	135VULN|2AART|35BPWR|45DMG|6ASPD|7RCR|8CANHEL|9CDMG|aERES
23	22353 21623	 * 	200.87	DCR|3VULN|3DMG|2AART	135VULN|27AART|35BPWR|459DMG|6BEXP|8LHND|aRCR
24	23521 53222	 * 	200.29	ACR|4VULN|3DMG|2ZMB	1579VULN|24ERES|3RCR|69ZMB|89aDMG|9BPWR
25	22353 51221	   	199.35	DCR|3VULN|2AART|2DMG	135VULN|2aAART|35BPWR|45DMG|6ASPD|7RCR|8LIT|9LHND
26	22353 51231	   	199.35	DCR|3VULN|2AART|2DMG	135VULN|2aAART|35BPWR|45DMG|6ASPD|7RCR|8LIT|9LWND
27	22353 51261	   	199.35	DCR|3VULN|2AART|2DMG	135VULN|2aAART|35BPWR|45DMG|6ASPD|7RCR|8LIT|9BEXP
28	22353 51322	   	199.35	DCR|3VULN|2AART|2DMG	135VULN|2aAART|35BPWR|45DMG|6ASPD|7RCR|89BEXP
29	22353 51351	   	199.35	DCR|3VULN|2AART|2DMG	135VULN|29AART|35BPWR|45DMG|6ASPD|7RCR|8BEXP|aRPLT
30	22353 51353	   	199.35	DCR|3VULN|2AART|2DMG	135VULN|29AART|35BPWR|45DMG|6ASPD|7RCR|8BEXP|aLWND
31	22353 51211	   	199.25	DCR|3VULN|2AART|2DMG	135VULN|2aAART|35BPWR|45DMG|6ASPD|7RCR|8LIT|9DUST
32	22345 62222	   	195.28	DCR|3VULN|3AART|1DMG	134VULN|28aAART|34BPWR|5ASPD|6RCR|7DUR|9DMG
33	22353 51226	   	194.84	DCR|3VULN|2DMG|1AART	135VULN|2AART|35BPWR|45DMG|6ASPD|7RCR|8LIT|9LHND|aDUR
34	22353 51236	   	194.84	DCR|3VULN|2DMG|1AART	135VULN|2AART|35BPWR|45DMG|6ASPD|7RCR|8LIT|9LWND|aDUR
35	22353 51522	   	194.84	DCR|3VULN|2DMG|1AART	135VULN|2AART|35BPWR|45DMG|6ASPD|7RCR|8DUR|9BEXP|aMLV
36	22353 51523	   	194.84	DCR|3VULN|2DMG|1AART	135VULN|2AART|35BPWR|45DMG|6ASPD|7RCR|8DUR|9BEXP|aLHND
37	22353 51532	   	194.84	DCR|3VULN|2DMG|1AART	135VULN|2AART|35BPWR|45DMG|6ASPD|7RCR|8DUR|9LHND|aMLV
