0	Index      	 *	Score 	Summary	Detail	
1	23333 32252	 * 	242.48	橙1散射对甲2易伤1双倍秒伤1全技能1时间	14易伤2敌人爆炸3双倍物品5散射对甲6基地爆炸7全技能8时间9核a双倍秒伤
2	23333 32652	   	231.48	橙1散射对甲2易伤1双倍秒伤1全技能	14易伤2敌人爆炸3双倍物品5散射对甲6基地爆炸7全技能8电球减费9核a双倍秒伤
3	24662 11333	 * 	230.25	紫3易伤1散射对甲1双倍秒伤1全技能	156易伤2低血量敌人3核4全技能7挖尘8散射对甲9最后敌人a双倍秒伤
4	24364 12322	 * 	225.77	橙4易伤1双倍秒伤2伤害1全技能	178a易伤28低血量敌人38a雷电4全技能5双倍秒伤6核8a序列升级9a伤害
5	54532 12313	 * 	225.73	紫4易伤1散射对甲1全技能1伤害1时间	1核2时间356a易伤4全技能7最后敌人8散射对甲9伤害
6	23333 34164	 * 	222.01	橙2散射对甲3易伤1双倍秒伤1全技能	147易伤2敌人爆炸3双倍物品57散射对甲67基地爆炸7序列升级8双倍秒伤9全技能a核
7	23323 32252	   	220.35	橙1散射对甲1双倍秒伤1易伤1全技能1时间	1易伤2敌人爆炸3双倍物品4双倍矿5散射对甲6基地爆炸7全技能8时间9核a双倍秒伤
8	54532 12312	   	219.18	紫3易伤1散射对甲1全技能1伤害1时间1策反	1核2时间356易伤4全技能7最后敌人8散射对甲9伤害a策反
9	54533 12313	 * 	219.05	紫3易伤1散射对甲1全技能2时间1伤害	1核25时间36a易伤4全技能7最后敌人8散射对甲9伤害
10	25332 64131	 * 	215.45	橙5易伤1伤害1攻速	1489a易伤2最后敌人3攻速5敌人爆炸6核7伤害
11	25332 64111	 * 	214.93	橙4易伤2攻速1伤害	148a易伤2最后敌人39攻速5敌人爆炸6核7伤害
12	23146 43232	 * 	212.99	橙5易伤2伤害	1679a易伤2敌人爆炸37低血量敌人47伤害5平台7序列升级8核
