0	Index      	 *	Score 	Summary	Detail	
1	23415 33532	 * 	278.11	DCR|DCR|2VULN|1DMG|1MLV|1DUR|1SELL	1SELL|2LHND|3MLV|45VULN|6aRCR|7DUR|8AME|9DMG
2	26415 33332	 * 	277.14	DCR|DCR|3VULN|2DUR|1SELL	1SELL|2ZMB|37DUR|458VULN|6aRCR|9LHND
3	26415 33312	 * 	277.04	DCR|DCR|3VULN|2DUR|1SELL	1SELL|2ZMB|37DUR|458VULN|6aRCR|9DUST
4	11611 52211	 * 	265.13	DCR|DCR|1VULN|1TLV|1MLV|1AART	1AETHUN|2BELT|3VULN|4ASPD|5TLV|6BASHEA|7MLV|8aRCR|9AART
5	23415 33222	 * 	264.99	DCR|DCR|2VULN|1MLV|1DUR|1SELL	1SELL|2LHND|3MLV|45VULN|6aRCR|7DUR|8ASPD|9ERES
6	26515 33312	 * 	264.69	DCR|DCR|3VULN|1DUR|1SELL	1SELL|2ZMB|3LHND|458VULN|6aRCR|7DUR|9LWND
7	23415 32532	 * 	264.56	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1SELL|2LHND|3MLV|45VULN|6aRCR|7RMIN|8LWND|9DMG
8	41225 32332	 * 	264.56	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1MLV|2DMG|3SELL|47RMIN|58VULN|6aRCR|9LHND
9	41251 11312	 * 	264.56	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1SELL	1MLV|2DMG|3SELL|47LHND|5TLV|6VULN|8aRCR|9LWND
10	41251 13312	 * 	264.56	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1SELL	1MLV|2DMG|3SELL|4LHND|5TLV|6VULN|7RCVC|8aRCR|9LWND
11	41225 32312	 * 	264.46	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1MLV|2DMG|3SELL|47RMIN|58VULN|6aRCR|9DUST
12	41232 13362	 * 	264.46	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1SELL	1MLV|2DMG|3SELL|4TLV|5BEXP|6VULN|7AEPOI|8aRCR|9RCVC
13	41232 13452	 * 	264.36	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1SELL	1MLV|2DMG|3SELL|4TLV|5BEXP|6VULN|7AEPOI|8AEWIND|9aRCR
14	41236 13362	 * 	264.36	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1SELL	1MLV|2DMG|3SELL|4TLV|5DUST|6VULN|7AEPOI|8aRCR|9RCVC
15	11641 53211	 * 	262.65	DCR|DCR|1VULN|1TLV|1DMG|1AART	1AETHUN|2BELT|3VULN|4CGEN|5TLV|6CANSTR|7DMG|8aRCR|9AART
16	23614 31232	   	262.61	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1SELL	1SELL|2LHND|3FEWX|4DMG|5TLV|6VULN|7CGEN|8DUR|9aRCR
17	41611 33521	 * 	262.39	DCR|DCR|2DMG|2MLV|2DUR	17MLV|27DMG|3DMSP|4TBNT|57DUR|6aRCR|7BPWR|8ERES|9MDPS
18	41621 33521	   	262.39	DCR|DCR|2DMG|2MLV|2DUR	17MLV|27DMG|3DMSP|4BBNT|57DUR|6aRCR|7BPWR|8ERES|9MDPS
19	41225 32432	 * 	255.95	DCR|DCR|2DMG|1VULN|1MLV|1SELL	1MLV|28DMG|3SELL|47RMIN|5VULN|6aRCR|9LHND
20	41225 31132	 * 	255.85	DCR|DCR|2DMG|1VULN|1MLV|1SELL	1MLV|29DMG|3SELL|4RMIN|5VULN|6aRCR|7MDPS|8FEWX
21	41225 32412	 * 	255.85	DCR|DCR|2DMG|1VULN|1MLV|1SELL	1MLV|28DMG|3SELL|47RMIN|5VULN|6aRCR|9DUST
22	26415 33212	 * 	255.00	DCR|DCR|2VULN|2DUR|1SELL	1SELL|2ZMB|37DUR|45VULN|6aRCR|8LHND|9LWND
23	26416 33332	 * 	254.90	DCR|DCR|2VULN|2DUR|1SELL	1SELL|2ZMB|37DUR|48VULN|5AEFBLL|6aRCR|9LHND
