0	Index      	 *	Score 	Summary	Detail	
1	54151 21312	 * 	257.43	DCR|4VULN|2DUR|1TLV|1DMG|1SELL	1789VULN|23DUR|4DMG|5SELL|6RCR|aTLV
2	53641 22313	 * 	255.14	DCR|DCR|2VULN|1FLTARM	13VULN|23RAT|3BPWR|4MDPS|5CGEN|6BBNT|79RCR|8LSRREG|aFLTARM
3	54351 21311	 * 	253.25	DCR|5VULN|2DMG|1DUR|1SELL	13789VULN|2DUR|4aDMG|5SELL|6RCR
4	41152 36231	 * 	251.33	DCR|2VULN|2DMG|2TLV|2AART	1aTLV|2aDMG|3ASPD|49AART|5ZMB|6RCR|7TBNT|8aVULN|aBPWR
5	41211 26631	 * 	248.74	DCR|3VULN|2TLV|2DUR|1DMG|1MSE	18TLV|2DMG|38DUR|4TBNT|568VULN|7MBVNT|8BPWR|9RCR|aMSE
6	41211 26632	 * 	248.74	DCR|3VULN|2TLV|2DUR|1DMG	18TLV|2DMG|38DUR|4TBNT|568VULN|7MBVNT|8BPWR|9RCR|aAEBURN
7	41211 26633	   	248.74	DCR|3VULN|2TLV|2DUR|1DMG	18TLV|2DMG|38DUR|4TBNT|568VULN|7MBVNT|8BPWR|9RCR|aLEGI
8	41211 26634	   	248.74	DCR|3VULN|2TLV|2DUR|1DMG	18TLV|2DMG|38DUR|4TBNT|568VULN|7MBVNT|8BPWR|9RCR|aAETHUN
9	31126 53136	   	245.62	DCR|2VULN|2DUR|1TLV|1DMG|1MLV|2ASPD	1ERES|2DMG|39ASPD|49DUR|5MLV|69VULN|7TLV|8LHND|9BPWR|aRCR
10	13216 31143	 * 	245.50	DCR|2VULN|3DUR|2DMG|1TLV	1LSRREG|279DUR|3CGEN|4TLV|59VULN|6ZMB|89DMG|9BPWR|aRCR
11	63216 31143	   	245.50	DCR|2VULN|3DUR|2DMG|1TLV	1BLASTR|279DUR|3CGEN|4TLV|59VULN|6ZMB|89DMG|9BPWR|aRCR
12	41252 33622	   	245.40	DCR|2VULN|3DUR|2DMG|1TLV	1TLV|24DMG|389DUR|5aVULN|6BELT|7RCR
13	54151 21313	 * 	244.87	DCR|4VULN|2DUR|1DMG|1AAC|1SELL	1789VULN|23DUR|4DMG|5SELL|6RCR|aAAC
14	54351 21322	 * 	244.87	DCR|4VULN|1TLV|1DMG|1DUR|1SELL	1378VULN|2DUR|4DMG|5SELL|6RCR|9AEBURN|aTLV
15	56251 21312	 * 	244.87	DCR|4VULN|1TLV|1DMG|1DUR|1SELL	1789VULN|2AEWIND|3DUR|4DMG|5SELL|6RCR|aTLV
16	14133 34135	 * 	243.29	DCR|DCR|1VULN|1DMG|1CDMG	1LSRREG|2VULN|3MDPS|4LIT|5CDMG|6aRCR|7DMG|8ASPD|9AEWIND
17	53641 22312	   	242.59	DCR|DCR|2VULN|1CDMG	13VULN|23RAT|3BPWR|4MDPS|5CGEN|6BBNT|79RCR|8LSRREG|aCDMG
18	43613 51111	 * 	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1TLV|2RAT|34CGEN|5TBNT|6aRCR|7VULN|8CANSTR|9CDMG
19	53523 42182	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1VULN|2RAT|3CDMG|4MBVNT|5TLV|6BOSS|7CGEN|8aRCR|9MDPS
20	43623 51111	   	242.49	DCR|DCR|1VULN|1TLV|1CDMG	1TLV|2RAT|3CGEN|4AEFBLL|5TBNT|6aRCR|7VULN|8CANSTR|9CDMG
21	44132 32135	 * 	242.47	DCR|2VULN|2DUR|2AART|1TLV|1DMG	1TLV|2aAART|3CGEN|46VULN|58DUR|7RCR|9DMG
22	54122 62321	 * 	240.19	DCR|DCR|3DUR|1VULN	1VULN|235DUR|457DUST|5BPWR|6TBNT|89RCR|aLHND
23	54122 62322	   	240.09	DCR|DCR|3DUR|1VULN|1MSE	1VULN|235DUR|457DUST|5BPWR|6TBNT|89RCR|aMSE
