0	Index      	 *	Score 	Summary	Detail	
1	23522 12365	 * 	290.83	ACR|DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	16RCR|2DUR|389VULN|4TLV|5ERES|7CDMG|aDMG
2	23533 12361	 * 	289.73	ACR|DCR|3VULN|2DUR|1TLV|2CDMG	16RCR|24DUR|348VULN|4BPWR|5LHND|79CDMG|aTLV
3	23522 16335	 * 	286.87	ACR|DCR|2VULN|3DUR|2MLV|1TLV	16RCR|29aDUR|3aVULN|4TLV|57ERES|8aMLV|aBPWR
4	23533 12365	 * 	283.59	ACR|DCR|3VULN|2DUR|1DMG|2CDMG	16RCR|24DUR|348VULN|4BPWR|5LHND|79CDMG|aDMG
5	23533 12144	   	283.42	ACR|DCR|3VULN|2DUR|1TLV|1CDMG	16RCR|24DUR|34aVULN|4BPWR|5LHND|7CDMG|8BEXP|9TLV
6	23533 15633	   	283.42	ACR|DCR|3VULN|2DUR|1TLV|1AART	16RCR|24DUR|34aVULN|4BPWR|5LHND|7AART|8TLV|9RAT
7	14335 22334	 * 	277.78	ACR|DCR|2VULN|3DMG|1MLV|1CDMG	1CGEN|27RCR|3CDMG|4MLV|569DMG|8aVULN
8	23522 12363	   	277.70	ACR|DCR|3VULN|1TLV|1DUR|1CDMG	16RCR|2DUR|389VULN|4TLV|5ERES|7CDMG|aASPD
9	23533 12135	   	277.28	ACR|DCR|3VULN|2DUR|1DMG|1CDMG	16RCR|24DUR|349VULN|4BPWR|5LHND|7CDMG|8BEXP|aDMG
10	23533 12315	   	277.28	ACR|DCR|3VULN|2DUR|1DMG|1CDMG	16RCR|24DUR|348VULN|4BPWR|5LHND|7CDMG|9FEWX|aDMG
11	23533 12435	   	277.28	ACR|DCR|3VULN|2DUR|1DMG|1CDMG	16RCR|24DUR|349VULN|4BPWR|5LHND|7CDMG|8FEWX|aDMG
12	23536 12235	   	277.28	ACR|DCR|3VULN|2DUR|1DMG|1CDMG	16RCR|24DUR|349VULN|4BPWR|5BEXP|7CDMG|8LWND|aDMG
13	23533 15215	   	276.78	ACR|DCR|2VULN|2DUR|1TLV|1MLV|1AART	16RCR|24DUR|34VULN|4BPWR|5LHND|7AART|8MLV|9BBNT|aTLV
14	23536 16132	 * 	276.38	ACR|DCR|4VULN|2DUR|1AAC	16RCR|24DUR|3489VULN|4BPWR|5BEXP|7RPLT|aAAC
15	23536 12532	 * 	275.60	ACR|DCR|3VULN|3DUR|1CDMG	16RCR|24aDUR|348VULN|4BPWR|5BEXP|7CDMG|9ASPD
16	23522 16325	   	275.42	ACR|DCR|2VULN|2MLV|2DUR|1TLV	16RCR|2aDUR|3aVULN|4TLV|57ERES|8aMLV|9RCVC|aBPWR
17	23533 12351	   	272.82	ACR|DCR|3VULN|2DUR|1MLV|1CDMG	16RCR|24DUR|348VULN|4BPWR|5LHND|7CDMG|9MLV|aLIT
18	23533 12352	   	272.82	ACR|DCR|3VULN|2DUR|1MLV|1CDMG	16RCR|24DUR|348VULN|4BPWR|5LHND|7CDMG|9MLV|aRCVC
19	23533 15233	   	272.82	ACR|DCR|3VULN|2DUR|1MLV|1AART	16RCR|24DUR|34aVULN|4BPWR|5LHND|7AART|8MLV|9RAT
20	23533 12353	   	272.72	ACR|DCR|3VULN|2DUR|1MLV|1CDMG	16RCR|24DUR|348VULN|4BPWR|5LHND|7CDMG|9MLV|aBBNT
21	23533 12354	   	272.72	ACR|DCR|3VULN|2DUR|1MLV|1CDMG	16RCR|24DUR|348VULN|4BPWR|5LHND|7CDMG|9MLV|aAME
22	23533 12355	   	272.72	ACR|DCR|3VULN|2DUR|1MLV|1CDMG|1MSE	16RCR|24DUR|348VULN|4BPWR|5LHND|7CDMG|9MLV|aMSE
23	23533 12356	   	272.72	ACR|DCR|3VULN|2DUR|1MLV|1CDMG	16RCR|24DUR|348VULN|4BPWR|5LHND|7CDMG|9MLV|aAETHUN
24	23533 12132	   	270.86	ACR|DCR|3VULN|2DUR|1CDMG|1AAC	16RCR|24DUR|349VULN|4BPWR|5LHND|7CDMG|8BEXP|aAAC
25	23533 12312	   	270.86	ACR|DCR|3VULN|2DUR|1CDMG|1AAC	16RCR|24DUR|348VULN|4BPWR|5LHND|7CDMG|9FEWX|aAAC
26	23533 12432	   	270.86	ACR|DCR|3VULN|2DUR|1CDMG|1AAC	16RCR|24DUR|349VULN|4BPWR|5LHND|7CDMG|8FEWX|aAAC
27	23536 12232	   	270.86	ACR|DCR|3VULN|2DUR|1CDMG|1AAC	16RCR|24DUR|349VULN|4BPWR|5BEXP|7CDMG|8LWND|aAAC
28	23536 12512	   	270.86	ACR|DCR|3VULN|2DUR|1CDMG|1AAC	16RCR|24DUR|348VULN|4BPWR|5BEXP|7CDMG|9FEWX|aAAC
29	23522 12362	   	270.76	ACR|DCR|3VULN|1TLV|1DUR|1CDMG	16RCR|2DUR|389VULN|4TLV|5ERES|7CDMG|aDMSP
30	23522 12364	   	270.76	ACR|DCR|3VULN|1TLV|1DUR|1CDMG	16RCR|2DUR|389VULN|4TLV|5ERES|7CDMG|aCGEN
31	23522 12361	   	270.66	ACR|DCR|3VULN|1TLV|1DUR|1CDMG	16RCR|2DUR|389VULN|4TLV|5ERES|7CDMG|aAME
32	23522 12366	   	270.66	ACR|DCR|3VULN|1TLV|1DUR|1CDMG	16RCR|2DUR|389VULN|4TLV|5ERES|7CDMG|aDUST
33	23536 23232	   	270.50	ACR|DCR|2VULN|2DUR|1DMG|1MLV|1AAC|1SELL	19RCR|24DUR|34VULN|4BPWR|5BEXP|6DMG|7MLV|8SELL|aAAC
